"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"885786","Argentina","Liga de Honor (women)","14.10.2017 - 00:30","Club Ciudad de Buenos Aires (women)","River Plate (women)",
"Statistics","Club Ciudad de Buenos Aires (women)","Type","River Plate (women)",
,"2","Score","3",
,"105","Points","115",
,"2","Sets","3",
,"7","Aces","6",
,"7","Service errors","8",
,"56","Kills","73",
,"11","Blocks","10",
,"9","Errors","12",
,"10","Outs","11",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"00:13:14","00:00","Game conditions changed","Game conditions changed",
,"00:13:16","00:00","Players warming up","Players warming up",
,"00:14:30","00:00","Jersey colours updated","Jersey colours updated",
,"00:14:32","00:00","Jersey colours updated","Jersey colours updated",
,"00:14:48","00:00","Jersey colours updated","Jersey colours updated",
,"00:16:58","00:00","Coin flipping","Coin flipping",
,"00:18:13","00:00","Warm up at the net","Warm up at the net",
,"00:28:36","00:00","Players intro","Players intro",
,"00:30:04","00:00","Players lined up","Players lined up",
,"00:30:31","00:00","Game about to start","Game about to start",
,"00:31:04","00:00","Start SRV","Start SRV   Club Ciudad de Buenos Aires (women)",
,"00:31:15","00:00","Start 1st Set","Start 1st Set",
,"00:31:16","00:01","SRV","SRV   Club Ciudad de Buenos Aires (women)",
,"00:31:17","00:02","RS","RS   Club Ciudad de Buenos Aires (women)",
,"00:31:18","00:03","B POSS","B POSS   River Plate (women)",
,"00:31:21","00:05","B POSS","B POSS   Club Ciudad de Buenos Aires (women)",
,"00:31:25","00:09","K","K   Club Ciudad de Buenos Aires (women)",
,"00:31:25","00:09","P","[1 : 0]   P   Club Ciudad de Buenos Aires (women)",
,"00:31:39","00:23","Pt Conf","Pt Conf   Club Ciudad de Buenos Aires (women)",
,"00:31:42","00:26","SRV","SRV   Club Ciudad de Buenos Aires (women)",
,"00:31:44","00:28","RS","RS   Club Ciudad de Buenos Aires (women)",
,"00:31:45","00:30","B POSS","B POSS   River Plate (women)",
,"00:31:47","00:32","K","K   River Plate (women)",
,"00:31:47","00:32","P","[1 : 1]   P   River Plate (women)",
,"00:32:08","00:52","Pt Conf","Pt Conf   River Plate (women)",
,"00:32:11","00:55","SRV","SRV   River Plate (women)",
,"00:32:14","00:58","RS","RS   River Plate (women)",
,"00:32:15","00:59","B POSS","B POSS   Club Ciudad de Buenos Aires (women)",
,"00:32:19","01:03","ERR","ERR   River Plate (women)",
,"00:32:19","01:03","P","[2 : 1]   P   Club Ciudad de Buenos Aires (women)",
,"00:32:32","01:16","Pt Conf","Pt Conf   Club Ciudad de Buenos Aires (women)",
,"00:32:34","01:19","SRV","SRV   Club Ciudad de Buenos Aires (women)",
,"00:32:36","01:21","RS","RS   Club Ciudad de Buenos Aires (women)",
,"00:32:38","01:22","B POSS","B POSS   River Plate (women)",
