"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"882604","Belgium","Liga Heren (men)","14.10.2017 - 18:30","Volley Roeselare","Lindemans Aalst",
"Statistics","Volley Roeselare","Type","Lindemans Aalst",
,"3","Score","0",
,"75","Points","56",
,"3","Sets","0",
,"4","Aces","1",
,"9","Service errors","11",
,"30","Kills","35",
,"14","Blocks","7",
,"0","Errors","7",
,"4","Outs","7",
,"2","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","2",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"17:58:00","00:00","Game conditions changed","Game conditions changed",
,"17:58:02","00:00","Players warming up","Players warming up",
,"18:14:02","00:00","Coin flipping","Coin flipping",
,"18:15:05","00:00","Warm up at the net","Warm up at the net",
,"18:24:21","00:00","Game conditions changed","Game conditions changed",
,"18:25:07","00:00","Jersey colours updated","Jersey colours updated",
,"18:25:07","00:00","Jersey colours updated","Jersey colours updated",
,"18:25:40","00:00","Players lined up","Players lined up",
,"18:26:21","00:00","Shake hands","Shake hands",
,"18:27:13","00:00","Prize giving ceremony","Prize giving ceremony",
,"18:28:04","00:00","Players intro","Players intro",
,"18:29:53","00:00","Game about to start","Game about to start",
,"18:30:08","00:00","Start SRV","Start SRV   Volley Roeselare",
,"18:30:22","00:00","Start SRV","Start SRV   Volley Roeselare",
,"18:30:38","00:00","Start 1st Set","Start 1st Set",
,"18:30:38","00:00","SRV","SRV   Volley Roeselare",
,"18:30:41","00:02","RS","RS   Volley Roeselare",
,"18:30:41","00:02","B POSS","B POSS   Lindemans Aalst",
,"18:30:45","00:06","K","K   Lindemans Aalst",
,"18:30:45","00:06","P","[0 : 1]   P   Lindemans Aalst",
,"18:30:57","00:19","Pt Conf","Pt Conf   Lindemans Aalst",
,"18:31:00","00:22","SRV","SRV   Lindemans Aalst",
,"18:31:02","00:24","RS","RS   Lindemans Aalst",
,"18:31:02","00:24","B POSS","B POSS   Volley Roeselare",
,"18:31:07","00:29","K","K   Volley Roeselare",
,"18:31:07","00:29","P","[1 : 1]   P   Volley Roeselare",
,"18:31:19","00:41","Pt Conf","Pt Conf   Volley Roeselare",
,"18:31:23","00:45","SRV","SRV   Volley Roeselare",
,"18:31:26","00:48","RS","RS   Volley Roeselare",
,"18:31:26","00:48","B POSS","B POSS   Lindemans Aalst",
,"18:31:33","00:55","B POSS","B POSS   Volley Roeselare",
