"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"876294","Brazil","Superliga (men)","14.10.2017 - 23:00","Corinthians/Guarulhos","Sada Cruzeiro Volei",
"Statistics","Corinthians/Guarulhos","Type","Sada Cruzeiro Volei",
,"1","Score","3",
,"86","Points","104",
,"1","Sets","3",
,"5","Aces","3",
,"30","Service errors","25",
,"39","Kills","44",
,"6","Blocks","9",
,"4","Errors","6",
,"13","Outs","5",
,"0","Penalty Points","1",
,"0","Points (unknown method)","0",
,"1","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"22:39:24","00:00","Game conditions changed","Game conditions changed",
,"22:39:32","00:00","Players warming up","Players warming up",
,"22:42:01","00:00","Jersey colours updated","Jersey colours updated",
,"22:42:01","00:00","Jersey colours updated","Jersey colours updated",
,"22:44:32","00:00","National anthem singing","National anthem singing",
,"22:47:03","00:00","Warm up at the net","Warm up at the net",
,"23:00:42","00:00","Players intro","Players intro",
,"23:02:33","00:00","Start SRV","Start SRV   Corinthians/Guarulhos",
,"23:02:35","00:00","Game about to start","Game about to start",
,"23:02:54","00:00","Start 1st Set","Start 1st Set",
,"23:02:55","00:01","SRV","SRV   Corinthians/Guarulhos",
,"23:02:55","00:01","RS","RS   Corinthians/Guarulhos",
,"23:02:55","00:01","B POSS","B POSS   Sada Cruzeiro Volei",
,"23:02:57","00:02","B POSS","B POSS   Corinthians/Guarulhos",
,"23:03:01","00:07","B POSS","B POSS   Sada Cruzeiro Volei",
,"23:03:04","00:10","B POSS","B POSS   Corinthians/Guarulhos",
,"23:03:09","00:15","K","K   Corinthians/Guarulhos",
,"23:03:09","00:15","P","[1 : 0]   P   Corinthians/Guarulhos",
,"23:03:32","00:37","Pt Conf","Pt Conf   Corinthians/Guarulhos",
,"23:03:38","00:43","SRV","SRV   Corinthians/Guarulhos",
,"23:03:40","00:45","A","A   Corinthians/Guarulhos",
,"23:03:40","00:45","P","[2 : 0]   P   Corinthians/Guarulhos",
,"23:04:01","01:07","Pt Conf","Pt Conf   Corinthians/Guarulhos",
,"23:04:09","01:15","SRV","SRV   Corinthians/Guarulhos",
,"23:04:11","01:17","RS","RS   Corinthians/Guarulhos",
,"23:04:13","01:19","B POSS","B POSS   Sada Cruzeiro Volei",
,"23:04:15","01:20","K","K   Sada Cruzeiro Volei",
,"23:04:15","01:20","P","[2 : 1]   P   Sada Cruzeiro Volei",
,"23:04:29","01:34","Pt Conf","Pt Conf   Sada Cruzeiro Volei",
,"23:04:37","01:42","SRV","SRV   Sada Cruzeiro Volei",
,"23:04:40","01:45","S ERR","S ERR   Sada Cruzeiro Volei",
,"23:04:40","01:45","P","[3 : 1]   P   Corinthians/Guarulhos",
,"23:04:51","01:57","Pt Conf","Pt Conf   Corinthians/Guarulhos",
,"23:04:55","02:00","SRV","SRV   Corinthians/Guarulhos",
,"23:04:57","02:02","RS","RS   Corinthians/Guarulhos",
,"23:04:59","02:04","B POSS","B POSS   Sada Cruzeiro Volei",
,"23:05:01","02:07","K","K   Sada Cruzeiro Volei",
,"23:05:01","02:07","P","[3 : 2]   P   Sada Cruzeiro Volei",
,"23:05:18","02:23","Pt Conf","Pt Conf   Sada Cruzeiro Volei",
,"23:05:21","02:27","SRV","SRV   Sada Cruzeiro Volei",
,"23:05:24","02:30","S ERR","S ERR   Sada Cruzeiro Volei",
,"23:05:24","02:30","P","[4 : 2]   P   Corinthians/Guarulhos",
,"23:05:37","02:42","Pt Conf","Pt Conf   Corinthians/Guarulhos",
,"23:05:42","02:47","SRV","SRV   Corinthians/Guarulhos",
,"23:05:43","02:49","S ERR","S ERR   Corinthians/Guarulhos",
,"23:05:43","02:49","P","[4 : 3]   P   Sada Cruzeiro Volei",
,"23:05:56","03:02","Pt Conf","Pt Conf   Sada Cruzeiro Volei",
,"23:06:03","03:09","SRV","SRV   Sada Cruzeiro Volei",
,"23:06:04","03:10","RS","RS   Sada Cruzeiro Volei",
,"23:06:06","03:11","B POSS","B POSS   Corinthians/Guarulhos",
,"23:06:08","03:14","B","B   Sada Cruzeiro Volei",
,"23:06:08","03:14","P","[4 : 4]   P   Sada Cruzeiro Volei",
,"23:06:20","03:25","Pt Conf","Pt Conf   Sada Cruzeiro Volei",
,"23:06:27","03:33","SRV","SRV   Sada Cruzeiro Volei",
,"23:06:29","03:34","S ERR","S ERR   Sada Cruzeiro Volei",
,"23:06:29","03:34","P","[5 : 4]   P   Corinthians/Guarulhos",
,"23:06:45","03:51","Pt Conf","Pt Conf   Corinthians/Guarulhos",
,"23:06:49","03:54","SRV","SRV   Corinthians/Guarulhos",
,"23:06:52","03:57","S ERR","S ERR   Corinthians/Guarulhos",
,"23:06:52","03:57","P","[5 : 5]   P   Sada Cruzeiro Volei",
,"23:07:03","04:08","Pt Conf","Pt Conf   Sada Cruzeiro Volei",
,"23:07:05","04:10","SRV","SRV   Sada Cruzeiro Volei",
,"23:07:06","04:12","S ERR","S ERR   Sada Cruzeiro Volei",
,"23:07:06","04:12","P","[6 : 5]   P   Corinthians/Guarulhos",
,"23:07:20","04:26","Pt Conf","Pt Conf   Corinthians/Guarulhos",
,"23:07:25","04:30","SRV","SRV   Corinthians/Guarulhos",
,"23:07:26","04:32","RS","RS   Corinthians/Guarulhos",
,"23:07:27","04:33","B POSS","B POSS   Sada Cruzeiro Volei",
,"23:07:30","04:36","B POSS","B POSS   Corinthians/Guarulhos",
,"23:07:34","04:39","B POSS","B POSS   Sada Cruzeiro Volei",
,"23:07:39","04:44","OUT","OUT   Sada Cruzeiro Volei",
,"23:07:39","04:44","P","[7 : 5]   P   Corinthians/Guarulhos",
,"23:07:54","04:59","Pt Conf","Pt Conf   Corinthians/Guarulhos",
,"23:07:57","05:02","SRV","SRV   Corinthians/Guarulhos",
,"23:07:58","05:04","RS","RS   Corinthians/Guarulhos",
,"23:08:03","05:08","B POSS","B POSS   Sada Cruzeiro Volei",
,"23:08:04","05:10","B POSS","B POSS   Corinthians/Guarulhos",
,"23:08:11","05:16","B POSS","B POSS   Sada Cruzeiro Volei",
,"23:08:18","05:24","K","K   Corinthians/Guarulhos",
,"23:08:18","05:24","P","[8 : 5]   P   Corinthians/Guarulhos",
,"23:08:30","05:36","Pt Conf","Pt Conf   Corinthians/Guarulhos",
,"23:08:37","05:42","SRV","SRV   Corinthians/Guarulhos",
,"23:08:41","05:46","S ERR","S ERR   Corinthians/Guarulhos",
,"23:08:41","05:46","P","[8 : 6]   P   Sada Cruzeiro Volei",
,"23:08:54","05:59","Pt Conf","Pt Conf   Sada Cruzeiro Volei",
,"23:08:58","06:04","SRV","SRV   Sada Cruzeiro Volei",
,"23:09:01","06:07","RS","RS   Sada Cruzeiro Volei",
,"23:09:03","06:08","B POSS","B POSS   Corinthians/Guarulhos",
,"23:09:06","06:12","OUT","OUT   Corinthians/Guarulhos",
,"23:09:06","06:12","P","[8 : 7]   P   Sada Cruzeiro Volei",
,"23:09:18","06:24","Pt Conf","Pt Conf   Sada Cruzeiro Volei",
,"23:09:26","06:31","SRV","SRV   Sada Cruzeiro Volei",
,"23:09:27","06:33","RS","RS   Sada Cruzeiro Volei",
,"23:09:28","06:34","B POSS","B POSS   Corinthians/Guarulhos",
,"23:09:30","06:36","B POSS","B POSS   Sada Cruzeiro Volei",
,"23:09:35","06:41","K","K   Sada Cruzeiro Volei",
,"23:09:35","06:41","P","[8 : 8]   P   Sada Cruzeiro Volei",
,"23:09:51","06:57","Pt Conf","Pt Conf   Sada Cruzeiro Volei",
,"23:09:58","07:04","SRV","SRV   Sada Cruzeiro Volei",
,"23:10:00","07:06","RS","RS   Sada Cruzeiro Volei",
,"23:10:02","07:07","B POSS","B POSS   Corinthians/Guarulhos",
,"23:10:05","07:10","OUT","OUT   Corinthians/Guarulhos",
,"23:10:05","07:10","P","[8 : 9]   P   Sada Cruzeiro Volei",
,"23:10:22","07:28","Pt Conf","Pt Conf   Sada Cruzeiro Volei",
,"23:10:24","07:29","TIME","TIME",
,"23:10:30","07:35","TIME","TIME   Corinthians/Guarulhos",
,"23:11:25","08:30","SRV","SRV   Sada Cruzeiro Volei",
,"23:11:28","08:33","RS","RS   Sada Cruzeiro Volei",
,"23:11:29","08:34","B POSS","B POSS   Corinthians/Guarulhos",
,"23:11:35","08:40","B POSS","B POSS   Sada Cruzeiro Volei",
,"23:11:39","08:44","K","K   Sada Cruzeiro Volei",
,"23:11:39","08:44","P","[8 : 10]   P   Sada Cruzeiro Volei",
,"23:11:54","08:59","Pt Conf","Pt Conf   Sada Cruzeiro Volei",
,"23:11:56","09:02","SRV","SRV   Sada Cruzeiro Volei",
,"23:11:58","09:04","S ERR","S ERR   Sada Cruzeiro Volei",
,"23:11:58","09:04","P","[9 : 10]   P   Corinthians/Guarulhos",
,"23:12:16","09:21","Pt Conf","Pt Conf   Corinthians/Guarulhos",
,"23:12:21","09:27","SRV","SRV   Corinthians/Guarulhos",
,"23:12:22","09:28","RS","RS   Corinthians/Guarulhos",
,"23:12:23","09:29","B POSS","B POSS   Sada Cruzeiro Volei",
,"23:12:27","09:33","K","K   Sada Cruzeiro Volei",
,"23:12:27","09:33","P","[9 : 11]   P   Sada Cruzeiro Volei",
,"23:12:41","09:46","Pt Conf","Pt Conf   Sada Cruzeiro Volei",
,"23:12:44","09:50","SRV","SRV   Sada Cruzeiro Volei",
,"23:12:48","09:53","RS","RS   Sada Cruzeiro Volei",
,"23:12:50","09:55","B POSS","B POSS   Corinthians/Guarulhos",
,"23:12:51","09:56","ERR","ERR   Sada Cruzeiro Volei",
,"23:12:51","09:56","P","[10 : 11]   P   Corinthians/Guarulhos",
,"23:13:19","10:24","Pt Conf","Pt Conf   Corinthians/Guarulhos",
,"23:13:22","10:28","SRV","SRV   Corinthians/Guarulhos",
,"23:13:23","10:29","RS","RS   Corinthians/Guarulhos",
,"23:13:24","10:30","B POSS","B POSS   Sada Cruzeiro Volei",
,"23:13:28","10:34","K","K   Sada Cruzeiro Volei",
,"23:13:28","10:34","P","[10 : 12]   P   Sada Cruzeiro Volei",
,"23:13:44","10:49","Pt Conf","Pt Conf   Sada Cruzeiro Volei",
,"23:13:48","10:53","SRV","SRV   Sada Cruzeiro Volei",
,"23:13:51","10:56","RS","RS   Sada Cruzeiro Volei",
,"23:13:52","10:58","B POSS","B POSS   Corinthians/Guarulhos",
,"23:13:55","11:00","K","K   Corinthians/Guarulhos",
,"23:13:55","11:00","P","[11 : 12]   P   Corinthians/Guarulhos",
,"23:14:09","11:15","Pt Conf","Pt Conf   Corinthians/Guarulhos",
,"23:14:14","11:19","SRV","SRV   Corinthians/Guarulhos",
,"23:14:16","11:22","RS","RS   Corinthians/Guarulhos",
,"23:14:17","11:23","B POSS","B POSS   Sada Cruzeiro Volei",
,"23:14:21","11:26","K","K   Sada Cruzeiro Volei",
,"23:14:21","11:26","P","[11 : 13]   P   Sada Cruzeiro Volei",
,"23:14:34","11:40","Pt Conf","Pt Conf   Sada Cruzeiro Volei",
,"23:14:38","11:44","SRV","SRV   Sada Cruzeiro Volei",
,"23:14:40","11:45","RS","RS   Sada Cruzeiro Volei",
,"23:14:41","11:46","B POSS","B POSS   Corinthians/Guarulhos",
,"23:14:44","11:49","B","B   Sada Cruzeiro Volei",
,"23:14:44","11:49","P","[11 : 14]   P   Sada Cruzeiro Volei",
,"23:15:00","12:05","Pt Conf","Pt Conf   Sada Cruzeiro Volei",
,"23:15:04","12:09","SRV","SRV   Sada Cruzeiro Volei",
,"23:15:07","12:12","RS","RS   Sada Cruzeiro Volei",
,"23:15:08","12:14","B POSS","B POSS   Corinthians/Guarulhos",
,"23:15:12","12:18","K","K   Corinthians/Guarulhos",
,"23:15:12","12:18","P","[12 : 14]   P   Corinthians/Guarulhos",
,"23:15:26","12:31","Pt Conf","Pt Conf   Corinthians/Guarulhos",
,"23:15:30","12:35","SRV","SRV   Corinthians/Guarulhos",
,"23:15:31","12:36","RS","RS   Corinthians/Guarulhos",
,"23:15:32","12:37","B POSS","B POSS   Sada Cruzeiro Volei",
,"23:15:38","12:43","B POSS","B POSS   Corinthians/Guarulhos",
,"23:15:49","12:54","OUT","OUT   Corinthians/Guarulhos",
,"23:15:49","12:54","P","[12 : 15]   P   Sada Cruzeiro Volei",
,"23:16:02","13:07","Correct statistics","Correct statistics   (OUT Corinthians/Guarulhos <=> K Sada Cruzeiro Volei)",
,"23:16:02","13:07","K","K   Sada Cruzeiro Volei",
