"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"885100","Czech Republic","Extraliga (men)","14.10.2017 - 16:00","Kladno Volejbal CZ","CZU Praha",
"Statistics","Kladno Volejbal CZ","Type","CZU Praha",
,"3","Score","1",
,"98","Points","76",
,"3","Sets","1",
,"8","Aces","6",
,"24","Service errors","17",
,"38","Kills","27",
,"12","Blocks","6",
,"4","Errors","8",
,"9","Outs","15",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"15:47:34","00:00","Players warming up","Players warming up",
,"15:47:36","00:00","Game conditions changed","Game conditions changed",
,"15:48:31","00:00","Coin flipping","Coin flipping",
,"15:48:32","00:00","Warm up at the net","Warm up at the net",
,"15:49:23","00:00","Jersey colours updated","Jersey colours updated",
,"15:49:23","00:00","Jersey colours updated","Jersey colours updated",
,"15:56:58","00:00","Players lined up","Players lined up",
,"15:57:57","00:00","Shake hands","Shake hands",
,"15:58:57","00:00","Players intro","Players intro",
,"16:00:19","00:00","Game about to start","Game about to start",
,"16:00:41","00:00","Start SRV","Start SRV   CZU Praha",
,"16:01:08","00:00","Start 1st Set","Start 1st Set",
,"16:01:08","00:00","SRV","SRV   CZU Praha",
,"16:01:13","00:04","RS","RS   CZU Praha",
,"16:01:13","00:05","B POSS","B POSS   Kladno Volejbal CZ",
,"16:01:14","00:05","B POSS","B POSS   CZU Praha",
,"16:01:18","00:09","B","B   Kladno Volejbal CZ",
,"16:01:18","00:09","P","[1 : 0]   P   Kladno Volejbal CZ",
,"16:01:32","00:23","Pt Conf","Pt Conf   Kladno Volejbal CZ",
,"16:01:37","00:28","SRV","SRV   Kladno Volejbal CZ",
,"16:01:39","00:31","RS","RS   Kladno Volejbal CZ",
,"16:01:39","00:31","B POSS","B POSS   CZU Praha",
,"16:01:49","00:41","OUT","OUT   CZU Praha",
,"16:01:49","00:41","P","[2 : 0]   P   Kladno Volejbal CZ",
,"16:01:58","00:50","Pt Conf","Pt Conf   Kladno Volejbal CZ",
,"16:02:04","00:55","SRV","SRV   Kladno Volejbal CZ",
,"16:02:07","00:59","RS","RS   Kladno Volejbal CZ",
,"16:02:08","00:59","B POSS","B POSS   CZU Praha",
,"16:02:10","01:01","B POSS","B POSS   Kladno Volejbal CZ",
,"16:02:14","01:05","K","K   Kladno Volejbal CZ",
,"16:02:14","01:05","P","[3 : 0]   P   Kladno Volejbal CZ",
,"16:02:26","01:18","Pt Conf","Pt Conf   Kladno Volejbal CZ",
,"16:02:32","01:24","SRV","SRV   Kladno Volejbal CZ",
,"16:02:35","01:27","RS","RS   Kladno Volejbal CZ",
,"16:02:35","01:27","B POSS","B POSS   CZU Praha",
,"16:02:39","01:30","K","K   CZU Praha",
,"16:02:39","01:30","P","[3 : 1]   P   CZU Praha",
,"16:02:51","01:43","Pt Conf","Pt Conf   CZU Praha",
,"16:02:57","01:48","SRV","SRV   CZU Praha",
,"16:03:00","01:51","RS","RS   CZU Praha",
,"16:03:00","01:51","B POSS","B POSS   Kladno Volejbal CZ",
,"16:03:05","01:56","K","K   Kladno Volejbal CZ",
,"16:03:05","01:56","P","[4 : 1]   P   Kladno Volejbal CZ",
,"16:03:19","02:10","Pt Conf","Pt Conf   Kladno Volejbal CZ",
,"16:03:40","02:32","SRV","SRV   Kladno Volejbal CZ",
,"16:03:42","02:34","S ERR","S ERR   Kladno Volejbal CZ",
,"16:03:42","02:34","P","[4 : 2]   P   CZU Praha",
,"16:03:45","02:37","Pt Conf","Pt Conf   CZU Praha",
,"16:04:02","02:54","SRV","SRV   CZU Praha",
,"16:04:05","02:57","RS","RS   CZU Praha",
,"16:04:06","02:57","B POSS","B POSS   Kladno Volejbal CZ",
