"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"889335","Friendly","Nomikeia Tournament (women)","14.10.2017 - 17:00","AO Thyras (women)","Markopoulo VC (women)",
"Statistics","AO Thyras (women)","Type","Markopoulo VC (women)",
,"3","Score","0",
,"75","Points","58",
,"3","Sets","0",
,"11","Aces","7",
,"11","Service errors","11",
,"33","Kills","28",
,"8","Blocks","2",
,"5","Errors","4",
,"5","Outs","8",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"16:26:16","00:00","Players warming up","Players warming up",
,"16:28:51","00:00","Game conditions changed","Game conditions changed",
,"16:31:35","00:00","Jersey colours updated","Jersey colours updated",
,"16:31:35","00:00","Jersey colours updated","Jersey colours updated",
,"16:41:38","00:00","Coin flipping","Coin flipping",
,"16:42:20","00:00","Warm up at the net","Warm up at the net",
,"16:53:47","00:00","Game conditions changed","Game conditions changed",
,"16:54:59","00:00","Players lined up","Players lined up",
,"16:55:43","00:00","Shake hands","Shake hands",
,"16:57:36","00:00","Players intro","Players intro",
,"16:59:57","00:00","Game about to start","Game about to start",
,"17:00:00","00:00","Start SRV","Start SRV   Markopoulo VC (women)",
,"17:00:05","00:00","Start 1st Set","Start 1st Set",
,"17:00:05","00:00","SRV","SRV   Markopoulo VC (women)",
,"17:00:05","00:00","RS","RS   Markopoulo VC (women)",
,"17:00:05","00:00","B POSS","B POSS   AO Thyras (women)",
,"17:00:08","00:02","K","K   AO Thyras (women)",
,"17:00:08","00:02","P","[1 : 0]   P   AO Thyras (women)",
,"17:00:20","00:15","Pt Conf","Pt Conf   AO Thyras (women)",
,"17:00:22","00:17","SRV","SRV   AO Thyras (women)",
,"17:00:24","00:19","RS","RS   AO Thyras (women)",
,"17:00:24","00:19","B POSS","B POSS   Markopoulo VC (women)",
,"17:00:33","00:28","OUT","OUT   Markopoulo VC (women)",
,"17:00:33","00:28","P","[2 : 0]   P   AO Thyras (women)",
,"17:00:53","00:47","Pt Conf","Pt Conf   AO Thyras (women)",
,"17:00:53","00:48","SRV","SRV   AO Thyras (women)",
,"17:00:55","00:50","RS","RS   AO Thyras (women)",
,"17:00:55","00:50","B POSS","B POSS   Markopoulo VC (women)",
,"17:01:02","00:57","K","K   Markopoulo VC (women)",
,"17:01:02","00:57","P","[2 : 1]   P   Markopoulo VC (women)",
,"17:01:12","01:07","Pt Conf","Pt Conf   Markopoulo VC (women)",
,"17:01:16","01:10","SRV","SRV   Markopoulo VC (women)",
,"17:01:22","01:17","A","A   Markopoulo VC (women)",
,"17:01:22","01:17","P","[2 : 2]   P   Markopoulo VC (women)",
,"17:01:31","01:25","Pt Conf","Pt Conf   Markopoulo VC (women)",
,"17:01:34","01:29","SRV","SRV   Markopoulo VC (women)",
,"17:01:36","01:31","RS","RS   Markopoulo VC (women)",
,"17:01:36","01:31","B POSS","B POSS   AO Thyras (women)",
,"17:01:39","01:34","B POSS","B POSS   Markopoulo VC (women)",
,"17:01:47","01:42","OUT","OUT   Markopoulo VC (women)",
,"17:01:47","01:42","P","[3 : 2]   P   AO Thyras (women)",
,"17:01:58","01:52","Pt Conf","Pt Conf   AO Thyras (women)",
,"17:01:59","01:54","SRV","SRV   AO Thyras (women)",
,"17:02:02","01:56","RS","RS   AO Thyras (women)",
,"17:02:02","01:57","B POSS","B POSS   Markopoulo VC (women)",
,"17:02:10","02:04","B POSS","B POSS   AO Thyras (women)",
,"17:02:19","02:13","K","K   AO Thyras (women)",
,"17:02:19","02:13","P","[4 : 2]   P   AO Thyras (women)",
,"17:02:29","02:24","Pt Conf","Pt Conf   AO Thyras (women)",
,"17:02:31","02:26","SRV","SRV   AO Thyras (women)",
,"17:02:34","02:28","RS","RS   AO Thyras (women)",
,"17:02:34","02:29","B POSS","B POSS   Markopoulo VC (women)",
,"17:02:35","02:30","B POSS","B POSS   AO Thyras (women)",
,"17:02:43","02:38","K","K   AO Thyras (women)",
,"17:02:43","02:38","P","[5 : 2]   P   AO Thyras (women)",
,"17:02:56","02:51","Pt Conf","Pt Conf   AO Thyras (women)",
,"17:02:57","02:52","SRV","SRV   AO Thyras (women)",
,"17:03:00","02:55","RS","RS   AO Thyras (women)",
,"17:03:01","02:55","B POSS","B POSS   Markopoulo VC (women)",
,"17:03:03","02:58","B POSS","B POSS   AO Thyras (women)",
,"17:03:09","03:04","B POSS","B POSS   Markopoulo VC (women)",
,"17:03:12","03:06","B POSS","B POSS   AO Thyras (women)",
,"17:03:17","03:11","B POSS","B POSS   Markopoulo VC (women)",
,"17:03:23","03:18","OUT","OUT   Markopoulo VC (women)",
,"17:03:23","03:18","P","[6 : 2]   P   AO Thyras (women)",
,"17:03:34","03:28","Pt Conf","Pt Conf   AO Thyras (women)",
,"17:03:34","03:29","TIME","TIME",
,"17:03:36","03:30","TIME","TIME   Markopoulo VC (women)",
,"17:04:28","04:22","SRV","SRV   AO Thyras (women)",
,"17:04:35","04:30","S ERR","S ERR   AO Thyras (women)",
,"17:04:35","04:30","P","[6 : 3]   P   Markopoulo VC (women)",
,"17:04:45","04:39","Pt Conf","Pt Conf   Markopoulo VC (women)",
,"17:04:49","04:43","SRV","SRV   Markopoulo VC (women)",
,"17:04:51","04:45","RS","RS   Markopoulo VC (women)",
,"17:04:51","04:46","B POSS","B POSS   AO Thyras (women)",
,"17:04:57","04:52","ERR","ERR   AO Thyras (women)",
,"17:04:57","04:52","P","[6 : 4]   P   Markopoulo VC (women)",
,"17:05:07","05:02","Pt Conf","Pt Conf   Markopoulo VC (women)",
,"17:05:11","05:05","SRV","SRV   Markopoulo VC (women)",
,"17:05:14","05:08","RS","RS   Markopoulo VC (women)",
,"17:05:14","05:09","B POSS","B POSS   AO Thyras (women)",
,"17:05:17","05:11","B POSS","B POSS   Markopoulo VC (women)",
,"17:05:25","05:19","B","B   AO Thyras (women)",
,"17:05:25","05:19","P","[7 : 4]   P   AO Thyras (women)",
,"17:05:36","05:31","Pt Conf","Pt Conf   AO Thyras (women)",
,"17:05:42","05:36","SRV","SRV   AO Thyras (women)",
,"17:05:44","05:38","RS","RS   AO Thyras (women)",
,"17:05:44","05:38","B POSS","B POSS   Markopoulo VC (women)",
,"17:05:49","05:44","K","K   Markopoulo VC (women)",
,"17:05:49","05:44","P","[7 : 5]   P   Markopoulo VC (women)",
,"17:06:00","05:55","Pt Conf","Pt Conf   Markopoulo VC (women)",
,"17:06:05","05:59","SRV","SRV   Markopoulo VC (women)",
,"17:06:08","06:02","RS","RS   Markopoulo VC (women)",
,"17:06:08","06:02","B POSS","B POSS   AO Thyras (women)",
,"17:06:15","06:09","K","K   AO Thyras (women)",
,"17:06:15","06:09","P","[8 : 5]   P   AO Thyras (women)",
,"17:06:25","06:19","Pt Conf","Pt Conf   AO Thyras (women)",
,"17:06:27","06:22","TIME","TIME",
,"17:06:29","06:23","TTO","TTO",
,"17:07:38","07:32","SRV","SRV   AO Thyras (women)",
,"17:07:41","07:36","RS","RS   AO Thyras (women)",
,"17:07:41","07:36","B POSS","B POSS   Markopoulo VC (women)",
,"17:07:49","07:43","ERR","ERR   Markopoulo VC (women)",
,"17:07:49","07:43","P","[9 : 5]   P   AO Thyras (women)",
,"17:07:58","07:53","Pt Conf","Pt Conf   AO Thyras (women)",
,"17:08:06","08:01","SRV","SRV   AO Thyras (women)",
,"17:08:10","08:04","A","A   AO Thyras (women)",
,"17:08:10","08:04","P","[10 : 5]   P   AO Thyras (women)",
,"17:08:21","08:16","Pt Conf","Pt Conf   AO Thyras (women)",
,"17:08:28","08:23","SRV","SRV   AO Thyras (women)",
,"17:08:30","08:25","RS","RS   AO Thyras (women)",
,"17:08:31","08:25","B POSS","B POSS   Markopoulo VC (women)",
,"17:08:36","08:31","K","K   Markopoulo VC (women)",
,"17:08:36","08:31","P","[10 : 6]   P   Markopoulo VC (women)",
,"17:08:50","08:45","Pt Conf","Pt Conf   Markopoulo VC (women)",
,"17:08:52","08:47","SRV","SRV   Markopoulo VC (women)",
,"17:09:01","08:55","S ERR","S ERR   Markopoulo VC (women)",
,"17:09:01","08:55","P","[11 : 6]   P   AO Thyras (women)",
,"17:09:08","09:03","Pt Conf","Pt Conf   AO Thyras (women)",
,"17:09:09","09:04","SRV","SRV   AO Thyras (women)",
,"17:09:12","09:07","RS","RS   AO Thyras (women)",
,"17:09:13","09:07","B POSS","B POSS   Markopoulo VC (women)",
,"17:09:21","09:15","K","K   Markopoulo VC (women)",
,"17:09:21","09:15","P","[11 : 7]   P   Markopoulo VC (women)",
,"17:09:32","09:26","Pt Conf","Pt Conf   Markopoulo VC (women)",
,"17:09:35","09:30","SRV","SRV   Markopoulo VC (women)",
,"17:09:38","09:32","RS","RS   Markopoulo VC (women)",
,"17:09:38","09:33","B POSS","B POSS   AO Thyras (women)",
,"17:09:41","09:36","B POSS","B POSS   Markopoulo VC (women)",
,"17:09:53","09:47","ERR","ERR   Markopoulo VC (women)",
,"17:09:53","09:47","P","[12 : 7]   P   AO Thyras (women)",
,"17:10:03","09:57","Pt Conf","Pt Conf   AO Thyras (women)",
,"17:10:07","10:01","SRV","SRV   AO Thyras (women)",
,"17:10:08","10:03","RS","RS   AO Thyras (women)",
,"17:10:09","10:03","B POSS","B POSS   Markopoulo VC (women)",
,"17:10:15","10:10","B POSS","B POSS   AO Thyras (women)",
,"17:10:21","10:16","K","K   AO Thyras (women)",
,"17:10:21","10:16","P","[13 : 7]   P   AO Thyras (women)",
,"17:10:32","10:27","Pt Conf","Pt Conf   AO Thyras (women)",
,"17:10:39","10:33","SRV","SRV   AO Thyras (women)",
,"17:10:39","10:34","RS","RS   AO Thyras (women)",
,"17:10:40","10:34","B POSS","B POSS   Markopoulo VC (women)",
,"17:10:47","10:41","B","B   AO Thyras (women)",
,"17:10:47","10:41","P","[14 : 7]   P   AO Thyras (women)",
,"17:10:55","10:50","Pt Conf","Pt Conf   AO Thyras (women)",
,"17:10:56","10:51","TIME","TIME",
,"17:10:57","10:52","TIME","TIME   Markopoulo VC (women)",
,"17:11:43","11:37","SRV","SRV   AO Thyras (women)",
,"17:11:45","11:40","S ERR","S ERR   AO Thyras (women)",
,"17:11:45","11:40","P","[14 : 8]   P   Markopoulo VC (women)",
,"17:12:00","11:54","Pt Conf","Pt Conf   Markopoulo VC (women)",
,"17:12:03","11:57","SRV","SRV   Markopoulo VC (women)",
,"17:12:06","12:01","RS","RS   Markopoulo VC (women)",
,"17:12:10","12:04","B POSS","B POSS   AO Thyras (women)",
,"17:12:10","12:05","B POSS","B POSS   Markopoulo VC (women)",
,"17:12:13","12:07","B POSS","B POSS   AO Thyras (women)",
,"17:12:17","12:12","B POSS","B POSS   Markopoulo VC (women)",
,"17:12:25","12:19","B","B   AO Thyras (women)",
,"17:12:25","12:19","P","[15 : 8]   P   AO Thyras (women)",
,"17:12:39","12:34","Pt Conf","Pt Conf   AO Thyras (women)",
,"17:12:42","12:36","SRV","SRV   AO Thyras (women)",
,"17:12:45","12:39","RS","RS   AO Thyras (women)",
,"17:12:45","12:39","B POSS","B POSS   Markopoulo VC (women)",
,"17:12:50","12:45","B POSS","B POSS   AO Thyras (women)",
,"17:12:53","12:48","B POSS","B POSS   Markopoulo VC (women)",
,"17:13:04","12:59","K","K   Markopoulo VC (women)",
,"17:13:04","12:59","P","[15 : 9]   P   Markopoulo VC (women)",
,"17:13:20","13:14","Pt Conf","Pt Conf   Markopoulo VC (women)",
,"17:13:21","13:15","SRV","SRV   Markopoulo VC (women)",
,"17:13:25","13:19","RS","RS   Markopoulo VC (women)",
,"17:13:26","13:20","B POSS","B POSS   AO Thyras (women)",
