"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"889152","Germany","Bundesliga (men)","14.10.2017 - 18:00","TV Bühl Volleyball","United Volleys Rheinmain",
"Statistics","TV Bühl Volleyball","Type","United Volleys Rheinmain",
,"0","Score","3",
,"52","Points","75",
,"0","Sets","3",
,"3","Aces","6",
,"10","Service errors","18",
,"22","Kills","41",
,"4","Blocks","6",
,"8","Errors","4",
,"4","Outs","1",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"17:39:50","00:00","Game conditions changed","Game conditions changed",
,"17:39:51","00:00","Players warming up","Players warming up",
,"17:39:55","00:00","Coin flipping","Coin flipping",
,"17:40:26","00:00","Warm up at the net","Warm up at the net",
,"17:44:19","00:00","Jersey colours updated","Jersey colours updated",
,"17:44:19","00:00","Jersey colours updated","Jersey colours updated",
,"17:52:55","00:00","Players intro","Players intro",
,"17:56:03","00:00","Game conditions changed","Game conditions changed",
,"17:57:11","00:00","Players lined up","Players lined up",
,"17:59:34","00:00","Game about to start","Game about to start",
,"18:00:23","00:00","Start SRV","Start SRV   TV Bühl Volleyball",
,"18:00:38","00:00","Start 1st Set","Start 1st Set",
,"18:00:39","00:00","SRV","SRV   TV Bühl Volleyball",
,"18:00:40","00:02","RS","RS   TV Bühl Volleyball",
,"18:00:41","00:02","B POSS","B POSS   United Volleys Rheinmain",
,"18:00:52","00:13","ERR","ERR   TV Bühl Volleyball",
,"18:00:52","00:13","P","[0 : 1]   P   United Volleys Rheinmain",
,"18:01:05","00:26","Pt Conf","Pt Conf   United Volleys Rheinmain",
,"18:01:05","00:26","SRV","SRV   United Volleys Rheinmain",
,"18:01:07","00:28","RS","RS   United Volleys Rheinmain",
,"18:01:07","00:28","B POSS","B POSS   TV Bühl Volleyball",
,"18:01:10","00:31","B POSS","B POSS   United Volleys Rheinmain",
,"18:01:14","00:35","B POSS","B POSS   TV Bühl Volleyball",
,"18:01:23","00:44","B","B   United Volleys Rheinmain",
,"18:01:23","00:44","P","[0 : 2]   P   United Volleys Rheinmain",
,"18:01:37","00:58","Pt Conf","Pt Conf   United Volleys Rheinmain",
,"18:01:37","00:59","SRV","SRV   United Volleys Rheinmain",
,"18:01:40","01:01","RS","RS   United Volleys Rheinmain",
,"18:01:40","01:01","B POSS","B POSS   TV Bühl Volleyball",
,"18:01:47","01:09","B POSS","B POSS   United Volleys Rheinmain",
,"18:01:55","01:16","K","K   TV Bühl Volleyball",
,"18:01:55","01:16","P","[1 : 2]   P   TV Bühl Volleyball",
,"18:02:11","01:32","Pt Conf","Pt Conf   TV Bühl Volleyball",
,"18:02:12","01:33","SRV","SRV   TV Bühl Volleyball",
,"18:02:13","01:35","RS","RS   TV Bühl Volleyball",
,"18:02:14","01:35","B POSS","B POSS   United Volleys Rheinmain",
,"18:02:23","01:44","ERR","ERR   TV Bühl Volleyball",
,"18:02:23","01:44","P","[1 : 3]   P   United Volleys Rheinmain",
,"18:02:34","01:55","Pt Conf","Pt Conf   United Volleys Rheinmain",
,"18:02:34","01:55","SRV","SRV   United Volleys Rheinmain",
,"18:02:37","01:58","RS","RS   United Volleys Rheinmain",
,"18:02:37","01:58","B POSS","B POSS   TV Bühl Volleyball",
,"18:02:44","02:05","B","B   United Volleys Rheinmain",
,"18:02:44","02:05","P","[1 : 4]   P   United Volleys Rheinmain",
,"18:03:00","02:21","Pt Conf","Pt Conf   United Volleys Rheinmain",
,"18:03:01","02:22","SRV","SRV   United Volleys Rheinmain",
