"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"889137","Germany","Bundesliga (women)","14.10.2017 - 17:00","SC Potsdam (women)","Dresdner SC (women)",
"Statistics","SC Potsdam (women)","Type","Dresdner SC (women)",
,"3","Score","2",
,"106","Points","106",
,"3","Sets","2",
,"14","Aces","11",
,"13","Service errors","7",
,"54","Kills","51",
,"10","Blocks","9",
,"13","Errors","7",
,"9","Outs","14",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"16:27:35","00:00","Game conditions changed","Game conditions changed",
,"16:27:36","00:00","Players warming up","Players warming up",
,"16:45:28","00:00","Coin flipping","Coin flipping",
,"16:45:29","00:00","Warm up at the net","Warm up at the net",
,"16:45:54","00:00","Jersey colours updated","Jersey colours updated",
,"16:45:56","00:00","Jersey colours updated","Jersey colours updated",
,"16:53:54","00:00","Players intro","Players intro",
,"16:57:43","00:00","Players lined up","Players lined up",
,"16:59:05","00:00","Game about to start","Game about to start",
,"16:59:33","00:00","Start SRV","Start SRV   Dresdner SC (women)",
,"16:59:43","00:00","Start 1st Set","Start 1st Set",
,"16:59:43","00:00","SRV","SRV   Dresdner SC (women)",
,"16:59:46","00:02","RS","RS   Dresdner SC (women)",
,"16:59:46","00:03","B POSS","B POSS   SC Potsdam (women)",
,"16:59:54","00:11","OUT","OUT   SC Potsdam (women)",
,"16:59:54","00:11","P","[0 : 1]   P   Dresdner SC (women)",
,"17:00:06","00:23","Pt Conf","Pt Conf   Dresdner SC (women)",
,"17:00:07","00:24","SRV","SRV   Dresdner SC (women)",
,"17:00:15","00:32","RS","RS   Dresdner SC (women)",
,"17:00:17","00:33","B POSS","B POSS   SC Potsdam (women)",
,"17:00:17","00:33","B POSS","B POSS   Dresdner SC (women)",
,"17:00:22","00:38","K","K   Dresdner SC (women)",
,"17:00:22","00:38","P","[0 : 2]   P   Dresdner SC (women)",
,"17:00:34","00:51","Pt Conf","Pt Conf   Dresdner SC (women)",
,"17:00:35","00:52","SRV","SRV   Dresdner SC (women)",
,"17:00:38","00:55","RS","RS   Dresdner SC (women)",
,"17:00:38","00:55","B POSS","B POSS   SC Potsdam (women)",
,"17:00:41","00:58","B POSS","B POSS   Dresdner SC (women)",
