"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"888462","Italy","Serie A1 (women)","14.10.2017 - 18:30","River Volley (women)","Robur Pallavolo Scandicci (women)",
"Statistics","River Volley (women)","Type","Robur Pallavolo Scandicci (women)",
,"0","Score","3",
,"40","Points","75",
,"0","Sets","3",
,"0","Aces","10",
,"3","Service errors","8",
,"24","Kills","45",
,"1","Blocks","14",
,"2","Errors","4",
,"1","Outs","3",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"17:44:23","00:00","Game conditions changed","Game conditions changed",
,"17:44:24","00:00","Players warming up","Players warming up",
,"18:14:28","00:00","Jersey colours updated","Jersey colours updated",
,"18:14:29","00:00","Jersey colours updated","Jersey colours updated",
,"18:14:43","00:00","Warm up at the net","Warm up at the net",
,"18:26:38","00:00","Players lined up","Players lined up",
,"18:28:02","00:00","Shake hands","Shake hands",
,"18:29:36","00:00","Players intro","Players intro",
,"18:31:22","00:00","Game about to start","Game about to start",
,"18:32:17","00:00","Start SRV","Start SRV   Robur Pallavolo Scandicci (women)",
,"18:32:25","00:00","Start 1st Set","Start 1st Set",
,"18:32:26","00:00","SRV","SRV   Robur Pallavolo Scandicci (women)",
,"18:32:28","00:03","RS","RS   Robur Pallavolo Scandicci (women)",
,"18:32:29","00:03","B POSS","B POSS   River Volley (women)",
,"18:32:32","00:07","K","K   River Volley (women)",
,"18:32:32","00:07","P","[1 : 0]   P   River Volley (women)",
,"18:32:49","00:23","Pt Conf","Pt Conf   River Volley (women)",
,"18:32:51","00:26","SRV","SRV   River Volley (women)",
,"18:32:55","00:29","RS","RS   River Volley (women)",
,"18:32:55","00:30","B POSS","B POSS   Robur Pallavolo Scandicci (women)",
,"18:32:57","00:32","B POSS","B POSS   River Volley (women)",
,"18:33:02","00:36","B","B   Robur Pallavolo Scandicci (women)",
,"18:33:02","00:36","P","[1 : 1]   P   Robur Pallavolo Scandicci (women)",
,"18:33:23","00:57","Pt Conf","Pt Conf   Robur Pallavolo Scandicci (women)",
,"18:33:25","01:00","SRV","SRV   Robur Pallavolo Scandicci (women)",
,"18:33:27","01:02","RS","RS   Robur Pallavolo Scandicci (women)",
,"18:33:28","01:02","B POSS","B POSS   River Volley (women)",
,"18:33:31","01:06","B POSS","B POSS   Robur Pallavolo Scandicci (women)",
,"18:33:35","01:09","B POSS","B POSS   River Volley (women)",
,"18:33:38","01:13","K","K   River Volley (women)",
,"18:33:38","01:13","P","[2 : 1]   P   River Volley (women)",
,"18:33:53","01:28","Pt Conf","Pt Conf   River Volley (women)",
,"18:33:55","01:30","SRV","SRV   River Volley (women)",
,"18:33:57","01:32","RS","RS   River Volley (women)",
,"18:33:58","01:32","B POSS","B POSS   Robur Pallavolo Scandicci (women)",
,"18:34:01","01:36","B POSS","B POSS   River Volley (women)",
,"18:34:06","01:41","B","B   Robur Pallavolo Scandicci (women)",
,"18:34:06","01:41","P","[2 : 2]   P   Robur Pallavolo Scandicci (women)",
,"18:34:22","01:57","Pt Conf","Pt Conf   Robur Pallavolo Scandicci (women)",
,"18:34:26","02:01","SRV","SRV   Robur Pallavolo Scandicci (women)",
,"18:34:28","02:03","RS","RS   Robur Pallavolo Scandicci (women)",
,"18:34:29","02:03","B POSS","B POSS   River Volley (women)",
,"18:34:32","02:07","B POSS","B POSS   Robur Pallavolo Scandicci (women)",
,"18:34:36","02:11","K","K   Robur Pallavolo Scandicci (women)",
,"18:34:36","02:11","P","[2 : 3]   P   Robur Pallavolo Scandicci (women)",
,"18:34:52","02:27","Pt Conf","Pt Conf   Robur Pallavolo Scandicci (women)",
,"18:34:56","02:31","SRV","SRV   Robur Pallavolo Scandicci (women)",
,"18:34:59","02:33","RS","RS   Robur Pallavolo Scandicci (women)",
,"18:34:59","02:34","B POSS","B POSS   River Volley (women)",
,"18:35:03","02:37","K","K   River Volley (women)",
,"18:35:03","02:37","P","[3 : 3]   P   River Volley (women)",
,"18:35:21","02:55","Pt Conf","Pt Conf   River Volley (women)",
,"18:35:23","02:57","SRV","SRV   River Volley (women)",
,"18:35:25","03:00","RS","RS   River Volley (women)",
,"18:35:26","03:00","B POSS","B POSS   Robur Pallavolo Scandicci (women)",
,"18:35:35","03:09","K","K   Robur Pallavolo Scandicci (women)",
,"18:35:35","03:09","P","[3 : 4]   P   Robur Pallavolo Scandicci (women)",
,"18:35:50","03:25","Pt Conf","Pt Conf   Robur Pallavolo Scandicci (women)",
,"18:35:53","03:28","SRV","SRV   Robur Pallavolo Scandicci (women)",
,"18:35:57","03:32","A","A   Robur Pallavolo Scandicci (women)",
,"18:35:57","03:32","P","[3 : 5]   P   Robur Pallavolo Scandicci (women)",
,"18:36:16","03:50","Pt Conf","Pt Conf   Robur Pallavolo Scandicci (women)",
,"18:36:17","03:51","SRV","SRV   Robur Pallavolo Scandicci (women)",
,"18:36:19","03:53","RS","RS   Robur Pallavolo Scandicci (women)",
,"18:36:19","03:54","B POSS","B POSS   River Volley (women)",
,"18:36:23","03:58","K","K   River Volley (women)",
,"18:36:23","03:58","P","[4 : 5]   P   River Volley (women)",
,"18:36:38","04:13","Pt Conf","Pt Conf   River Volley (women)",
,"18:36:42","04:17","SRV","SRV   River Volley (women)",
,"18:36:44","04:19","RS","RS   River Volley (women)",
,"18:36:45","04:20","B POSS","B POSS   Robur Pallavolo Scandicci (women)",
,"18:36:51","04:25","K","K   Robur Pallavolo Scandicci (women)",
,"18:36:51","04:25","P","[4 : 6]   P   Robur Pallavolo Scandicci (women)",
,"18:37:03","04:38","Pt Conf","Pt Conf   Robur Pallavolo Scandicci (women)",
,"18:37:08","04:43","SRV","SRV   Robur Pallavolo Scandicci (women)",
,"18:37:20","04:54","Point under investigation","Point under investigation",
,"18:37:48","05:23","S ERR","S ERR   Robur Pallavolo Scandicci (women)",
,"18:37:48","05:23","P","[5 : 6]   P   River Volley (women)",
,"18:37:54","05:28","Pt Conf","Pt Conf   River Volley (women)",
,"18:37:55","05:29","SRV","SRV   River Volley (women)",
,"18:37:57","05:31","RS","RS   River Volley (women)",
,"18:37:57","05:32","B POSS","B POSS   Robur Pallavolo Scandicci (women)",
,"18:38:04","05:38","B POSS","B POSS   River Volley (women)",
,"18:38:07","05:42","B","B   Robur Pallavolo Scandicci (women)",
,"18:38:07","05:42","P","[5 : 7]   P   Robur Pallavolo Scandicci (women)",
,"18:38:24","05:59","Pt Conf","Pt Conf   Robur Pallavolo Scandicci (women)",
,"18:38:32","06:07","SRV","SRV   Robur Pallavolo Scandicci (women)",
,"18:38:35","06:09","RS","RS   Robur Pallavolo Scandicci (women)",
,"18:38:35","06:10","B POSS","B POSS   River Volley (women)",
,"18:38:40","06:15","B POSS","B POSS   Robur Pallavolo Scandicci (women)",
,"18:38:44","06:18","B POSS","B POSS   River Volley (women)",
,"18:38:49","06:24","B POSS","B POSS   Robur Pallavolo Scandicci (women)",
,"18:38:58","06:32","B POSS","B POSS   River Volley (women)",
,"18:39:03","06:37","B","B   River Volley (women)",
,"18:39:03","06:37","P","[6 : 7]   P   River Volley (women)",
,"18:39:17","06:52","Pt Conf","Pt Conf   River Volley (women)",
,"18:39:20","06:54","SRV","SRV   River Volley (women)",
,"18:39:22","06:56","RS","RS   River Volley (women)",
