"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"890410","Italy","Serie A2 (men)","14.10.2017 - 18:30","Alto Adige Volley Südtirol Bolzano","Olimpia Pallavolo Bergamo",
"Statistics","Alto Adige Volley Südtirol Bolzano","Type","Olimpia Pallavolo Bergamo",
,"1","Score","3",
,"93","Points","102",
,"1","Sets","3",
,"5","Aces","5",
,"19","Service errors","10",
,"50","Kills","53",
,"11","Blocks","5",
,"8","Errors","10",
,"12","Outs","7",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"17:33:40","00:00","Game conditions changed","Game conditions changed",
,"17:40:23","00:00","Players warming up","Players warming up",
,"18:10:43","00:00","Warm up at the net","Warm up at the net",
,"18:13:11","00:00","Coin flipping","Coin flipping",
,"18:25:48","00:00","Jersey colours updated","Jersey colours updated",
,"18:25:48","00:00","Jersey colours updated","Jersey colours updated",
,"18:25:59","00:00","Players lined up","Players lined up",
,"18:26:46","00:00","Shake hands","Shake hands",
,"18:27:46","00:00","Players intro","Players intro",
,"18:28:43","00:00","Game about to start","Game about to start",
,"18:30:09","00:00","Start SRV","Start SRV   Olimpia Pallavolo Bergamo",
,"18:30:13","00:00","Start 1st Set","Start 1st Set",
,"18:30:13","00:00","SRV","SRV   Olimpia Pallavolo Bergamo",
,"18:30:14","00:01","RS","RS   Olimpia Pallavolo Bergamo",
,"18:30:15","00:02","B POSS","B POSS   Alto Adige Volley Südtirol Bolzano",
,"18:30:21","00:08","OUT","OUT   Alto Adige Volley Südtirol Bolzano",
,"18:30:21","00:08","P","[0 : 1]   P   Olimpia Pallavolo Bergamo",
,"18:30:29","00:16","Pt Conf","Pt Conf   Olimpia Pallavolo Bergamo",
,"18:30:35","00:22","SRV","SRV   Olimpia Pallavolo Bergamo",
,"18:30:37","00:24","RS","RS   Olimpia Pallavolo Bergamo",
,"18:30:38","00:25","B POSS","B POSS   Alto Adige Volley Südtirol Bolzano",
