"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"890113","Italy","Serie A2 (men)","14.10.2017 - 18:30","Libertas Brianza","Pallavolo Brescia",
"Statistics","Libertas Brianza","Type","Pallavolo Brescia",
,"1","Score","3",
,"76","Points","98",
,"1","Sets","3",
,"2","Aces","7",
,"14","Service errors","14",
,"43","Kills","55",
,"10","Blocks","9",
,"7","Errors","5",
,"6","Outs","2",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"17:59:56","00:00","Game conditions changed","Game conditions changed",
,"17:59:57","00:00","Players warming up","Players warming up",
,"18:10:23","00:00","Warm up at the net","Warm up at the net",
,"18:25:38","00:00","Jersey colours updated","Jersey colours updated",
,"18:25:38","00:00","Jersey colours updated","Jersey colours updated",
,"18:25:43","00:00","Players lined up","Players lined up",
,"18:26:20","00:00","Shake hands","Shake hands",
,"18:29:04","00:00","Game about to start","Game about to start",
,"18:29:54","00:00","Start SRV","Start SRV   Pallavolo Brescia",
,"18:30:16","00:00","Start 1st Set","Start 1st Set",
,"18:30:17","00:00","SRV","SRV   Pallavolo Brescia",
,"18:30:18","00:02","RS","RS   Pallavolo Brescia",
,"18:30:19","00:02","B POSS","B POSS   Libertas Brianza",
,"18:30:22","00:06","K","K   Libertas Brianza",
,"18:30:22","00:06","P","[1 : 0]   P   Libertas Brianza",
,"18:30:41","00:24","Pt Conf","Pt Conf   Libertas Brianza",
,"18:30:42","00:25","SRV","SRV   Libertas Brianza",
,"18:30:44","00:28","A","A   Libertas Brianza",
,"18:30:44","00:28","P","[2 : 0]   P   Libertas Brianza",
,"18:31:00","00:44","Pt Conf","Pt Conf   Libertas Brianza",
,"18:31:01","00:44","SRV","SRV   Libertas Brianza",
,"18:31:04","00:47","RS","RS   Libertas Brianza",
,"18:31:04","00:48","B POSS","B POSS   Pallavolo Brescia",
,"18:31:09","00:52","K","K   Pallavolo Brescia",
,"18:31:09","00:52","P","[2 : 1]   P   Pallavolo Brescia",
,"18:31:26","01:09","Pt Conf","Pt Conf   Pallavolo Brescia",
,"18:31:27","01:10","SRV","SRV   Pallavolo Brescia",
,"18:31:29","01:13","S ERR","S ERR   Pallavolo Brescia",
,"18:31:29","01:13","P","[3 : 1]   P   Libertas Brianza",
