"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"889185","Italy","Serie A2 (men)","14.10.2017 - 18:30","Lupi Santa Croce SSD","ASD Junior Volley Civita Castellana",
"Statistics","Lupi Santa Croce SSD","Type","ASD Junior Volley Civita Castellana",
,"2","Score","3",
,"99","Points","106",
,"2","Sets","3",
,"10","Aces","5",
,"16","Service errors","20",
,"43","Kills","52",
,"11","Blocks","16",
,"6","Errors","5",
,"10","Outs","10",
,"0","Penalty Points","1",
,"0","Points (unknown method)","0",
,"1","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"18:12:16","00:00","Players warming up","Players warming up",
,"18:21:51","00:00","Game conditions changed","Game conditions changed",
,"18:21:58","00:00","Warm up at the net","Warm up at the net",
,"18:25:54","00:00","Jersey colours updated","Jersey colours updated",
,"18:25:54","00:00","Jersey colours updated","Jersey colours updated",
,"18:30:10","00:00","Game about to start","Game about to start",
,"18:30:28","00:00","Start SRV","Start SRV   ASD Junior Volley Civita Castellana",
,"18:31:08","00:00","Start 1st Set","Start 1st Set",
,"18:31:09","00:00","SRV","SRV   ASD Junior Volley Civita Castellana",
,"18:31:11","00:02","RS","RS   ASD Junior Volley Civita Castellana",
,"18:31:11","00:02","B POSS","B POSS   Lupi Santa Croce SSD",
,"18:31:11","00:03","B POSS","B POSS   ASD Junior Volley Civita Castellana",
,"18:31:18","00:09","K","K   Lupi Santa Croce SSD",
,"18:31:18","00:09","P","[1 : 0]   P   Lupi Santa Croce SSD",
,"18:31:36","00:28","Pt Conf","Pt Conf   Lupi Santa Croce SSD",
,"18:31:37","00:28","SRV","SRV   Lupi Santa Croce SSD",
,"18:31:39","00:30","RS","RS   Lupi Santa Croce SSD",
,"18:31:39","00:30","B POSS","B POSS   ASD Junior Volley Civita Castellana",
,"18:31:40","00:31","B POSS","B POSS   Lupi Santa Croce SSD",
,"18:31:42","00:33","B POSS","B POSS   ASD Junior Volley Civita Castellana",
,"18:31:47","00:38","B POSS","B POSS   Lupi Santa Croce SSD",
,"18:31:56","00:47","B","B   ASD Junior Volley Civita Castellana",
,"18:31:56","00:47","P","[1 : 1]   P   ASD Junior Volley Civita Castellana",
,"18:32:13","01:05","Pt Conf","Pt Conf   ASD Junior Volley Civita Castellana",
,"18:32:14","01:05","SRV","SRV   ASD Junior Volley Civita Castellana",
,"18:32:16","01:07","RS","RS   ASD Junior Volley Civita Castellana",
,"18:32:16","01:08","B POSS","B POSS   Lupi Santa Croce SSD",
,"18:32:17","01:08","B POSS","B POSS   ASD Junior Volley Civita Castellana",
,"18:32:22","01:13","ERR","ERR   ASD Junior Volley Civita Castellana",
,"18:32:22","01:13","P","[2 : 1]   P   Lupi Santa Croce SSD",
,"18:32:44","01:35","Pt Conf","Pt Conf   Lupi Santa Croce SSD",
,"18:32:45","01:36","SRV","SRV   Lupi Santa Croce SSD",
,"18:32:46","01:38","RS","RS   Lupi Santa Croce SSD",
,"18:32:47","01:38","B POSS","B POSS   ASD Junior Volley Civita Castellana",
,"18:32:47","01:38","B POSS","B POSS   Lupi Santa Croce SSD",
,"18:32:53","01:44","OUT","OUT   ASD Junior Volley Civita Castellana",
,"18:32:53","01:44","P","[3 : 1]   P   Lupi Santa Croce SSD",
,"18:32:58","01:49","Point under investigation","Point under investigation",
,"18:33:44","02:36","Pt Conf","Pt Conf   Lupi Santa Croce SSD",
,"18:33:45","02:36","SRV","SRV   Lupi Santa Croce SSD",
,"18:33:46","02:37","RS","RS   Lupi Santa Croce SSD",
,"18:33:47","02:38","B POSS","B POSS   ASD Junior Volley Civita Castellana",
,"18:33:47","02:38","B POSS","B POSS   Lupi Santa Croce SSD",
,"18:33:50","02:42","B POSS","B POSS   ASD Junior Volley Civita Castellana",
,"18:33:54","02:45","B POSS","B POSS   Lupi Santa Croce SSD",
,"18:33:57","02:48","B POSS","B POSS   ASD Junior Volley Civita Castellana",
,"18:34:01","02:52","B POSS","B POSS   Lupi Santa Croce SSD",
,"18:34:01","02:52","Rally over 5 possession changes","Rally over 5 possession changes",
,"18:34:05","02:56","B POSS","B POSS   ASD Junior Volley Civita Castellana",
,"18:34:05","02:57","B POSS","B POSS   Lupi Santa Croce SSD",
,"18:34:09","03:00","B POSS","B POSS   ASD Junior Volley Civita Castellana",
,"18:34:14","03:05","K","K   Lupi Santa Croce SSD",
,"18:34:14","03:05","P","[4 : 1]   P   Lupi Santa Croce SSD",
,"18:34:42","03:34","Pt Conf","Pt Conf   Lupi Santa Croce SSD",
,"18:34:43","03:34","SRV","SRV   Lupi Santa Croce SSD",
,"18:34:45","03:36","RS","RS   Lupi Santa Croce SSD",
,"18:34:46","03:37","B POSS","B POSS   ASD Junior Volley Civita Castellana",
,"18:34:46","03:37","B POSS","B POSS   Lupi Santa Croce SSD",
,"18:34:50","03:41","B","B   Lupi Santa Croce SSD",
,"18:34:50","03:41","P","[5 : 1]   P   Lupi Santa Croce SSD",
,"18:35:12","04:04","Pt Conf","Pt Conf   Lupi Santa Croce SSD",
,"18:35:13","04:04","TIME","TIME",
,"18:35:14","04:05","TIME","TIME   ASD Junior Volley Civita Castellana",
,"18:36:11","05:03","SRV","SRV   Lupi Santa Croce SSD",
,"18:36:13","05:05","RS","RS   Lupi Santa Croce SSD",
,"18:36:14","05:05","B POSS","B POSS   ASD Junior Volley Civita Castellana",
,"18:36:14","05:06","B POSS","B POSS   Lupi Santa Croce SSD",
,"18:36:19","05:10","K","K   ASD Junior Volley Civita Castellana",
,"18:36:19","05:10","P","[5 : 2]   P   ASD Junior Volley Civita Castellana",
,"18:36:34","05:26","Pt Conf","Pt Conf   ASD Junior Volley Civita Castellana",
,"18:36:35","05:26","SRV","SRV   ASD Junior Volley Civita Castellana",
,"18:36:36","05:27","RS","RS   ASD Junior Volley Civita Castellana",
,"18:36:36","05:28","B POSS","B POSS   Lupi Santa Croce SSD",
,"18:36:37","05:28","B POSS","B POSS   ASD Junior Volley Civita Castellana",
,"18:36:38","05:30","B POSS","B POSS   Lupi Santa Croce SSD",
,"18:36:43","05:34","B","B   Lupi Santa Croce SSD",
,"18:36:43","05:34","P","[6 : 2]   P   Lupi Santa Croce SSD",
,"18:37:08","05:59","Pt Conf","Pt Conf   Lupi Santa Croce SSD",
,"18:37:09","06:00","SRV","SRV   Lupi Santa Croce SSD",
,"18:37:10","06:01","RS","RS   Lupi Santa Croce SSD",
,"18:37:10","06:01","B POSS","B POSS   ASD Junior Volley Civita Castellana",
,"18:37:10","06:02","B POSS","B POSS   Lupi Santa Croce SSD",
,"18:37:14","06:05","B POSS","B POSS   ASD Junior Volley Civita Castellana",
,"18:37:14","06:06","B POSS","B POSS   Lupi Santa Croce SSD",
,"18:37:19","06:10","OUT","OUT   ASD Junior Volley Civita Castellana",
,"18:37:19","06:10","P","[7 : 2]   P   Lupi Santa Croce SSD",
,"18:37:41","06:32","Pt Conf","Pt Conf   Lupi Santa Croce SSD",
,"18:37:42","06:33","SRV","SRV   Lupi Santa Croce SSD",
,"18:37:43","06:34","RS","RS   Lupi Santa Croce SSD",
,"18:37:43","06:34","B POSS","B POSS   ASD Junior Volley Civita Castellana",
,"18:37:44","06:35","B POSS","B POSS   Lupi Santa Croce SSD",
,"18:37:49","06:40","OUT","OUT   Lupi Santa Croce SSD",
,"18:37:49","06:40","P","[7 : 3]   P   ASD Junior Volley Civita Castellana",
,"18:38:07","06:58","Pt Conf","Pt Conf   ASD Junior Volley Civita Castellana",
,"18:38:07","06:58","SRV","SRV   ASD Junior Volley Civita Castellana",
,"18:38:09","07:00","RS","RS   ASD Junior Volley Civita Castellana",
,"18:38:09","07:01","B POSS","B POSS   Lupi Santa Croce SSD",
,"18:38:10","07:01","B POSS","B POSS   ASD Junior Volley Civita Castellana",
,"18:38:12","07:03","B POSS","B POSS   Lupi Santa Croce SSD",
,"18:38:17","07:08","B POSS","B POSS   ASD Junior Volley Civita Castellana",
,"18:38:20","07:11","B POSS","B POSS   Lupi Santa Croce SSD",
,"18:38:25","07:16","K","K   ASD Junior Volley Civita Castellana",
,"18:38:25","07:16","P","[7 : 4]   P   ASD Junior Volley Civita Castellana",
,"18:38:43","07:34","Pt Conf","Pt Conf   ASD Junior Volley Civita Castellana",
,"18:38:44","07:35","SRV","SRV   ASD Junior Volley Civita Castellana",
,"18:38:45","07:37","RS","RS   ASD Junior Volley Civita Castellana",
,"18:38:46","07:37","B POSS","B POSS   Lupi Santa Croce SSD",
,"18:38:46","07:37","B POSS","B POSS   ASD Junior Volley Civita Castellana",
,"18:38:49","07:41","B POSS","B POSS   Lupi Santa Croce SSD",
,"18:38:50","07:41","B POSS","B POSS   ASD Junior Volley Civita Castellana",
,"18:38:58","07:49","K","K   Lupi Santa Croce SSD",
,"18:38:58","07:49","P","[8 : 4]   P   Lupi Santa Croce SSD",
,"18:39:19","08:10","Pt Conf","Pt Conf   Lupi Santa Croce SSD",
,"18:39:20","08:11","SRV","SRV   Lupi Santa Croce SSD",
,"18:39:26","08:17","A","A   Lupi Santa Croce SSD",
,"18:39:26","08:17","P","[9 : 4]   P   Lupi Santa Croce SSD",
,"18:39:33","08:24","Point under investigation","Point under investigation",
,"18:40:42","09:33","Pt Conf","Pt Conf   Lupi Santa Croce SSD",
,"18:40:42","09:34","SRV","SRV   Lupi Santa Croce SSD",
,"18:40:44","09:35","RS","RS   Lupi Santa Croce SSD",
,"18:40:44","09:36","B POSS","B POSS   ASD Junior Volley Civita Castellana",
,"18:40:45","09:36","B POSS","B POSS   Lupi Santa Croce SSD",
,"18:40:49","09:40","OUT","OUT   ASD Junior Volley Civita Castellana",
,"18:40:49","09:40","P","[10 : 4]   P   Lupi Santa Croce SSD",
,"18:41:07","09:58","Pt Conf","Pt Conf   Lupi Santa Croce SSD",
,"18:41:08","09:59","SRV","SRV   Lupi Santa Croce SSD",
,"18:41:10","10:01","RS","RS   Lupi Santa Croce SSD",
,"18:41:10","10:01","B POSS","B POSS   ASD Junior Volley Civita Castellana",
,"18:41:11","10:02","B POSS","B POSS   Lupi Santa Croce SSD",
,"18:41:14","10:05","B POSS","B POSS   ASD Junior Volley Civita Castellana",
,"18:41:18","10:09","B POSS","B POSS   Lupi Santa Croce SSD",
,"18:41:26","10:17","OUT","OUT   ASD Junior Volley Civita Castellana",
,"18:41:26","10:17","P","[11 : 4]   P   Lupi Santa Croce SSD",
,"18:41:38","10:29","Pt Conf","Pt Conf   Lupi Santa Croce SSD",
,"18:41:38","10:30","TIME","TIME",
,"18:41:42","10:33","TIME","TIME   ASD Junior Volley Civita Castellana",
,"18:42:33","11:24","SRV","SRV   Lupi Santa Croce SSD",
,"18:42:36","11:27","RS","RS   Lupi Santa Croce SSD",
,"18:42:37","11:28","B POSS","B POSS   ASD Junior Volley Civita Castellana",
,"18:42:37","11:28","B POSS","B POSS   Lupi Santa Croce SSD",
,"18:42:39","11:30","K","K   ASD Junior Volley Civita Castellana",
,"18:42:39","11:30","P","[11 : 5]   P   ASD Junior Volley Civita Castellana",
,"18:43:00","11:51","Pt Conf","Pt Conf   ASD Junior Volley Civita Castellana",
,"18:43:00","11:52","SRV","SRV   ASD Junior Volley Civita Castellana",
,"18:43:02","11:53","RS","RS   ASD Junior Volley Civita Castellana",
,"18:43:03","11:54","B POSS","B POSS   Lupi Santa Croce SSD",
,"18:43:03","11:54","B POSS","B POSS   ASD Junior Volley Civita Castellana",
,"18:43:05","11:57","K","K   Lupi Santa Croce SSD",
,"18:43:05","11:57","P","[12 : 5]   P   Lupi Santa Croce SSD",
,"18:43:25","12:16","Pt Conf","Pt Conf   Lupi Santa Croce SSD",
,"18:43:26","12:17","SRV","SRV   Lupi Santa Croce SSD",
,"18:43:28","12:19","RS","RS   Lupi Santa Croce SSD",
,"18:43:28","12:19","B POSS","B POSS   ASD Junior Volley Civita Castellana",
