"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"890519","Korea Republic","V-League (men)","14.10.2017 - 05:00","Cheonan Skywalkers","Incheon Jumbos",
"Statistics","Cheonan Skywalkers","Type","Incheon Jumbos",
,"3","Score","1",
,"104","Points","100",
,"3","Sets","1",
,"4","Aces","8",
,"19","Service errors","24",
,"59","Kills","61",
,"8","Blocks","6",
,"4","Errors","5",
,"2","Outs","4",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"04:44:26","00:00","Game conditions changed","Game conditions changed",
,"04:44:33","00:00","Players warming up","Players warming up",
,"04:44:44","00:00","Warm up at the net","Warm up at the net",
,"04:56:15","00:00","Jersey colours updated","Jersey colours updated",
,"04:56:15","00:00","Jersey colours updated","Jersey colours updated",
,"04:56:23","00:00","Players intro","Players intro",
,"04:56:27","00:00","Players lined up","Players lined up",
,"04:58:22","00:00","Shake hands","Shake hands",
,"04:58:38","00:00","Game about to start","Game about to start",
,"05:00:10","00:00","Start SRV","Start SRV   Incheon Jumbos",
,"05:00:13","00:00","Start SRV","Start SRV   Incheon Jumbos",
,"05:00:14","00:00","Start 1st Set","Start 1st Set",
,"05:00:14","00:00","SRV","SRV   Incheon Jumbos",
,"05:00:16","00:02","S ERR","S ERR   Incheon Jumbos",
,"05:00:16","00:02","P","[1 : 0]   P   Cheonan Skywalkers",
,"05:00:35","00:20","Pt Conf","Pt Conf   Cheonan Skywalkers",
,"05:00:36","00:21","SRV","SRV   Cheonan Skywalkers",
,"05:00:37","00:23","RS","RS   Cheonan Skywalkers",
,"05:00:37","00:23","B POSS","B POSS   Incheon Jumbos",
,"05:00:42","00:28","K","K   Incheon Jumbos",
,"05:00:42","00:28","P","[1 : 1]   P   Incheon Jumbos",
,"05:01:02","00:47","Pt Conf","Pt Conf   Incheon Jumbos",
,"05:01:03","00:48","SRV","SRV   Incheon Jumbos",
,"05:01:04","00:50","RS","RS   Incheon Jumbos",
,"05:01:05","00:50","B POSS","B POSS   Cheonan Skywalkers",
,"05:01:07","00:52","K","K   Cheonan Skywalkers",
,"05:01:07","00:52","P","[2 : 1]   P   Cheonan Skywalkers",
,"05:01:25","01:11","Pt Conf","Pt Conf   Cheonan Skywalkers",
,"05:01:26","01:12","SRV","SRV   Cheonan Skywalkers",
,"05:01:28","01:13","RS","RS   Cheonan Skywalkers",
,"05:01:28","01:14","B POSS","B POSS   Incheon Jumbos",
,"05:01:32","01:17","K","K   Incheon Jumbos",
,"05:01:32","01:17","P","[2 : 2]   P   Incheon Jumbos",
,"05:01:53","01:38","Pt Conf","Pt Conf   Incheon Jumbos",
,"05:01:54","01:39","SRV","SRV   Incheon Jumbos",
,"05:01:55","01:40","RS","RS   Incheon Jumbos",
,"05:01:55","01:40","B POSS","B POSS   Cheonan Skywalkers",
,"05:01:58","01:43","K","K   Cheonan Skywalkers",
,"05:01:58","01:43","P","[3 : 2]   P   Cheonan Skywalkers",
,"05:02:18","02:03","Pt Conf","Pt Conf   Cheonan Skywalkers",
,"05:02:19","02:04","SRV","SRV   Cheonan Skywalkers",
,"05:02:21","02:06","RS","RS   Cheonan Skywalkers",
,"05:02:21","02:07","B POSS","B POSS   Incheon Jumbos",
,"05:02:26","02:11","K","K   Incheon Jumbos",
,"05:02:26","02:11","P","[3 : 3]   P   Incheon Jumbos",
,"05:02:45","02:31","Pt Conf","Pt Conf   Incheon Jumbos",
,"05:02:46","02:31","SRV","SRV   Incheon Jumbos",
,"05:02:48","02:33","S ERR","S ERR   Incheon Jumbos",
,"05:02:48","02:33","P","[4 : 3]   P   Cheonan Skywalkers",
,"05:03:09","02:55","Pt Conf","Pt Conf   Cheonan Skywalkers",
,"05:03:11","02:56","SRV","SRV   Cheonan Skywalkers",
,"05:03:13","02:58","RS","RS   Cheonan Skywalkers",
,"05:03:13","02:58","B POSS","B POSS   Incheon Jumbos",
,"05:03:21","03:06","OUT","OUT   Incheon Jumbos",
,"05:03:21","03:06","P","[5 : 3]   P   Cheonan Skywalkers",
,"05:03:42","03:27","Pt Conf","Pt Conf   Cheonan Skywalkers",
,"05:03:43","03:28","SRV","SRV   Cheonan Skywalkers",
,"05:03:48","03:33","S ERR","S ERR   Cheonan Skywalkers",
,"05:03:48","03:33","P","[5 : 4]   P   Incheon Jumbos",
,"05:04:30","04:16","Pt Conf","Pt Conf   Incheon Jumbos",
,"05:04:32","04:18","SRV","SRV   Incheon Jumbos",
,"05:04:35","04:21","S ERR","S ERR   Incheon Jumbos",
,"05:04:35","04:21","P","[6 : 4]   P   Cheonan Skywalkers",
,"05:04:52","04:38","Pt Conf","Pt Conf   Cheonan Skywalkers",
,"05:04:54","04:39","SRV","SRV   Cheonan Skywalkers",
,"05:04:55","04:40","RS","RS   Cheonan Skywalkers",
,"05:04:55","04:40","B POSS","B POSS   Incheon Jumbos",
,"05:05:00","04:45","B POSS","B POSS   Cheonan Skywalkers",
,"05:05:04","04:49","B","B   Incheon Jumbos",
,"05:05:04","04:49","P","[6 : 5]   P   Incheon Jumbos",
,"05:05:23","05:08","Pt Conf","Pt Conf   Incheon Jumbos",
,"05:05:23","05:09","SRV","SRV   Incheon Jumbos",
,"05:05:24","05:10","RS","RS   Incheon Jumbos",
,"05:05:25","05:10","B POSS","B POSS   Cheonan Skywalkers",
,"05:05:27","05:12","K","K   Cheonan Skywalkers",
,"05:05:27","05:12","P","[7 : 5]   P   Cheonan Skywalkers",
,"05:05:49","05:35","Pt Conf","Pt Conf   Cheonan Skywalkers",
,"05:05:51","05:36","SRV","SRV   Cheonan Skywalkers",
,"05:05:53","05:38","S ERR","S ERR   Cheonan Skywalkers",
,"05:05:53","05:38","P","[7 : 6]   P   Incheon Jumbos",
,"05:06:14","05:59","Pt Conf","Pt Conf   Incheon Jumbos",
,"05:06:15","06:00","SRV","SRV   Incheon Jumbos",
,"05:06:18","06:03","A","A   Incheon Jumbos",
,"05:06:18","06:03","P","[7 : 7]   P   Incheon Jumbos",
,"05:06:36","06:22","Pt Conf","Pt Conf   Incheon Jumbos",
,"05:06:37","06:22","SRV","SRV   Incheon Jumbos",
,"05:06:38","06:24","RS","RS   Incheon Jumbos",
,"05:06:38","06:24","B POSS","B POSS   Cheonan Skywalkers",
,"05:06:43","06:28","B POSS","B POSS   Incheon Jumbos",
,"05:06:47","06:32","B POSS","B POSS   Cheonan Skywalkers",
,"05:06:51","06:36","K","K   Cheonan Skywalkers",
,"05:06:51","06:36","P","[8 : 7]   P   Cheonan Skywalkers",
,"05:07:11","06:57","Pt Conf","Pt Conf   Cheonan Skywalkers",
,"05:07:13","06:58","TIME","TIME",
,"05:07:13","06:59","TTO","TTO",
,"05:08:17","08:02","SRV","SRV   Cheonan Skywalkers",
,"05:08:19","08:04","RS","RS   Cheonan Skywalkers",
,"05:08:19","08:04","B POSS","B POSS   Incheon Jumbos",
,"05:08:27","08:13","K","K   Incheon Jumbos",
