"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"879483","Poland","Polska Liga (men)","14.10.2017 - 12:45","PGE Skra Belchatow","Asseco Resovia Rzeszow",
"Statistics","PGE Skra Belchatow","Type","Asseco Resovia Rzeszow",
,"3","Score","0",
,"75","Points","57",
,"3","Sets","0",
,"9","Aces","3",
,"18","Service errors","16",
,"34","Kills","31",
,"9","Blocks","2",
,"3","Errors","2",
,"0","Outs","5",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"12:07:07","00:00","Game conditions changed","Game conditions changed",
,"12:07:08","00:00","Players warming up","Players warming up",
,"12:31:47","00:00","Jersey colours updated","Jersey colours updated",
,"12:31:47","00:00","Jersey colours updated","Jersey colours updated",
,"12:32:29","00:00","Game conditions changed","Game conditions changed",
,"12:36:14","00:00","Coin flipping","Coin flipping",
,"12:37:17","00:00","Warm up at the net","Warm up at the net",
,"12:47:42","00:00","Game conditions changed","Game conditions changed",
,"12:48:39","00:00","Players lined up","Players lined up",
,"12:50:45","00:00","Shake hands","Shake hands",
,"12:53:09","00:00","Players intro","Players intro",
,"12:54:18","00:00","Game about to start","Game about to start",
,"12:54:54","00:00","Start SRV","Start SRV   Asseco Resovia Rzeszow",
,"12:55:09","00:00","Start 1st Set","Start 1st Set",
,"12:55:09","00:00","SRV","SRV   Asseco Resovia Rzeszow",
,"12:55:17","00:08","RS","RS   Asseco Resovia Rzeszow",
,"12:55:18","00:08","B POSS","B POSS   PGE Skra Belchatow",
,"12:55:22","00:13","ERR","ERR   PGE Skra Belchatow",
,"12:55:22","00:13","P","[0 : 1]   P   Asseco Resovia Rzeszow",
,"12:55:33","00:24","Pt Conf","Pt Conf   Asseco Resovia Rzeszow",
,"12:55:38","00:29","SRV","SRV   Asseco Resovia Rzeszow",
,"12:55:40","00:31","RS","RS   Asseco Resovia Rzeszow",
,"12:55:41","00:32","B POSS","B POSS   PGE Skra Belchatow",
,"12:55:44","00:35","K","K   PGE Skra Belchatow",
,"12:55:44","00:35","P","[1 : 1]   P   PGE Skra Belchatow",
,"12:55:58","00:49","Pt Conf","Pt Conf   PGE Skra Belchatow",
,"12:56:01","00:51","SRV","SRV   PGE Skra Belchatow",
,"12:56:03","00:53","RS","RS   PGE Skra Belchatow",
,"12:56:03","00:54","B POSS","B POSS   Asseco Resovia Rzeszow",
,"12:56:05","00:55","B POSS","B POSS   PGE Skra Belchatow",
,"12:56:12","01:03","B","B   PGE Skra Belchatow",
,"12:56:12","01:03","P","[2 : 1]   P   PGE Skra Belchatow",
,"12:56:25","01:16","Pt Conf","Pt Conf   PGE Skra Belchatow",
,"12:56:27","01:18","SRV","SRV   PGE Skra Belchatow",
,"12:56:29","01:20","RS","RS   PGE Skra Belchatow",
,"12:56:30","01:20","B POSS","B POSS   Asseco Resovia Rzeszow",
,"12:56:34","01:25","B POSS","B POSS   PGE Skra Belchatow",
,"12:56:34","01:25","B POSS","B POSS   Asseco Resovia Rzeszow",
,"12:56:37","01:28","K","K   Asseco Resovia Rzeszow",
,"12:56:37","01:28","P","[2 : 2]   P   Asseco Resovia Rzeszow",
,"12:56:53","01:44","Pt Conf","Pt Conf   Asseco Resovia Rzeszow",
,"12:57:00","01:51","SRV","SRV   Asseco Resovia Rzeszow",
,"12:57:02","01:53","RS","RS   Asseco Resovia Rzeszow",
,"12:57:03","01:53","B POSS","B POSS   PGE Skra Belchatow",
,"12:57:06","01:57","K","K   PGE Skra Belchatow",
,"12:57:06","01:57","P","[3 : 2]   P   PGE Skra Belchatow",
,"12:57:21","02:11","Pt Conf","Pt Conf   PGE Skra Belchatow",
,"12:57:30","02:20","SRV","SRV   PGE Skra Belchatow",
,"12:57:32","02:23","RS","RS   PGE Skra Belchatow",
,"12:57:32","02:23","B POSS","B POSS   Asseco Resovia Rzeszow",
,"12:57:37","02:27","B","B   PGE Skra Belchatow",
,"12:57:37","02:27","P","[4 : 2]   P   PGE Skra Belchatow",
,"12:57:50","02:41","Pt Conf","Pt Conf   PGE Skra Belchatow",
,"12:57:59","02:50","SRV","SRV   PGE Skra Belchatow",
,"12:58:01","02:52","RS","RS   PGE Skra Belchatow",
,"12:58:01","02:52","B POSS","B POSS   Asseco Resovia Rzeszow",
,"12:58:05","02:56","K","K   Asseco Resovia Rzeszow",
,"12:58:05","02:56","P","[4 : 3]   P   Asseco Resovia Rzeszow",
,"12:58:19","03:10","Pt Conf","Pt Conf   Asseco Resovia Rzeszow",
,"12:58:28","03:18","SRV","SRV   Asseco Resovia Rzeszow",
,"12:58:29","03:20","S ERR","S ERR   Asseco Resovia Rzeszow",
,"12:58:29","03:20","P","[5 : 3]   P   PGE Skra Belchatow",
,"12:58:42","03:33","Pt Conf","Pt Conf   PGE Skra Belchatow",
,"12:58:49","03:40","SRV","SRV   PGE Skra Belchatow",
,"12:58:55","03:46","A","A   PGE Skra Belchatow",
,"12:58:55","03:46","P","[6 : 3]   P   PGE Skra Belchatow",
,"12:59:10","04:01","Pt Conf","Pt Conf   PGE Skra Belchatow",
,"12:59:16","04:07","SRV","SRV   PGE Skra Belchatow",
,"12:59:19","04:10","RS","RS   PGE Skra Belchatow",
,"12:59:19","04:10","B POSS","B POSS   Asseco Resovia Rzeszow",
,"12:59:22","04:13","K","K   Asseco Resovia Rzeszow",
,"12:59:22","04:13","P","[6 : 4]   P   Asseco Resovia Rzeszow",
,"12:59:40","04:31","Pt Conf","Pt Conf   Asseco Resovia Rzeszow",
,"12:59:50","04:40","SRV","SRV   Asseco Resovia Rzeszow",
,"12:59:51","04:42","S ERR","S ERR   Asseco Resovia Rzeszow",
,"12:59:51","04:42","P","[7 : 4]   P   PGE Skra Belchatow",
,"13:00:05","04:56","Pt Conf","Pt Conf   PGE Skra Belchatow",
,"13:00:13","05:04","SRV","SRV   PGE Skra Belchatow",
,"13:00:15","05:06","RS","RS   PGE Skra Belchatow",
,"13:00:15","05:06","B POSS","B POSS   Asseco Resovia Rzeszow",
,"13:00:19","05:10","B","B   PGE Skra Belchatow",
,"13:00:19","05:10","P","[8 : 4]   P   PGE Skra Belchatow",
,"13:00:46","05:36","Pt Conf","Pt Conf   PGE Skra Belchatow",
,"13:00:46","05:37","TIME","TIME",
,"13:00:48","05:39","TIME","TIME   Asseco Resovia Rzeszow",
,"13:01:51","06:42","SRV","SRV   PGE Skra Belchatow",
,"13:01:55","06:46","RS","RS   PGE Skra Belchatow",
,"13:01:55","06:46","B POSS","B POSS   Asseco Resovia Rzeszow",
,"13:01:58","06:49","B POSS","B POSS   PGE Skra Belchatow",
,"13:02:01","06:52","B POSS","B POSS   Asseco Resovia Rzeszow",
,"13:02:05","06:56","B","B   PGE Skra Belchatow",
