"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"884691","Poland","Polska Liga (women)","14.10.2017 - 15:00","AZS KSZO Ostrowiec Swietokrzyski (women)","Legionovia SA Legionowo (women)",
"Statistics","AZS KSZO Ostrowiec Swietokrzyski (women)","Type","Legionovia SA Legionowo (women)",
,"3","Score","1",
,"92","Points","84",
,"3","Sets","1",
,"3","Aces","10",
,"10","Service errors","9",
,"45","Kills","43",
,"9","Blocks","8",
,"10","Errors","12",
,"3","Outs","14",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"14:42:46","00:00","Game conditions changed","Game conditions changed",
,"14:42:48","00:00","Players warming up","Players warming up",
,"14:43:27","00:00","Jersey colours updated","Jersey colours updated",
,"14:43:28","00:00","Jersey colours updated","Jersey colours updated",
,"14:44:10","00:00","Coin flipping","Coin flipping",
,"14:45:06","00:00","Warm up at the net","Warm up at the net",
,"14:55:20","00:00","Game conditions changed","Game conditions changed",
,"14:56:55","00:00","Shake hands","Shake hands",
,"14:58:46","00:00","Players intro","Players intro",
,"15:00:02","00:00","Game about to start","Game about to start",
,"15:00:38","00:00","Start SRV","Start SRV   AZS KSZO Ostrowiec Swietokrzyski (women)",
,"15:00:42","00:00","Start 1st Set","Start 1st Set",
,"15:00:42","00:00","SRV","SRV   AZS KSZO Ostrowiec Swietokrzyski (women)",
,"15:00:44","00:01","RS","RS   AZS KSZO Ostrowiec Swietokrzyski (women)",
,"15:00:44","00:01","B POSS","B POSS   Legionovia SA Legionowo (women)",
,"15:00:51","00:09","K","K   AZS KSZO Ostrowiec Swietokrzyski (women)",
,"15:00:51","00:09","P","[1 : 0]   P   AZS KSZO Ostrowiec Swietokrzyski (women)",
,"15:01:06","00:23","Pt Conf","Pt Conf   AZS KSZO Ostrowiec Swietokrzyski (women)",
,"15:01:08","00:26","SRV","SRV   AZS KSZO Ostrowiec Swietokrzyski (women)",
,"15:01:09","00:27","RS","RS   AZS KSZO Ostrowiec Swietokrzyski (women)",
,"15:01:10","00:27","B POSS","B POSS   Legionovia SA Legionowo (women)",
,"15:01:13","00:30","K","K   Legionovia SA Legionowo (women)",
,"15:01:13","00:30","P","[1 : 1]   P   Legionovia SA Legionowo (women)",
,"15:01:22","00:40","Pt Conf","Pt Conf   Legionovia SA Legionowo (women)",
,"15:01:29","00:47","SRV","SRV   Legionovia SA Legionowo (women)",
,"15:01:31","00:49","RS","RS   Legionovia SA Legionowo (women)",
,"15:01:31","00:49","B POSS","B POSS   AZS KSZO Ostrowiec Swietokrzyski (women)",
,"15:01:36","00:54","B POSS","B POSS   Legionovia SA Legionowo (women)",
,"15:01:39","00:56","B POSS","B POSS   AZS KSZO Ostrowiec Swietokrzyski (women)",
,"15:01:42","01:00","B POSS","B POSS   Legionovia SA Legionowo (women)",
,"15:01:49","01:06","K","K   Legionovia SA Legionowo (women)",
,"15:01:49","01:06","P","[1 : 2]   P   Legionovia SA Legionowo (women)",
,"15:01:55","01:13","Pt Conf","Pt Conf   Legionovia SA Legionowo (women)",
,"15:02:04","01:21","SRV","SRV   Legionovia SA Legionowo (women)",
,"15:02:05","01:23","RS","RS   Legionovia SA Legionowo (women)",
,"15:02:05","01:23","B POSS","B POSS   AZS KSZO Ostrowiec Swietokrzyski (women)",
,"15:02:08","01:25","B POSS","B POSS   Legionovia SA Legionowo (women)",
,"15:02:10","01:27","B POSS","B POSS   AZS KSZO Ostrowiec Swietokrzyski (women)",
,"15:02:13","01:31","B POSS","B POSS   Legionovia SA Legionowo (women)",
,"15:02:15","01:33","B POSS","B POSS   AZS KSZO Ostrowiec Swietokrzyski (women)",
,"15:02:17","01:35","B POSS","B POSS   Legionovia SA Legionowo (women)",
,"15:02:17","01:35","Rally over 5 possession changes","Rally over 5 possession changes",
,"15:02:20","01:38","K","K   Legionovia SA Legionowo (women)",
,"15:02:20","01:38","P","[1 : 3]   P   Legionovia SA Legionowo (women)",
,"15:02:28","01:45","Pt Conf","Pt Conf   Legionovia SA Legionowo (women)",
,"15:02:35","01:53","SRV","SRV   Legionovia SA Legionowo (women)",
,"15:02:37","01:55","A","A   Legionovia SA Legionowo (women)",
,"15:02:37","01:55","P","[1 : 4]   P   Legionovia SA Legionowo (women)",
,"15:02:43","02:01","Pt Conf","Pt Conf   Legionovia SA Legionowo (women)",
,"15:02:56","02:14","SRV","SRV   Legionovia SA Legionowo (women)",
,"15:02:59","02:17","RS","RS   Legionovia SA Legionowo (women)",
,"15:02:59","02:17","B POSS","B POSS   AZS KSZO Ostrowiec Swietokrzyski (women)",
,"15:03:04","02:21","B POSS","B POSS   Legionovia SA Legionowo (women)",
,"15:03:05","02:23","B POSS","B POSS   AZS KSZO Ostrowiec Swietokrzyski (women)",
,"15:03:12","02:30","B POSS","B POSS   Legionovia SA Legionowo (women)",
,"15:03:13","02:30","B POSS","B POSS   AZS KSZO Ostrowiec Swietokrzyski (women)",
,"15:03:22","02:40","B POSS","B POSS   Legionovia SA Legionowo (women)",
,"15:03:22","02:40","Rally over 5 possession changes","Rally over 5 possession changes",
,"15:03:28","02:46","K","K   Legionovia SA Legionowo (women)",
,"15:03:28","02:46","P","[1 : 5]   P   Legionovia SA Legionowo (women)",
,"15:03:34","02:52","Pt Conf","Pt Conf   Legionovia SA Legionowo (women)",
,"15:03:40","02:58","TIME","TIME",
,"15:03:41","02:59","TIME","TIME   AZS KSZO Ostrowiec Swietokrzyski (women)",
,"15:04:36","03:53","SRV","SRV   Legionovia SA Legionowo (women)",
,"15:04:38","03:56","RS","RS   Legionovia SA Legionowo (women)",
,"15:04:39","03:56","B POSS","B POSS   AZS KSZO Ostrowiec Swietokrzyski (women)",
,"15:04:43","04:01","B POSS","B POSS   Legionovia SA Legionowo (women)",
,"15:04:44","04:02","K","K   Legionovia SA Legionowo (women)",
,"15:04:44","04:02","P","[1 : 6]   P   Legionovia SA Legionowo (women)",
,"15:04:50","04:07","Pt Conf","Pt Conf   Legionovia SA Legionowo (women)",
,"15:05:01","04:18","SRV","SRV   Legionovia SA Legionowo (women)",
,"15:05:03","04:20","S ERR","S ERR   Legionovia SA Legionowo (women)",
,"15:05:03","04:20","P","[2 : 6]   P   AZS KSZO Ostrowiec Swietokrzyski (women)",
,"15:05:07","04:24","Pt Conf","Pt Conf   AZS KSZO Ostrowiec Swietokrzyski (women)",
,"15:05:22","04:39","SRV","SRV   AZS KSZO Ostrowiec Swietokrzyski (women)",
,"15:05:27","04:45","RS","RS   AZS KSZO Ostrowiec Swietokrzyski (women)",
,"15:05:28","04:45","B POSS","B POSS   Legionovia SA Legionowo (women)",
,"15:05:28","04:46","B POSS","B POSS   AZS KSZO Ostrowiec Swietokrzyski (women)",
,"15:05:30","04:47","B POSS","B POSS   Legionovia SA Legionowo (women)",
,"15:05:33","04:50","B POSS","B POSS   AZS KSZO Ostrowiec Swietokrzyski (women)",
,"15:05:41","04:58","B","B   Legionovia SA Legionowo (women)",
,"15:05:41","04:58","P","[2 : 7]   P   Legionovia SA Legionowo (women)",
,"15:05:46","05:03","Pt Conf","Pt Conf   Legionovia SA Legionowo (women)",
,"15:06:01","05:18","SRV","SRV   Legionovia SA Legionowo (women)",
,"15:06:03","05:21","RS","RS   Legionovia SA Legionowo (women)",
,"15:06:03","05:21","B POSS","B POSS   AZS KSZO Ostrowiec Swietokrzyski (women)",
,"15:06:06","05:23","B POSS","B POSS   Legionovia SA Legionowo (women)",
,"15:06:14","05:32","B POSS","B POSS   AZS KSZO Ostrowiec Swietokrzyski (women)",
,"15:06:21","05:38","B POSS","B POSS   Legionovia SA Legionowo (women)",
,"15:06:23","05:40","B POSS","B POSS   AZS KSZO Ostrowiec Swietokrzyski (women)",
,"15:06:32","05:50","K","K   AZS KSZO Ostrowiec Swietokrzyski (women)",
,"15:06:32","05:50","P","[3 : 7]   P   AZS KSZO Ostrowiec Swietokrzyski (women)",
,"15:06:37","05:54","Pt Conf","Pt Conf   AZS KSZO Ostrowiec Swietokrzyski (women)",
,"15:06:52","06:09","SRV","SRV   AZS KSZO Ostrowiec Swietokrzyski (women)",
,"15:06:55","06:12","RS","RS   AZS KSZO Ostrowiec Swietokrzyski (women)",
,"15:06:55","06:13","B POSS","B POSS   Legionovia SA Legionowo (women)",
,"15:07:00","06:18","OUT","OUT   Legionovia SA Legionowo (women)",
,"15:07:00","06:18","P","[4 : 7]   P   AZS KSZO Ostrowiec Swietokrzyski (women)",
,"15:07:04","06:22","Pt Conf","Pt Conf   AZS KSZO Ostrowiec Swietokrzyski (women)",
,"15:07:17","06:35","SRV","SRV   AZS KSZO Ostrowiec Swietokrzyski (women)",
,"15:07:20","06:38","RS","RS   AZS KSZO Ostrowiec Swietokrzyski (women)",
,"15:07:20","06:38","B POSS","B POSS   Legionovia SA Legionowo (women)",
,"15:07:24","06:42","B POSS","B POSS   AZS KSZO Ostrowiec Swietokrzyski (women)",
,"15:07:32","06:49","K","K   AZS KSZO Ostrowiec Swietokrzyski (women)",
,"15:07:32","06:49","P","[5 : 7]   P   AZS KSZO Ostrowiec Swietokrzyski (women)",
,"15:07:41","06:59","Pt Conf","Pt Conf   AZS KSZO Ostrowiec Swietokrzyski (women)",
,"15:07:54","07:12","SRV","SRV   AZS KSZO Ostrowiec Swietokrzyski (women)",
,"15:07:57","07:15","RS","RS   AZS KSZO Ostrowiec Swietokrzyski (women)",
,"15:07:58","07:15","B POSS","B POSS   Legionovia SA Legionowo (women)",
,"15:07:59","07:17","K","K   AZS KSZO Ostrowiec Swietokrzyski (women)",
,"15:07:59","07:17","P","[6 : 7]   P   AZS KSZO Ostrowiec Swietokrzyski (women)",
,"15:08:06","07:23","Pt Conf","Pt Conf   AZS KSZO Ostrowiec Swietokrzyski (women)",
,"15:08:16","07:34","SRV","SRV   AZS KSZO Ostrowiec Swietokrzyski (women)",
,"15:08:20","07:38","RS","RS   AZS KSZO Ostrowiec Swietokrzyski (women)",
,"15:08:20","07:38","B POSS","B POSS   Legionovia SA Legionowo (women)",
,"15:08:29","07:47","ERR","ERR   Legionovia SA Legionowo (women)",
,"15:08:29","07:47","P","[7 : 7]   P   AZS KSZO Ostrowiec Swietokrzyski (women)",
,"15:08:36","07:54","Pt Conf","Pt Conf   AZS KSZO Ostrowiec Swietokrzyski (women)",
,"15:08:49","08:07","SRV","SRV   AZS KSZO Ostrowiec Swietokrzyski (women)",
,"15:08:51","08:09","RS","RS   AZS KSZO Ostrowiec Swietokrzyski (women)",
,"15:08:51","08:09","B POSS","B POSS   Legionovia SA Legionowo (women)",
,"15:08:56","08:14","K","K   Legionovia SA Legionowo (women)",
,"15:08:56","08:14","P","[7 : 8]   P   Legionovia SA Legionowo (women)",
,"15:09:19","08:36","Point under investigation","Point under investigation",
,"15:09:34","08:51","Pt Conf","Pt Conf   Legionovia SA Legionowo (women)",
,"15:09:41","08:59","SRV","SRV   Legionovia SA Legionowo (women)",
,"15:09:43","09:01","RS","RS   Legionovia SA Legionowo (women)",
,"15:09:43","09:01","B POSS","B POSS   AZS KSZO Ostrowiec Swietokrzyski (women)",
,"15:09:51","09:09","K","K   AZS KSZO Ostrowiec Swietokrzyski (women)",
,"15:09:51","09:09","P","[8 : 8]   P   AZS KSZO Ostrowiec Swietokrzyski (women)",
,"15:09:58","09:15","Pt Conf","Pt Conf   AZS KSZO Ostrowiec Swietokrzyski (women)",
,"15:10:10","09:28","SRV","SRV   AZS KSZO Ostrowiec Swietokrzyski (women)",
,"15:10:11","09:29","RS","RS   AZS KSZO Ostrowiec Swietokrzyski (women)",
,"15:10:12","09:29","B POSS","B POSS   Legionovia SA Legionowo (women)",
,"15:10:18","09:36","K","K   Legionovia SA Legionowo (women)",
,"15:10:18","09:36","P","[8 : 9]   P   Legionovia SA Legionowo (women)",
,"15:10:27","09:44","Pt Conf","Pt Conf   Legionovia SA Legionowo (women)",
,"15:10:32","09:49","SRV","SRV   Legionovia SA Legionowo (women)",
,"15:10:33","09:51","RS","RS   Legionovia SA Legionowo (women)",
,"15:10:34","09:51","B POSS","B POSS   AZS KSZO Ostrowiec Swietokrzyski (women)",
,"15:10:36","09:53","K","K   AZS KSZO Ostrowiec Swietokrzyski (women)",
,"15:10:36","09:53","P","[9 : 9]   P   AZS KSZO Ostrowiec Swietokrzyski (women)",
,"15:10:40","09:57","Pt Conf","Pt Conf   AZS KSZO Ostrowiec Swietokrzyski (women)",
,"15:10:52","10:10","SRV","SRV   AZS KSZO Ostrowiec Swietokrzyski (women)",
,"15:10:54","10:12","RS","RS   AZS KSZO Ostrowiec Swietokrzyski (women)",
,"15:10:54","10:12","B POSS","B POSS   Legionovia SA Legionowo (women)",
,"15:10:58","10:16","K","K   Legionovia SA Legionowo (women)",
,"15:10:58","10:16","P","[9 : 10]   P   Legionovia SA Legionowo (women)",
,"15:11:00","10:17","Pt Conf","Pt Conf   Legionovia SA Legionowo (women)",
,"15:11:15","10:32","SRV","SRV   Legionovia SA Legionowo (women)",
,"15:11:16","10:34","RS","RS   Legionovia SA Legionowo (women)",
,"15:11:17","10:34","B POSS","B POSS   AZS KSZO Ostrowiec Swietokrzyski (women)",
,"15:11:21","10:39","B POSS","B POSS   Legionovia SA Legionowo (women)",
,"15:11:26","10:43","B POSS","B POSS   AZS KSZO Ostrowiec Swietokrzyski (women)",
,"15:11:29","10:47","B POSS","B POSS   Legionovia SA Legionowo (women)",
,"15:11:34","10:51","B POSS","B POSS   AZS KSZO Ostrowiec Swietokrzyski (women)",
,"15:11:38","10:55","ERR","ERR   AZS KSZO Ostrowiec Swietokrzyski (women)",
,"15:11:38","10:55","P","[9 : 11]   P   Legionovia SA Legionowo (women)",
,"15:11:43","11:00","Pt Conf","Pt Conf   Legionovia SA Legionowo (women)",
,"15:11:55","11:13","SRV","SRV   Legionovia SA Legionowo (women)",
,"15:11:58","11:15","RS","RS   Legionovia SA Legionowo (women)",
,"15:11:58","11:16","B POSS","B POSS   AZS KSZO Ostrowiec Swietokrzyski (women)",
,"15:12:03","11:20","B POSS","B POSS   Legionovia SA Legionowo (women)",
,"15:12:05","11:22","B POSS","B POSS   AZS KSZO Ostrowiec Swietokrzyski (women)",
,"15:12:06","11:24","B","B   Legionovia SA Legionowo (women)",
,"15:12:06","11:24","P","[9 : 12]   P   Legionovia SA Legionowo (women)",
,"15:12:12","11:29","Pt Conf","Pt Conf   Legionovia SA Legionowo (women)",
,"15:12:23","11:40","SRV","SRV   Legionovia SA Legionowo (women)",
,"15:12:26","11:43","RS","RS   Legionovia SA Legionowo (women)",
,"15:12:26","11:44","B POSS","B POSS   AZS KSZO Ostrowiec Swietokrzyski (women)",
,"15:12:34","11:51","ERR","ERR   Legionovia SA Legionowo (women)",
,"15:12:34","11:51","P","[10 : 12]   P   AZS KSZO Ostrowiec Swietokrzyski (women)",
,"15:12:43","12:00","Pt Conf","Pt Conf   AZS KSZO Ostrowiec Swietokrzyski (women)",
,"15:12:52","12:10","SRV","SRV   AZS KSZO Ostrowiec Swietokrzyski (women)",
,"15:12:56","12:13","RS","RS   AZS KSZO Ostrowiec Swietokrzyski (women)",
,"15:12:56","12:14","B POSS","B POSS   Legionovia SA Legionowo (women)",
,"15:13:03","12:21","B POSS","B POSS   AZS KSZO Ostrowiec Swietokrzyski (women)",
,"15:13:06","12:24","K","K   AZS KSZO Ostrowiec Swietokrzyski (women)",
,"15:13:06","12:24","P","[11 : 12]   P   AZS KSZO Ostrowiec Swietokrzyski (women)",
,"15:13:12","12:29","Pt Conf","Pt Conf   AZS KSZO Ostrowiec Swietokrzyski (women)",
,"15:13:23","12:41","SRV","SRV   AZS KSZO Ostrowiec Swietokrzyski (women)",
,"15:13:25","12:43","RS","RS   AZS KSZO Ostrowiec Swietokrzyski (women)",
,"15:13:26","12:43","B POSS","B POSS   Legionovia SA Legionowo (women)",
