"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"888815","Russia","Cup (men)","14.10.2017 - 13:00","VC Dagestan","VC Yenisey Krasnoyarsk",
"Statistics","VC Dagestan","Type","VC Yenisey Krasnoyarsk",
,"0","Score","3",
,"64","Points","75",
,"0","Sets","3",
,"2","Aces","2",
,"15","Service errors","12",
,"40","Kills","42",
,"3","Blocks","7",
,"6","Errors","3",
,"3","Outs","4",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"12:25:29","00:00","Game conditions changed","Game conditions changed",
,"12:25:30","00:00","Players warming up","Players warming up",
,"12:25:53","00:00","Jersey colours updated","Jersey colours updated",
,"12:25:53","00:00","Jersey colours updated","Jersey colours updated",
,"12:51:10","00:00","Coin flipping","Coin flipping",
,"12:51:11","00:00","Warm up at the net","Warm up at the net",
,"12:55:04","00:00","Players lined up","Players lined up",
,"12:55:28","00:00","Shake hands","Shake hands",
,"12:56:54","00:00","Players intro","Players intro",
,"12:58:29","00:00","Game about to start","Game about to start",
,"12:58:34","00:00","Start SRV","Start SRV   VC Yenisey Krasnoyarsk",
,"12:58:57","00:00","Start 1st Set","Start 1st Set",
,"12:58:58","00:00","SRV","SRV   VC Yenisey Krasnoyarsk",
,"12:59:01","00:04","RS","RS   VC Yenisey Krasnoyarsk",
,"12:59:02","00:04","B POSS","B POSS   VC Dagestan",
,"12:59:05","00:07","B POSS","B POSS   VC Yenisey Krasnoyarsk",
,"12:59:14","00:16","K","K   VC Yenisey Krasnoyarsk",
,"12:59:14","00:16","P","[0 : 1]   P   VC Yenisey Krasnoyarsk",
,"12:59:17","00:20","Pt Conf","Pt Conf   VC Yenisey Krasnoyarsk",
,"12:59:27","00:29","SRV","SRV   VC Yenisey Krasnoyarsk",
,"12:59:30","00:32","RS","RS   VC Yenisey Krasnoyarsk",
,"12:59:31","00:33","B POSS","B POSS   VC Dagestan",
,"12:59:34","00:36","K","K   VC Dagestan",
,"12:59:34","00:36","P","[1 : 1]   P   VC Dagestan",
,"12:59:43","00:46","Pt Conf","Pt Conf   VC Dagestan",
,"12:59:45","00:47","SRV","SRV   VC Dagestan",
,"12:59:52","00:54","RS","RS   VC Dagestan",
,"12:59:52","00:54","B POSS","B POSS   VC Yenisey Krasnoyarsk",
,"12:59:55","00:57","K","K   VC Yenisey Krasnoyarsk",
,"12:59:55","00:57","P","[1 : 2]   P   VC Yenisey Krasnoyarsk",
,"13:00:03","01:05","Pt Conf","Pt Conf   VC Yenisey Krasnoyarsk",
,"13:00:08","01:11","SRV","SRV   VC Yenisey Krasnoyarsk",
,"13:00:15","01:17","RS","RS   VC Yenisey Krasnoyarsk",
,"13:00:15","01:18","B POSS","B POSS   VC Dagestan",
,"13:00:23","01:25","B POSS","B POSS   VC Yenisey Krasnoyarsk",
,"13:00:26","01:29","K","K   VC Yenisey Krasnoyarsk",
,"13:00:26","01:29","P","[1 : 3]   P   VC Yenisey Krasnoyarsk",
,"13:00:37","01:39","Pt Conf","Pt Conf   VC Yenisey Krasnoyarsk",
,"13:00:43","01:45","SRV","SRV   VC Yenisey Krasnoyarsk",
,"13:00:49","01:51","RS","RS   VC Yenisey Krasnoyarsk",
,"13:00:49","01:51","B POSS","B POSS   VC Dagestan",
,"13:00:52","01:55","K","K   VC Dagestan",
,"13:00:52","01:55","P","[2 : 3]   P   VC Dagestan",
,"13:01:04","02:06","Pt Conf","Pt Conf   VC Dagestan",
,"13:01:05","02:07","SRV","SRV   VC Dagestan",
,"13:01:12","02:14","RS","RS   VC Dagestan",
,"13:01:13","02:15","B POSS","B POSS   VC Yenisey Krasnoyarsk",
,"13:01:16","02:18","B POSS","B POSS   VC Dagestan",
,"13:01:24","02:26","K","K   VC Dagestan",
,"13:01:24","02:26","P","[3 : 3]   P   VC Dagestan",
,"13:01:36","02:38","Pt Conf","Pt Conf   VC Dagestan",
