"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"888869","Spain","Superliga Masculina","14.10.2017 - 17:15","CD Voleibol Rio Duero Soria","CV Sant Pere i Sant Paul",
"Statistics","CD Voleibol Rio Duero Soria","Type","CV Sant Pere i Sant Paul",
,"3","Score","0",
,"75","Points","60",
,"3","Sets","0",
,"1","Aces","2",
,"14","Service errors","4",
,"43","Kills","24",
,"13","Blocks","5",
,"9","Errors","5",
,"6","Outs","9",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"16:56:19","00:00","Game conditions changed","Game conditions changed",
,"17:00:34","00:00","Players warming up","Players warming up",
,"17:10:20","00:00","Jersey colours updated","Jersey colours updated",
,"17:10:20","00:00","Jersey colours updated","Jersey colours updated",
,"17:10:27","00:00","Coin flipping","Coin flipping",
,"17:10:46","00:00","Warm up at the net","Warm up at the net",
,"17:11:27","00:00","Players intro","Players intro",
,"17:11:54","00:00","Players lined up","Players lined up",
,"17:13:15","00:00","Prize giving ceremony","Prize giving ceremony",
,"17:13:45","00:00","Shake hands","Shake hands",
,"17:15:46","00:00","Game about to start","Game about to start",
,"17:18:16","00:00","Start SRV","Start SRV   CV Sant Pere i Sant Paul",
,"17:18:27","00:00","Start 1st Set","Start 1st Set",
,"17:18:28","00:00","SRV","SRV   CV Sant Pere i Sant Paul",
,"17:18:36","00:08","RS","RS   CV Sant Pere i Sant Paul",
,"17:18:37","00:09","B POSS","B POSS   CD Voleibol Rio Duero Soria",
,"17:18:47","00:19","K","K   CD Voleibol Rio Duero Soria",
,"17:18:47","00:19","P","[1 : 0]   P   CD Voleibol Rio Duero Soria",
,"17:18:54","00:27","Pt Conf","Pt Conf   CD Voleibol Rio Duero Soria",
,"17:19:04","00:36","SRV","SRV   CD Voleibol Rio Duero Soria",
,"17:19:11","00:44","RS","RS   CD Voleibol Rio Duero Soria",
,"17:19:12","00:44","B POSS","B POSS   CV Sant Pere i Sant Paul",
,"17:19:15","00:47","B","B   CD Voleibol Rio Duero Soria",
,"17:19:15","00:47","P","[2 : 0]   P   CD Voleibol Rio Duero Soria",
,"17:19:23","00:56","Pt Conf","Pt Conf   CD Voleibol Rio Duero Soria",
,"17:19:31","01:03","SRV","SRV   CD Voleibol Rio Duero Soria",
,"17:19:36","01:09","RS","RS   CD Voleibol Rio Duero Soria",
,"17:19:37","01:09","B POSS","B POSS   CV Sant Pere i Sant Paul",
,"17:19:42","01:14","B POSS","B POSS   CD Voleibol Rio Duero Soria",
,"17:19:45","01:17","B POSS","B POSS   CV Sant Pere i Sant Paul",
,"17:19:48","01:20","B POSS","B POSS   CD Voleibol Rio Duero Soria",
,"17:19:52","01:24","B POSS","B POSS   CV Sant Pere i Sant Paul",
,"17:20:03","01:35","K","K   CD Voleibol Rio Duero Soria",
,"17:20:03","01:35","P","[3 : 0]   P   CD Voleibol Rio Duero Soria",
,"17:20:06","01:38","Correct statistics","Correct statistics   (K CD Voleibol Rio Duero Soria <=> OUT CV Sant Pere i Sant Paul)",
,"17:20:06","01:38","OUT","OUT   CV Sant Pere i Sant Paul",
,"17:20:08","01:41","Pt Conf","Pt Conf   CD Voleibol Rio Duero Soria",
,"17:20:13","01:45","SRV","SRV   CD Voleibol Rio Duero Soria",
,"17:20:17","01:49","RS","RS   CD Voleibol Rio Duero Soria",
,"17:20:17","01:50","B POSS","B POSS   CV Sant Pere i Sant Paul",
,"17:20:22","01:55","OUT","OUT   CV Sant Pere i Sant Paul",
,"17:20:22","01:55","P","[4 : 0]   P   CD Voleibol Rio Duero Soria",
,"17:20:27","02:00","Pt Conf","Pt Conf   CD Voleibol Rio Duero Soria",
,"17:20:34","02:06","TIME","TIME",
,"17:20:36","02:08","TIME","TIME   CV Sant Pere i Sant Paul",
,"17:21:16","02:48","SRV","SRV   CD Voleibol Rio Duero Soria",
,"17:21:27","02:59","RS","RS   CD Voleibol Rio Duero Soria",
,"17:21:27","02:59","B POSS","B POSS   CV Sant Pere i Sant Paul",
,"17:21:32","03:04","ERR","ERR   CD Voleibol Rio Duero Soria",
,"17:21:32","03:04","P","[4 : 1]   P   CV Sant Pere i Sant Paul",
,"17:21:35","03:07","Pt Conf","Pt Conf   CV Sant Pere i Sant Paul",
,"17:21:46","03:18","SRV","SRV   CV Sant Pere i Sant Paul",
,"17:21:50","03:22","S ERR","S ERR   CV Sant Pere i Sant Paul",
,"17:21:50","03:22","P","[5 : 1]   P   CD Voleibol Rio Duero Soria",
,"17:21:54","03:27","Pt Conf","Pt Conf   CD Voleibol Rio Duero Soria",
,"17:22:03","03:35","SRV","SRV   CD Voleibol Rio Duero Soria",
,"17:22:11","03:43","RS","RS   CD Voleibol Rio Duero Soria",
,"17:22:11","03:44","B POSS","B POSS   CV Sant Pere i Sant Paul",
,"17:22:13","03:45","B POSS","B POSS   CD Voleibol Rio Duero Soria",
,"17:22:20","03:52","B POSS","B POSS   CV Sant Pere i Sant Paul",
,"17:22:30","04:02","B","B   CV Sant Pere i Sant Paul",
,"17:22:30","04:02","P","[5 : 2]   P   CV Sant Pere i Sant Paul",
,"17:22:35","04:07","Pt Conf","Pt Conf   CV Sant Pere i Sant Paul",
,"17:22:45","04:17","SRV","SRV   CV Sant Pere i Sant Paul",
,"17:22:52","04:24","RS","RS   CV Sant Pere i Sant Paul",
,"17:22:52","04:25","B POSS","B POSS   CD Voleibol Rio Duero Soria",
,"17:22:56","04:28","ERR","ERR   CD Voleibol Rio Duero Soria",
,"17:22:56","04:28","P","[5 : 3]   P   CV Sant Pere i Sant Paul",
,"17:23:01","04:33","Pt Conf","Pt Conf   CV Sant Pere i Sant Paul",
,"17:23:13","04:45","SRV","SRV   CV Sant Pere i Sant Paul",
,"17:23:18","04:50","RS","RS   CV Sant Pere i Sant Paul",
,"17:23:19","04:51","B POSS","B POSS   CD Voleibol Rio Duero Soria",
,"17:23:23","04:55","B POSS","B POSS   CV Sant Pere i Sant Paul",
,"17:23:25","04:58","B POSS","B POSS   CD Voleibol Rio Duero Soria",
,"17:23:30","05:02","ERR","ERR   CD Voleibol Rio Duero Soria",
,"17:23:30","05:02","P","[5 : 4]   P   CV Sant Pere i Sant Paul",
,"17:23:37","05:09","Pt Conf","Pt Conf   CV Sant Pere i Sant Paul",
,"17:23:47","05:19","SRV","SRV   CV Sant Pere i Sant Paul",
,"17:23:54","05:26","RS","RS   CV Sant Pere i Sant Paul",
,"17:23:55","05:27","B POSS","B POSS   CD Voleibol Rio Duero Soria",
,"17:23:57","05:29","K","K   CD Voleibol Rio Duero Soria",
,"17:23:57","05:29","P","[6 : 4]   P   CD Voleibol Rio Duero Soria",
,"17:24:00","05:32","Pt Conf","Pt Conf   CD Voleibol Rio Duero Soria",
,"17:24:13","05:46","SRV","SRV   CD Voleibol Rio Duero Soria",
,"17:24:20","05:53","RS","RS   CD Voleibol Rio Duero Soria",
,"17:24:21","05:53","B POSS","B POSS   CV Sant Pere i Sant Paul",
,"17:24:23","05:56","B POSS","B POSS   CD Voleibol Rio Duero Soria",
,"17:24:27","06:00","K","K   CD Voleibol Rio Duero Soria",
,"17:24:27","06:00","P","[7 : 4]   P   CD Voleibol Rio Duero Soria",
,"17:24:33","06:05","Pt Conf","Pt Conf   CD Voleibol Rio Duero Soria",
,"17:24:43","06:15","SRV","SRV   CD Voleibol Rio Duero Soria",
,"17:24:49","06:21","RS","RS   CD Voleibol Rio Duero Soria",
,"17:24:50","06:22","B POSS","B POSS   CV Sant Pere i Sant Paul",
,"17:24:56","06:28","B POSS","B POSS   CD Voleibol Rio Duero Soria",
,"17:25:00","06:32","B","B   CV Sant Pere i Sant Paul",
,"17:25:00","06:32","P","[7 : 5]   P   CV Sant Pere i Sant Paul",
,"17:25:04","06:36","Pt Conf","Pt Conf   CV Sant Pere i Sant Paul",
,"17:25:21","06:54","SRV","SRV   CV Sant Pere i Sant Paul",
,"17:25:25","06:57","RS","RS   CV Sant Pere i Sant Paul",
,"17:25:26","06:58","B POSS","B POSS   CD Voleibol Rio Duero Soria",
,"17:25:29","07:01","B POSS","B POSS   CV Sant Pere i Sant Paul",
,"17:25:34","07:06","B POSS","B POSS   CD Voleibol Rio Duero Soria",
,"17:25:39","07:11","B","B   CV Sant Pere i Sant Paul",
,"17:25:39","07:11","P","[7 : 6]   P   CV Sant Pere i Sant Paul",
,"17:25:47","07:19","Pt Conf","Pt Conf   CV Sant Pere i Sant Paul",
,"17:26:00","07:32","SRV","SRV   CV Sant Pere i Sant Paul",
,"17:26:04","07:36","RS","RS   CV Sant Pere i Sant Paul",
,"17:26:05","07:37","B POSS","B POSS   CD Voleibol Rio Duero Soria",
,"17:26:07","07:40","K","K   CD Voleibol Rio Duero Soria",
,"17:26:07","07:40","P","[8 : 6]   P   CD Voleibol Rio Duero Soria",
,"17:26:13","07:46","Pt Conf","Pt Conf   CD Voleibol Rio Duero Soria",
,"17:26:23","07:55","SRV","SRV   CD Voleibol Rio Duero Soria",
