"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"888887","Turkey","1. Lig (men)","14.10.2017 - 11:00","Istanbul BB SK II","Ziraat Bankasi II",
"Statistics","Istanbul BB SK II","Type","Ziraat Bankasi II",
,"1","Score","3",
,"81","Points","92",
,"1","Sets","3",
,"3","Aces","10",
,"14","Service errors","9",
,"45","Kills","41",
,"6","Blocks","10",
,"9","Errors","9",
,"8","Outs","9",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"10:52:03","00:00","Game conditions changed","Game conditions changed",
,"10:52:05","00:00","Players warming up","Players warming up",
,"10:52:07","00:00","Coin flipping","Coin flipping",
,"10:52:08","00:00","Warm up at the net","Warm up at the net",
,"10:53:13","00:00","Jersey colours updated","Jersey colours updated",
,"10:53:13","00:00","Jersey colours updated","Jersey colours updated",
,"10:57:50","00:00","Players lined up","Players lined up",
,"10:58:48","00:00","Players intro","Players intro",
,"11:00:07","00:00","Game about to start","Game about to start",
,"11:00:57","00:00","Start SRV","Start SRV   Istanbul BB SK II",
,"11:01:00","00:00","Start 1st Set","Start 1st Set",
,"11:01:01","00:00","SRV","SRV   Istanbul BB SK II",
,"11:01:03","00:02","RS","RS   Istanbul BB SK II",
,"11:01:03","00:03","B POSS","B POSS   Ziraat Bankasi II",
,"11:01:08","00:07","K","K   Ziraat Bankasi II",
,"11:01:08","00:07","P","[0 : 1]   P   Ziraat Bankasi II",
,"11:01:21","00:20","Pt Conf","Pt Conf   Ziraat Bankasi II",
,"11:01:23","00:22","SRV","SRV   Ziraat Bankasi II",
,"11:01:24","00:23","RS","RS   Ziraat Bankasi II",
,"11:01:24","00:23","B POSS","B POSS   Istanbul BB SK II",
,"11:01:29","00:28","OUT","OUT   Istanbul BB SK II",
,"11:01:29","00:28","P","[0 : 2]   P   Ziraat Bankasi II",
,"11:01:44","00:43","Pt Conf","Pt Conf   Ziraat Bankasi II",
,"11:01:45","00:44","SRV","SRV   Ziraat Bankasi II",
,"11:01:46","00:45","RS","RS   Ziraat Bankasi II",
,"11:01:46","00:46","B POSS","B POSS   Istanbul BB SK II",
,"11:01:50","00:49","K","K   Istanbul BB SK II",
,"11:01:50","00:49","P","[1 : 2]   P   Istanbul BB SK II",
,"11:02:10","01:09","Pt Conf","Pt Conf   Istanbul BB SK II",
,"11:02:11","01:10","SRV","SRV   Istanbul BB SK II",
,"11:02:12","01:11","S ERR","S ERR   Istanbul BB SK II",
