"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"887897","USA","NCAA Women","14.10.2017 - 01:00","UCLA Bruins (women/students)","Stanford Cardinals (women/students)",
"Statistics","UCLA Bruins (women/students)","Type","Stanford Cardinals (women/students)",
,"1","Score","3",
,"87","Points","95",
,"1","Sets","3",
,"6","Aces","8",
,"6","Service errors","14",
,"38","Kills","44",
,"8","Blocks","13",
,"6","Errors","4",
,"18","Outs","17",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"00:09:53","00:00","Game conditions changed","Game conditions changed",
,"00:19:04","00:00","Players warming up","Players warming up",
,"00:42:22","00:00","Warm up at the net","Warm up at the net",
,"00:57:57","00:00","National anthem singing","National anthem singing",
,"00:59:30","00:00","Players intro","Players intro",
,"00:59:49","00:00","Jersey colours updated","Jersey colours updated",
,"00:59:50","00:00","Jersey colours updated","Jersey colours updated",
,"01:00:06","00:00","Jersey colours updated","Jersey colours updated",
,"01:03:20","00:00","Players lined up","Players lined up",
,"01:03:33","00:00","Shake hands","Shake hands",
,"01:04:38","00:00","Game about to start","Game about to start",
,"01:04:58","00:00","Start SRV","Start SRV   Stanford Cardinals (women/students)",
,"01:04:59","00:00","Start 1st Set","Start 1st Set",
,"01:05:00","00:00","SRV","SRV   Stanford Cardinals (women/students)",
,"01:05:02","00:02","RS","RS   Stanford Cardinals (women/students)",
,"01:05:02","00:02","B POSS","B POSS   UCLA Bruins (women/students)",
,"01:05:07","00:07","B POSS","B POSS   Stanford Cardinals (women/students)",
,"01:05:11","00:11","K","K   Stanford Cardinals (women/students)",
,"01:05:11","00:11","P","[0 : 1]   P   Stanford Cardinals (women/students)",
,"01:05:16","00:16","Pt Conf","Pt Conf   Stanford Cardinals (women/students)",
,"01:05:28","00:28","SRV","SRV   Stanford Cardinals (women/students)",
,"01:05:31","00:31","S ERR","S ERR   Stanford Cardinals (women/students)",
,"01:05:31","00:31","P","[1 : 1]   P   UCLA Bruins (women/students)",
,"01:05:33","00:33","Pt Conf","Pt Conf   UCLA Bruins (women/students)",
,"01:05:46","00:46","SRV","SRV   UCLA Bruins (women/students)",
,"01:05:48","00:48","RS","RS   UCLA Bruins (women/students)",
,"01:05:48","00:48","B POSS","B POSS   Stanford Cardinals (women/students)",
,"01:05:50","00:50","B POSS","B POSS   UCLA Bruins (women/students)",
,"01:05:53","00:53","B POSS","B POSS   Stanford Cardinals (women/students)",
,"01:05:55","00:55","B POSS","B POSS   UCLA Bruins (women/students)",
,"01:05:56","00:56","B POSS","B POSS   Stanford Cardinals (women/students)",
,"01:06:00","01:01","OUT","OUT   Stanford Cardinals (women/students)",
,"01:06:00","01:01","P","[2 : 1]   P   UCLA Bruins (women/students)",
,"01:06:07","01:07","Pt Conf","Pt Conf   UCLA Bruins (women/students)",
,"01:06:12","01:12","SRV","SRV   UCLA Bruins (women/students)",
,"01:06:14","01:14","RS","RS   UCLA Bruins (women/students)",
,"01:06:14","01:14","B POSS","B POSS   Stanford Cardinals (women/students)",
,"01:06:18","01:18","B POSS","B POSS   UCLA Bruins (women/students)",
,"01:06:22","01:22","B POSS","B POSS   Stanford Cardinals (women/students)",
,"01:06:27","01:28","B POSS","B POSS   UCLA Bruins (women/students)",
,"01:06:30","01:30","B","B   Stanford Cardinals (women/students)",
,"01:06:30","01:30","P","[2 : 2]   P   Stanford Cardinals (women/students)",
,"01:06:36","01:36","Pt Conf","Pt Conf   Stanford Cardinals (women/students)",
,"01:06:49","01:49","SRV","SRV   Stanford Cardinals (women/students)",
,"01:06:52","01:52","RS","RS   Stanford Cardinals (women/students)",
,"01:06:52","01:52","B POSS","B POSS   UCLA Bruins (women/students)",
,"01:06:57","01:57","B","B   Stanford Cardinals (women/students)",
,"01:06:57","01:57","P","[2 : 3]   P   Stanford Cardinals (women/students)",
,"01:07:02","02:02","Pt Conf","Pt Conf   Stanford Cardinals (women/students)",
,"01:07:15","02:15","SRV","SRV   Stanford Cardinals (women/students)",
,"01:07:19","02:19","A","A   Stanford Cardinals (women/students)",
,"01:07:19","02:19","P","[2 : 4]   P   Stanford Cardinals (women/students)",
,"01:07:21","02:21","Pt Conf","Pt Conf   Stanford Cardinals (women/students)",
,"01:07:32","02:32","SRV","SRV   Stanford Cardinals (women/students)",
,"01:07:35","02:35","RS","RS   Stanford Cardinals (women/students)",
,"01:07:35","02:35","B POSS","B POSS   UCLA Bruins (women/students)",
,"01:07:39","02:39","B POSS","B POSS   Stanford Cardinals (women/students)",
,"01:07:42","02:42","B","B   UCLA Bruins (women/students)",
,"01:07:42","02:42","P","[3 : 4]   P   UCLA Bruins (women/students)",
,"01:07:48","02:48","Pt Conf","Pt Conf   UCLA Bruins (women/students)",
,"01:07:57","02:57","SRV","SRV   UCLA Bruins (women/students)",
,"01:08:01","03:01","A","A   UCLA Bruins (women/students)",
,"01:08:01","03:01","P","[4 : 4]   P   UCLA Bruins (women/students)",
,"01:08:03","03:03","Pt Conf","Pt Conf   UCLA Bruins (women/students)",
,"01:08:13","03:13","SRV","SRV   UCLA Bruins (women/students)",
,"01:08:18","03:18","S ERR","S ERR   UCLA Bruins (women/students)",
,"01:08:18","03:18","P","[4 : 5]   P   Stanford Cardinals (women/students)",
,"01:08:21","03:21","Pt Conf","Pt Conf   Stanford Cardinals (women/students)",
,"01:08:32","03:32","SRV","SRV   Stanford Cardinals (women/students)",
,"01:08:35","03:35","RS","RS   Stanford Cardinals (women/students)",
,"01:08:35","03:35","B POSS","B POSS   UCLA Bruins (women/students)",
,"01:08:38","03:38","K","K   UCLA Bruins (women/students)",
,"01:08:38","03:38","P","[5 : 5]   P   UCLA Bruins (women/students)",
,"01:08:40","03:40","Pt Conf","Pt Conf   UCLA Bruins (women/students)",
,"01:08:50","03:50","SRV","SRV   UCLA Bruins (women/students)",
,"01:08:53","03:53","RS","RS   UCLA Bruins (women/students)",
,"01:08:54","03:54","B POSS","B POSS   Stanford Cardinals (women/students)",
,"01:08:56","03:56","B","B   UCLA Bruins (women/students)",
,"01:08:56","03:56","P","[6 : 5]   P   UCLA Bruins (women/students)",
,"01:09:00","04:00","Pt Conf","Pt Conf   UCLA Bruins (women/students)",
,"01:09:09","04:09","SRV","SRV   UCLA Bruins (women/students)",
,"01:09:12","04:12","RS","RS   UCLA Bruins (women/students)",
,"01:09:12","04:12","B POSS","B POSS   Stanford Cardinals (women/students)",
,"01:09:15","04:15","B POSS","B POSS   UCLA Bruins (women/students)",
,"01:09:18","04:18","B POSS","B POSS   Stanford Cardinals (women/students)",
,"01:09:23","04:23","B POSS","B POSS   UCLA Bruins (women/students)",
,"01:09:25","04:25","B POSS","B POSS   Stanford Cardinals (women/students)",
,"01:09:29","04:29","B POSS","B POSS   UCLA Bruins (women/students)",
,"01:09:29","04:29","Rally over 5 possession changes","Rally over 5 possession changes",
,"01:09:33","04:33","B","B   Stanford Cardinals (women/students)",
,"01:09:33","04:33","P","[6 : 6]   P   Stanford Cardinals (women/students)",
,"01:09:37","04:38","Pt Conf","Pt Conf   Stanford Cardinals (women/students)",
,"01:09:51","04:51","SRV","SRV   Stanford Cardinals (women/students)",
,"01:09:55","04:55","S ERR","S ERR   Stanford Cardinals (women/students)",
,"01:09:55","04:55","P","[7 : 6]   P   UCLA Bruins (women/students)",
,"01:09:58","04:59","Pt Conf","Pt Conf   UCLA Bruins (women/students)",
,"01:10:08","05:08","SRV","SRV   UCLA Bruins (women/students)",
,"01:10:11","05:11","RS","RS   UCLA Bruins (women/students)",
,"01:10:11","05:11","B POSS","B POSS   Stanford Cardinals (women/students)",
,"01:10:15","05:15","K","K   Stanford Cardinals (women/students)",
,"01:10:15","05:15","P","[7 : 7]   P   Stanford Cardinals (women/students)",
,"01:10:18","05:19","Pt Conf","Pt Conf   Stanford Cardinals (women/students)",
,"01:10:31","05:31","SRV","SRV   Stanford Cardinals (women/students)",
,"01:10:33","05:34","RS","RS   Stanford Cardinals (women/students)",
,"01:10:34","05:34","B POSS","B POSS   UCLA Bruins (women/students)",
,"01:10:40","05:40","B POSS","B POSS   Stanford Cardinals (women/students)",
,"01:10:42","05:42","B POSS","B POSS   UCLA Bruins (women/students)",
,"01:10:53","05:53","B POSS","B POSS   Stanford Cardinals (women/students)",
