"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"887866","USA","NCAA Women","14.10.2017 - 02:00","USC Trojans (women/students)","Cal Golden Bears (women/students)",
"Statistics","USC Trojans (women/students)","Type","Cal Golden Bears (women/students)",
,"3","Score","1",
,"102","Points","88",
,"3","Sets","1",
,"4","Aces","5",
,"10","Service errors","7",
,"63","Kills","48",
,"7","Blocks","9",
,"5","Errors","10",
,"11","Outs","11",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"01:27:06","00:00","Game conditions changed","Game conditions changed",
,"01:34:09","00:00","Players warming up","Players warming up",
,"01:35:58","00:00","Coin flipping","Coin flipping",
,"01:42:24","00:00","Warm up at the net","Warm up at the net",
,"01:58:13","00:00","National anthem singing","National anthem singing",
,"01:58:33","00:00","Jersey colours updated","Jersey colours updated",
,"01:58:33","00:00","Jersey colours updated","Jersey colours updated",
,"02:00:19","00:00","Players intro","Players intro",
,"02:04:27","00:00","Shake hands","Shake hands",
,"02:05:15","00:00","Game about to start","Game about to start",
,"02:05:18","00:00","Start SRV","Start SRV   USC Trojans (women/students)",
,"02:05:30","00:00","Start 1st Set","Start 1st Set",
,"02:05:31","00:00","SRV","SRV   USC Trojans (women/students)",
,"02:05:33","00:03","RS","RS   USC Trojans (women/students)",
,"02:05:34","00:04","B POSS","B POSS   Cal Golden Bears (women/students)",
,"02:05:36","00:06","B POSS","B POSS   USC Trojans (women/students)",
,"02:05:40","00:09","K","K   USC Trojans (women/students)",
,"02:05:40","00:09","P","[1 : 0]   P   USC Trojans (women/students)",
,"02:05:54","00:24","Pt Conf","Pt Conf   USC Trojans (women/students)",
,"02:05:55","00:25","SRV","SRV   USC Trojans (women/students)",
,"02:05:56","00:26","RS","RS   USC Trojans (women/students)",
,"02:05:57","00:26","B POSS","B POSS   Cal Golden Bears (women/students)",
,"02:06:00","00:30","ERR","ERR   Cal Golden Bears (women/students)",
,"02:06:00","00:30","P","[2 : 0]   P   USC Trojans (women/students)",
,"02:06:14","00:43","Pt Conf","Pt Conf   USC Trojans (women/students)",
,"02:06:14","00:44","SRV","SRV   USC Trojans (women/students)",
,"02:06:16","00:46","RS","RS   USC Trojans (women/students)",
,"02:06:17","00:46","B POSS","B POSS   Cal Golden Bears (women/students)",
,"02:06:21","00:51","K","K   Cal Golden Bears (women/students)",
,"02:06:21","00:51","P","[2 : 1]   P   Cal Golden Bears (women/students)",
