"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"887891","USA","NCAA Women","14.10.2017 - 17:00","Manhattan Jaspers (women/students)","St. Peter's Peacocks (women/students)",
"Statistics","Manhattan Jaspers (women/students)","Type","St. Peter's Peacocks (women/students)",
,"3","Score","0",
,"76","Points","58",
,"3","Sets","0",
,"9","Aces","4",
,"7","Service errors","3",
,"44","Kills","25",
,"5","Blocks","3",
,"9","Errors","11",
,"10","Outs","4",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"16:46:36","00:00","Game conditions changed","Game conditions changed",
,"16:46:37","00:00","Players warming up","Players warming up",
,"16:56:00","00:00","Jersey colours updated","Jersey colours updated",
,"16:56:00","00:00","Jersey colours updated","Jersey colours updated",
,"16:56:16","00:00","Coin flipping","Coin flipping",
,"16:56:16","00:00","Warm up at the net","Warm up at the net",
,"16:59:24","00:00","Players lined up","Players lined up",
,"16:59:57","00:00","National anthem singing","National anthem singing",
,"17:02:22","00:00","Players intro","Players intro",
,"17:03:41","00:00","Shake hands","Shake hands",
,"17:04:04","00:00","Game about to start","Game about to start",
,"17:05:15","00:00","Start SRV","Start SRV   St. Peter's Peacocks (women/students)",
,"17:05:22","00:00","Start 1st Set","Start 1st Set",
,"17:05:22","00:00","SRV","SRV   St. Peter's Peacocks (women/students)",
,"17:05:31","00:08","RS","RS   St. Peter's Peacocks (women/students)",
,"17:05:31","00:09","B POSS","B POSS   Manhattan Jaspers (women/students)",
,"17:05:33","00:11","B POSS","B POSS   St. Peter's Peacocks (women/students)",
,"17:05:37","00:15","ERR","ERR   St. Peter's Peacocks (women/students)",
,"17:05:37","00:15","P","[1 : 0]   P   Manhattan Jaspers (women/students)",
,"17:05:47","00:25","Pt Conf","Pt Conf   Manhattan Jaspers (women/students)",
,"17:05:48","00:26","SRV","SRV   Manhattan Jaspers (women/students)",
,"17:05:55","00:33","RS","RS   Manhattan Jaspers (women/students)",
,"17:05:56","00:34","B POSS","B POSS   St. Peter's Peacocks (women/students)",
,"17:05:59","00:37","B POSS","B POSS   Manhattan Jaspers (women/students)",
,"17:06:02","00:40","K","K   Manhattan Jaspers (women/students)",
,"17:06:02","00:40","P","[2 : 0]   P   Manhattan Jaspers (women/students)",
,"17:06:10","00:48","Pt Conf","Pt Conf   Manhattan Jaspers (women/students)",
,"17:06:14","00:52","SRV","SRV   Manhattan Jaspers (women/students)",
,"17:06:20","00:58","RS","RS   Manhattan Jaspers (women/students)",
,"17:06:21","00:59","B POSS","B POSS   St. Peter's Peacocks (women/students)",
,"17:06:29","01:07","B POSS","B POSS   Manhattan Jaspers (women/students)",
,"17:06:33","01:11","OUT","OUT   Manhattan Jaspers (women/students)",
,"17:06:33","01:11","P","[2 : 1]   P   St. Peter's Peacocks (women/students)",
,"17:06:58","01:36","Pt Conf","Pt Conf   St. Peter's Peacocks (women/students)",
,"17:06:59","01:37","SRV","SRV   St. Peter's Peacocks (women/students)",
,"17:07:06","01:44","RS","RS   St. Peter's Peacocks (women/students)",
,"17:07:07","01:45","B POSS","B POSS   Manhattan Jaspers (women/students)",
,"17:07:09","01:47","K","K   Manhattan Jaspers (women/students)",
,"17:07:09","01:47","P","[3 : 1]   P   Manhattan Jaspers (women/students)",
,"17:07:20","01:58","Pt Conf","Pt Conf   Manhattan Jaspers (women/students)",
,"17:07:24","02:02","SRV","SRV   Manhattan Jaspers (women/students)",
,"17:07:29","02:07","RS","RS   Manhattan Jaspers (women/students)",
,"17:07:29","02:07","B POSS","B POSS   St. Peter's Peacocks (women/students)",
,"17:07:32","02:10","B POSS","B POSS   Manhattan Jaspers (women/students)",
,"17:07:35","02:13","K","K   Manhattan Jaspers (women/students)",
,"17:07:35","02:13","P","[4 : 1]   P   Manhattan Jaspers (women/students)",
,"17:07:47","02:25","Pt Conf","Pt Conf   Manhattan Jaspers (women/students)",
,"17:07:49","02:27","SRV","SRV   Manhattan Jaspers (women/students)",
,"17:07:54","02:32","S ERR","S ERR   Manhattan Jaspers (women/students)",
,"17:07:54","02:32","P","[4 : 2]   P   St. Peter's Peacocks (women/students)",
,"17:08:03","02:41","Pt Conf","Pt Conf   St. Peter's Peacocks (women/students)",
,"17:08:03","02:41","SRV","SRV   St. Peter's Peacocks (women/students)",
,"17:08:11","02:49","A","A   St. Peter's Peacocks (women/students)",
,"17:08:11","02:49","P","[4 : 3]   P   St. Peter's Peacocks (women/students)",
,"17:08:21","02:59","Pt Conf","Pt Conf   St. Peter's Peacocks (women/students)",
,"17:08:23","03:01","SRV","SRV   St. Peter's Peacocks (women/students)",
,"17:08:27","03:05","RS","RS   St. Peter's Peacocks (women/students)",
,"17:08:27","03:05","B POSS","B POSS   Manhattan Jaspers (women/students)",
,"17:08:29","03:07","K","K   Manhattan Jaspers (women/students)",
,"17:08:29","03:07","P","[5 : 3]   P   Manhattan Jaspers (women/students)",
,"17:08:45","03:23","Pt Conf","Pt Conf   Manhattan Jaspers (women/students)",
,"17:08:48","03:26","SRV","SRV   Manhattan Jaspers (women/students)",
,"17:08:52","03:30","RS","RS   Manhattan Jaspers (women/students)",
,"17:08:52","03:30","B POSS","B POSS   St. Peter's Peacocks (women/students)",
,"17:09:02","03:40","B POSS","B POSS   Manhattan Jaspers (women/students)",
,"17:09:05","03:43","B POSS","B POSS   St. Peter's Peacocks (women/students)",
,"17:09:09","03:47","B POSS","B POSS   Manhattan Jaspers (women/students)",
,"17:09:12","03:50","B POSS","B POSS   St. Peter's Peacocks (women/students)",
,"17:09:17","03:55","ERR","ERR   St. Peter's Peacocks (women/students)",
,"17:09:17","03:55","P","[6 : 3]   P   Manhattan Jaspers (women/students)",
,"17:09:27","04:05","Pt Conf","Pt Conf   Manhattan Jaspers (women/students)",
,"17:09:29","04:07","SRV","SRV   Manhattan Jaspers (women/students)",
,"17:09:34","04:12","S ERR","S ERR   Manhattan Jaspers (women/students)",
,"17:09:34","04:12","P","[6 : 4]   P   St. Peter's Peacocks (women/students)",
,"17:09:47","04:25","Pt Conf","Pt Conf   St. Peter's Peacocks (women/students)",
,"17:09:51","04:29","SRV","SRV   St. Peter's Peacocks (women/students)",
,"17:09:56","04:34","RS","RS   St. Peter's Peacocks (women/students)",
,"17:09:56","04:34","B POSS","B POSS   Manhattan Jaspers (women/students)",
,"17:10:00","04:38","B POSS","B POSS   St. Peter's Peacocks (women/students)",
,"17:10:06","04:44","B POSS","B POSS   Manhattan Jaspers (women/students)",
,"17:10:11","04:49","K","K   Manhattan Jaspers (women/students)",
,"17:10:11","04:49","P","[7 : 4]   P   Manhattan Jaspers (women/students)",
,"17:10:22","05:00","Pt Conf","Pt Conf   Manhattan Jaspers (women/students)",
,"17:10:23","05:01","SRV","SRV   Manhattan Jaspers (women/students)",
,"17:10:26","05:04","RS","RS   Manhattan Jaspers (women/students)",
,"17:10:27","05:05","B POSS","B POSS   St. Peter's Peacocks (women/students)",
,"17:10:29","05:07","B POSS","B POSS   Manhattan Jaspers (women/students)",
,"17:10:37","05:15","K","K   Manhattan Jaspers (women/students)",
,"17:10:37","05:15","P","[8 : 4]   P   Manhattan Jaspers (women/students)",
,"17:10:46","05:24","Pt Conf","Pt Conf   Manhattan Jaspers (women/students)",
,"17:10:46","05:24","SRV","SRV   Manhattan Jaspers (women/students)",
,"17:10:51","05:29","RS","RS   Manhattan Jaspers (women/students)",
,"17:10:51","05:29","B POSS","B POSS   St. Peter's Peacocks (women/students)",
,"17:10:54","05:32","B","B   Manhattan Jaspers (women/students)",
,"17:10:54","05:32","P","[9 : 4]   P   Manhattan Jaspers (women/students)",
,"17:11:05","05:43","Pt Conf","Pt Conf   Manhattan Jaspers (women/students)",
,"17:11:06","05:44","SRV","SRV   Manhattan Jaspers (women/students)",
,"17:11:08","05:46","RS","RS   Manhattan Jaspers (women/students)",
,"17:11:08","05:46","B POSS","B POSS   St. Peter's Peacocks (women/students)",
,"17:11:10","05:48","K","K   St. Peter's Peacocks (women/students)",
,"17:11:10","05:48","P","[9 : 5]   P   St. Peter's Peacocks (women/students)",
,"17:11:26","06:04","Pt Conf","Pt Conf   St. Peter's Peacocks (women/students)",
,"17:11:27","06:05","SRV","SRV   St. Peter's Peacocks (women/students)",
,"17:11:33","06:11","RS","RS   St. Peter's Peacocks (women/students)",
,"17:11:34","06:12","B POSS","B POSS   Manhattan Jaspers (women/students)",
,"17:11:37","06:15","B POSS","B POSS   St. Peter's Peacocks (women/students)",
,"17:11:42","06:20","B POSS","B POSS   Manhattan Jaspers (women/students)",
,"17:11:47","06:25","K","K   Manhattan Jaspers (women/students)",
,"17:11:47","06:25","P","[10 : 5]   P   Manhattan Jaspers (women/students)",
,"17:11:52","06:30","Pt Conf","Pt Conf   Manhattan Jaspers (women/students)",
,"17:11:59","06:37","SRV","SRV   Manhattan Jaspers (women/students)",
