"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"887890","USA","NCAA Women","14.10.2017 - 20:00","New Hampshire Wildcats (women/students)","Hartford Hawks (women/students)",
"Statistics","New Hampshire Wildcats (women/students)","Type","Hartford Hawks (women/students)",
,"3","Score","0",
,"75","Points","50",
,"3","Sets","0",
,"8","Aces","2",
,"7","Service errors","7",
,"40","Kills","25",
,"4","Blocks","7",
,"6","Errors","7",
,"3","Outs","9",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"19:22:35","00:00","Game conditions changed","Game conditions changed",
,"19:22:38","00:00","Players warming up","Players warming up",
,"19:30:13","00:00","Coin flipping","Coin flipping",
,"19:41:20","00:00","Warm up at the net","Warm up at the net",
,"19:54:42","00:00","Jersey colours updated","Jersey colours updated",
,"19:54:42","00:00","Jersey colours updated","Jersey colours updated",
,"20:00:07","00:00","Players lined up","Players lined up",
,"20:00:24","00:00","National anthem singing","National anthem singing",
,"20:02:27","00:00","Players intro","Players intro",
,"20:05:00","00:00","Shake hands","Shake hands",
,"20:05:24","00:00","Game about to start","Game about to start",
,"20:06:15","00:00","Start SRV","Start SRV   Hartford Hawks (women/students)",
,"20:06:30","00:00","Start 1st Set","Start 1st Set",
,"20:06:30","00:00","SRV","SRV   Hartford Hawks (women/students)",
,"20:06:33","00:03","A","A   Hartford Hawks (women/students)",
,"20:06:33","00:03","P","[0 : 1]   P   Hartford Hawks (women/students)",
,"20:06:43","00:12","Pt Conf","Pt Conf   Hartford Hawks (women/students)",
,"20:06:51","00:20","SRV","SRV   Hartford Hawks (women/students)",
,"20:06:53","00:23","S ERR","S ERR   Hartford Hawks (women/students)",
,"20:06:53","00:23","P","[1 : 1]   P   New Hampshire Wildcats (women/students)",
,"20:06:58","00:27","Pt Conf","Pt Conf   New Hampshire Wildcats (women/students)",
,"20:07:07","00:37","SRV","SRV   New Hampshire Wildcats (women/students)",
,"20:07:10","00:39","RS","RS   New Hampshire Wildcats (women/students)",
,"20:07:10","00:39","B POSS","B POSS   Hartford Hawks (women/students)",
,"20:07:14","00:43","B POSS","B POSS   New Hampshire Wildcats (women/students)",
,"20:07:17","00:47","K","K   New Hampshire Wildcats (women/students)",
,"20:07:17","00:47","P","[2 : 1]   P   New Hampshire Wildcats (women/students)",
,"20:07:28","00:57","Pt Conf","Pt Conf   New Hampshire Wildcats (women/students)",
,"20:07:33","01:02","SRV","SRV   New Hampshire Wildcats (women/students)",
,"20:07:36","01:05","A","A   New Hampshire Wildcats (women/students)",
,"20:07:36","01:05","P","[3 : 1]   P   New Hampshire Wildcats (women/students)",
,"20:07:45","01:15","Pt Conf","Pt Conf   New Hampshire Wildcats (women/students)",
,"20:07:50","01:19","SRV","SRV   New Hampshire Wildcats (women/students)",
,"20:07:57","01:26","RS","RS   New Hampshire Wildcats (women/students)",
,"20:07:57","01:26","B POSS","B POSS   Hartford Hawks (women/students)",
,"20:07:58","01:27","K","K   New Hampshire Wildcats (women/students)",
,"20:07:58","01:27","P","[4 : 1]   P   New Hampshire Wildcats (women/students)",
,"20:08:09","01:38","Pt Conf","Pt Conf   New Hampshire Wildcats (women/students)",
,"20:08:11","01:40","SRV","SRV   New Hampshire Wildcats (women/students)",
,"20:08:15","01:45","RS","RS   New Hampshire Wildcats (women/students)",
,"20:08:16","01:45","B POSS","B POSS   Hartford Hawks (women/students)",
,"20:08:19","01:49","K","K   Hartford Hawks (women/students)",
,"20:08:19","01:49","P","[4 : 2]   P   Hartford Hawks (women/students)",
,"20:08:32","02:02","Pt Conf","Pt Conf   Hartford Hawks (women/students)",
,"20:08:38","02:07","SRV","SRV   Hartford Hawks (women/students)",
,"20:08:40","02:09","RS","RS   Hartford Hawks (women/students)",
,"20:08:40","02:10","B POSS","B POSS   New Hampshire Wildcats (women/students)",
