"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"889120","Vietnam","Premier League U20 (men)","14.10.2017 - 12:30","Khanh Hoa U20","Ha Tinh U20",
"Statistics","Khanh Hoa U20","Type","Ha Tinh U20",
,"3","Score","1",
,"98","Points","73",
,"3","Sets","1",
,"12","Aces","9",
,"9","Service errors","18",
,"42","Kills","40",
,"11","Blocks","5",
,"9","Errors","6",
,"1","Outs","9",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"11:51:01","00:00","Game conditions changed","Game conditions changed",
,"12:52:49","00:00","Players warming up","Players warming up",
,"12:53:05","00:00","Jersey colours updated","Jersey colours updated",
,"12:53:06","00:00","Jersey colours updated","Jersey colours updated",
,"12:54:50","00:00","Coin flipping","Coin flipping",
,"12:56:06","00:00","Players lined up","Players lined up",
,"12:56:56","00:00","Shake hands","Shake hands",
,"13:10:12","00:00","Warm up at the net","Warm up at the net",
,"13:19:19","00:00","Players intro","Players intro",
,"13:20:20","00:00","Game about to start","Game about to start",
,"13:20:24","00:00","Start SRV","Start SRV   Khanh Hoa U20",
,"13:20:25","00:00","Start 1st Set","Start 1st Set",
,"13:20:26","00:00","SRV","SRV   Khanh Hoa U20",
,"13:20:27","00:02","S ERR","S ERR   Khanh Hoa U20",
,"13:20:27","00:02","P","[0 : 1]   P   Ha Tinh U20",
,"13:20:46","00:20","Pt Conf","Pt Conf   Ha Tinh U20",
,"13:20:47","00:22","SRV","SRV   Ha Tinh U20",
,"13:20:49","00:23","A","A   Ha Tinh U20",
,"13:20:49","00:23","P","[0 : 2]   P   Ha Tinh U20",
,"13:21:00","00:34","Pt Conf","Pt Conf   Ha Tinh U20",
,"13:21:01","00:36","SRV","SRV   Ha Tinh U20",
,"13:21:03","00:37","S ERR","S ERR   Ha Tinh U20",
,"13:21:03","00:37","P","[1 : 2]   P   Khanh Hoa U20",
,"13:21:06","00:40","Pt Conf","Pt Conf   Khanh Hoa U20",
,"13:21:10","00:44","Game conditions changed","Game conditions changed",
,"13:21:14","00:49","SRV","SRV   Khanh Hoa U20",
,"13:21:17","00:52","S ERR","S ERR   Khanh Hoa U20",
,"13:21:17","00:52","P","[1 : 3]   P   Ha Tinh U20",
,"13:21:27","01:02","Pt Conf","Pt Conf   Ha Tinh U20",
,"13:21:41","01:15","SRV","SRV   Ha Tinh U20",
,"13:21:48","01:23","RS","RS   Ha Tinh U20",
,"13:21:49","01:23","B POSS","B POSS   Khanh Hoa U20",
,"13:21:58","01:33","ERR","ERR   Khanh Hoa U20",
,"13:21:58","01:33","P","[1 : 4]   P   Ha Tinh U20",
,"13:22:16","01:51","Pt Conf","Pt Conf   Ha Tinh U20",
,"13:22:18","01:52","SRV","SRV   Ha Tinh U20",
,"13:22:19","01:53","RS","RS   Ha Tinh U20",
,"13:22:20","01:54","B POSS","B POSS   Khanh Hoa U20",
,"13:22:21","01:55","K","K   Khanh Hoa U20",
,"13:22:21","01:55","P","[2 : 4]   P   Khanh Hoa U20",
,"13:22:35","02:10","Pt Conf","Pt Conf   Khanh Hoa U20",
,"13:22:37","02:11","SRV","SRV   Khanh Hoa U20",
,"13:22:39","02:13","RS","RS   Khanh Hoa U20",
,"13:22:41","02:16","B POSS","B POSS   Ha Tinh U20",
,"13:22:44","02:18","B POSS","B POSS   Khanh Hoa U20",
,"13:22:46","02:20","K","K   Khanh Hoa U20",
,"13:22:46","02:20","P","[3 : 4]   P   Khanh Hoa U20",
,"13:23:04","02:38","Pt Conf","Pt Conf   Khanh Hoa U20",
,"13:23:05","02:39","SRV","SRV   Khanh Hoa U20",
,"13:23:06","02:41","RS","RS   Khanh Hoa U20",
,"13:23:06","02:41","B POSS","B POSS   Ha Tinh U20",
,"13:23:07","02:41","K","K   Ha Tinh U20",
,"13:23:07","02:41","P","[3 : 5]   P   Ha Tinh U20",
,"13:23:20","02:55","Pt Conf","Pt Conf   Ha Tinh U20",
,"13:23:22","02:57","SRV","SRV   Ha Tinh U20",
,"13:23:23","02:58","RS","RS   Ha Tinh U20",
,"13:23:25","02:59","B POSS","B POSS   Khanh Hoa U20",
,"13:23:30","03:04","K","K   Khanh Hoa U20",
,"13:23:30","03:04","P","[4 : 5]   P   Khanh Hoa U20",
,"13:23:45","03:20","Pt Conf","Pt Conf   Khanh Hoa U20",
,"13:23:46","03:21","SRV","SRV   Khanh Hoa U20",
,"13:23:49","03:23","RS","RS   Khanh Hoa U20",
,"13:23:50","03:24","B POSS","B POSS   Ha Tinh U20",
,"13:23:51","03:25","K","K   Ha Tinh U20",
,"13:23:51","03:25","P","[4 : 6]   P   Ha Tinh U20",
,"13:24:04","03:39","Pt Conf","Pt Conf   Ha Tinh U20",
