"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"882606","Belgium","Liga Heren (men)","15.10.2017 - 13:00","VDK Gent","Noliko Maaseik",
"Statistics","VDK Gent","Type","Noliko Maaseik",
,"2","Score","3",
,"99","Points","111",
,"2","Sets","3",
,"5","Aces","6",
,"15","Service errors","17",
,"54","Kills","60",
,"9","Blocks","11",
,"8","Errors","6",
,"11","Outs","8",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"12:35:50","00:00","Players warming up","Players warming up",
,"12:36:01","00:00","Game conditions changed","Game conditions changed",
,"12:44:04","00:00","Coin flipping","Coin flipping",
,"12:44:22","00:00","Warm up at the net","Warm up at the net",
,"12:44:58","00:00","Jersey colours updated","Jersey colours updated",
,"12:44:58","00:00","Jersey colours updated","Jersey colours updated",
,"12:56:54","00:00","Players lined up","Players lined up",
,"12:57:35","00:00","Shake hands","Shake hands",
,"12:59:03","00:00","Players intro","Players intro",
,"13:01:24","00:00","Game about to start","Game about to start",
,"13:01:29","00:00","Start SRV","Start SRV   Noliko Maaseik",
,"13:01:41","00:00","Start 1st Set","Start 1st Set",
,"13:01:41","00:00","SRV","SRV   Noliko Maaseik",
,"13:01:50","00:09","S ERR","S ERR   Noliko Maaseik",
,"13:01:50","00:09","P","[1 : 0]   P   VDK Gent",
,"13:02:05","00:23","Pt Conf","Pt Conf   VDK Gent",
,"13:02:09","00:28","SRV","SRV   VDK Gent",
,"13:02:11","00:30","RS","RS   VDK Gent",
,"13:02:11","00:30","B POSS","B POSS   Noliko Maaseik",
,"13:02:15","00:34","B POSS","B POSS   VDK Gent",
,"13:02:20","00:39","B POSS","B POSS   Noliko Maaseik",
,"13:02:25","00:44","B","B   VDK Gent",
,"13:02:25","00:44","P","[2 : 0]   P   VDK Gent",
,"13:02:47","01:06","Pt Conf","Pt Conf   VDK Gent",
,"13:02:53","01:12","SRV","SRV   VDK Gent",
,"13:02:55","01:14","RS","RS   VDK Gent",
,"13:02:55","01:14","B POSS","B POSS   Noliko Maaseik",
,"13:03:00","01:19","B","B   VDK Gent",
,"13:03:00","01:19","P","[3 : 0]   P   VDK Gent",
,"13:03:14","01:33","Pt Conf","Pt Conf   VDK Gent",
,"13:03:19","01:38","SRV","SRV   VDK Gent",
,"13:03:21","01:40","RS","RS   VDK Gent",
,"13:03:21","01:40","B POSS","B POSS   Noliko Maaseik",
,"13:03:27","01:46","K","K   Noliko Maaseik",
,"13:03:27","01:46","P","[3 : 1]   P   Noliko Maaseik",
,"13:03:40","01:59","Pt Conf","Pt Conf   Noliko Maaseik",
,"13:03:46","02:05","SRV","SRV   Noliko Maaseik",
,"13:03:52","02:11","A","A   Noliko Maaseik",
,"13:03:52","02:11","P","[3 : 2]   P   Noliko Maaseik",
,"13:04:06","02:25","Pt Conf","Pt Conf   Noliko Maaseik",
,"13:04:11","02:30","SRV","SRV   Noliko Maaseik",
,"13:04:14","02:33","RS","RS   Noliko Maaseik",
,"13:04:14","02:33","B POSS","B POSS   VDK Gent",
,"13:04:20","02:39","K","K   VDK Gent",
,"13:04:20","02:39","P","[4 : 2]   P   VDK Gent",
,"13:04:37","02:56","Pt Conf","Pt Conf   VDK Gent",
,"13:04:38","02:57","SRV","SRV   VDK Gent",
,"13:04:40","02:59","RS","RS   VDK Gent",
