"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"882605","Belgium","Liga Heren (men)","15.10.2017 - 16:00","Axis Shanks Guibertin","Volley Haasrode Leuven",
"Statistics","Axis Shanks Guibertin","Type","Volley Haasrode Leuven",
,"1","Score","3",
,"94","Points","100",
,"1","Sets","3",
,"2","Aces","10",
,"17","Service errors","14",
,"61","Kills","54",
,"7","Blocks","6",
,"6","Errors","5",
,"7","Outs","5",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"15:37:40","00:00","Game conditions changed","Game conditions changed",
,"15:37:43","00:00","Players warming up","Players warming up",
,"15:42:35","00:00","Coin flipping","Coin flipping",
,"15:42:37","00:00","Game conditions changed","Game conditions changed",
,"15:44:37","00:00","Warm up at the net","Warm up at the net",
,"15:49:08","00:00","Jersey colours updated","Jersey colours updated",
,"15:49:08","00:00","Jersey colours updated","Jersey colours updated",
,"15:58:24","00:00","Players lined up","Players lined up",
,"15:59:19","00:00","Shake hands","Shake hands",
,"16:00:53","00:00","Players intro","Players intro",
,"16:02:23","00:00","Game about to start","Game about to start",
,"16:02:59","00:00","Start SRV","Start SRV   Axis Shanks Guibertin",
,"16:03:20","00:00","Start 1st Set","Start 1st Set",
,"16:03:20","00:00","SRV","SRV   Axis Shanks Guibertin",
,"16:03:23","00:02","RS","RS   Axis Shanks Guibertin",
,"16:03:23","00:02","B POSS","B POSS   Volley Haasrode Leuven",
,"16:03:33","00:13","OUT","OUT   Axis Shanks Guibertin",
,"16:03:33","00:13","P","[0 : 1]   P   Volley Haasrode Leuven",
,"16:03:48","00:27","Pt Conf","Pt Conf   Volley Haasrode Leuven",
,"16:03:51","00:30","SRV","SRV   Volley Haasrode Leuven",
,"16:03:54","00:33","RS","RS   Volley Haasrode Leuven",
,"16:03:54","00:33","B POSS","B POSS   Axis Shanks Guibertin",
,"16:03:59","00:38","OUT","OUT   Axis Shanks Guibertin",
,"16:03:59","00:38","P","[0 : 2]   P   Volley Haasrode Leuven",
,"16:04:17","00:56","Pt Conf","Pt Conf   Volley Haasrode Leuven",
,"16:04:18","00:57","SRV","SRV   Volley Haasrode Leuven",
,"16:04:20","00:59","RS","RS   Volley Haasrode Leuven",
,"16:04:20","01:00","B POSS","B POSS   Axis Shanks Guibertin",
,"16:04:25","01:04","K","K   Axis Shanks Guibertin",
,"16:04:25","01:04","P","[1 : 2]   P   Axis Shanks Guibertin",
,"16:04:39","01:18","Pt Conf","Pt Conf   Axis Shanks Guibertin",
,"16:04:41","01:20","SRV","SRV   Axis Shanks Guibertin",
,"16:04:45","01:25","S ERR","S ERR   Axis Shanks Guibertin",
,"16:04:45","01:25","P","[1 : 3]   P   Volley Haasrode Leuven",
,"16:05:00","01:40","Pt Conf","Pt Conf   Volley Haasrode Leuven",
,"16:05:03","01:42","SRV","SRV   Volley Haasrode Leuven",
,"16:05:08","01:47","S ERR","S ERR   Volley Haasrode Leuven",
,"16:05:08","01:47","P","[2 : 3]   P   Axis Shanks Guibertin",
,"16:05:22","02:01","Pt Conf","Pt Conf   Axis Shanks Guibertin",
,"16:05:24","02:04","SRV","SRV   Axis Shanks Guibertin",
,"16:05:27","02:06","RS","RS   Axis Shanks Guibertin",
,"16:05:27","02:06","B POSS","B POSS   Volley Haasrode Leuven",
,"16:05:32","02:12","K","K   Volley Haasrode Leuven",
,"16:05:32","02:12","P","[2 : 4]   P   Volley Haasrode Leuven",
,"16:05:47","02:26","Pt Conf","Pt Conf   Volley Haasrode Leuven",
,"16:05:49","02:29","SRV","SRV   Volley Haasrode Leuven",
,"16:05:51","02:30","RS","RS   Volley Haasrode Leuven",
,"16:05:51","02:31","B POSS","B POSS   Axis Shanks Guibertin",
,"16:05:55","02:35","K","K   Axis Shanks Guibertin",
,"16:05:55","02:35","P","[3 : 4]   P   Axis Shanks Guibertin",
,"16:06:41","03:21","Pt Conf","Pt Conf   Axis Shanks Guibertin",
,"16:06:46","03:25","SRV","SRV   Axis Shanks Guibertin",
,"16:06:49","03:29","RS","RS   Axis Shanks Guibertin",
,"16:06:50","03:29","B POSS","B POSS   Volley Haasrode Leuven",
,"16:06:50","03:30","B POSS","B POSS   Axis Shanks Guibertin",
,"16:06:55","03:34","K","K   Axis Shanks Guibertin",
,"16:06:55","03:34","P","[4 : 4]   P   Axis Shanks Guibertin",
,"16:07:08","03:47","Pt Conf","Pt Conf   Axis Shanks Guibertin",
,"16:07:13","03:53","SRV","SRV   Axis Shanks Guibertin",
,"16:07:16","03:55","RS","RS   Axis Shanks Guibertin",
,"16:07:16","03:56","B POSS","B POSS   Volley Haasrode Leuven",
,"16:07:22","04:01","K","K   Volley Haasrode Leuven",
,"16:07:22","04:01","P","[4 : 5]   P   Volley Haasrode Leuven",
,"16:07:34","04:13","Pt Conf","Pt Conf   Volley Haasrode Leuven",
,"16:07:36","04:15","SRV","SRV   Volley Haasrode Leuven",
,"16:07:39","04:18","RS","RS   Volley Haasrode Leuven",
,"16:07:39","04:18","B POSS","B POSS   Axis Shanks Guibertin",
,"16:07:43","04:23","B POSS","B POSS   Volley Haasrode Leuven",
,"16:07:47","04:26","B POSS","B POSS   Axis Shanks Guibertin",
,"16:07:54","04:33","K","K   Axis Shanks Guibertin",
,"16:07:54","04:33","P","[5 : 5]   P   Axis Shanks Guibertin",
,"16:08:07","04:46","Pt Conf","Pt Conf   Axis Shanks Guibertin",
,"16:08:09","04:48","SRV","SRV   Axis Shanks Guibertin",
,"16:08:12","04:51","RS","RS   Axis Shanks Guibertin",
,"16:08:12","04:51","B POSS","B POSS   Volley Haasrode Leuven",
,"16:08:17","04:56","K","K   Volley Haasrode Leuven",
,"16:08:17","04:56","P","[5 : 6]   P   Volley Haasrode Leuven",
,"16:08:30","05:09","Pt Conf","Pt Conf   Volley Haasrode Leuven",
,"16:08:36","05:15","SRV","SRV   Volley Haasrode Leuven",
,"16:08:40","05:20","S ERR","S ERR   Volley Haasrode Leuven",
,"16:08:40","05:20","P","[6 : 6]   P   Axis Shanks Guibertin",
,"16:08:53","05:32","Pt Conf","Pt Conf   Axis Shanks Guibertin",
,"16:08:56","05:35","SRV","SRV   Axis Shanks Guibertin",
,"16:08:58","05:37","RS","RS   Axis Shanks Guibertin",
,"16:08:58","05:38","B POSS","B POSS   Volley Haasrode Leuven",
,"16:09:03","05:42","K","K   Volley Haasrode Leuven",
,"16:09:03","05:42","P","[6 : 7]   P   Volley Haasrode Leuven",
,"16:09:18","05:57","Pt Conf","Pt Conf   Volley Haasrode Leuven",
,"16:09:21","06:00","SRV","SRV   Volley Haasrode Leuven",
,"16:09:23","06:02","RS","RS   Volley Haasrode Leuven",
,"16:09:23","06:03","B POSS","B POSS   Axis Shanks Guibertin",
,"16:09:31","06:11","K","K   Axis Shanks Guibertin",
,"16:09:31","06:11","P","[7 : 7]   P   Axis Shanks Guibertin",
,"16:09:46","06:25","Pt Conf","Pt Conf   Axis Shanks Guibertin",
,"16:09:47","06:26","SRV","SRV   Axis Shanks Guibertin",
,"16:09:49","06:29","RS","RS   Axis Shanks Guibertin",
,"16:09:49","06:29","B POSS","B POSS   Volley Haasrode Leuven",
,"16:09:55","06:34","K","K   Volley Haasrode Leuven",
,"16:09:55","06:34","P","[7 : 8]   P   Volley Haasrode Leuven",
,"16:09:59","06:38","Pt Conf","Pt Conf   Volley Haasrode Leuven",
,"16:10:00","06:39","TIME","TIME",
,"16:10:00","06:40","TTO","TTO",
,"16:11:17","07:56","SRV","SRV   Volley Haasrode Leuven",
,"16:11:19","07:59","RS","RS   Volley Haasrode Leuven",
,"16:11:19","07:59","B POSS","B POSS   Axis Shanks Guibertin",
,"16:11:26","08:05","ERR","ERR   Volley Haasrode Leuven",
,"16:11:26","08:05","P","[8 : 8]   P   Axis Shanks Guibertin",
,"16:11:39","08:19","Pt Conf","Pt Conf   Axis Shanks Guibertin",
,"16:11:45","08:24","SRV","SRV   Axis Shanks Guibertin",
,"16:11:47","08:27","RS","RS   Axis Shanks Guibertin",
,"16:11:48","08:27","B POSS","B POSS   Volley Haasrode Leuven",
,"16:11:51","08:30","K","K   Volley Haasrode Leuven",
,"16:11:51","08:30","P","[8 : 9]   P   Volley Haasrode Leuven",
,"16:12:05","08:44","Pt Conf","Pt Conf   Volley Haasrode Leuven",
,"16:12:07","08:46","SRV","SRV   Volley Haasrode Leuven",
,"16:12:09","08:48","RS","RS   Volley Haasrode Leuven",
,"16:12:09","08:48","B POSS","B POSS   Axis Shanks Guibertin",
,"16:12:14","08:53","K","K   Axis Shanks Guibertin",
,"16:12:14","08:53","P","[9 : 9]   P   Axis Shanks Guibertin",
,"16:12:30","09:09","Pt Conf","Pt Conf   Axis Shanks Guibertin",
,"16:12:32","09:12","SRV","SRV   Axis Shanks Guibertin",
,"16:12:35","09:14","RS","RS   Axis Shanks Guibertin",
,"16:12:35","09:15","B POSS","B POSS   Volley Haasrode Leuven",
,"16:12:38","09:18","B POSS","B POSS   Axis Shanks Guibertin",
,"16:12:50","09:29","K","K   Axis Shanks Guibertin",
,"16:12:50","09:29","P","[10 : 9]   P   Axis Shanks Guibertin",
,"16:13:06","09:45","Pt Conf","Pt Conf   Axis Shanks Guibertin",
