"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"889336","Friendly","Nomikeia Tournament (women)","15.10.2017 - 13:30","GS Ilioupolis VC (women)","Markopoulo VC (women)",
"Statistics","GS Ilioupolis VC (women)","Type","Markopoulo VC (women)",
,"3","Score","2",
,"108","Points","96",
,"3","Sets","2",
,"10","Aces","10",
,"9","Service errors","18",
,"43","Kills","55",
,"14","Blocks","8",
,"6","Errors","5",
,"8","Outs","18",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"12:54:18","00:00","Players warming up","Players warming up",
,"13:13:26","00:00","Game conditions changed","Game conditions changed",
,"13:14:30","00:00","Jersey colours updated","Jersey colours updated",
,"13:14:31","00:00","Jersey colours updated","Jersey colours updated",
,"13:15:51","00:00","Coin flipping","Coin flipping",
,"13:15:55","00:00","Warm up at the net","Warm up at the net",
,"13:28:28","00:00","Players lined up","Players lined up",
,"13:29:28","00:00","Shake hands","Shake hands",
,"13:30:45","00:00","Players intro","Players intro",
,"13:32:46","00:00","Game about to start","Game about to start",
,"13:33:08","00:00","Start SRV","Start SRV   Markopoulo VC (women)",
,"13:33:11","00:00","Start 1st Set","Start 1st Set",
,"13:33:11","00:00","SRV","SRV   Markopoulo VC (women)",
,"13:33:15","00:03","S ERR","S ERR   Markopoulo VC (women)",
,"13:33:15","00:03","P","[1 : 0]   P   GS Ilioupolis VC (women)",
,"13:33:29","00:17","Pt Conf","Pt Conf   GS Ilioupolis VC (women)",
,"13:33:32","00:20","SRV","SRV   GS Ilioupolis VC (women)",
,"13:33:34","00:22","RS","RS   GS Ilioupolis VC (women)",
,"13:33:34","00:22","B POSS","B POSS   Markopoulo VC (women)",
,"13:33:37","00:25","B POSS","B POSS   GS Ilioupolis VC (women)",
,"13:33:45","00:33","OUT","OUT   GS Ilioupolis VC (women)",
,"13:33:45","00:33","P","[1 : 1]   P   Markopoulo VC (women)",
,"13:33:55","00:43","Pt Conf","Pt Conf   Markopoulo VC (women)",
,"13:33:57","00:46","SRV","SRV   Markopoulo VC (women)",
,"13:34:00","00:48","RS","RS   Markopoulo VC (women)",
,"13:34:00","00:49","B POSS","B POSS   GS Ilioupolis VC (women)",
,"13:34:08","00:56","B POSS","B POSS   Markopoulo VC (women)",
,"13:34:14","01:02","OUT","OUT   Markopoulo VC (women)",
