"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"889337","Friendly","Nomikeia Tournament (women)","15.10.2017 - 17:00","AO Thyras (women)","AON Pannaxiakos (women)",
"Statistics","AO Thyras (women)","Type","AON Pannaxiakos (women)",
,"3","Score","1",
,"98","Points","93",
,"3","Sets","1",
,"8","Aces","12",
,"9","Service errors","8",
,"48","Kills","46",
,"7","Blocks","13",
,"6","Errors","15",
,"7","Outs","12",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"16:32:49","00:00","Game conditions changed","Game conditions changed",
,"16:33:45","00:00","Prize giving ceremony","Prize giving ceremony",
,"16:40:35","00:00","Players warming up","Players warming up",
,"17:09:12","00:00","Game conditions changed","Game conditions changed",
,"17:15:52","00:00","Coin flipping","Coin flipping",
,"17:16:45","00:00","Warm up at the net","Warm up at the net",
,"17:28:02","00:00","Jersey colours updated","Jersey colours updated",
,"17:28:03","00:00","Jersey colours updated","Jersey colours updated",
,"17:28:15","00:00","Players lined up","Players lined up",
,"17:29:03","00:00","Shake hands","Shake hands",
,"17:30:27","00:00","Players intro","Players intro",
,"17:32:21","00:00","Game about to start","Game about to start",
,"17:33:01","00:00","Start SRV","Start SRV   AON Pannaxiakos (women)",
,"17:33:03","00:00","Start 1st Set","Start 1st Set",
,"17:33:03","00:00","SRV","SRV   AON Pannaxiakos (women)",
,"17:33:05","00:02","RS","RS   AON Pannaxiakos (women)",
,"17:33:06","00:02","B POSS","B POSS   AO Thyras (women)",
,"17:33:09","00:05","B POSS","B POSS   AON Pannaxiakos (women)",
,"17:33:20","00:17","ERR","ERR   AON Pannaxiakos (women)",
,"17:33:20","00:17","P","[1 : 0]   P   AO Thyras (women)",
,"17:33:37","00:33","Pt Conf","Pt Conf   AO Thyras (women)",
,"17:33:38","00:34","SRV","SRV   AO Thyras (women)",
,"17:33:41","00:37","RS","RS   AO Thyras (women)",
,"17:33:41","00:37","B POSS","B POSS   AON Pannaxiakos (women)",
,"17:33:44","00:41","B POSS","B POSS   AO Thyras (women)",
