"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"888507","Italy","Serie A1 (men)","15.10.2017 - 16:00","Callipo Sport","AS Volley Lube",
"Statistics","Callipo Sport","Type","AS Volley Lube",
,"1","Score","3",
,"93","Points","97",
,"1","Sets","3",
,"8","Aces","11",
,"22","Service errors","26",
,"45","Kills","43",
,"6","Blocks","8",
,"8","Errors","5",
,"5","Outs","3",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"15:23:44","00:00","Players warming up","Players warming up",
,"15:23:48","00:00","Game conditions changed","Game conditions changed",
,"15:26:23","00:00","Jersey colours updated","Jersey colours updated",
,"15:26:24","00:00","Jersey colours updated","Jersey colours updated",
,"15:42:43","00:00","Warm up at the net","Warm up at the net",
,"15:56:24","00:00","Jersey colours updated","Jersey colours updated",
,"15:57:32","00:00","Players intro","Players intro",
,"15:57:56","00:00","Players lined up","Players lined up",
,"15:58:26","00:00","Game conditions changed","Game conditions changed",
,"15:58:31","00:00","Shake hands","Shake hands",
,"16:01:24","00:00","Game about to start","Game about to start",
,"16:02:26","00:00","Start SRV","Start SRV   AS Volley Lube",
,"16:02:47","00:00","Start 1st Set","Start 1st Set",
,"16:02:48","00:00","SRV","SRV   AS Volley Lube",
,"16:02:49","00:01","RS","RS   AS Volley Lube",
,"16:02:49","00:01","B POSS","B POSS   Callipo Sport",
,"16:02:52","00:04","B POSS","B POSS   AS Volley Lube",
,"16:02:56","00:08","B POSS","B POSS   Callipo Sport",
,"16:02:59","00:11","B POSS","B POSS   AS Volley Lube",
,"16:03:13","00:25","ERR","ERR   Callipo Sport",
,"16:03:13","00:25","P","[0 : 1]   P   AS Volley Lube",
,"16:03:30","00:42","Pt Conf","Pt Conf   AS Volley Lube",
,"16:03:35","00:48","SRV","SRV   AS Volley Lube",
,"16:03:37","00:50","RS","RS   AS Volley Lube",
,"16:03:38","00:50","B POSS","B POSS   Callipo Sport",
,"16:03:43","00:55","K","K   AS Volley Lube",
,"16:03:43","00:55","P","[0 : 2]   P   AS Volley Lube",
,"16:04:01","01:13","Pt Conf","Pt Conf   AS Volley Lube",
