"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"888505","Italy","Serie A1 (men)","15.10.2017 - 16:00","Latina Volley","Blu Volley Verona",
"Statistics","Latina Volley","Type","Blu Volley Verona",
,"2","Score","3",
,"111","Points","110",
,"2","Sets","3",
,"6","Aces","10",
,"18","Service errors","20",
,"55","Kills","67",
,"8","Blocks","4",
,"3","Errors","11",
,"8","Outs","11",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"14:58:09","00:00","Game conditions changed","Game conditions changed",
,"15:12:12","00:00","Players warming up","Players warming up",
,"15:35:18","00:00","Game conditions changed","Game conditions changed",
,"15:42:48","00:00","Coin flipping","Coin flipping",
,"15:42:49","00:00","Warm up at the net","Warm up at the net",
,"15:55:56","00:00","Jersey colours updated","Jersey colours updated",
,"15:55:56","00:00","Jersey colours updated","Jersey colours updated",
,"15:56:27","00:00","Players lined up","Players lined up",
,"15:57:07","00:00","Shake hands","Shake hands",
,"15:58:20","00:00","Players intro","Players intro",
,"16:00:58","00:00","Start SRV","Start SRV   Latina Volley",
,"16:01:02","00:00","Game about to start","Game about to start",
,"16:01:44","00:00","Prize giving ceremony","Prize giving ceremony",
,"16:02:03","00:00","Start SRV","Start SRV   Latina Volley",
,"16:02:18","00:00","Start 1st Set","Start 1st Set",
,"16:02:18","00:00","SRV","SRV   Latina Volley",
,"16:02:25","00:07","RS","RS   Latina Volley",
,"16:02:25","00:07","B POSS","B POSS   Blu Volley Verona",
,"16:02:30","00:12","K","K   Blu Volley Verona",
,"16:02:30","00:12","P","[0 : 1]   P   Blu Volley Verona",
,"16:02:45","00:27","Pt Conf","Pt Conf   Blu Volley Verona",
,"16:02:51","00:33","SRV","SRV   Blu Volley Verona",
,"16:02:54","00:36","RS","RS   Blu Volley Verona",
,"16:02:54","00:36","B POSS","B POSS   Latina Volley",
,"16:02:57","00:39","B POSS","B POSS   Blu Volley Verona",
,"16:03:02","00:44","K","K   Blu Volley Verona",
,"16:03:02","00:44","P","[0 : 2]   P   Blu Volley Verona",
,"16:03:18","01:00","Pt Conf","Pt Conf   Blu Volley Verona",
,"16:03:24","01:06","SRV","SRV   Blu Volley Verona",
,"16:03:27","01:09","RS","RS   Blu Volley Verona",
,"16:03:27","01:09","B POSS","B POSS   Latina Volley",
,"16:03:31","01:13","B POSS","B POSS   Blu Volley Verona",
,"16:03:37","01:18","K","K   Blu Volley Verona",
,"16:03:37","01:18","P","[0 : 3]   P   Blu Volley Verona",
,"16:03:53","01:35","Pt Conf","Pt Conf   Blu Volley Verona",
