"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"888504","Italy","Serie A1 (men)","15.10.2017 - 16:00","Trentino Volley","Volley Milano",
"Statistics","Trentino Volley","Type","Volley Milano",
,"2","Score","3",
,"105","Points","104",
,"2","Sets","3",
,"4","Aces","11",
,"25","Service errors","21",
,"54","Kills","51",
,"12","Blocks","11",
,"2","Errors","5",
,"4","Outs","9",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"15:17:35","00:00","Game conditions changed","Game conditions changed",
,"15:17:37","00:00","Players warming up","Players warming up",
,"15:42:32","00:00","Game conditions changed","Game conditions changed",
,"15:43:38","00:00","Coin flipping","Coin flipping",
,"15:43:48","00:00","Warm up at the net","Warm up at the net",
,"15:56:01","00:00","Jersey colours updated","Jersey colours updated",
,"15:56:01","00:00","Jersey colours updated","Jersey colours updated",
,"15:56:09","00:00","Players lined up","Players lined up",
,"15:57:27","00:00","Prize giving ceremony","Prize giving ceremony",
,"15:59:08","00:00","Shake hands","Shake hands",
,"16:00:06","00:00","Players intro","Players intro",
,"16:01:11","00:00","Game about to start","Game about to start",
,"16:03:23","00:00","Start SRV","Start SRV   Volley Milano",
,"16:03:27","00:00","Start 1st Set","Start 1st Set",
,"16:03:27","00:00","SRV","SRV   Volley Milano",
,"16:03:29","00:02","RS","RS   Volley Milano",
,"16:03:29","00:02","B POSS","B POSS   Trentino Volley",
,"16:03:33","00:06","B POSS","B POSS   Volley Milano",
,"16:03:39","00:12","K","K   Volley Milano",
,"16:03:39","00:12","P","[0 : 1]   P   Volley Milano",
,"16:03:52","00:25","Pt Conf","Pt Conf   Volley Milano",
,"16:03:56","00:29","SRV","SRV   Volley Milano",
,"16:04:00","00:32","RS","RS   Volley Milano",
,"16:04:00","00:33","B POSS","B POSS   Trentino Volley",
,"16:04:04","00:37","K","K   Trentino Volley",
,"16:04:04","00:37","P","[1 : 1]   P   Trentino Volley",
,"16:04:23","00:56","Pt Conf","Pt Conf   Trentino Volley",
,"16:04:27","01:00","SRV","SRV   Trentino Volley",
,"16:04:29","01:02","RS","RS   Trentino Volley",
,"16:04:29","01:02","B POSS","B POSS   Volley Milano",
,"16:04:31","01:04","B POSS","B POSS   Trentino Volley",
,"16:04:33","01:06","B POSS","B POSS   Volley Milano",
,"16:04:39","01:12","K","K   Volley Milano",
,"16:04:39","01:12","P","[1 : 2]   P   Volley Milano",
,"16:04:58","01:31","Pt Conf","Pt Conf   Volley Milano",
,"16:05:02","01:35","SRV","SRV   Volley Milano",
,"16:05:06","01:38","RS","RS   Volley Milano",
,"16:05:06","01:39","B POSS","B POSS   Trentino Volley",
,"16:05:09","01:42","K","K   Trentino Volley",
,"16:05:09","01:42","P","[2 : 2]   P   Trentino Volley",
,"16:05:24","01:57","Pt Conf","Pt Conf   Trentino Volley",
,"16:05:30","02:03","SRV","SRV   Trentino Volley",
,"16:05:34","02:07","S ERR","S ERR   Trentino Volley",
,"16:05:34","02:07","P","[2 : 3]   P   Volley Milano",
,"16:05:52","02:25","Pt Conf","Pt Conf   Volley Milano",
,"16:05:57","02:30","SRV","SRV   Volley Milano",
,"16:06:02","02:35","A","A   Volley Milano",
,"16:06:02","02:35","P","[2 : 4]   P   Volley Milano",
,"16:06:18","02:51","Pt Conf","Pt Conf   Volley Milano",
,"16:06:26","02:59","SRV","SRV   Volley Milano",
,"16:06:29","03:02","RS","RS   Volley Milano",
,"16:06:30","03:03","B POSS","B POSS   Trentino Volley",
,"16:06:34","03:07","K","K   Trentino Volley",
,"16:06:34","03:07","P","[3 : 4]   P   Trentino Volley",
,"16:06:55","03:28","Pt Conf","Pt Conf   Trentino Volley",
,"16:07:01","03:34","SRV","SRV   Trentino Volley",
,"16:07:04","03:37","RS","RS   Trentino Volley",
,"16:07:05","03:38","B POSS","B POSS   Volley Milano",
,"16:07:12","03:45","K","K   Volley Milano",
,"16:07:12","03:45","P","[3 : 5]   P   Volley Milano",
,"16:07:28","04:01","Pt Conf","Pt Conf   Volley Milano",
,"16:07:34","04:07","SRV","SRV   Volley Milano",
,"16:07:38","04:11","RS","RS   Volley Milano",
,"16:07:39","04:12","B POSS","B POSS   Trentino Volley",
,"16:07:42","04:15","K","K   Trentino Volley",
,"16:07:42","04:15","P","[4 : 5]   P   Trentino Volley",
,"16:07:56","04:29","Pt Conf","Pt Conf   Trentino Volley",
,"16:08:00","04:33","SRV","SRV   Trentino Volley",
,"16:08:04","04:37","RS","RS   Trentino Volley",
,"16:08:04","04:37","B POSS","B POSS   Volley Milano",
,"16:08:05","04:38","B POSS","B POSS   Trentino Volley",
,"16:08:15","04:48","B","B   Volley Milano",
,"16:08:15","04:48","P","[4 : 6]   P   Volley Milano",
,"16:08:34","05:07","Pt Conf","Pt Conf   Volley Milano",
,"16:08:41","05:14","SRV","SRV   Volley Milano",
,"16:08:45","05:18","S ERR","S ERR   Volley Milano",
,"16:08:45","05:18","P","[5 : 6]   P   Trentino Volley",
,"16:08:59","05:32","Pt Conf","Pt Conf   Trentino Volley",
,"16:09:03","05:36","SRV","SRV   Trentino Volley",
,"16:09:07","05:40","S ERR","S ERR   Trentino Volley",
,"16:09:07","05:40","P","[5 : 7]   P   Volley Milano",
,"16:09:23","05:56","Pt Conf","Pt Conf   Volley Milano",
,"16:09:31","06:04","SRV","SRV   Volley Milano",
,"16:09:34","06:07","RS","RS   Volley Milano",
,"16:09:35","06:08","B POSS","B POSS   Trentino Volley",
,"16:09:39","06:12","B POSS","B POSS   Volley Milano",
,"16:09:43","06:16","B POSS","B POSS   Trentino Volley",
,"16:09:51","06:24","OUT","OUT   Trentino Volley",
,"16:09:51","06:24","P","[5 : 8]   P   Volley Milano",
,"16:10:06","06:39","Pt Conf","Pt Conf   Volley Milano",
,"16:10:11","06:44","SRV","SRV   Volley Milano",
,"16:10:15","06:48","RS","RS   Volley Milano",
,"16:10:16","06:49","B POSS","B POSS   Trentino Volley",
,"16:10:19","06:52","K","K   Trentino Volley",
,"16:10:19","06:52","P","[6 : 8]   P   Trentino Volley",
,"16:10:35","07:08","Pt Conf","Pt Conf   Trentino Volley",
,"16:10:37","07:10","SRV","SRV   Trentino Volley",
,"16:10:41","07:14","RS","RS   Trentino Volley",
,"16:10:41","07:14","B POSS","B POSS   Volley Milano",
,"16:10:47","07:20","K","K   Volley Milano",
,"16:10:47","07:20","P","[6 : 9]   P   Volley Milano",
,"16:11:00","07:33","Pt Conf","Pt Conf   Volley Milano",
,"16:11:04","07:37","SRV","SRV   Volley Milano",
,"16:11:07","07:40","RS","RS   Volley Milano",
,"16:11:08","07:41","B POSS","B POSS   Trentino Volley",
,"16:11:11","07:44","K","K   Trentino Volley",
,"16:11:11","07:44","P","[7 : 9]   P   Trentino Volley",
,"16:11:26","07:59","Pt Conf","Pt Conf   Trentino Volley",
,"16:11:29","08:02","SRV","SRV   Trentino Volley",
,"16:11:33","08:06","S ERR","S ERR   Trentino Volley",
,"16:11:33","08:06","P","[7 : 10]   P   Volley Milano",
,"16:11:50","08:23","Pt Conf","Pt Conf   Volley Milano",
,"16:11:53","08:26","SRV","SRV   Volley Milano",
,"16:11:57","08:30","RS","RS   Volley Milano",
,"16:11:57","08:30","B POSS","B POSS   Trentino Volley",
,"16:12:02","08:35","K","K   Trentino Volley",
,"16:12:02","08:35","P","[8 : 10]   P   Trentino Volley",
,"16:12:17","08:49","Pt Conf","Pt Conf   Trentino Volley",
,"16:12:22","08:55","SRV","SRV   Trentino Volley",
,"16:12:27","09:00","S ERR","S ERR   Trentino Volley",
,"16:12:27","09:00","P","[8 : 11]   P   Volley Milano",
,"16:12:44","09:17","Pt Conf","Pt Conf   Volley Milano",
,"16:12:54","09:27","SRV","SRV   Volley Milano",
,"16:12:56","09:29","RS","RS   Volley Milano",
,"16:12:56","09:29","B POSS","B POSS   Trentino Volley",
,"16:13:01","09:34","OUT","OUT   Trentino Volley",
,"16:13:01","09:34","P","[8 : 12]   P   Volley Milano",
,"16:13:11","09:44","Pt Conf","Pt Conf   Volley Milano",
,"16:13:12","09:45","TIME","TIME",
,"16:13:13","09:46","TIME","TIME   Trentino Volley",
,"16:14:24","10:57","SRV","SRV   Volley Milano",
,"16:14:27","11:00","RS","RS   Volley Milano",
,"16:14:28","11:01","B POSS","B POSS   Trentino Volley",
,"16:14:31","11:04","B POSS","B POSS   Volley Milano",
,"16:14:40","11:13","K","K   Volley Milano",
,"16:14:40","11:13","P","[8 : 13]   P   Volley Milano",
,"16:15:04","11:36","Pt Conf","Pt Conf   Volley Milano",
,"16:15:10","11:43","SRV","SRV   Volley Milano",
,"16:15:14","11:47","RS","RS   Volley Milano",
,"16:15:14","11:47","B POSS","B POSS   Trentino Volley",
,"16:15:15","11:48","B POSS","B POSS   Volley Milano",
,"16:15:19","11:52","B POSS","B POSS   Trentino Volley",
,"16:15:21","11:54","B POSS","B POSS   Volley Milano",
,"16:15:26","11:59","OUT","OUT   Volley Milano",
,"16:15:26","11:59","P","[9 : 13]   P   Trentino Volley",
,"16:15:47","12:20","Pt Conf","Pt Conf   Trentino Volley",
,"16:15:53","12:26","SRV","SRV   Trentino Volley",
,"16:15:56","12:29","RS","RS   Trentino Volley",
,"16:15:57","12:30","B POSS","B POSS   Volley Milano",
,"16:16:04","12:37","ERR","ERR   Volley Milano",
,"16:16:04","12:37","P","[10 : 13]   P   Trentino Volley",
,"16:16:09","12:42","Pt Conf","Pt Conf   Trentino Volley",
,"16:16:10","12:43","TIME","TIME",
,"16:16:11","12:44","TIME","TIME   Volley Milano",
,"16:17:13","13:46","SRV","SRV   Trentino Volley",
,"16:17:16","13:49","RS","RS   Trentino Volley",
,"16:17:17","13:50","B POSS","B POSS   Volley Milano",
,"16:17:21","13:54","K","K   Volley Milano",
,"16:17:21","13:54","P","[10 : 14]   P   Volley Milano",
,"16:17:35","14:08","Pt Conf","Pt Conf   Volley Milano",
,"16:17:40","14:13","SRV","SRV   Volley Milano",
,"16:17:44","14:17","RS","RS   Volley Milano",
,"16:17:44","14:17","B POSS","B POSS   Trentino Volley",
,"16:17:46","14:19","B POSS","B POSS   Volley Milano",
,"16:17:51","14:24","B POSS","B POSS   Trentino Volley",
,"16:18:03","14:36","K","K   Trentino Volley",
,"16:18:03","14:36","P","[11 : 14]   P   Trentino Volley",
,"16:18:36","15:09","Pt Conf","Pt Conf   Trentino Volley",
,"16:18:40","15:13","SRV","SRV   Trentino Volley",
,"16:18:43","15:16","RS","RS   Trentino Volley",
,"16:18:44","15:17","B POSS","B POSS   Volley Milano",
,"16:18:48","15:21","K","K   Volley Milano",
,"16:18:48","15:21","P","[11 : 15]   P   Volley Milano",
,"16:19:03","15:36","Pt Conf","Pt Conf   Volley Milano",
,"16:19:10","15:43","SRV","SRV   Volley Milano",
,"16:19:14","15:47","RS","RS   Volley Milano",
,"16:19:14","15:47","B POSS","B POSS   Trentino Volley",
,"16:19:18","15:51","K","K   Trentino Volley",
,"16:19:18","15:51","P","[12 : 15]   P   Trentino Volley",
,"16:19:57","16:30","Pt Conf","Pt Conf   Trentino Volley",
,"16:20:02","16:35","SRV","SRV   Trentino Volley",
,"16:20:06","16:39","RS","RS   Trentino Volley",
,"16:20:06","16:39","B POSS","B POSS   Volley Milano",
,"16:20:09","16:42","B","B   Trentino Volley",
,"16:20:09","16:42","P","[13 : 15]   P   Trentino Volley",
,"16:20:27","17:00","Pt Conf","Pt Conf   Trentino Volley",
,"16:20:33","17:06","SRV","SRV   Trentino Volley",
,"16:20:36","17:09","RS","RS   Trentino Volley",
,"16:20:37","17:10","B POSS","B POSS   Volley Milano",
,"16:20:38","17:11","B POSS","B POSS   Trentino Volley",
,"16:20:46","17:19","B POSS","B POSS   Volley Milano",
,"16:20:52","17:25","K","K   Volley Milano",
,"16:20:52","17:25","P","[13 : 16]   P   Volley Milano",
,"16:21:21","17:54","Pt Conf","Pt Conf   Volley Milano",
,"16:21:24","17:57","SRV","SRV   Volley Milano",
,"16:21:26","17:59","RS","RS   Volley Milano",
,"16:21:27","18:00","B POSS","B POSS   Trentino Volley",
,"16:21:34","18:07","K","K   Trentino Volley",
,"16:21:34","18:07","P","[14 : 16]   P   Trentino Volley",
,"16:21:57","18:30","Pt Conf","Pt Conf   Trentino Volley",
,"16:22:00","18:33","SRV","SRV   Trentino Volley",
,"16:22:04","18:37","RS","RS   Trentino Volley",
,"16:22:05","18:38","B POSS","B POSS   Volley Milano",
,"16:22:08","18:41","K","K   Volley Milano",
,"16:22:08","18:41","P","[14 : 17]   P   Volley Milano",
,"16:22:36","19:09","Pt Conf","Pt Conf   Volley Milano",
,"16:22:39","19:12","SRV","SRV   Volley Milano",
,"16:22:43","19:16","RS","RS   Volley Milano",
,"16:22:44","19:17","B POSS","B POSS   Trentino Volley",
,"16:22:46","19:19","B POSS","B POSS   Volley Milano",
,"16:22:49","19:22","B POSS","B POSS   Trentino Volley",
,"16:22:54","19:27","K","K   Trentino Volley",
,"16:22:54","19:27","P","[15 : 17]   P   Trentino Volley",
,"16:23:23","19:56","Pt Conf","Pt Conf   Trentino Volley",
,"16:23:25","19:58","SRV","SRV   Trentino Volley",
,"16:23:29","20:02","RS","RS   Trentino Volley",
,"16:23:29","20:02","B POSS","B POSS   Volley Milano",
,"16:23:33","20:06","K","K   Volley Milano",
,"16:23:33","20:06","P","[15 : 18]   P   Volley Milano",
,"16:23:47","20:20","Pt Conf","Pt Conf   Volley Milano",
,"16:23:51","20:24","SRV","SRV   Volley Milano",
,"16:23:55","20:28","RS","RS   Volley Milano",
,"16:23:55","20:28","B POSS","B POSS   Trentino Volley",
,"16:24:00","20:33","K","K   Trentino Volley",
,"16:24:00","20:33","P","[16 : 18]   P   Trentino Volley",
,"16:24:20","20:53","Pt Conf","Pt Conf   Trentino Volley",
,"16:24:26","20:59","SRV","SRV   Trentino Volley",
,"16:24:30","21:03","S ERR","S ERR   Trentino Volley",
,"16:24:30","21:03","P","[16 : 19]   P   Volley Milano",
,"16:24:46","21:19","Pt Conf","Pt Conf   Volley Milano",
,"16:24:53","21:26","SRV","SRV   Volley Milano",
,"16:24:56","21:29","S ERR","S ERR   Volley Milano",
,"16:24:56","21:29","P","[17 : 19]   P   Trentino Volley",
,"16:25:23","21:56","Pt Conf","Pt Conf   Trentino Volley",
,"16:25:28","22:01","SRV","SRV   Trentino Volley",
,"16:25:32","22:05","RS","RS   Trentino Volley",
,"16:25:33","22:06","B POSS","B POSS   Volley Milano",
,"16:25:40","22:13","OUT","OUT   Volley Milano",
,"16:25:40","22:13","P","[18 : 19]   P   Trentino Volley",
,"16:26:01","22:34","Pt Conf","Pt Conf   Trentino Volley",
,"16:26:06","22:39","SRV","SRV   Trentino Volley",
,"16:26:10","22:43","RS","RS   Trentino Volley",
,"16:26:10","22:43","B POSS","B POSS   Volley Milano",
,"16:26:14","22:47","K","K   Volley Milano",
,"16:26:14","22:47","P","[18 : 20]   P   Volley Milano",
,"16:26:40","23:13","Pt Conf","Pt Conf   Volley Milano",
,"16:26:45","23:18","SRV","SRV   Volley Milano",
,"16:26:50","23:23","A","A   Volley Milano",
,"16:26:50","23:23","P","[18 : 21]   P   Volley Milano",
,"16:26:55","23:28","Pt Conf","Pt Conf   Volley Milano",
,"16:26:56","23:29","TIME","TIME",
,"16:26:58","23:31","TIME","TIME   Trentino Volley",
,"16:28:15","24:48","SRV","SRV   Volley Milano",
,"16:28:18","24:51","RS","RS   Volley Milano",
,"16:28:19","24:52","B POSS","B POSS   Trentino Volley",
,"16:28:22","24:55","K","K   Trentino Volley",
,"16:28:22","24:55","P","[19 : 21]   P   Trentino Volley",
,"16:28:50","25:23","Pt Conf","Pt Conf   Trentino Volley",
,"16:28:51","25:24","TIME","TIME",
,"16:28:52","25:25","TIME","TIME   Volley Milano",
,"16:29:42","26:15","SRV","SRV   Trentino Volley",
,"16:29:44","26:17","RS","RS   Trentino Volley",
,"16:29:45","26:18","B POSS","B POSS   Volley Milano",
,"16:29:50","26:23","K","K   Volley Milano",
,"16:29:50","26:23","P","[19 : 22]   P   Volley Milano",
