"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"888465","Italy","Serie A1 (women)","15.10.2017 - 15:00","Azzurra Volley San Casciano (women)","US Pallavolo Monza (women)",
"Statistics","Azzurra Volley San Casciano (women)","Type","US Pallavolo Monza (women)",
,"3","Score","1",
,"96","Points","94",
,"3","Sets","1",
,"6","Aces","5",
,"13","Service errors","11",
,"59","Kills","54",
,"8","Blocks","6",
,"7","Errors","3",
,"9","Outs","9",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"14:42:43","00:00","Players warming up","Players warming up",
,"14:45:51","00:00","Game conditions changed","Game conditions changed",
,"14:53:36","00:00","Warm up at the net","Warm up at the net",
,"14:56:11","00:00","Jersey colours updated","Jersey colours updated",
,"14:56:12","00:00","Jersey colours updated","Jersey colours updated",
,"15:00:04","00:00","Game about to start","Game about to start",
,"15:00:33","00:00","Start SRV","Start SRV   Azzurra Volley San Casciano (women)",
,"15:01:14","00:00","Start 1st Set","Start 1st Set",
,"15:01:15","00:00","SRV","SRV   Azzurra Volley San Casciano (women)",
,"15:01:17","00:02","RS","RS   Azzurra Volley San Casciano (women)",
,"15:01:18","00:03","B POSS","B POSS   US Pallavolo Monza (women)",
,"15:01:18","00:03","B POSS","B POSS   Azzurra Volley San Casciano (women)",
,"15:01:20","00:05","B POSS","B POSS   US Pallavolo Monza (women)",
,"15:01:21","00:06","B POSS","B POSS   Azzurra Volley San Casciano (women)",
,"15:01:22","00:07","B POSS","B POSS   US Pallavolo Monza (women)",
,"15:01:24","00:09","B","B   Azzurra Volley San Casciano (women)",
,"15:01:24","00:09","P","[1 : 0]   P   Azzurra Volley San Casciano (women)",
,"15:01:40","00:25","Pt Conf","Pt Conf   Azzurra Volley San Casciano (women)",
,"15:01:41","00:26","SRV","SRV   Azzurra Volley San Casciano (women)",
,"15:01:42","00:27","RS","RS   Azzurra Volley San Casciano (women)",
,"15:01:42","00:27","B POSS","B POSS   US Pallavolo Monza (women)",
,"15:01:43","00:28","B POSS","B POSS   Azzurra Volley San Casciano (women)",
,"15:01:46","00:31","K","K   US Pallavolo Monza (women)",
,"15:01:46","00:31","P","[1 : 1]   P   US Pallavolo Monza (women)",
,"15:02:02","00:47","Pt Conf","Pt Conf   US Pallavolo Monza (women)",
,"15:02:02","00:47","SRV","SRV   US Pallavolo Monza (women)",
,"15:02:03","00:48","RS","RS   US Pallavolo Monza (women)",
,"15:02:03","00:48","B POSS","B POSS   Azzurra Volley San Casciano (women)",
,"15:02:04","00:49","B POSS","B POSS   US Pallavolo Monza (women)",
,"15:02:07","00:52","B","B   US Pallavolo Monza (women)",
,"15:02:07","00:52","P","[1 : 2]   P   US Pallavolo Monza (women)",
,"15:02:21","01:07","Pt Conf","Pt Conf   US Pallavolo Monza (women)",
,"15:02:22","01:07","SRV","SRV   US Pallavolo Monza (women)",
,"15:02:23","01:08","RS","RS   US Pallavolo Monza (women)",
,"15:02:24","01:09","B POSS","B POSS   Azzurra Volley San Casciano (women)",
,"15:02:24","01:09","B POSS","B POSS   US Pallavolo Monza (women)",
,"15:02:27","01:12","B POSS","B POSS   Azzurra Volley San Casciano (women)",
,"15:02:31","01:16","OUT","OUT   Azzurra Volley San Casciano (women)",
,"15:02:31","01:16","P","[1 : 3]   P   US Pallavolo Monza (women)",
,"15:02:45","01:30","Pt Conf","Pt Conf   US Pallavolo Monza (women)",
,"15:02:45","01:30","SRV","SRV   US Pallavolo Monza (women)",
,"15:02:47","01:32","RS","RS   US Pallavolo Monza (women)",
,"15:02:47","01:32","B POSS","B POSS   Azzurra Volley San Casciano (women)",
,"15:02:48","01:33","B POSS","B POSS   US Pallavolo Monza (women)",
,"15:02:49","01:34","B POSS","B POSS   Azzurra Volley San Casciano (women)",
,"15:02:56","01:41","ERR","ERR   Azzurra Volley San Casciano (women)",
,"15:02:56","01:41","P","[1 : 4]   P   US Pallavolo Monza (women)",
,"15:03:12","01:57","Pt Conf","Pt Conf   US Pallavolo Monza (women)",
,"15:03:12","01:57","SRV","SRV   US Pallavolo Monza (women)",
,"15:03:13","01:58","RS","RS   US Pallavolo Monza (women)",
,"15:03:13","01:58","B POSS","B POSS   Azzurra Volley San Casciano (women)",
,"15:03:14","01:59","B POSS","B POSS   US Pallavolo Monza (women)",
,"15:03:17","02:02","B POSS","B POSS   Azzurra Volley San Casciano (women)",
,"15:03:21","02:06","K","K   US Pallavolo Monza (women)",
,"15:03:21","02:06","P","[1 : 5]   P   US Pallavolo Monza (women)",
,"15:03:44","02:29","Pt Conf","Pt Conf   US Pallavolo Monza (women)",
,"15:03:45","02:30","TIME","TIME",
,"15:03:46","02:31","TIME","TIME   Azzurra Volley San Casciano (women)",
,"15:04:27","03:12","SRV","SRV   US Pallavolo Monza (women)",
,"15:04:29","03:14","RS","RS   US Pallavolo Monza (women)",
,"15:04:29","03:14","B POSS","B POSS   Azzurra Volley San Casciano (women)",
,"15:04:30","03:15","B POSS","B POSS   US Pallavolo Monza (women)",
,"15:04:33","03:19","K","K   Azzurra Volley San Casciano (women)",
,"15:04:33","03:19","P","[2 : 5]   P   Azzurra Volley San Casciano (women)",
,"15:04:49","03:34","Pt Conf","Pt Conf   Azzurra Volley San Casciano (women)",
,"15:04:49","03:34","SRV","SRV   Azzurra Volley San Casciano (women)",
,"15:04:53","03:38","RS","RS   Azzurra Volley San Casciano (women)",
,"15:04:53","03:38","B POSS","B POSS   US Pallavolo Monza (women)",
,"15:04:53","03:38","B POSS","B POSS   Azzurra Volley San Casciano (women)",
,"15:04:54","03:39","B POSS","B POSS   US Pallavolo Monza (women)",
,"15:04:56","03:41","B POSS","B POSS   Azzurra Volley San Casciano (women)",
,"15:04:58","03:43","B POSS","B POSS   US Pallavolo Monza (women)",
,"15:05:00","03:45","B POSS","B POSS   Azzurra Volley San Casciano (women)",
,"15:05:00","03:45","Rally over 5 possession changes","Rally over 5 possession changes",
,"15:05:03","03:48","K","K   US Pallavolo Monza (women)",
,"15:05:03","03:48","P","[2 : 6]   P   US Pallavolo Monza (women)",
,"15:05:22","04:07","Pt Conf","Pt Conf   US Pallavolo Monza (women)",
,"15:05:23","04:08","SRV","SRV   US Pallavolo Monza (women)",
,"15:05:24","04:09","RS","RS   US Pallavolo Monza (women)",
,"15:05:24","04:10","B POSS","B POSS   Azzurra Volley San Casciano (women)",
,"15:05:25","04:10","B POSS","B POSS   US Pallavolo Monza (women)",
,"15:05:28","04:13","B POSS","B POSS   Azzurra Volley San Casciano (women)",
,"15:05:32","04:17","B POSS","B POSS   US Pallavolo Monza (women)",
,"15:05:36","04:21","K","K   Azzurra Volley San Casciano (women)",
,"15:05:36","04:21","P","[3 : 6]   P   Azzurra Volley San Casciano (women)",
,"15:05:51","04:36","Pt Conf","Pt Conf   Azzurra Volley San Casciano (women)",
,"15:05:52","04:37","SRV","SRV   Azzurra Volley San Casciano (women)",
,"15:05:53","04:38","RS","RS   Azzurra Volley San Casciano (women)",
,"15:05:54","04:39","B POSS","B POSS   US Pallavolo Monza (women)",
,"15:05:54","04:39","B POSS","B POSS   Azzurra Volley San Casciano (women)",
,"15:05:59","04:44","OUT","OUT   US Pallavolo Monza (women)",
,"15:05:59","04:44","P","[4 : 6]   P   Azzurra Volley San Casciano (women)",
,"15:06:15","05:00","Pt Conf","Pt Conf   Azzurra Volley San Casciano (women)",
,"15:06:16","05:01","SRV","SRV   Azzurra Volley San Casciano (women)",
,"15:06:17","05:02","RS","RS   Azzurra Volley San Casciano (women)",
,"15:06:17","05:02","B POSS","B POSS   US Pallavolo Monza (women)",
,"15:06:17","05:03","B POSS","B POSS   Azzurra Volley San Casciano (women)",
,"15:06:20","05:05","B POSS","B POSS   US Pallavolo Monza (women)",
,"15:06:21","05:06","B POSS","B POSS   Azzurra Volley San Casciano (women)",
,"15:06:27","05:12","K","K   US Pallavolo Monza (women)",
,"15:06:27","05:12","P","[4 : 7]   P   US Pallavolo Monza (women)",
,"15:06:44","05:29","Pt Conf","Pt Conf   US Pallavolo Monza (women)",
,"15:06:45","05:30","SRV","SRV   US Pallavolo Monza (women)",
,"15:06:46","05:31","RS","RS   US Pallavolo Monza (women)",
,"15:06:46","05:31","B POSS","B POSS   Azzurra Volley San Casciano (women)",
,"15:06:47","05:32","B POSS","B POSS   US Pallavolo Monza (women)",
,"15:06:49","05:35","B POSS","B POSS   Azzurra Volley San Casciano (women)",
,"15:06:54","05:39","K","K   Azzurra Volley San Casciano (women)",
,"15:06:54","05:39","P","[5 : 7]   P   Azzurra Volley San Casciano (women)",
,"15:07:09","05:54","Pt Conf","Pt Conf   Azzurra Volley San Casciano (women)",
,"15:07:09","05:54","SRV","SRV   Azzurra Volley San Casciano (women)",
,"15:07:10","05:55","RS","RS   Azzurra Volley San Casciano (women)",
,"15:07:11","05:56","B POSS","B POSS   US Pallavolo Monza (women)",
,"15:07:11","05:56","B POSS","B POSS   Azzurra Volley San Casciano (women)",
,"15:07:15","06:00","ERR","ERR   US Pallavolo Monza (women)",
,"15:07:15","06:00","P","[6 : 7]   P   Azzurra Volley San Casciano (women)",
,"15:07:30","06:15","Pt Conf","Pt Conf   Azzurra Volley San Casciano (women)",
,"15:07:30","06:15","SRV","SRV   Azzurra Volley San Casciano (women)",
,"15:07:31","06:16","RS","RS   Azzurra Volley San Casciano (women)",
,"15:07:31","06:17","B POSS","B POSS   US Pallavolo Monza (women)",
,"15:07:32","06:17","B POSS","B POSS   Azzurra Volley San Casciano (women)",
,"15:07:33","06:19","B POSS","B POSS   US Pallavolo Monza (women)",
,"15:07:34","06:19","B POSS","B POSS   Azzurra Volley San Casciano (women)",
,"15:07:39","06:24","K","K   US Pallavolo Monza (women)",
,"15:07:39","06:24","P","[6 : 8]   P   US Pallavolo Monza (women)",
,"15:07:54","06:39","Pt Conf","Pt Conf   US Pallavolo Monza (women)",
,"15:07:55","06:40","SRV","SRV   US Pallavolo Monza (women)",
,"15:07:56","06:41","RS","RS   US Pallavolo Monza (women)",
,"15:07:57","06:42","B POSS","B POSS   Azzurra Volley San Casciano (women)",
,"15:07:57","06:42","B POSS","B POSS   US Pallavolo Monza (women)",
,"15:07:58","06:43","B POSS","B POSS   Azzurra Volley San Casciano (women)",
,"15:08:03","06:48","B POSS","B POSS   US Pallavolo Monza (women)",
,"15:08:07","06:52","K","K   Azzurra Volley San Casciano (women)",
,"15:08:07","06:52","P","[7 : 8]   P   Azzurra Volley San Casciano (women)",
,"15:08:25","07:10","Pt Conf","Pt Conf   Azzurra Volley San Casciano (women)",
,"15:08:25","07:10","SRV","SRV   Azzurra Volley San Casciano (women)",
,"15:08:27","07:12","RS","RS   Azzurra Volley San Casciano (women)",
,"15:08:27","07:12","B POSS","B POSS   US Pallavolo Monza (women)",
,"15:08:28","07:14","B POSS","B POSS   Azzurra Volley San Casciano (women)",
,"15:08:33","07:18","K","K   US Pallavolo Monza (women)",
,"15:08:33","07:18","P","[7 : 9]   P   US Pallavolo Monza (women)",
,"15:08:48","07:33","Pt Conf","Pt Conf   US Pallavolo Monza (women)",
,"15:08:49","07:34","SRV","SRV   US Pallavolo Monza (women)",
,"15:08:49","07:34","S ERR","S ERR   US Pallavolo Monza (women)",
,"15:08:49","07:34","P","[8 : 9]   P   Azzurra Volley San Casciano (women)",
,"15:09:04","07:49","Pt Conf","Pt Conf   Azzurra Volley San Casciano (women)",
,"15:09:04","07:49","SRV","SRV   Azzurra Volley San Casciano (women)",
,"15:09:06","07:51","RS","RS   Azzurra Volley San Casciano (women)",
,"15:09:06","07:51","B POSS","B POSS   US Pallavolo Monza (women)",
,"15:09:07","07:52","B POSS","B POSS   Azzurra Volley San Casciano (women)",
,"15:09:09","07:54","B POSS","B POSS   US Pallavolo Monza (women)",
,"15:09:14","07:59","B POSS","B POSS   Azzurra Volley San Casciano (women)",
,"15:09:18","08:03","K","K   US Pallavolo Monza (women)",
,"15:09:18","08:03","P","[8 : 10]   P   US Pallavolo Monza (women)",
,"15:09:32","08:17","Pt Conf","Pt Conf   US Pallavolo Monza (women)",
,"15:09:32","08:17","SRV","SRV   US Pallavolo Monza (women)",
,"15:09:33","08:18","RS","RS   US Pallavolo Monza (women)",
,"15:09:34","08:19","B POSS","B POSS   Azzurra Volley San Casciano (women)",
,"15:09:34","08:19","B POSS","B POSS   US Pallavolo Monza (women)",
,"15:09:38","08:23","K","K   Azzurra Volley San Casciano (women)",
,"15:09:38","08:23","P","[9 : 10]   P   Azzurra Volley San Casciano (women)",
,"15:09:56","08:41","Pt Conf","Pt Conf   Azzurra Volley San Casciano (women)",
,"15:09:57","08:42","SRV","SRV   Azzurra Volley San Casciano (women)",
,"15:09:58","08:43","RS","RS   Azzurra Volley San Casciano (women)",
,"15:09:58","08:44","B POSS","B POSS   US Pallavolo Monza (women)",
,"15:09:59","08:44","B POSS","B POSS   Azzurra Volley San Casciano (women)",
,"15:10:00","08:45","B POSS","B POSS   US Pallavolo Monza (women)",
,"15:10:07","08:52","K","K   Azzurra Volley San Casciano (women)",
,"15:10:07","08:52","P","[10 : 10]   P   Azzurra Volley San Casciano (women)",
,"15:10:27","09:12","Pt Conf","Pt Conf   Azzurra Volley San Casciano (women)",
,"15:10:28","09:13","SRV","SRV   Azzurra Volley San Casciano (women)",
,"15:10:29","09:14","RS","RS   Azzurra Volley San Casciano (women)",
,"15:10:30","09:15","B POSS","B POSS   US Pallavolo Monza (women)",
,"15:10:30","09:15","B POSS","B POSS   Azzurra Volley San Casciano (women)",
,"15:10:34","09:19","K","K   US Pallavolo Monza (women)",
,"15:10:34","09:19","P","[10 : 11]   P   US Pallavolo Monza (women)",
,"15:10:50","09:35","Pt Conf","Pt Conf   US Pallavolo Monza (women)",
,"15:10:50","09:35","SRV","SRV   US Pallavolo Monza (women)",
,"15:10:51","09:36","RS","RS   US Pallavolo Monza (women)",
,"15:10:52","09:37","B POSS","B POSS   Azzurra Volley San Casciano (women)",
,"15:10:52","09:37","B POSS","B POSS   US Pallavolo Monza (women)",
,"15:10:55","09:40","B POSS","B POSS   Azzurra Volley San Casciano (women)",
,"15:10:57","09:42","B POSS","B POSS   US Pallavolo Monza (women)",
,"15:10:57","09:42","B POSS","B POSS   Azzurra Volley San Casciano (women)",
,"15:11:02","09:47","K","K   US Pallavolo Monza (women)",
,"15:11:02","09:47","P","[10 : 12]   P   US Pallavolo Monza (women)",
,"15:11:17","10:02","Pt Conf","Pt Conf   US Pallavolo Monza (women)",
,"15:11:17","10:02","SRV","SRV   US Pallavolo Monza (women)",
,"15:11:19","10:04","RS","RS   US Pallavolo Monza (women)",
,"15:11:20","10:05","B POSS","B POSS   Azzurra Volley San Casciano (women)",
,"15:11:20","10:05","B POSS","B POSS   US Pallavolo Monza (women)",
,"15:11:23","10:08","B POSS","B POSS   Azzurra Volley San Casciano (women)",
,"15:11:26","10:12","B POSS","B POSS   US Pallavolo Monza (women)",
,"15:11:30","10:15","B POSS","B POSS   Azzurra Volley San Casciano (women)",
,"15:11:36","10:21","K","K   US Pallavolo Monza (women)",
,"15:11:36","10:21","P","[10 : 13]   P   US Pallavolo Monza (women)",
,"15:11:55","10:40","Pt Conf","Pt Conf   US Pallavolo Monza (women)",
,"15:11:56","10:42","SRV","SRV   US Pallavolo Monza (women)",
,"15:11:57","10:43","RS","RS   US Pallavolo Monza (women)",
,"15:11:58","10:43","B POSS","B POSS   Azzurra Volley San Casciano (women)",
,"15:11:59","10:44","B POSS","B POSS   US Pallavolo Monza (women)",
,"15:12:00","10:45","B POSS","B POSS   Azzurra Volley San Casciano (women)",
,"15:12:05","10:50","K","K   Azzurra Volley San Casciano (women)",
,"15:12:05","10:50","P","[11 : 13]   P   Azzurra Volley San Casciano (women)",
,"15:12:19","11:04","Pt Conf","Pt Conf   Azzurra Volley San Casciano (women)",
,"15:12:19","11:04","SRV","SRV   Azzurra Volley San Casciano (women)",
,"15:12:21","11:06","RS","RS   Azzurra Volley San Casciano (women)",
,"15:12:22","11:07","B POSS","B POSS   US Pallavolo Monza (women)",
,"15:12:22","11:08","B POSS","B POSS   Azzurra Volley San Casciano (women)",
,"15:12:27","11:12","K","K   US Pallavolo Monza (women)",
,"15:12:27","11:12","P","[11 : 14]   P   US Pallavolo Monza (women)",
,"15:12:45","11:30","Pt Conf","Pt Conf   US Pallavolo Monza (women)",
,"15:12:46","11:31","SRV","SRV   US Pallavolo Monza (women)",
,"15:12:47","11:32","RS","RS   US Pallavolo Monza (women)",
,"15:12:47","11:32","B POSS","B POSS   Azzurra Volley San Casciano (women)",
,"15:12:49","11:34","B POSS","B POSS   US Pallavolo Monza (women)",
,"15:12:49","11:35","B POSS","B POSS   Azzurra Volley San Casciano (women)",
,"15:12:51","11:36","B POSS","B POSS   US Pallavolo Monza (women)",
,"15:12:52","11:37","B POSS","B POSS   Azzurra Volley San Casciano (women)",
,"15:12:54","11:39","B POSS","B POSS   US Pallavolo Monza (women)",
,"15:12:54","11:39","Rally over 5 possession changes","Rally over 5 possession changes",
,"15:13:00","11:45","K","K   Azzurra Volley San Casciano (women)",
,"15:13:00","11:45","P","[12 : 14]   P   Azzurra Volley San Casciano (women)",
,"15:13:19","12:04","Pt Conf","Pt Conf   Azzurra Volley San Casciano (women)",
,"15:13:20","12:05","SRV","SRV   Azzurra Volley San Casciano (women)",
,"15:13:21","12:06","RS","RS   Azzurra Volley San Casciano (women)",
,"15:13:22","12:07","B POSS","B POSS   US Pallavolo Monza (women)",
,"15:13:22","12:07","B POSS","B POSS   Azzurra Volley San Casciano (women)",
,"15:13:25","12:10","B POSS","B POSS   US Pallavolo Monza (women)",
,"15:13:31","12:16","K","K   Azzurra Volley San Casciano (women)",
,"15:13:31","12:16","P","[13 : 14]   P   Azzurra Volley San Casciano (women)",
,"15:13:49","12:34","Pt Conf","Pt Conf   Azzurra Volley San Casciano (women)",
,"15:13:50","12:35","SRV","SRV   Azzurra Volley San Casciano (women)",
,"15:13:52","12:37","RS","RS   Azzurra Volley San Casciano (women)",
,"15:13:52","12:37","B POSS","B POSS   US Pallavolo Monza (women)",
,"15:13:55","12:40","K","K   US Pallavolo Monza (women)",
,"15:13:55","12:40","P","[13 : 15]   P   US Pallavolo Monza (women)",
,"15:14:11","12:57","Pt Conf","Pt Conf   US Pallavolo Monza (women)",
,"15:14:12","12:57","SRV","SRV   US Pallavolo Monza (women)",
,"15:14:15","13:00","RS","RS   US Pallavolo Monza (women)",
,"15:14:16","13:01","B POSS","B POSS   Azzurra Volley San Casciano (women)",
,"15:14:16","13:01","B POSS","B POSS   US Pallavolo Monza (women)",
,"15:14:20","13:05","K","K   Azzurra Volley San Casciano (women)",
,"15:14:20","13:05","P","[14 : 15]   P   Azzurra Volley San Casciano (women)",
,"15:14:35","13:21","Pt Conf","Pt Conf   Azzurra Volley San Casciano (women)",
,"15:14:36","13:21","SRV","SRV   Azzurra Volley San Casciano (women)",
,"15:14:38","13:23","RS","RS   Azzurra Volley San Casciano (women)",
,"15:14:38","13:23","B POSS","B POSS   US Pallavolo Monza (women)",
,"15:14:39","13:24","B POSS","B POSS   Azzurra Volley San Casciano (women)",
,"15:14:40","13:25","B POSS","B POSS   US Pallavolo Monza (women)",
,"15:14:45","13:30","B POSS","B POSS   Azzurra Volley San Casciano (women)",
,"15:14:48","13:33","B POSS","B POSS   US Pallavolo Monza (women)",
,"15:14:52","13:38","B POSS","B POSS   Azzurra Volley San Casciano (women)",
,"15:14:52","13:38","Rally over 5 possession changes","Rally over 5 possession changes",
,"15:14:57","13:42","B POSS","B POSS   US Pallavolo Monza (women)",
,"15:15:03","13:48","B","B   US Pallavolo Monza (women)",
,"15:15:03","13:48","P","[14 : 16]   P   US Pallavolo Monza (women)",
,"15:15:23","14:08","Pt Conf","Pt Conf   US Pallavolo Monza (women)",
,"15:15:24","14:09","SRV","SRV   US Pallavolo Monza (women)",
,"15:15:25","14:10","RS","RS   US Pallavolo Monza (women)",
,"15:15:25","14:10","B POSS","B POSS   Azzurra Volley San Casciano (women)",
,"15:15:26","14:11","B POSS","B POSS   US Pallavolo Monza (women)",
,"15:15:27","14:12","B POSS","B POSS   Azzurra Volley San Casciano (women)",
,"15:15:32","14:17","K","K   US Pallavolo Monza (women)",
,"15:15:32","14:17","P","[14 : 17]   P   US Pallavolo Monza (women)",
,"15:15:42","14:27","Pt Conf","Pt Conf   US Pallavolo Monza (women)",
,"15:15:42","14:27","SRV","SRV   US Pallavolo Monza (women)",
,"15:15:43","14:28","RS","RS   US Pallavolo Monza (women)",
,"15:15:43","14:29","B POSS","B POSS   Azzurra Volley San Casciano (women)",
,"15:15:45","14:30","K","K   US Pallavolo Monza (women)",
,"15:15:45","14:30","P","[14 : 18]   P   US Pallavolo Monza (women)",
,"15:15:59","14:44","Pt Conf","Pt Conf   US Pallavolo Monza (women)",
,"15:16:00","14:45","TIME","TIME",
,"15:16:00","14:46","TIME","TIME   Azzurra Volley San Casciano (women)",
,"15:16:52","15:37","SRV","SRV   US Pallavolo Monza (women)",
,"15:16:53","15:38","RS","RS   US Pallavolo Monza (women)",
,"15:16:53","15:39","B POSS","B POSS   Azzurra Volley San Casciano (women)",
,"15:16:55","15:40","B POSS","B POSS   US Pallavolo Monza (women)",
,"15:16:57","15:42","K","K   Azzurra Volley San Casciano (women)",
,"15:16:57","15:42","P","[15 : 18]   P   Azzurra Volley San Casciano (women)",
