"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"888464","Italy","Serie A1 (women)","15.10.2017 - 15:00","Polisportiva Filottrano Pallavolo (women)","Volley Pesaro (women)",
"Statistics","Polisportiva Filottrano Pallavolo (women)","Type","Volley Pesaro (women)",
,"3","Score","1",
,"95","Points","74",
,"3","Sets","1",
,"3","Aces","3",
,"7","Service errors","8",
,"54","Kills","41",
,"13","Blocks","9",
,"10","Errors","9",
,"4","Outs","8",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"14:05:45","00:00","Game conditions changed","Game conditions changed",
,"14:14:09","00:00","Players warming up","Players warming up",
,"14:43:02","00:00","Jersey colours updated","Jersey colours updated",
,"14:43:02","00:00","Jersey colours updated","Jersey colours updated",
,"14:43:30","00:00","Warm up at the net","Warm up at the net",
,"14:55:59","00:00","Players lined up","Players lined up",
,"14:56:39","00:00","Shake hands","Shake hands",
,"14:57:10","00:00","Jersey colours updated","Jersey colours updated",
,"14:58:08","00:00","Players intro","Players intro",
,"15:00:33","00:00","Game about to start","Game about to start",
,"15:00:36","00:00","Start SRV","Start SRV   Polisportiva Filottrano Pallavolo (women)",
,"15:00:42","00:00","Start SRV","Start SRV   Polisportiva Filottrano Pallavolo (women)",
,"15:00:49","00:00","Start SRV","Start SRV   Polisportiva Filottrano Pallavolo (women)",
,"15:00:50","00:00","Start SRV","Start SRV   Polisportiva Filottrano Pallavolo (women)",
,"15:00:58","00:00","Start 1st Set","Start 1st Set",
,"15:01:00","00:01","SRV","SRV   Polisportiva Filottrano Pallavolo (women)",
,"15:01:00","00:01","RS","RS   Polisportiva Filottrano Pallavolo (women)",
,"15:01:00","00:01","B POSS","B POSS   Volley Pesaro (women)",
,"15:01:03","00:05","B","B   Polisportiva Filottrano Pallavolo (women)",
,"15:01:03","00:05","P","[1 : 0]   P   Polisportiva Filottrano Pallavolo (women)",
