"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"888466","Italy","Serie A1 (women)","15.10.2017 - 15:00","SAB Volley Legnano (women)","Volley Bergamo (women)",
"Statistics","SAB Volley Legnano (women)","Type","Volley Bergamo (women)",
,"3","Score","0",
,"75","Points","48",
,"3","Sets","0",
,"4","Aces","1",
,"6","Service errors","3",
,"42","Kills","31",
,"16","Blocks","5",
,"3","Errors","4",
,"2","Outs","6",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"14:12:32","00:00","Game conditions changed","Game conditions changed",
,"14:15:52","00:00","Players warming up","Players warming up",
,"14:43:20","00:00","Coin flipping","Coin flipping",
,"14:44:49","00:00","Warm up at the net","Warm up at the net",
,"14:56:41","00:00","Jersey colours updated","Jersey colours updated",
,"14:56:43","00:00","Jersey colours updated","Jersey colours updated",
,"14:57:37","00:00","Players lined up","Players lined up",
,"14:59:19","00:00","Shake hands","Shake hands",
,"15:00:50","00:00","Players intro","Players intro",
,"15:02:24","00:00","Game about to start","Game about to start",
,"15:03:05","00:00","Start SRV","Start SRV   Volley Bergamo (women)",
,"15:03:34","00:00","Start 1st Set","Start 1st Set",
,"15:03:36","00:01","SRV","SRV   Volley Bergamo (women)",
,"15:03:39","00:04","RS","RS   Volley Bergamo (women)",
,"15:03:40","00:05","B POSS","B POSS   SAB Volley Legnano (women)",
,"15:03:44","00:09","K","K   SAB Volley Legnano (women)",
,"15:03:44","00:09","P","[1 : 0]   P   SAB Volley Legnano (women)",
,"15:04:10","00:35","Pt Conf","Pt Conf   SAB Volley Legnano (women)",
,"15:04:10","00:35","SRV","SRV   SAB Volley Legnano (women)",
,"15:04:11","00:36","RS","RS   SAB Volley Legnano (women)",
,"15:04:11","00:36","B POSS","B POSS   Volley Bergamo (women)",
,"15:04:11","00:36","B","B   SAB Volley Legnano (women)",
,"15:04:11","00:36","P","[2 : 0]   P   SAB Volley Legnano (women)",
,"15:04:26","00:51","Pt Conf","Pt Conf   SAB Volley Legnano (women)",
,"15:04:26","00:51","SRV","SRV   SAB Volley Legnano (women)",
,"15:04:28","00:53","RS","RS   SAB Volley Legnano (women)",
,"15:04:28","00:53","B POSS","B POSS   Volley Bergamo (women)",
,"15:04:32","00:57","B POSS","B POSS   SAB Volley Legnano (women)",
,"15:04:40","01:05","K","K   SAB Volley Legnano (women)",
,"15:04:40","01:05","P","[3 : 0]   P   SAB Volley Legnano (women)",
,"15:04:52","01:17","Pt Conf","Pt Conf   SAB Volley Legnano (women)",
,"15:04:55","01:20","SRV","SRV   SAB Volley Legnano (women)",
,"15:05:03","01:28","A","A   SAB Volley Legnano (women)",
,"15:05:03","01:28","P","[4 : 0]   P   SAB Volley Legnano (women)",
,"15:05:20","01:45","Pt Conf","Pt Conf   SAB Volley Legnano (women)",
,"15:05:21","01:46","TIME","TIME",
,"15:05:22","01:47","TIME","TIME   Volley Bergamo (women)",
,"15:06:04","02:29","SRV","SRV   SAB Volley Legnano (women)",
,"15:06:07","02:32","RS","RS   SAB Volley Legnano (women)",
,"15:06:08","02:33","B POSS","B POSS   Volley Bergamo (women)",
,"15:06:13","02:38","K","K   Volley Bergamo (women)",
,"15:06:13","02:38","P","[4 : 1]   P   Volley Bergamo (women)",
,"15:06:24","02:49","Pt Conf","Pt Conf   Volley Bergamo (women)",
,"15:06:28","02:53","SRV","SRV   Volley Bergamo (women)",
,"15:06:31","02:56","RS","RS   Volley Bergamo (women)",
,"15:06:32","02:57","B POSS","B POSS   SAB Volley Legnano (women)",
,"15:06:33","02:58","B POSS","B POSS   Volley Bergamo (women)",
