"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"884689","Poland","Polska Liga (women)","15.10.2017 - 15:00","Chemik Police (women)","Budowlani Torun (women)",
"Statistics","Chemik Police (women)","Type","Budowlani Torun (women)",
,"3","Score","0",
,"75","Points","55",
,"3","Sets","0",
,"7","Aces","2",
,"8","Service errors","5",
,"37","Kills","30",
,"11","Blocks","8",
,"4","Errors","6",
,"3","Outs","9",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"14:23:11","00:00","Players warming up","Players warming up",
,"14:43:17","00:00","Jersey colours updated","Jersey colours updated",
,"14:43:18","00:00","Jersey colours updated","Jersey colours updated",
,"14:43:59","00:00","Coin flipping","Coin flipping",
,"14:44:47","00:00","Warm up at the net","Warm up at the net",
,"14:55:06","00:00","Game conditions changed","Game conditions changed",
,"14:56:00","00:00","Players lined up","Players lined up",
,"14:56:39","00:00","Shake hands","Shake hands",
,"14:57:55","00:00","Players intro","Players intro",
,"14:59:33","00:00","Game about to start","Game about to start",
,"15:00:49","00:00","Start SRV","Start SRV   Budowlani Torun (women)",
,"15:02:09","00:00","Start 1st Set","Start 1st Set",
,"15:02:10","00:00","SRV","SRV   Budowlani Torun (women)",
,"15:02:12","00:02","RS","RS   Budowlani Torun (women)",
,"15:02:12","00:02","B POSS","B POSS   Chemik Police (women)",
,"15:02:16","00:06","K","K   Chemik Police (women)",
,"15:02:16","00:06","P","[1 : 0]   P   Chemik Police (women)",
,"15:02:28","00:18","Pt Conf","Pt Conf   Chemik Police (women)",
,"15:02:32","00:22","SRV","SRV   Chemik Police (women)",
,"15:02:36","00:26","RS","RS   Chemik Police (women)",
,"15:02:36","00:26","B POSS","B POSS   Budowlani Torun (women)",
,"15:02:38","00:29","B POSS","B POSS   Chemik Police (women)",
,"15:02:43","00:33","K","K   Chemik Police (women)",
,"15:02:43","00:33","P","[2 : 0]   P   Chemik Police (women)",
,"15:02:56","00:46","Pt Conf","Pt Conf   Chemik Police (women)",
,"15:03:00","00:50","SRV","SRV   Chemik Police (women)",
,"15:03:05","00:55","A","A   Chemik Police (women)",
,"15:03:05","00:55","P","[3 : 0]   P   Chemik Police (women)",
,"15:03:22","01:12","Pt Conf","Pt Conf   Chemik Police (women)",
,"15:03:26","01:16","SRV","SRV   Chemik Police (women)",
,"15:03:30","01:20","RS","RS   Chemik Police (women)",
,"15:03:30","01:20","B POSS","B POSS   Budowlani Torun (women)",
,"15:03:34","01:24","OUT","OUT   Budowlani Torun (women)",
,"15:03:34","01:24","P","[4 : 0]   P   Chemik Police (women)",
,"15:03:47","01:37","Pt Conf","Pt Conf   Chemik Police (women)",
,"15:03:49","01:39","SRV","SRV   Chemik Police (women)",
,"15:03:53","01:43","S ERR","S ERR   Chemik Police (women)",
,"15:03:53","01:43","P","[4 : 1]   P   Budowlani Torun (women)",
,"15:04:03","01:54","Pt Conf","Pt Conf   Budowlani Torun (women)",
,"15:04:08","01:58","SRV","SRV   Budowlani Torun (women)",
