"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"889186","Russia","Cup (men)","15.10.2017 - 10:30","VC Dynamo LO","Lokomotiv Novosibirsk",
"Statistics","VC Dynamo LO","Type","Lokomotiv Novosibirsk",
,"1","Score","3",
,"82","Points","97",
,"1","Sets","3",
,"4","Aces","11",
,"25","Service errors","23",
,"35","Kills","46",
,"9","Blocks","7",
,"6","Errors","7",
,"2","Outs","4",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"09:50:12","00:00","Game conditions changed","Game conditions changed",
,"09:50:12","00:00","Players warming up","Players warming up",
,"09:51:05","00:00","Jersey colours updated","Jersey colours updated",
,"09:51:05","00:00","Jersey colours updated","Jersey colours updated",
,"10:13:12","00:00","Game conditions changed","Game conditions changed",
,"10:13:31","00:00","Coin flipping","Coin flipping",
,"10:14:19","00:00","Warm up at the net","Warm up at the net",
,"10:25:39","00:00","Players lined up","Players lined up",
,"10:26:22","00:00","National anthem singing","National anthem singing",
,"10:27:41","00:00","Shake hands","Shake hands",
,"10:29:13","00:00","Players intro","Players intro",
,"10:31:22","00:00","Game about to start","Game about to start",
,"10:31:24","00:00","Start SRV","Start SRV   VC Dynamo LO",
,"10:31:28","00:00","Start 1st Set","Start 1st Set",
,"10:31:28","00:00","SRV","SRV   VC Dynamo LO",
,"10:31:32","00:04","S ERR","S ERR   VC Dynamo LO",
,"10:31:32","00:04","P","[0 : 1]   P   Lokomotiv Novosibirsk",
,"10:31:44","00:16","Pt Conf","Pt Conf   Lokomotiv Novosibirsk",
,"10:31:45","00:17","SRV","SRV   Lokomotiv Novosibirsk",
,"10:31:52","00:24","RS","RS   Lokomotiv Novosibirsk",
,"10:31:52","00:24","B POSS","B POSS   VC Dynamo LO",
,"10:31:58","00:30","B POSS","B POSS   Lokomotiv Novosibirsk",
,"10:32:03","00:35","K","K   Lokomotiv Novosibirsk",
,"10:32:03","00:35","P","[0 : 2]   P   Lokomotiv Novosibirsk",
,"10:32:18","00:50","Pt Conf","Pt Conf   Lokomotiv Novosibirsk",
,"10:32:19","00:51","SRV","SRV   Lokomotiv Novosibirsk",
,"10:32:24","00:55","RS","RS   Lokomotiv Novosibirsk",
,"10:32:24","00:56","B POSS","B POSS   VC Dynamo LO",
,"10:32:29","01:01","K","K   VC Dynamo LO",
,"10:32:29","01:01","P","[1 : 2]   P   VC Dynamo LO",
,"10:32:42","01:14","Pt Conf","Pt Conf   VC Dynamo LO",
,"10:32:43","01:15","SRV","SRV   VC Dynamo LO",
,"10:32:51","01:23","S ERR","S ERR   VC Dynamo LO",
,"10:32:51","01:23","P","[1 : 3]   P   Lokomotiv Novosibirsk",
,"10:33:04","01:36","Pt Conf","Pt Conf   Lokomotiv Novosibirsk",
,"10:33:06","01:38","SRV","SRV   Lokomotiv Novosibirsk",
,"10:33:14","01:46","RS","RS   Lokomotiv Novosibirsk",
,"10:33:15","01:46","B POSS","B POSS   VC Dynamo LO",
,"10:33:18","01:50","B POSS","B POSS   Lokomotiv Novosibirsk",
,"10:33:23","01:55","B POSS","B POSS   VC Dynamo LO",
,"10:33:27","01:59","B POSS","B POSS   Lokomotiv Novosibirsk",
,"10:33:30","02:02","B POSS","B POSS   VC Dynamo LO",
,"10:33:36","02:08","K","K   VC Dynamo LO",
,"10:33:36","02:08","P","[2 : 3]   P   VC Dynamo LO",
,"10:33:53","02:24","Pt Conf","Pt Conf   VC Dynamo LO",
,"10:33:54","02:26","SRV","SRV   VC Dynamo LO",
,"10:34:00","02:32","S ERR","S ERR   VC Dynamo LO",
,"10:34:00","02:32","P","[2 : 4]   P   Lokomotiv Novosibirsk",
,"10:34:12","02:44","Pt Conf","Pt Conf   Lokomotiv Novosibirsk",
,"10:34:13","02:45","SRV","SRV   Lokomotiv Novosibirsk",
,"10:34:19","02:51","A","A   Lokomotiv Novosibirsk",
,"10:34:19","02:51","P","[2 : 5]   P   Lokomotiv Novosibirsk",
,"10:34:30","03:02","Pt Conf","Pt Conf   Lokomotiv Novosibirsk",
,"10:34:32","03:03","SRV","SRV   Lokomotiv Novosibirsk",
,"10:34:35","03:07","RS","RS   Lokomotiv Novosibirsk",
,"10:34:35","03:07","B POSS","B POSS   VC Dynamo LO",
,"10:34:38","03:10","B POSS","B POSS   Lokomotiv Novosibirsk",
,"10:34:43","03:15","K","K   Lokomotiv Novosibirsk",
,"10:34:43","03:15","P","[2 : 6]   P   Lokomotiv Novosibirsk",
,"10:34:57","03:29","Pt Conf","Pt Conf   Lokomotiv Novosibirsk",
