"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"889188","Russia","Cup (men)","15.10.2017 - 14:30","VC Yenisey Krasnoyarsk","Zenit Kazan",
"Statistics","VC Yenisey Krasnoyarsk","Type","Zenit Kazan",
,"0","Score","3",
,"56","Points","75",
,"0","Sets","3",
,"4","Aces","8",
,"11","Service errors","16",
,"27","Kills","40",
,"5","Blocks","8",
,"2","Errors","1",
,"6","Outs","3",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"14:22:09","00:00","Game conditions changed","Game conditions changed",
,"14:22:10","00:00","Players warming up","Players warming up",
,"14:48:08","00:00","Jersey colours updated","Jersey colours updated",
,"14:48:08","00:00","Jersey colours updated","Jersey colours updated",
,"14:48:27","00:00","Warm up at the net","Warm up at the net",
,"14:54:11","00:00","Players lined up","Players lined up",
,"14:54:29","00:00","National anthem singing","National anthem singing",
,"14:56:56","00:00","Shake hands","Shake hands",
,"14:58:21","00:00","Players intro","Players intro",
,"14:59:29","00:00","Game about to start","Game about to start",
,"15:00:26","00:00","Start SRV","Start SRV   VC Yenisey Krasnoyarsk",
,"15:00:33","00:00","Start 1st Set","Start 1st Set",
,"15:00:33","00:00","SRV","SRV   VC Yenisey Krasnoyarsk",
,"15:00:38","00:04","RS","RS   VC Yenisey Krasnoyarsk",
,"15:00:38","00:04","B POSS","B POSS   Zenit Kazan",
,"15:00:44","00:11","K","K   Zenit Kazan",
,"15:00:44","00:11","P","[0 : 1]   P   Zenit Kazan",
,"15:01:02","00:28","Pt Conf","Pt Conf   Zenit Kazan",
,"15:01:03","00:30","SRV","SRV   Zenit Kazan",
,"15:01:06","00:32","RS","RS   Zenit Kazan",
,"15:01:06","00:32","B POSS","B POSS   VC Yenisey Krasnoyarsk",
,"15:01:11","00:37","K","K   VC Yenisey Krasnoyarsk",
,"15:01:11","00:37","P","[1 : 1]   P   VC Yenisey Krasnoyarsk",
,"15:01:28","00:54","Pt Conf","Pt Conf   VC Yenisey Krasnoyarsk",
