"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"880105","Turkey","Efeler Ligi","15.10.2017 - 12:00","Galatasaray Spor Kulubu","Inegol Belediye",
"Statistics","Galatasaray Spor Kulubu","Type","Inegol Belediye",
,"3","Score","1",
,"100","Points","92",
,"3","Sets","1",
,"7","Aces","10",
,"9","Service errors","23",
,"41","Kills","60",
,"17","Blocks","4",
,"2","Errors","9",
,"7","Outs","3",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"11:39:42","00:00","Game conditions changed","Game conditions changed",
,"11:39:48","00:00","Game conditions changed","Game conditions changed",
,"11:39:50","00:00","Players warming up","Players warming up",
,"11:46:38","00:00","Coin flipping","Coin flipping",
,"11:46:39","00:00","Warm up at the net","Warm up at the net",
,"11:50:40","00:00","Jersey colours updated","Jersey colours updated",
,"11:50:40","00:00","Jersey colours updated","Jersey colours updated",
,"11:56:09","00:00","Players lined up","Players lined up",
,"11:57:09","00:00","Players intro","Players intro",
,"11:59:01","00:00","Game about to start","Game about to start",
,"11:59:47","00:00","Start SRV","Start SRV   Galatasaray Spor Kulubu",
,"12:00:04","00:00","Start 1st Set","Start 1st Set",
,"12:00:04","00:00","SRV","SRV   Galatasaray Spor Kulubu",
,"12:00:07","00:03","RS","RS   Galatasaray Spor Kulubu",
,"12:00:08","00:03","B POSS","B POSS   Inegol Belediye",
,"12:00:11","00:07","K","K   Inegol Belediye",
,"12:00:11","00:07","P","[0 : 1]   P   Inegol Belediye",
,"12:00:27","00:23","Pt Conf","Pt Conf   Inegol Belediye",
,"12:00:28","00:24","SRV","SRV   Inegol Belediye",
,"12:00:30","00:25","RS","RS   Inegol Belediye",
,"12:00:30","00:25","B POSS","B POSS   Galatasaray Spor Kulubu",
,"12:00:41","00:36","K","K   Galatasaray Spor Kulubu",
,"12:00:41","00:36","P","[1 : 1]   P   Galatasaray Spor Kulubu",
,"12:01:05","01:01","Pt Conf","Pt Conf   Galatasaray Spor Kulubu",
,"12:01:06","01:02","SRV","SRV   Galatasaray Spor Kulubu",
,"12:01:08","01:03","S ERR","S ERR   Galatasaray Spor Kulubu",
,"12:01:08","01:03","P","[1 : 2]   P   Inegol Belediye",
,"12:01:28","01:24","Pt Conf","Pt Conf   Inegol Belediye",
,"12:01:29","01:25","SRV","SRV   Inegol Belediye",
,"12:01:31","01:26","RS","RS   Inegol Belediye",
,"12:01:31","01:26","B POSS","B POSS   Galatasaray Spor Kulubu",
,"12:01:34","01:29","K","K   Galatasaray Spor Kulubu",
,"12:01:34","01:29","P","[2 : 2]   P   Galatasaray Spor Kulubu",
,"12:01:53","01:49","Pt Conf","Pt Conf   Galatasaray Spor Kulubu",
,"12:01:55","01:50","SRV","SRV   Galatasaray Spor Kulubu",
,"12:01:56","01:51","RS","RS   Galatasaray Spor Kulubu",
,"12:01:56","01:52","B POSS","B POSS   Inegol Belediye",
,"12:02:00","01:55","K","K   Inegol Belediye",
,"12:02:00","01:55","P","[2 : 3]   P   Inegol Belediye",
,"12:02:19","02:14","Pt Conf","Pt Conf   Inegol Belediye",
,"12:02:20","02:15","SRV","SRV   Inegol Belediye",
,"12:02:21","02:17","A","A   Inegol Belediye",
,"12:02:21","02:17","P","[2 : 4]   P   Inegol Belediye",
,"12:02:42","02:38","Pt Conf","Pt Conf   Inegol Belediye",
,"12:02:44","02:39","SRV","SRV   Inegol Belediye",
,"12:02:46","02:41","A","A   Inegol Belediye",
,"12:02:46","02:41","P","[2 : 5]   P   Inegol Belediye",
,"12:03:05","03:01","Pt Conf","Pt Conf   Inegol Belediye",
,"12:03:07","03:02","SRV","SRV   Inegol Belediye",
,"12:03:08","03:03","RS","RS   Inegol Belediye",
,"12:03:08","03:03","B POSS","B POSS   Galatasaray Spor Kulubu",
,"12:03:17","03:12","OUT","OUT   Galatasaray Spor Kulubu",
,"12:03:17","03:12","P","[2 : 6]   P   Inegol Belediye",
,"12:04:09","04:04","Pt Conf","Pt Conf   Inegol Belediye",
,"12:04:10","04:05","TIME","TIME",
,"12:04:12","04:07","TIME","TIME   Galatasaray Spor Kulubu",
,"12:04:32","04:27","SRV","SRV   Inegol Belediye",
,"12:04:34","04:29","RS","RS   Inegol Belediye",
,"12:04:34","04:29","B POSS","B POSS   Galatasaray Spor Kulubu",
,"12:04:38","04:33","K","K   Galatasaray Spor Kulubu",
,"12:04:38","04:33","P","[3 : 6]   P   Galatasaray Spor Kulubu",
,"12:05:01","04:57","Pt Conf","Pt Conf   Galatasaray Spor Kulubu",
,"12:05:03","04:58","SRV","SRV   Galatasaray Spor Kulubu",
,"12:05:04","05:00","RS","RS   Galatasaray Spor Kulubu",
,"12:05:04","05:00","B POSS","B POSS   Inegol Belediye",
,"12:05:08","05:03","ERR","ERR   Inegol Belediye",
,"12:05:08","05:03","P","[4 : 6]   P   Galatasaray Spor Kulubu",
,"12:05:27","05:22","Pt Conf","Pt Conf   Galatasaray Spor Kulubu",
,"12:05:28","05:23","SRV","SRV   Galatasaray Spor Kulubu",
,"12:05:29","05:25","RS","RS   Galatasaray Spor Kulubu",
,"12:05:29","05:25","B POSS","B POSS   Inegol Belediye",
,"12:05:38","05:33","OUT","OUT   Galatasaray Spor Kulubu",
,"12:05:38","05:33","P","[4 : 7]   P   Inegol Belediye",
,"12:06:06","06:01","Pt Conf","Pt Conf   Inegol Belediye",
,"12:06:07","06:02","SRV","SRV   Inegol Belediye",
,"12:06:09","06:04","RS","RS   Inegol Belediye",
,"12:06:09","06:04","B POSS","B POSS   Galatasaray Spor Kulubu",
,"12:06:16","06:12","K","K   Inegol Belediye",
,"12:06:16","06:12","P","[4 : 8]   P   Inegol Belediye",
,"12:06:38","06:33","Pt Conf","Pt Conf   Inegol Belediye",
,"12:06:39","06:34","SRV","SRV   Inegol Belediye",
,"12:06:41","06:36","RS","RS   Inegol Belediye",
,"12:06:41","06:36","B POSS","B POSS   Galatasaray Spor Kulubu",
,"12:06:44","06:39","K","K   Galatasaray Spor Kulubu",
,"12:06:44","06:39","P","[5 : 8]   P   Galatasaray Spor Kulubu",
,"12:07:06","07:02","Pt Conf","Pt Conf   Galatasaray Spor Kulubu",
,"12:07:07","07:03","SRV","SRV   Galatasaray Spor Kulubu",
,"12:07:09","07:05","RS","RS   Galatasaray Spor Kulubu",
,"12:07:09","07:05","B POSS","B POSS   Inegol Belediye",
,"12:07:13","07:08","K","K   Inegol Belediye",
,"12:07:13","07:08","P","[5 : 9]   P   Inegol Belediye",
,"12:07:35","07:30","Pt Conf","Pt Conf   Inegol Belediye",
,"12:07:36","07:31","SRV","SRV   Inegol Belediye",
,"12:07:38","07:33","A","A   Inegol Belediye",
,"12:07:38","07:33","P","[5 : 10]   P   Inegol Belediye",
,"12:08:10","08:05","Pt Conf","Pt Conf   Inegol Belediye",
,"12:08:11","08:06","SRV","SRV   Inegol Belediye",
,"12:08:12","08:08","S ERR","S ERR   Inegol Belediye",
,"12:08:12","08:08","P","[6 : 10]   P   Galatasaray Spor Kulubu",
,"12:08:29","08:25","Pt Conf","Pt Conf   Galatasaray Spor Kulubu",
,"12:08:31","08:26","SRV","SRV   Galatasaray Spor Kulubu",
,"12:08:32","08:27","RS","RS   Galatasaray Spor Kulubu",
,"12:08:32","08:28","B POSS","B POSS   Inegol Belediye",
,"12:08:39","08:35","ERR","ERR   Inegol Belediye",
,"12:08:39","08:35","P","[7 : 10]   P   Galatasaray Spor Kulubu",
,"12:09:00","08:55","Pt Conf","Pt Conf   Galatasaray Spor Kulubu",
,"12:09:01","08:56","SRV","SRV   Galatasaray Spor Kulubu",
,"12:09:04","09:00","S ERR","S ERR   Galatasaray Spor Kulubu",
,"12:09:04","09:00","P","[7 : 11]   P   Inegol Belediye",
,"12:09:27","09:22","Pt Conf","Pt Conf   Inegol Belediye",
,"12:09:28","09:24","SRV","SRV   Inegol Belediye",
,"12:09:30","09:25","S ERR","S ERR   Inegol Belediye",
,"12:09:30","09:25","P","[8 : 11]   P   Galatasaray Spor Kulubu",
,"12:09:49","09:45","Pt Conf","Pt Conf   Galatasaray Spor Kulubu",
,"12:09:50","09:46","SRV","SRV   Galatasaray Spor Kulubu",
,"12:09:52","09:47","RS","RS   Galatasaray Spor Kulubu",
,"12:09:52","09:47","B POSS","B POSS   Inegol Belediye",
,"12:09:59","09:55","K","K   Inegol Belediye",
,"12:09:59","09:55","P","[8 : 12]   P   Inegol Belediye",
,"12:11:05","11:00","Pt Conf","Pt Conf   Inegol Belediye",
,"12:11:06","11:01","TIME","TIME",
,"12:11:07","11:02","TTO","TTO",
,"12:11:14","11:09","SRV","SRV   Inegol Belediye",
,"12:11:17","11:12","RS","RS   Inegol Belediye",
,"12:11:17","11:13","B POSS","B POSS   Galatasaray Spor Kulubu",
,"12:11:30","11:26","ERR","ERR   Galatasaray Spor Kulubu",
,"12:11:30","11:26","P","[8 : 13]   P   Inegol Belediye",
,"12:11:53","11:48","Pt Conf","Pt Conf   Inegol Belediye",
,"12:11:54","11:49","SRV","SRV   Inegol Belediye",
,"12:11:56","11:52","RS","RS   Inegol Belediye",
,"12:11:57","11:52","B POSS","B POSS   Galatasaray Spor Kulubu",
,"12:12:02","11:58","ERR","ERR   Inegol Belediye",
,"12:12:02","11:58","P","[9 : 13]   P   Galatasaray Spor Kulubu",
,"12:12:25","12:21","Pt Conf","Pt Conf   Galatasaray Spor Kulubu",
,"12:12:26","12:22","SRV","SRV   Galatasaray Spor Kulubu",
,"12:12:28","12:23","S ERR","S ERR   Galatasaray Spor Kulubu",
,"12:12:28","12:23","P","[9 : 14]   P   Inegol Belediye",
,"12:12:43","12:39","Pt Conf","Pt Conf   Inegol Belediye",
,"12:12:44","12:40","SRV","SRV   Inegol Belediye",
