"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"880101","Turkey","Efeler Ligi","15.10.2017 - 13:00","Fenerbahce SK","Halkbank Spor Kulubu",
"Statistics","Fenerbahce SK","Type","Halkbank Spor Kulubu",
,"1","Score","3",
,"89","Points","96",
,"1","Sets","3",
,"7","Aces","16",
,"17","Service errors","21",
,"37","Kills","40",
,"11","Blocks","8",
,"7","Errors","3",
,"7","Outs","7",
,"1","Penalty Points","1",
,"2","Points (unknown method)","0",
,"1","Penalties","1",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"12:19:34","00:00","Game conditions changed","Game conditions changed",
,"12:19:37","00:00","Players warming up","Players warming up",
,"12:47:09","00:00","Coin flipping","Coin flipping",
,"12:47:09","00:00","Warm up at the net","Warm up at the net",
,"12:52:06","00:00","Jersey colours updated","Jersey colours updated",
,"12:52:06","00:00","Jersey colours updated","Jersey colours updated",
,"12:56:53","00:00","Players intro","Players intro",
,"12:56:54","00:00","Players lined up","Players lined up",
,"12:58:36","00:00","Game about to start","Game about to start",
,"12:59:44","00:00","Start SRV","Start SRV   Halkbank Spor Kulubu",
,"13:00:06","00:00","Start 1st Set","Start 1st Set",
,"13:00:06","00:00","SRV","SRV   Halkbank Spor Kulubu",
,"13:00:08","00:02","RS","RS   Halkbank Spor Kulubu",
,"13:00:08","00:02","B POSS","B POSS   Fenerbahce SK",
,"13:00:14","00:07","OUT","OUT   Fenerbahce SK",
,"13:00:14","00:07","P","[0 : 1]   P   Halkbank Spor Kulubu",
,"13:00:31","00:25","Pt Conf","Pt Conf   Halkbank Spor Kulubu",
,"13:00:32","00:26","SRV","SRV   Halkbank Spor Kulubu",
,"13:00:33","00:26","RS","RS   Halkbank Spor Kulubu",
,"13:00:33","00:27","B POSS","B POSS   Fenerbahce SK",
,"13:00:35","00:29","B POSS","B POSS   Halkbank Spor Kulubu",
,"13:00:41","00:35","B POSS","B POSS   Fenerbahce SK",
,"13:00:45","00:39","K","K   Fenerbahce SK",
,"13:00:45","00:39","P","[1 : 1]   P   Fenerbahce SK",
,"13:01:05","00:59","Pt Conf","Pt Conf   Fenerbahce SK",
,"13:01:05","00:59","SRV","SRV   Fenerbahce SK",
,"13:01:09","01:02","S ERR","S ERR   Fenerbahce SK",
,"13:01:09","01:02","P","[1 : 2]   P   Halkbank Spor Kulubu",
,"13:01:25","01:18","Pt Conf","Pt Conf   Halkbank Spor Kulubu",
,"13:01:27","01:20","SRV","SRV   Halkbank Spor Kulubu",
,"13:01:30","01:24","RS","RS   Halkbank Spor Kulubu",
,"13:01:30","01:24","B POSS","B POSS   Fenerbahce SK",
,"13:01:34","01:27","OUT","OUT   Fenerbahce SK",
,"13:01:34","01:27","P","[1 : 3]   P   Halkbank Spor Kulubu",
,"13:01:49","01:43","Pt Conf","Pt Conf   Halkbank Spor Kulubu",
,"13:01:50","01:43","SRV","SRV   Halkbank Spor Kulubu",
,"13:01:52","01:46","RS","RS   Halkbank Spor Kulubu",
,"13:01:52","01:46","B POSS","B POSS   Fenerbahce SK",
,"13:01:57","01:50","ERR","ERR   Fenerbahce SK",
,"13:01:57","01:50","P","[1 : 4]   P   Halkbank Spor Kulubu",
,"13:02:08","02:02","Pt Conf","Pt Conf   Halkbank Spor Kulubu",
,"13:02:09","02:02","TIME","TIME",
,"13:02:09","02:03","TIME","TIME   Fenerbahce SK",
,"13:03:04","02:58","SRV","SRV   Halkbank Spor Kulubu",
,"13:03:06","02:59","A","A   Halkbank Spor Kulubu",
,"13:03:06","02:59","P","[1 : 5]   P   Halkbank Spor Kulubu",
