"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"880102","Turkey","Efeler Ligi","15.10.2017 - 14:00","Kula Belediye","Istanbul BB SK",
"Statistics","Kula Belediye","Type","Istanbul BB SK",
,"0","Score","3",
,"56","Points","75",
,"0","Sets","3",
,"1","Aces","4",
,"14","Service errors","11",
,"29","Kills","37",
,"4","Blocks","7",
,"4","Errors","5",
,"9","Outs","6",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"13:15:26","00:00","Game conditions changed","Game conditions changed",
,"13:15:31","00:00","Players warming up","Players warming up",
,"13:16:00","00:00","Jersey colours updated","Jersey colours updated",
,"13:16:00","00:00","Jersey colours updated","Jersey colours updated",
,"13:46:14","00:00","Coin flipping","Coin flipping",
,"13:46:47","00:00","Warm up at the net","Warm up at the net",
,"13:59:26","00:00","Players lined up","Players lined up",
,"14:00:55","00:00","Players intro","Players intro",
,"14:03:08","00:00","Game about to start","Game about to start",
,"14:03:09","00:00","Start SRV","Start SRV   Istanbul BB SK",
,"14:03:14","00:00","Start 1st Set","Start 1st Set",
,"14:03:14","00:00","SRV","SRV   Istanbul BB SK",
,"14:03:15","00:01","S ERR","S ERR   Istanbul BB SK",
,"14:03:15","00:01","P","[1 : 0]   P   Kula Belediye",
,"14:03:28","00:14","Pt Conf","Pt Conf   Kula Belediye",
,"14:03:36","00:22","SRV","SRV   Kula Belediye",
,"14:03:37","00:23","RS","RS   Kula Belediye",
,"14:03:38","00:23","B POSS","B POSS   Istanbul BB SK",
,"14:03:40","00:26","K","K   Kula Belediye",
,"14:03:40","00:26","P","[2 : 0]   P   Kula Belediye",
,"14:03:53","00:39","Pt Conf","Pt Conf   Kula Belediye",
,"14:03:58","00:44","SRV","SRV   Kula Belediye",
,"14:04:01","00:47","S ERR","S ERR   Kula Belediye",
,"14:04:01","00:47","P","[2 : 1]   P   Istanbul BB SK",
,"14:04:30","01:16","Pt Conf","Pt Conf   Istanbul BB SK",
,"14:04:37","01:23","SRV","SRV   Istanbul BB SK",
,"14:04:39","01:25","RS","RS   Istanbul BB SK",
,"14:04:39","01:25","B POSS","B POSS   Kula Belediye",
,"14:04:46","01:32","ERR","ERR   Kula Belediye",
,"14:04:46","01:32","P","[2 : 2]   P   Istanbul BB SK",
,"14:04:58","01:44","Pt Conf","Pt Conf   Istanbul BB SK",
,"14:05:07","01:53","SRV","SRV   Istanbul BB SK",
,"14:05:08","01:54","S ERR","S ERR   Istanbul BB SK",
,"14:05:08","01:54","P","[3 : 2]   P   Kula Belediye",
,"14:05:23","02:09","Pt Conf","Pt Conf   Kula Belediye",
,"14:05:31","02:17","SRV","SRV   Kula Belediye",
,"14:05:33","02:19","RS","RS   Kula Belediye",
,"14:05:33","02:19","B POSS","B POSS   Istanbul BB SK",
,"14:05:37","02:23","K","K   Istanbul BB SK",
,"14:05:37","02:23","P","[3 : 3]   P   Istanbul BB SK",
,"14:05:50","02:36","Pt Conf","Pt Conf   Istanbul BB SK",
,"14:05:56","02:42","SRV","SRV   Istanbul BB SK",
,"14:05:58","02:44","RS","RS   Istanbul BB SK",
,"14:05:58","02:44","B POSS","B POSS   Kula Belediye",
,"14:06:02","02:48","B POSS","B POSS   Istanbul BB SK",
,"14:06:07","02:53","K","K   Istanbul BB SK",
,"14:06:07","02:53","P","[3 : 4]   P   Istanbul BB SK",
,"14:06:23","03:09","Pt Conf","Pt Conf   Istanbul BB SK",
,"14:06:28","03:14","SRV","SRV   Istanbul BB SK",
,"14:06:30","03:16","RS","RS   Istanbul BB SK",
,"14:06:30","03:16","B POSS","B POSS   Kula Belediye",
,"14:06:34","03:20","K","K   Kula Belediye",
,"14:06:34","03:20","P","[4 : 4]   P   Kula Belediye",
,"14:06:50","03:36","Pt Conf","Pt Conf   Kula Belediye",
,"14:06:55","03:41","SRV","SRV   Kula Belediye",
,"14:06:56","03:42","RS","RS   Kula Belediye",
,"14:06:57","03:42","B POSS","B POSS   Istanbul BB SK",
,"14:07:00","03:46","B POSS","B POSS   Kula Belediye",
,"14:07:04","03:50","B","B   Istanbul BB SK",
,"14:07:04","03:50","P","[4 : 5]   P   Istanbul BB SK",
,"14:07:21","04:06","Pt Conf","Pt Conf   Istanbul BB SK",
,"14:07:25","04:11","SRV","SRV   Istanbul BB SK",
,"14:07:27","04:13","RS","RS   Istanbul BB SK",
,"14:07:28","04:14","B POSS","B POSS   Kula Belediye",
,"14:07:33","04:19","K","K   Kula Belediye",
,"14:07:33","04:19","P","[5 : 5]   P   Kula Belediye",
,"14:07:44","04:30","Pt Conf","Pt Conf   Kula Belediye",
