"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"887899","USA","NCAA Women","15.10.2017 - 01:00","UCLA Bruins (women/students)","Cal Golden Bears (women/students)",
"Statistics","UCLA Bruins (women/students)","Type","Cal Golden Bears (women/students)",
,"3","Score","0",
,"75","Points","53",
,"3","Sets","0",
,"5","Aces","4",
,"6","Service errors","5",
,"43","Kills","28",
,"9","Blocks","4",
,"3","Errors","4",
,"8","Outs","9",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"00:06:46","00:00","Game conditions changed","Game conditions changed",
,"00:19:53","00:00","Players warming up","Players warming up",
,"00:28:57","00:00","Coin flipping","Coin flipping",
,"00:39:15","00:00","Warm up at the net","Warm up at the net",
,"00:57:54","00:00","National anthem singing","National anthem singing",
,"00:59:09","00:00","Jersey colours updated","Jersey colours updated",
,"00:59:09","00:00","Jersey colours updated","Jersey colours updated",
,"00:59:14","00:00","Players intro","Players intro",
,"01:02:51","00:00","Players lined up","Players lined up",
,"01:02:58","00:00","Shake hands","Shake hands",
,"01:04:15","00:00","Game about to start","Game about to start",
,"01:04:32","00:00","Start SRV","Start SRV   UCLA Bruins (women/students)",
,"01:04:44","00:00","Start 1st Set","Start 1st Set",
,"01:04:45","00:00","SRV","SRV   UCLA Bruins (women/students)",
,"01:04:46","00:02","RS","RS   UCLA Bruins (women/students)",
,"01:04:47","00:02","B POSS","B POSS   Cal Golden Bears (women/students)",
,"01:04:50","00:05","K","K   UCLA Bruins (women/students)",
,"01:04:50","00:05","P","[1 : 0]   P   UCLA Bruins (women/students)",
,"01:04:55","00:10","Pt Conf","Pt Conf   UCLA Bruins (women/students)",
,"01:05:08","00:23","SRV","SRV   UCLA Bruins (women/students)",
,"01:05:10","00:25","RS","RS   UCLA Bruins (women/students)",
,"01:05:11","00:26","B POSS","B POSS   Cal Golden Bears (women/students)",
