"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"887888","USA","NCAA Women","15.10.2017 - 16:30","Boston College Eagles (women/students)","Pitt Panthers (women/students)",
"Statistics","Boston College Eagles (women/students)","Type","Pitt Panthers (women/students)",
,"0","Score","3",
,"57","Points","75",
,"0","Sets","3",
,"3","Aces","6",
,"11","Service errors","6",
,"35","Kills","37",
,"5","Blocks","9",
,"6","Errors","5",
,"6","Outs","3",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"15:48:52","00:00","Game conditions changed","Game conditions changed",
,"15:48:55","00:00","Players warming up","Players warming up",
,"16:00:52","00:00","Coin flipping","Coin flipping",
,"16:10:22","00:00","Game conditions changed","Game conditions changed",
,"16:11:59","00:00","Warm up at the net","Warm up at the net",
,"16:18:46","00:00","Jersey colours updated","Jersey colours updated",
,"16:18:46","00:00","Jersey colours updated","Jersey colours updated",
,"16:31:04","00:00","Players lined up","Players lined up",
,"16:31:30","00:00","National anthem singing","National anthem singing",
,"16:33:04","00:00","Players intro","Players intro",
,"16:35:36","00:00","Shake hands","Shake hands",
,"16:36:23","00:00","Game about to start","Game about to start",
,"16:37:10","00:00","Start SRV","Start SRV   Boston College Eagles (women/students)",
,"16:37:17","00:00","Start 1st Set","Start 1st Set",
,"16:37:17","00:00","SRV","SRV   Boston College Eagles (women/students)",
,"16:37:20","00:02","RS","RS   Boston College Eagles (women/students)",
,"16:37:20","00:03","B POSS","B POSS   Pitt Panthers (women/students)",
,"16:37:22","00:05","K","K   Pitt Panthers (women/students)",
,"16:37:22","00:05","P","[0 : 1]   P   Pitt Panthers (women/students)",
,"16:37:34","00:17","Pt Conf","Pt Conf   Pitt Panthers (women/students)",
,"16:37:39","00:22","SRV","SRV   Pitt Panthers (women/students)",
,"16:37:42","00:25","RS","RS   Pitt Panthers (women/students)",
,"16:37:42","00:25","B POSS","B POSS   Boston College Eagles (women/students)",
,"16:37:45","00:28","B POSS","B POSS   Pitt Panthers (women/students)",
,"16:37:50","00:33","B POSS","B POSS   Boston College Eagles (women/students)",
,"16:37:53","00:36","B POSS","B POSS   Pitt Panthers (women/students)",
,"16:37:58","00:41","B POSS","B POSS   Boston College Eagles (women/students)",
