"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"887879","USA","NCAA Women","15.10.2017 - 18:00","MTSU Blue Raiders (women/students)","UNC Charlotte 49ers (women/students)",
"Statistics","MTSU Blue Raiders (women/students)","Type","UNC Charlotte 49ers (women/students)",
,"3","Score","2",
,"110","Points","109",
,"3","Sets","2",
,"12","Aces","3",
,"19","Service errors","2",
,"70","Kills","41",
,"9","Blocks","20",
,"13","Errors","8",
,"13","Outs","9",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"17:25:51","00:00","Players warming up","Players warming up",
,"17:25:53","00:00","Game conditions changed","Game conditions changed",
,"17:32:32","00:00","Coin flipping","Coin flipping",
,"17:43:27","00:00","Warm up at the net","Warm up at the net",
,"17:58:04","00:00","Jersey colours updated","Jersey colours updated",
,"17:58:05","00:00","Jersey colours updated","Jersey colours updated",
,"18:00:46","00:00","Players intro","Players intro",
,"18:03:56","00:00","National anthem singing","National anthem singing",
,"18:05:23","00:00","Shake hands","Shake hands",
,"18:06:25","00:00","Game about to start","Game about to start",
,"18:06:34","00:00","Start SRV","Start SRV   MTSU Blue Raiders (women/students)",
,"18:06:46","00:00","Start 1st Set","Start 1st Set",
,"18:06:47","00:00","SRV","SRV   MTSU Blue Raiders (women/students)",
,"18:06:49","00:03","RS","RS   MTSU Blue Raiders (women/students)",
,"18:06:50","00:03","B POSS","B POSS   UNC Charlotte 49ers (women/students)",
,"18:06:52","00:05","B POSS","B POSS   MTSU Blue Raiders (women/students)",
,"18:06:59","00:12","Point under investigation","Point under investigation",
,"18:07:09","00:23","K","K   MTSU Blue Raiders (women/students)",
,"18:07:09","00:23","P","[1 : 0]   P   MTSU Blue Raiders (women/students)",
,"18:07:13","00:27","Pt Conf","Pt Conf   MTSU Blue Raiders (women/students)",
,"18:07:14","00:28","SRV","SRV   MTSU Blue Raiders (women/students)",
,"18:07:17","00:31","RS","RS   MTSU Blue Raiders (women/students)",
,"18:07:18","00:31","B POSS","B POSS   UNC Charlotte 49ers (women/students)",
,"18:07:22","00:35","B POSS","B POSS   MTSU Blue Raiders (women/students)",
,"18:07:27","00:41","ERR","ERR   MTSU Blue Raiders (women/students)",
,"18:07:27","00:41","P","[1 : 1]   P   UNC Charlotte 49ers (women/students)",
,"18:07:35","00:49","Pt Conf","Pt Conf   UNC Charlotte 49ers (women/students)",
,"18:07:36","00:50","SRV","SRV   UNC Charlotte 49ers (women/students)",
,"18:07:38","00:52","RS","RS   UNC Charlotte 49ers (women/students)",
,"18:07:39","00:53","B POSS","B POSS   MTSU Blue Raiders (women/students)",
,"18:07:41","00:55","K","K   MTSU Blue Raiders (women/students)",
,"18:07:41","00:55","P","[2 : 1]   P   MTSU Blue Raiders (women/students)",
,"18:07:55","01:08","Pt Conf","Pt Conf   MTSU Blue Raiders (women/students)",
,"18:07:56","01:10","SRV","SRV   MTSU Blue Raiders (women/students)",
,"18:07:58","01:12","S ERR","S ERR   MTSU Blue Raiders (women/students)",
,"18:07:58","01:12","P","[2 : 2]   P   UNC Charlotte 49ers (women/students)",
,"18:08:10","01:23","Pt Conf","Pt Conf   UNC Charlotte 49ers (women/students)",
,"18:08:13","01:27","SRV","SRV   UNC Charlotte 49ers (women/students)",
,"18:08:15","01:29","RS","RS   UNC Charlotte 49ers (women/students)",
,"18:08:16","01:30","B POSS","B POSS   MTSU Blue Raiders (women/students)",
,"18:08:18","01:32","B POSS","B POSS   UNC Charlotte 49ers (women/students)",
,"18:08:31","01:45","ERR","ERR   MTSU Blue Raiders (women/students)",
,"18:08:31","01:45","P","[2 : 3]   P   UNC Charlotte 49ers (women/students)",
,"18:08:42","01:55","Pt Conf","Pt Conf   UNC Charlotte 49ers (women/students)",
,"18:08:43","01:57","SRV","SRV   UNC Charlotte 49ers (women/students)",
,"18:08:46","02:00","RS","RS   UNC Charlotte 49ers (women/students)",
,"18:08:47","02:01","B POSS","B POSS   MTSU Blue Raiders (women/students)",
,"18:08:51","02:04","OUT","OUT   MTSU Blue Raiders (women/students)",
,"18:08:51","02:04","P","[2 : 4]   P   UNC Charlotte 49ers (women/students)",
,"18:08:52","02:05","Point under investigation","Point under investigation",
,"18:09:00","02:14","Pt Conf","Pt Conf   UNC Charlotte 49ers (women/students)",
,"18:09:02","02:16","SRV","SRV   UNC Charlotte 49ers (women/students)",
,"18:09:04","02:18","RS","RS   UNC Charlotte 49ers (women/students)",
,"18:09:05","02:19","B POSS","B POSS   MTSU Blue Raiders (women/students)",
,"18:09:07","02:21","K","K   MTSU Blue Raiders (women/students)",
,"18:09:07","02:21","P","[3 : 4]   P   MTSU Blue Raiders (women/students)",
,"18:09:17","02:31","Pt Conf","Pt Conf   MTSU Blue Raiders (women/students)",
