"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"887892","USA","NCAA Women","15.10.2017 - 18:00","Manhattan Jaspers (women/students)","Rider Broncs (women/students)",
"Statistics","Manhattan Jaspers (women/students)","Type","Rider Broncs (women/students)",
,"0","Score","3",
,"56","Points","75",
,"0","Sets","3",
,"5","Aces","9",
,"5","Service errors","10",
,"30","Kills","43",
,"4","Blocks","6",
,"7","Errors","2",
,"5","Outs","5",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"17:58:08","00:00","Game conditions changed","Game conditions changed",
,"17:58:09","00:00","Players warming up","Players warming up",
,"17:58:10","00:00","Coin flipping","Coin flipping",
,"17:58:10","00:00","Warm up at the net","Warm up at the net",
,"18:00:48","00:00","Jersey colours updated","Jersey colours updated",
,"18:00:48","00:00","Jersey colours updated","Jersey colours updated",
,"18:02:20","00:00","National anthem singing","National anthem singing",
,"18:03:38","00:00","Players intro","Players intro",
,"18:03:41","00:00","Players lined up","Players lined up",
,"18:03:41","00:00","Minute of silence","Minute of silence",
,"18:03:42","00:00","Shake hands","Shake hands",
,"18:03:44","00:00","Game about to start","Game about to start",
,"18:04:50","00:00","Start SRV","Start SRV   Manhattan Jaspers (women/students)",
,"18:04:52","00:00","Start 1st Set","Start 1st Set",
,"18:04:53","00:00","SRV","SRV   Manhattan Jaspers (women/students)",
,"18:04:57","00:04","RS","RS   Manhattan Jaspers (women/students)",
,"18:04:57","00:04","B POSS","B POSS   Rider Broncs (women/students)",
,"18:05:01","00:08","B POSS","B POSS   Manhattan Jaspers (women/students)",
,"18:05:05","00:12","OUT","OUT   Manhattan Jaspers (women/students)",
,"18:05:05","00:12","P","[0 : 1]   P   Rider Broncs (women/students)",
,"18:05:10","00:17","Pt Conf","Pt Conf   Rider Broncs (women/students)",
,"18:05:22","00:29","SRV","SRV   Rider Broncs (women/students)",
,"18:05:28","00:35","RS","RS   Rider Broncs (women/students)",
,"18:05:28","00:35","B POSS","B POSS   Manhattan Jaspers (women/students)",
,"18:05:31","00:38","K","K   Manhattan Jaspers (women/students)",
,"18:05:31","00:38","P","[1 : 1]   P   Manhattan Jaspers (women/students)",
,"18:05:41","00:48","Pt Conf","Pt Conf   Manhattan Jaspers (women/students)",
,"18:05:42","00:49","SRV","SRV   Manhattan Jaspers (women/students)",
,"18:05:50","00:57","A","A   Manhattan Jaspers (women/students)",
,"18:05:50","00:57","P","[2 : 1]   P   Manhattan Jaspers (women/students)",
,"18:05:59","01:06","Pt Conf","Pt Conf   Manhattan Jaspers (women/students)",
,"18:06:02","01:09","SRV","SRV   Manhattan Jaspers (women/students)",
,"18:06:08","01:15","RS","RS   Manhattan Jaspers (women/students)",
,"18:06:08","01:15","B POSS","B POSS   Rider Broncs (women/students)",
,"18:06:10","01:17","B POSS","B POSS   Manhattan Jaspers (women/students)",
,"18:06:17","01:24","B POSS","B POSS   Rider Broncs (women/students)",
,"18:06:20","01:27","K","K   Rider Broncs (women/students)",
,"18:06:20","01:27","P","[2 : 2]   P   Rider Broncs (women/students)",
,"18:06:30","01:37","Pt Conf","Pt Conf   Rider Broncs (women/students)",
,"18:06:33","01:40","SRV","SRV   Rider Broncs (women/students)",
,"18:06:42","01:49","RS","RS   Rider Broncs (women/students)",
,"18:06:43","01:50","B POSS","B POSS   Manhattan Jaspers (women/students)",
,"18:06:45","01:52","B POSS","B POSS   Rider Broncs (women/students)",
,"18:06:49","01:56","K","K   Rider Broncs (women/students)",
,"18:06:49","01:56","P","[2 : 3]   P   Rider Broncs (women/students)",
,"18:06:55","02:02","Pt Conf","Pt Conf   Rider Broncs (women/students)",
,"18:06:59","02:06","SRV","SRV   Rider Broncs (women/students)",
,"18:07:09","02:16","RS","RS   Rider Broncs (women/students)",
,"18:07:09","02:16","B POSS","B POSS   Manhattan Jaspers (women/students)",
,"18:07:13","02:20","K","K   Manhattan Jaspers (women/students)",
,"18:07:13","02:20","P","[3 : 3]   P   Manhattan Jaspers (women/students)",
,"18:07:21","02:28","Pt Conf","Pt Conf   Manhattan Jaspers (women/students)",
,"18:07:28","02:35","SRV","SRV   Manhattan Jaspers (women/students)",
,"18:07:33","02:40","RS","RS   Manhattan Jaspers (women/students)",
,"18:07:33","02:40","B POSS","B POSS   Rider Broncs (women/students)",
,"18:07:36","02:43","B POSS","B POSS   Manhattan Jaspers (women/students)",
,"18:07:39","02:46","K","K   Manhattan Jaspers (women/students)",
,"18:07:39","02:46","P","[4 : 3]   P   Manhattan Jaspers (women/students)",
,"18:07:47","02:54","Pt Conf","Pt Conf   Manhattan Jaspers (women/students)",
,"18:07:49","02:56","SRV","SRV   Manhattan Jaspers (women/students)",
,"18:07:55","03:02","RS","RS   Manhattan Jaspers (women/students)",
,"18:07:56","03:03","B POSS","B POSS   Rider Broncs (women/students)",
,"18:07:59","03:06","B POSS","B POSS   Manhattan Jaspers (women/students)",
