"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"887868","USA","NCAA Women","15.10.2017 - 22:00","USC Trojans (women/students)","Stanford Cardinals (women/students)",
"Statistics","USC Trojans (women/students)","Type","Stanford Cardinals (women/students)",
,"1","Score","3",
,"84","Points","99",
,"1","Sets","3",
,"3","Aces","8",
,"7","Service errors","11",
,"48","Kills","57",
,"9","Blocks","11",
,"6","Errors","5",
,"10","Outs","8",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"21:29:12","00:00","Game conditions changed","Game conditions changed",
,"21:34:16","00:00","Players warming up","Players warming up",
,"21:43:56","00:00","Coin flipping","Coin flipping",
,"21:43:57","00:00","Warm up at the net","Warm up at the net",
,"21:55:11","00:00","Jersey colours updated","Jersey colours updated",
,"21:55:12","00:00","Jersey colours updated","Jersey colours updated",
,"21:57:52","00:00","National anthem singing","National anthem singing",
,"22:00:08","00:00","Players intro","Players intro",
,"22:03:46","00:00","Players lined up","Players lined up",
,"22:03:52","00:00","Shake hands","Shake hands",
,"22:05:03","00:00","Game about to start","Game about to start",
,"22:05:06","00:00","Start SRV","Start SRV   Stanford Cardinals (women/students)",
,"22:05:18","00:00","Start 1st Set","Start 1st Set",
,"22:05:18","00:00","SRV","SRV   Stanford Cardinals (women/students)",
,"22:05:20","00:02","RS","RS   Stanford Cardinals (women/students)",
,"22:05:21","00:03","B POSS","B POSS   USC Trojans (women/students)",
,"22:05:25","00:07","OUT","OUT   USC Trojans (women/students)",
,"22:05:25","00:07","P","[0 : 1]   P   Stanford Cardinals (women/students)",
,"22:05:40","00:22","Pt Conf","Pt Conf   Stanford Cardinals (women/students)",
,"22:05:41","00:23","SRV","SRV   Stanford Cardinals (women/students)",
,"22:05:42","00:24","RS","RS   Stanford Cardinals (women/students)",
,"22:05:43","00:25","B POSS","B POSS   USC Trojans (women/students)",
,"22:05:49","00:30","B POSS","B POSS   Stanford Cardinals (women/students)",
,"22:05:51","00:33","B POSS","B POSS   USC Trojans (women/students)",
,"22:06:00","00:42","OUT","OUT   USC Trojans (women/students)",
,"22:06:00","00:42","P","[0 : 2]   P   Stanford Cardinals (women/students)",
,"22:06:13","00:55","Pt Conf","Pt Conf   Stanford Cardinals (women/students)",
