"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"885101","Czech Republic","Extraliga (men)","16.10.2017 - 18:10","VK CEZ Karlovarsko","VK Dukla Liberec",
"Statistics","VK CEZ Karlovarsko","Type","VK Dukla Liberec",
,"1","Score","3",
,"86","Points","98",
,"1","Sets","3",
,"10","Aces","6",
,"21","Service errors","15",
,"37","Kills","41",
,"12","Blocks","15",
,"3","Errors","4",
,"12","Outs","8",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"17:51:43","00:00","Game conditions changed","Game conditions changed",
,"17:51:44","00:00","Players warming up","Players warming up",
,"17:55:25","00:00","Coin flipping","Coin flipping",
,"17:55:47","00:00","Jersey colours updated","Jersey colours updated",
,"17:55:47","00:00","Jersey colours updated","Jersey colours updated",
,"17:56:40","00:00","Warm up at the net","Warm up at the net",
,"18:12:00","00:00","Players lined up","Players lined up",
,"18:12:50","00:00","Shake hands","Shake hands",
,"18:13:23","00:00","Players intro","Players intro",
,"18:15:21","00:00","Game about to start","Game about to start",
,"18:15:56","00:00","Start SRV","Start SRV   VK Dukla Liberec",
,"18:16:07","00:00","Start 1st Set","Start 1st Set",
,"18:16:07","00:00","SRV","SRV   VK Dukla Liberec",
,"18:16:10","00:03","RS","RS   VK Dukla Liberec",
,"18:16:11","00:03","B POSS","B POSS   VK CEZ Karlovarsko",
,"18:16:14","00:07","K","K   VK CEZ Karlovarsko",
,"18:16:14","00:07","P","[1 : 0]   P   VK CEZ Karlovarsko",
,"18:16:27","00:19","Pt Conf","Pt Conf   VK CEZ Karlovarsko",
,"18:16:35","00:27","SRV","SRV   VK CEZ Karlovarsko",
,"18:16:38","00:31","S ERR","S ERR   VK CEZ Karlovarsko",
,"18:16:38","00:31","P","[1 : 1]   P   VK Dukla Liberec",
,"18:16:50","00:42","Pt Conf","Pt Conf   VK Dukla Liberec",
,"18:16:59","00:51","SRV","SRV   VK Dukla Liberec",
,"18:17:04","00:56","A","A   VK Dukla Liberec",
,"18:17:04","00:56","P","[1 : 2]   P   VK Dukla Liberec",
,"18:17:16","01:08","Pt Conf","Pt Conf   VK Dukla Liberec",
,"18:17:26","01:18","SRV","SRV   VK Dukla Liberec",
,"18:17:30","01:22","RS","RS   VK Dukla Liberec",
,"18:17:30","01:23","B POSS","B POSS   VK CEZ Karlovarsko",
,"18:17:38","01:30","K","K   VK CEZ Karlovarsko",
,"18:17:38","01:30","P","[2 : 2]   P   VK CEZ Karlovarsko",
,"18:17:55","01:47","Pt Conf","Pt Conf   VK CEZ Karlovarsko",
,"18:18:02","01:54","SRV","SRV   VK CEZ Karlovarsko",
,"18:18:06","01:58","RS","RS   VK CEZ Karlovarsko",
,"18:18:06","01:58","B POSS","B POSS   VK Dukla Liberec",
,"18:18:10","02:02","K","K   VK Dukla Liberec",
,"18:18:10","02:02","P","[2 : 3]   P   VK Dukla Liberec",
,"18:18:24","02:16","Pt Conf","Pt Conf   VK Dukla Liberec",
,"18:18:27","02:20","SRV","SRV   VK Dukla Liberec",
,"18:18:29","02:22","RS","RS   VK Dukla Liberec",
,"18:18:30","02:22","B POSS","B POSS   VK CEZ Karlovarsko",
,"18:18:32","02:25","B POSS","B POSS   VK Dukla Liberec",
,"18:18:38","02:30","K","K   VK Dukla Liberec",
,"18:18:38","02:30","P","[2 : 4]   P   VK Dukla Liberec",
,"18:18:52","02:44","Pt Conf","Pt Conf   VK Dukla Liberec",
,"18:18:52","02:45","SRV","SRV   VK Dukla Liberec",
,"18:18:55","02:48","RS","RS   VK Dukla Liberec",
,"18:18:56","02:48","B POSS","B POSS   VK CEZ Karlovarsko",
,"18:18:59","02:52","K","K   VK CEZ Karlovarsko",
,"18:18:59","02:52","P","[3 : 4]   P   VK CEZ Karlovarsko",
,"18:19:15","03:07","Pt Conf","Pt Conf   VK CEZ Karlovarsko",
,"18:19:25","03:18","SRV","SRV   VK CEZ Karlovarsko",
,"18:19:28","03:21","S ERR","S ERR   VK CEZ Karlovarsko",
,"18:19:28","03:21","P","[3 : 5]   P   VK Dukla Liberec",
,"18:19:40","03:32","Pt Conf","Pt Conf   VK Dukla Liberec",
,"18:19:42","03:34","SRV","SRV   VK Dukla Liberec",
,"18:19:46","03:38","S ERR","S ERR   VK Dukla Liberec",
,"18:19:46","03:38","P","[4 : 5]   P   VK CEZ Karlovarsko",
,"18:19:57","03:50","Pt Conf","Pt Conf   VK CEZ Karlovarsko",
,"18:20:02","03:55","SRV","SRV   VK CEZ Karlovarsko",
,"18:20:06","03:59","RS","RS   VK CEZ Karlovarsko",
,"18:20:07","03:59","B POSS","B POSS   VK Dukla Liberec",
,"18:20:08","04:01","B POSS","B POSS   VK CEZ Karlovarsko",
,"18:20:13","04:06","K","K   VK CEZ Karlovarsko",
,"18:20:13","04:06","P","[5 : 5]   P   VK CEZ Karlovarsko",
,"18:20:25","04:18","Pt Conf","Pt Conf   VK CEZ Karlovarsko",
,"18:20:32","04:25","SRV","SRV   VK CEZ Karlovarsko",
,"18:20:37","04:29","RS","RS   VK CEZ Karlovarsko",
,"18:20:37","04:30","B POSS","B POSS   VK Dukla Liberec",
,"18:20:38","04:30","B POSS","B POSS   VK CEZ Karlovarsko",
,"18:20:42","04:34","B POSS","B POSS   VK Dukla Liberec",
,"18:20:49","04:41","K","K   VK Dukla Liberec",
,"18:20:49","04:41","P","[5 : 6]   P   VK Dukla Liberec",
,"18:21:04","04:56","Pt Conf","Pt Conf   VK Dukla Liberec",
,"18:21:09","05:01","SRV","SRV   VK Dukla Liberec",
,"18:21:14","05:06","S ERR","S ERR   VK Dukla Liberec",
,"18:21:14","05:06","P","[6 : 6]   P   VK CEZ Karlovarsko",
,"18:21:27","05:20","Pt Conf","Pt Conf   VK CEZ Karlovarsko",
,"18:21:31","05:24","SRV","SRV   VK CEZ Karlovarsko",
,"18:21:34","05:27","RS","RS   VK CEZ Karlovarsko",
,"18:21:35","05:27","B POSS","B POSS   VK Dukla Liberec",
,"18:21:39","05:32","K","K   VK Dukla Liberec",
,"18:21:39","05:32","P","[6 : 7]   P   VK Dukla Liberec",
,"18:21:55","05:47","Pt Conf","Pt Conf   VK Dukla Liberec",
,"18:22:01","05:53","SRV","SRV   VK Dukla Liberec",
,"18:22:04","05:57","RS","RS   VK Dukla Liberec",
,"18:22:05","05:57","B POSS","B POSS   VK CEZ Karlovarsko",
,"18:22:08","06:01","B","B   VK Dukla Liberec",
,"18:22:08","06:01","P","[6 : 8]   P   VK Dukla Liberec",
,"18:22:19","06:12","Pt Conf","Pt Conf   VK Dukla Liberec",
,"18:22:20","06:13","TIME","TIME",
,"18:22:21","06:13","TTO","TTO",
,"18:23:35","07:27","SRV","SRV   VK Dukla Liberec",
,"18:23:38","07:30","RS","RS   VK Dukla Liberec",
,"18:23:38","07:30","B POSS","B POSS   VK CEZ Karlovarsko",
,"18:23:43","07:35","ERR","ERR   VK Dukla Liberec",
,"18:23:43","07:35","P","[7 : 8]   P   VK CEZ Karlovarsko",
,"18:23:56","07:48","Pt Conf","Pt Conf   VK CEZ Karlovarsko",
,"18:24:00","07:53","SRV","SRV   VK CEZ Karlovarsko",
,"18:24:04","07:57","RS","RS   VK CEZ Karlovarsko",
,"18:24:05","07:57","B POSS","B POSS   VK Dukla Liberec",
,"18:24:17","08:09","B","B   VK CEZ Karlovarsko",
,"18:24:17","08:09","P","[8 : 8]   P   VK CEZ Karlovarsko",
,"18:24:35","08:28","Pt Conf","Pt Conf   VK CEZ Karlovarsko",
,"18:24:39","08:31","SRV","SRV   VK CEZ Karlovarsko",
,"18:24:42","08:35","S ERR","S ERR   VK CEZ Karlovarsko",
,"18:24:42","08:35","P","[8 : 9]   P   VK Dukla Liberec",
,"18:24:56","08:48","Pt Conf","Pt Conf   VK Dukla Liberec",
,"18:25:02","08:54","SRV","SRV   VK Dukla Liberec",
,"18:25:04","08:56","RS","RS   VK Dukla Liberec",
,"18:25:04","08:56","B POSS","B POSS   VK CEZ Karlovarsko",
,"18:25:07","09:00","B","B   VK Dukla Liberec",
,"18:25:07","09:00","P","[8 : 10]   P   VK Dukla Liberec",
,"18:25:17","09:10","Correct statistics","Correct statistics   (B VK Dukla Liberec <=> K VK Dukla Liberec)",
,"18:25:17","09:10","K","K   VK Dukla Liberec",
,"18:25:20","09:13","Pt Conf","Pt Conf   VK Dukla Liberec",
,"18:25:22","09:15","SRV","SRV   VK Dukla Liberec",
,"18:25:26","09:19","RS","RS   VK Dukla Liberec",
,"18:25:26","09:19","B POSS","B POSS   VK CEZ Karlovarsko",
,"18:25:31","09:23","K","K   VK CEZ Karlovarsko",
,"18:25:31","09:23","P","[9 : 10]   P   VK CEZ Karlovarsko",
,"18:25:48","09:41","Pt Conf","Pt Conf   VK CEZ Karlovarsko",
,"18:25:54","09:46","SRV","SRV   VK CEZ Karlovarsko",
,"18:25:57","09:50","RS","RS   VK CEZ Karlovarsko",
,"18:25:58","09:50","B POSS","B POSS   VK Dukla Liberec",
,"18:26:01","09:53","B POSS","B POSS   VK CEZ Karlovarsko",
,"18:26:04","09:56","B POSS","B POSS   VK Dukla Liberec",
,"18:26:08","10:00","K","K   VK Dukla Liberec",
,"18:26:08","10:00","P","[9 : 11]   P   VK Dukla Liberec",
,"18:26:25","10:17","Pt Conf","Pt Conf   VK Dukla Liberec",
,"18:26:36","10:28","SRV","SRV   VK Dukla Liberec",
,"18:26:40","10:32","S ERR","S ERR   VK Dukla Liberec",
,"18:26:40","10:32","P","[10 : 11]   P   VK CEZ Karlovarsko",
,"18:26:52","10:44","Pt Conf","Pt Conf   VK CEZ Karlovarsko",
,"18:27:00","10:53","SRV","SRV   VK CEZ Karlovarsko",
,"18:27:04","10:56","RS","RS   VK CEZ Karlovarsko",
,"18:27:04","10:57","B POSS","B POSS   VK Dukla Liberec",
,"18:27:08","11:00","K","K   VK Dukla Liberec",
,"18:27:08","11:00","P","[10 : 12]   P   VK Dukla Liberec",
,"18:27:25","11:17","Pt Conf","Pt Conf   VK Dukla Liberec",
,"18:27:25","11:18","SRV","SRV   VK Dukla Liberec",
,"18:27:29","11:21","RS","RS   VK Dukla Liberec",
,"18:27:29","11:22","B POSS","B POSS   VK CEZ Karlovarsko",
,"18:27:33","11:25","B POSS","B POSS   VK Dukla Liberec",
,"18:27:33","11:26","B POSS","B POSS   VK CEZ Karlovarsko",
,"18:27:36","11:28","B POSS","B POSS   VK Dukla Liberec",
,"18:27:40","11:33","B","B   VK CEZ Karlovarsko",
,"18:27:40","11:33","P","[11 : 12]   P   VK CEZ Karlovarsko",
,"18:27:59","11:51","Pt Conf","Pt Conf   VK CEZ Karlovarsko",
,"18:28:07","11:59","SRV","SRV   VK CEZ Karlovarsko",
,"18:28:09","12:01","RS","RS   VK CEZ Karlovarsko",
,"18:28:09","12:01","B POSS","B POSS   VK Dukla Liberec",
,"18:28:13","12:05","K","K   VK Dukla Liberec",
,"18:28:13","12:05","P","[11 : 13]   P   VK Dukla Liberec",
,"18:28:30","12:22","Pt Conf","Pt Conf   VK Dukla Liberec",
,"18:28:34","12:26","SRV","SRV   VK Dukla Liberec",
,"18:28:38","12:30","RS","RS   VK Dukla Liberec",
,"18:28:38","12:30","B POSS","B POSS   VK CEZ Karlovarsko",
,"18:28:43","12:35","K","K   VK CEZ Karlovarsko",
,"18:28:43","12:35","P","[12 : 13]   P   VK CEZ Karlovarsko",
,"18:28:57","12:50","Pt Conf","Pt Conf   VK CEZ Karlovarsko",
,"18:29:03","12:55","SRV","SRV   VK CEZ Karlovarsko",
,"18:29:06","12:58","RS","RS   VK CEZ Karlovarsko",
,"18:29:06","12:58","B POSS","B POSS   VK Dukla Liberec",
,"18:29:10","13:03","K","K   VK Dukla Liberec",
,"18:29:10","13:03","P","[12 : 14]   P   VK Dukla Liberec",
,"18:29:25","13:17","Pt Conf","Pt Conf   VK Dukla Liberec",
,"18:29:27","13:19","SRV","SRV   VK Dukla Liberec",
,"18:29:31","13:23","RS","RS   VK Dukla Liberec",
,"18:29:31","13:23","B POSS","B POSS   VK CEZ Karlovarsko",
,"18:29:37","13:30","K","K   VK CEZ Karlovarsko",
,"18:29:37","13:30","P","[13 : 14]   P   VK CEZ Karlovarsko",
,"18:29:52","13:44","Pt Conf","Pt Conf   VK CEZ Karlovarsko",
,"18:29:56","13:48","SRV","SRV   VK CEZ Karlovarsko",
,"18:29:58","13:50","RS","RS   VK CEZ Karlovarsko",
,"18:29:58","13:51","B POSS","B POSS   VK Dukla Liberec",
,"18:30:01","13:54","B POSS","B POSS   VK CEZ Karlovarsko",
,"18:30:05","13:57","K","K   VK CEZ Karlovarsko",
,"18:30:05","13:57","P","[14 : 14]   P   VK CEZ Karlovarsko",
,"18:30:25","14:17","Pt Conf","Pt Conf   VK CEZ Karlovarsko",
,"18:30:31","14:24","SRV","SRV   VK CEZ Karlovarsko",
,"18:30:35","14:27","S ERR","S ERR   VK CEZ Karlovarsko",
,"18:30:35","14:27","P","[14 : 15]   P   VK Dukla Liberec",
,"18:30:56","14:48","Pt Conf","Pt Conf   VK Dukla Liberec",
,"18:31:00","14:53","SRV","SRV   VK Dukla Liberec",
,"18:31:03","14:56","RS","RS   VK Dukla Liberec",
,"18:31:04","14:56","B POSS","B POSS   VK CEZ Karlovarsko",
,"18:31:07","15:00","B","B   VK Dukla Liberec",
,"18:31:07","15:00","P","[14 : 16]   P   VK Dukla Liberec",
,"18:31:13","15:05","Pt Conf","Pt Conf   VK Dukla Liberec",
,"18:31:13","15:06","TIME","TIME",
,"18:31:14","15:06","TTO","TTO",
,"18:32:31","16:24","SRV","SRV   VK Dukla Liberec",
,"18:32:33","16:26","RS","RS   VK Dukla Liberec",
,"18:32:34","16:26","B POSS","B POSS   VK CEZ Karlovarsko",
,"18:32:38","16:31","K","K   VK CEZ Karlovarsko",
,"18:32:38","16:31","P","[15 : 16]   P   VK CEZ Karlovarsko",
,"18:33:04","16:57","Pt Conf","Pt Conf   VK CEZ Karlovarsko",
,"18:33:08","17:01","SRV","SRV   VK CEZ Karlovarsko",
,"18:33:11","17:03","RS","RS   VK CEZ Karlovarsko",
,"18:33:11","17:04","B POSS","B POSS   VK Dukla Liberec",
,"18:33:16","17:08","ERR","ERR   VK Dukla Liberec",
,"18:33:16","17:08","P","[16 : 16]   P   VK CEZ Karlovarsko",
,"18:33:28","17:21","Pt Conf","Pt Conf   VK CEZ Karlovarsko",
,"18:33:34","17:26","SRV","SRV   VK CEZ Karlovarsko",
,"18:33:37","17:29","RS","RS   VK CEZ Karlovarsko",
,"18:33:37","17:30","B POSS","B POSS   VK Dukla Liberec",
,"18:33:48","17:40","B","B   VK CEZ Karlovarsko",
,"18:33:48","17:40","P","[17 : 16]   P   VK CEZ Karlovarsko",
,"18:34:10","18:03","Pt Conf","Pt Conf   VK CEZ Karlovarsko",
,"18:34:14","18:06","SRV","SRV   VK CEZ Karlovarsko",
,"18:34:16","18:08","S ERR","S ERR   VK CEZ Karlovarsko",
,"18:34:16","18:08","P","[17 : 17]   P   VK Dukla Liberec",
,"18:34:29","18:21","Pt Conf","Pt Conf   VK Dukla Liberec",
,"18:34:37","18:29","SRV","SRV   VK Dukla Liberec",
,"18:34:40","18:32","RS","RS   VK Dukla Liberec",
,"18:34:40","18:32","B POSS","B POSS   VK CEZ Karlovarsko",
,"18:34:44","18:37","B POSS","B POSS   VK Dukla Liberec",
,"18:34:47","18:40","B POSS","B POSS   VK CEZ Karlovarsko",
,"18:34:51","18:44","B","B   VK Dukla Liberec",
,"18:34:51","18:44","P","[17 : 18]   P   VK Dukla Liberec",
,"18:35:17","19:10","Pt Conf","Pt Conf   VK Dukla Liberec",
,"18:35:21","19:14","SRV","SRV   VK Dukla Liberec",
,"18:35:24","19:17","RS","RS   VK Dukla Liberec",
,"18:35:25","19:17","B POSS","B POSS   VK CEZ Karlovarsko",
,"18:35:28","19:21","B POSS","B POSS   VK Dukla Liberec",
,"18:35:30","19:22","B POSS","B POSS   VK CEZ Karlovarsko",
,"18:35:43","19:35","B POSS","B POSS   VK Dukla Liberec",
,"18:35:48","19:41","B POSS","B POSS   VK CEZ Karlovarsko",
,"18:35:51","19:44","K","K   VK CEZ Karlovarsko",
,"18:35:51","19:44","P","[18 : 18]   P   VK CEZ Karlovarsko",
,"18:36:21","20:14","Pt Conf","Pt Conf   VK CEZ Karlovarsko",
,"18:36:30","20:23","SRV","SRV   VK CEZ Karlovarsko",
,"18:36:35","20:27","A","A   VK CEZ Karlovarsko",
,"18:36:35","20:27","P","[19 : 18]   P   VK CEZ Karlovarsko",
,"18:36:49","20:41","Pt Conf","Pt Conf   VK CEZ Karlovarsko",
,"18:36:49","20:42","TIME","TIME",
,"18:36:50","20:42","TIME","TIME   VK Dukla Liberec",
,"18:37:46","21:38","SRV","SRV   VK CEZ Karlovarsko",
,"18:37:49","21:41","S ERR","S ERR   VK CEZ Karlovarsko",
,"18:37:49","21:41","P","[19 : 19]   P   VK Dukla Liberec",
,"18:38:06","21:58","Pt Conf","Pt Conf   VK Dukla Liberec",
,"18:38:13","22:05","SRV","SRV   VK Dukla Liberec",
,"18:38:15","22:08","S ERR","S ERR   VK Dukla Liberec",
,"18:38:15","22:08","P","[20 : 19]   P   VK CEZ Karlovarsko",
,"18:38:28","22:20","Pt Conf","Pt Conf   VK CEZ Karlovarsko",
,"18:38:36","22:28","SRV","SRV   VK CEZ Karlovarsko",
,"18:38:40","22:33","S ERR","S ERR   VK CEZ Karlovarsko",
,"18:38:40","22:33","P","[20 : 20]   P   VK Dukla Liberec",
,"18:38:51","22:43","Pt Conf","Pt Conf   VK Dukla Liberec",
,"18:38:57","22:49","SRV","SRV   VK Dukla Liberec",
,"18:39:00","22:52","RS","RS   VK Dukla Liberec",
,"18:39:00","22:53","B POSS","B POSS   VK CEZ Karlovarsko",
,"18:39:04","22:56","OUT","OUT   VK Dukla Liberec",
,"18:39:04","22:56","P","[21 : 20]   P   VK CEZ Karlovarsko",
,"18:39:20","23:12","Pt Conf","Pt Conf   VK CEZ Karlovarsko",
,"18:39:29","23:21","SRV","SRV   VK CEZ Karlovarsko",
,"18:39:32","23:25","RS","RS   VK CEZ Karlovarsko",
,"18:39:33","23:25","B POSS","B POSS   VK Dukla Liberec",
,"18:39:34","23:27","B","B   VK CEZ Karlovarsko",
,"18:39:34","23:27","P","[22 : 20]   P   VK CEZ Karlovarsko",
,"18:39:53","23:45","Pt Conf","Pt Conf   VK CEZ Karlovarsko",
,"18:39:53","23:46","TIME","TIME",
,"18:39:54","23:47","TIME","TIME   VK Dukla Liberec",
,"18:40:50","24:42","SRV","SRV   VK CEZ Karlovarsko",
,"18:40:54","24:46","RS","RS   VK CEZ Karlovarsko",
,"18:40:54","24:46","B POSS","B POSS   VK Dukla Liberec",
,"18:40:59","24:51","ERR","ERR   VK CEZ Karlovarsko",
,"18:40:59","24:51","P","[22 : 21]   P   VK Dukla Liberec",
,"18:41:12","25:04","Pt Conf","Pt Conf   VK Dukla Liberec",
,"18:41:15","25:07","SRV","SRV   VK Dukla Liberec",
,"18:41:19","25:11","RS","RS   VK Dukla Liberec",
,"18:41:19","25:11","B POSS","B POSS   VK CEZ Karlovarsko",
,"18:41:24","25:17","OUT","OUT   VK CEZ Karlovarsko",
,"18:41:24","25:17","P","[22 : 22]   P   VK Dukla Liberec",
,"18:41:43","25:35","Pt Conf","Pt Conf   VK Dukla Liberec",
,"18:41:43","25:36","TIME","TIME",
,"18:41:45","25:37","TIME","TIME   VK CEZ Karlovarsko",
,"18:42:41","26:33","SRV","SRV   VK Dukla Liberec",
,"18:42:45","26:37","RS","RS   VK Dukla Liberec",
,"18:42:45","26:37","B POSS","B POSS   VK CEZ Karlovarsko",
,"18:42:49","26:41","K","K   VK CEZ Karlovarsko",
,"18:42:49","26:41","P","[23 : 22]   P   VK CEZ Karlovarsko",
,"18:43:06","26:58","Pt Conf","Pt Conf   VK CEZ Karlovarsko",
,"18:43:13","27:06","SRV","SRV   VK CEZ Karlovarsko",
,"18:43:17","27:10","A","A   VK CEZ Karlovarsko",
,"18:43:17","27:10","P","[24 : 22]   P   VK CEZ Karlovarsko",
,"18:43:32","27:25","Pt Conf","Pt Conf   VK CEZ Karlovarsko",
