"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"886807","Poland","Polska Liga (women)","16.10.2017 - 16:00","Impel Wroclaw (women)","PTPS Pila (women)",
"Statistics","Impel Wroclaw (women)","Type","PTPS Pila (women)",
,"3","Score","1",
,"98","Points","97",
,"3","Sets","1",
,"4","Aces","2",
,"10","Service errors","6",
,"50","Kills","45",
,"17","Blocks","15",
,"5","Errors","7",
,"18","Outs","14",
,"0","Penalty Points","2",
,"0","Points (unknown method)","0",
,"2","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"15:27:02","00:00","Game conditions changed","Game conditions changed",
,"15:27:03","00:00","Players warming up","Players warming up",
,"15:32:27","00:00","Jersey colours updated","Jersey colours updated",
,"15:32:27","00:00","Jersey colours updated","Jersey colours updated",
,"15:45:10","00:00","Coin flipping","Coin flipping",
,"15:45:45","00:00","Warm up at the net","Warm up at the net",
,"15:57:42","00:00","Players lined up","Players lined up",
,"15:58:28","00:00","Shake hands","Shake hands",
,"15:59:36","00:00","Players intro","Players intro",
,"16:01:41","00:00","Game about to start","Game about to start",
,"16:01:45","00:00","Start SRV","Start SRV   Impel Wroclaw (women)",
,"16:01:49","00:00","Start 1st Set","Start 1st Set",
,"16:01:49","00:00","SRV","SRV   Impel Wroclaw (women)",
,"16:01:51","00:02","RS","RS   Impel Wroclaw (women)",
,"16:01:51","00:02","B POSS","B POSS   PTPS Pila (women)",
,"16:02:06","00:16","B","B   Impel Wroclaw (women)",
,"16:02:06","00:16","P","[1 : 0]   P   Impel Wroclaw (women)",
,"16:02:17","00:27","Pt Conf","Pt Conf   Impel Wroclaw (women)",
,"16:02:20","00:30","SRV","SRV   Impel Wroclaw (women)",
,"16:02:23","00:34","RS","RS   Impel Wroclaw (women)",
,"16:02:23","00:34","B POSS","B POSS   PTPS Pila (women)",
,"16:02:24","00:35","B POSS","B POSS   Impel Wroclaw (women)",
,"16:02:25","00:36","B POSS","B POSS   PTPS Pila (women)",
,"16:02:28","00:39","B POSS","B POSS   Impel Wroclaw (women)",
,"16:02:34","00:45","OUT","OUT   Impel Wroclaw (women)",
,"16:02:34","00:45","P","[1 : 1]   P   PTPS Pila (women)",
,"16:02:46","00:57","Pt Conf","Pt Conf   PTPS Pila (women)",
,"16:02:49","00:59","SRV","SRV   PTPS Pila (women)",
,"16:02:52","01:02","RS","RS   PTPS Pila (women)",
,"16:02:52","01:02","B POSS","B POSS   Impel Wroclaw (women)",
,"16:02:55","01:05","B POSS","B POSS   PTPS Pila (women)",
,"16:02:59","01:09","B","B   Impel Wroclaw (women)",
,"16:02:59","01:09","P","[2 : 1]   P   Impel Wroclaw (women)",
,"16:03:13","01:24","Pt Conf","Pt Conf   Impel Wroclaw (women)",
,"16:03:17","01:28","SRV","SRV   Impel Wroclaw (women)",
,"16:03:20","01:31","RS","RS   Impel Wroclaw (women)",
,"16:03:20","01:31","B POSS","B POSS   PTPS Pila (women)",
,"16:03:24","01:34","B","B   Impel Wroclaw (women)",
,"16:03:24","01:34","P","[3 : 1]   P   Impel Wroclaw (women)",
,"16:03:37","01:48","Pt Conf","Pt Conf   Impel Wroclaw (women)",
,"16:03:40","01:51","SRV","SRV   Impel Wroclaw (women)",
,"16:03:43","01:53","RS","RS   Impel Wroclaw (women)",
,"16:03:43","01:54","B POSS","B POSS   PTPS Pila (women)",
,"16:03:52","02:03","Point under investigation","Point under investigation",
,"16:04:06","02:17","OUT","OUT   Impel Wroclaw (women)",
,"16:04:06","02:17","P","[3 : 2]   P   PTPS Pila (women)",
,"16:04:07","02:18","Pt Conf","Pt Conf   PTPS Pila (women)",
,"16:04:11","02:21","SRV","SRV   PTPS Pila (women)",
,"16:04:13","02:23","RS","RS   PTPS Pila (women)",
,"16:04:13","02:24","B POSS","B POSS   Impel Wroclaw (women)",
,"16:04:16","02:27","K","K   Impel Wroclaw (women)",
,"16:04:16","02:27","P","[4 : 2]   P   Impel Wroclaw (women)",
,"16:04:28","02:38","Pt Conf","Pt Conf   Impel Wroclaw (women)",
,"16:04:33","02:44","SRV","SRV   Impel Wroclaw (women)",
,"16:04:36","02:46","RS","RS   Impel Wroclaw (women)",
,"16:04:36","02:47","B POSS","B POSS   PTPS Pila (women)",
,"16:04:39","02:49","K","K   PTPS Pila (women)",
,"16:04:39","02:49","P","[4 : 3]   P   PTPS Pila (women)",
,"16:04:58","03:09","Pt Conf","Pt Conf   PTPS Pila (women)",
,"16:05:01","03:12","SRV","SRV   PTPS Pila (women)",
,"16:05:04","03:14","RS","RS   PTPS Pila (women)",
,"16:05:04","03:14","B POSS","B POSS   Impel Wroclaw (women)",
,"16:05:08","03:18","B POSS","B POSS   PTPS Pila (women)",
,"16:05:12","03:23","B POSS","B POSS   Impel Wroclaw (women)",
,"16:05:14","03:25","B POSS","B POSS   PTPS Pila (women)",
,"16:05:30","03:40","B POSS","B POSS   Impel Wroclaw (women)",
,"16:05:34","03:44","B POSS","B POSS   PTPS Pila (women)",
,"16:05:34","03:44","Rally over 5 possession changes","Rally over 5 possession changes",
,"16:05:38","03:48","B POSS","B POSS   Impel Wroclaw (women)",
,"16:05:42","03:52","B POSS","B POSS   PTPS Pila (women)",
,"16:05:44","03:55","B POSS","B POSS   Impel Wroclaw (women)",
,"16:05:47","03:58","B POSS","B POSS   PTPS Pila (women)",
,"16:05:53","04:04","K","K   PTPS Pila (women)",
,"16:05:53","04:04","P","[4 : 4]   P   PTPS Pila (women)",
,"16:06:10","04:20","Pt Conf","Pt Conf   PTPS Pila (women)",
,"16:06:13","04:24","SRV","SRV   PTPS Pila (women)",
,"16:06:17","04:27","RS","RS   PTPS Pila (women)",
,"16:06:17","04:28","B POSS","B POSS   Impel Wroclaw (women)",
,"16:06:22","04:33","K","K   Impel Wroclaw (women)",
,"16:06:22","04:33","P","[5 : 4]   P   Impel Wroclaw (women)",
,"16:06:35","04:46","Pt Conf","Pt Conf   Impel Wroclaw (women)",
,"16:06:37","04:48","SRV","SRV   Impel Wroclaw (women)",
,"16:06:40","04:51","RS","RS   Impel Wroclaw (women)",
,"16:06:41","04:51","B POSS","B POSS   PTPS Pila (women)",
,"16:06:43","04:54","K","K   PTPS Pila (women)",
,"16:06:43","04:54","P","[5 : 5]   P   PTPS Pila (women)",
,"16:06:58","05:09","Pt Conf","Pt Conf   PTPS Pila (women)",
,"16:07:01","05:11","SRV","SRV   PTPS Pila (women)",
,"16:07:03","05:14","RS","RS   PTPS Pila (women)",
,"16:07:04","05:14","B POSS","B POSS   Impel Wroclaw (women)",
,"16:07:07","05:18","B POSS","B POSS   PTPS Pila (women)",
,"16:07:12","05:23","OUT","OUT   PTPS Pila (women)",
,"16:07:12","05:23","P","[6 : 5]   P   Impel Wroclaw (women)",
,"16:07:24","05:34","Pt Conf","Pt Conf   Impel Wroclaw (women)",
,"16:07:29","05:40","SRV","SRV   Impel Wroclaw (women)",
,"16:07:32","05:42","RS","RS   Impel Wroclaw (women)",
,"16:07:32","05:42","B POSS","B POSS   PTPS Pila (women)",
,"16:07:35","05:45","B POSS","B POSS   Impel Wroclaw (women)",
,"16:07:39","05:49","B POSS","B POSS   PTPS Pila (women)",
,"16:07:43","05:53","B POSS","B POSS   Impel Wroclaw (women)",
,"16:07:51","06:02","B POSS","B POSS   PTPS Pila (women)",
,"16:07:56","06:07","K","K   PTPS Pila (women)",
,"16:07:56","06:07","P","[6 : 6]   P   PTPS Pila (women)",
,"16:08:11","06:22","Pt Conf","Pt Conf   PTPS Pila (women)",
,"16:08:16","06:27","SRV","SRV   PTPS Pila (women)",
,"16:08:19","06:29","RS","RS   PTPS Pila (women)",
,"16:08:19","06:29","B POSS","B POSS   Impel Wroclaw (women)",
,"16:08:24","06:35","B","B   PTPS Pila (women)",
,"16:08:24","06:35","P","[6 : 7]   P   PTPS Pila (women)",
,"16:08:35","06:46","Pt Conf","Pt Conf   PTPS Pila (women)",
,"16:08:38","06:48","SRV","SRV   PTPS Pila (women)",
,"16:08:40","06:51","RS","RS   PTPS Pila (women)",
,"16:08:41","06:51","B POSS","B POSS   Impel Wroclaw (women)",
,"16:08:44","06:55","K","K   Impel Wroclaw (women)",
,"16:08:44","06:55","P","[7 : 7]   P   Impel Wroclaw (women)",
,"16:09:02","07:12","Pt Conf","Pt Conf   Impel Wroclaw (women)",
,"16:09:06","07:16","SRV","SRV   Impel Wroclaw (women)",
,"16:09:09","07:19","RS","RS   Impel Wroclaw (women)",
,"16:09:09","07:19","B POSS","B POSS   PTPS Pila (women)",
,"16:09:14","07:24","K","K   PTPS Pila (women)",
,"16:09:14","07:24","P","[7 : 8]   P   PTPS Pila (women)",
,"16:09:27","07:38","Pt Conf","Pt Conf   PTPS Pila (women)",
,"16:09:29","07:39","SRV","SRV   PTPS Pila (women)",
,"16:09:33","07:44","S ERR","S ERR   PTPS Pila (women)",
,"16:09:33","07:44","P","[8 : 8]   P   Impel Wroclaw (women)",
,"16:09:47","07:58","Pt Conf","Pt Conf   Impel Wroclaw (women)",
,"16:09:54","08:05","SRV","SRV   Impel Wroclaw (women)",
,"16:09:57","08:08","RS","RS   Impel Wroclaw (women)",
,"16:09:57","08:08","B POSS","B POSS   PTPS Pila (women)",
,"16:10:01","08:12","B POSS","B POSS   Impel Wroclaw (women)",
,"16:10:04","08:15","B POSS","B POSS   PTPS Pila (women)",
,"16:10:09","08:20","K","K   PTPS Pila (women)",
,"16:10:09","08:20","P","[8 : 9]   P   PTPS Pila (women)",
,"16:10:24","08:34","Pt Conf","Pt Conf   PTPS Pila (women)",
,"16:10:27","08:37","SRV","SRV   PTPS Pila (women)",
,"16:10:31","08:41","RS","RS   PTPS Pila (women)",
,"16:10:31","08:41","B POSS","B POSS   Impel Wroclaw (women)",
,"16:10:36","08:46","OUT","OUT   Impel Wroclaw (women)",
,"16:10:36","08:46","P","[8 : 10]   P   PTPS Pila (women)",
,"16:10:48","08:59","Pt Conf","Pt Conf   PTPS Pila (women)",
,"16:10:51","09:01","SRV","SRV   PTPS Pila (women)",
,"16:10:54","09:05","RS","RS   PTPS Pila (women)",
,"16:10:54","09:05","B POSS","B POSS   Impel Wroclaw (women)",
,"16:10:57","09:07","B POSS","B POSS   PTPS Pila (women)",
,"16:11:01","09:12","B POSS","B POSS   Impel Wroclaw (women)",
,"16:11:05","09:16","B POSS","B POSS   PTPS Pila (women)",
,"16:11:10","09:20","B","B   Impel Wroclaw (women)",
,"16:11:10","09:20","P","[9 : 10]   P   Impel Wroclaw (women)",
,"16:11:26","09:36","Pt Conf","Pt Conf   Impel Wroclaw (women)",
,"16:11:29","09:39","SRV","SRV   Impel Wroclaw (women)",
,"16:11:32","09:42","RS","RS   Impel Wroclaw (women)",
