"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"891453","Romania","Divizia A1 (women)","16.10.2017 - 15:00","CSM Bucuresti (women)","CS Dinamo Bucuresti (women)",
"Statistics","CSM Bucuresti (women)","Type","CS Dinamo Bucuresti (women)",
,"3","Score","0",
,"75","Points","39",
,"3","Sets","0",
,"17","Aces","3",
,"10","Service errors","10",
,"32","Kills","18",
,"6","Blocks","4",
,"2","Errors","5",
,"2","Outs","5",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"14:58:06","00:00","Game conditions changed","Game conditions changed",
,"14:58:18","00:00","Warm up at the net","Warm up at the net",
,"15:01:39","00:00","Jersey colours updated","Jersey colours updated",
,"15:01:39","00:00","Jersey colours updated","Jersey colours updated",
,"15:01:44","00:00","Players intro","Players intro",
,"15:01:58","00:00","Game about to start","Game about to start",
,"15:02:08","00:00","Start SRV","Start SRV   CSM Bucuresti (women)",
,"15:02:12","00:00","Start 1st Set","Start 1st Set",
,"15:02:12","00:00","SRV","SRV   CSM Bucuresti (women)",
,"15:02:15","00:03","RS","RS   CSM Bucuresti (women)",
,"15:02:15","00:03","B POSS","B POSS   CS Dinamo Bucuresti (women)",
,"15:02:18","00:06","B POSS","B POSS   CSM Bucuresti (women)",
,"15:02:24","00:12","B POSS","B POSS   CS Dinamo Bucuresti (women)",
,"15:02:29","00:16","K","K   CSM Bucuresti (women)",
,"15:02:29","00:16","P","[1 : 0]   P   CSM Bucuresti (women)",
,"15:02:46","00:34","Pt Conf","Pt Conf   CSM Bucuresti (women)",
,"15:02:47","00:35","SRV","SRV   CSM Bucuresti (women)",
,"15:02:51","00:39","A","A   CSM Bucuresti (women)",
,"15:02:51","00:39","P","[2 : 0]   P   CSM Bucuresti (women)",
,"15:03:11","00:58","Pt Conf","Pt Conf   CSM Bucuresti (women)",
,"15:03:12","00:59","SRV","SRV   CSM Bucuresti (women)",
,"15:03:14","01:02","A","A   CSM Bucuresti (women)",
,"15:03:14","01:02","P","[3 : 0]   P   CSM Bucuresti (women)",
,"15:03:33","01:21","Pt Conf","Pt Conf   CSM Bucuresti (women)",
,"15:03:34","01:22","SRV","SRV   CSM Bucuresti (women)",
,"15:03:37","01:25","A","A   CSM Bucuresti (women)",
,"15:03:37","01:25","P","[4 : 0]   P   CSM Bucuresti (women)",
,"15:03:47","01:35","Pt Conf","Pt Conf   CSM Bucuresti (women)",
,"15:03:48","01:36","TIME","TIME",
,"15:03:50","01:38","TIME","TIME   CS Dinamo Bucuresti (women)",
,"15:04:36","02:24","SRV","SRV   CSM Bucuresti (women)",
,"15:04:39","02:27","RS","RS   CSM Bucuresti (women)",
,"15:04:39","02:27","B POSS","B POSS   CS Dinamo Bucuresti (women)",
,"15:04:42","02:30","K","K   CS Dinamo Bucuresti (women)",
,"15:04:42","02:30","P","[4 : 1]   P   CS Dinamo Bucuresti (women)",
,"15:05:03","02:50","Pt Conf","Pt Conf   CS Dinamo Bucuresti (women)",
,"15:05:04","02:51","SRV","SRV   CS Dinamo Bucuresti (women)",
,"15:05:06","02:54","RS","RS   CS Dinamo Bucuresti (women)",
,"15:05:06","02:54","B POSS","B POSS   CSM Bucuresti (women)",
,"15:05:09","02:57","B POSS","B POSS   CS Dinamo Bucuresti (women)",
,"15:05:13","03:01","B POSS","B POSS   CSM Bucuresti (women)",
,"15:05:30","03:18","K","K   CS Dinamo Bucuresti (women)",
,"15:05:30","03:18","P","[4 : 2]   P   CS Dinamo Bucuresti (women)",
,"15:05:42","03:30","Pt Conf","Pt Conf   CS Dinamo Bucuresti (women)",
,"15:05:43","03:31","SRV","SRV   CS Dinamo Bucuresti (women)",
,"15:05:47","03:35","A","A   CS Dinamo Bucuresti (women)",
,"15:05:47","03:35","P","[4 : 3]   P   CS Dinamo Bucuresti (women)",
,"15:06:06","03:53","Pt Conf","Pt Conf   CS Dinamo Bucuresti (women)",
,"15:06:06","03:54","SRV","SRV   CS Dinamo Bucuresti (women)",
,"15:06:09","03:57","A","A   CS Dinamo Bucuresti (women)",
,"15:06:09","03:57","P","[4 : 4]   P   CS Dinamo Bucuresti (women)",
,"15:06:28","04:16","Pt Conf","Pt Conf   CS Dinamo Bucuresti (women)",
,"15:06:29","04:17","SRV","SRV   CS Dinamo Bucuresti (women)",
,"15:06:32","04:20","S ERR","S ERR   CS Dinamo Bucuresti (women)",
,"15:06:32","04:20","P","[5 : 4]   P   CSM Bucuresti (women)",
,"15:06:50","04:38","Pt Conf","Pt Conf   CSM Bucuresti (women)",
,"15:06:51","04:39","SRV","SRV   CSM Bucuresti (women)",
,"15:06:54","04:41","RS","RS   CSM Bucuresti (women)",
,"15:06:54","04:42","B POSS","B POSS   CS Dinamo Bucuresti (women)",
,"15:06:57","04:45","B","B   CSM Bucuresti (women)",
,"15:06:57","04:45","P","[6 : 4]   P   CSM Bucuresti (women)",
,"15:07:12","05:00","Pt Conf","Pt Conf   CSM Bucuresti (women)",
,"15:07:13","05:01","SRV","SRV   CSM Bucuresti (women)",
,"15:07:17","05:05","RS","RS   CSM Bucuresti (women)",
,"15:07:17","05:05","B POSS","B POSS   CS Dinamo Bucuresti (women)",
,"15:07:19","05:07","B POSS","B POSS   CSM Bucuresti (women)",
,"15:07:23","05:11","K","K   CSM Bucuresti (women)",
,"15:07:23","05:11","P","[7 : 4]   P   CSM Bucuresti (women)",
,"15:07:39","05:26","Pt Conf","Pt Conf   CSM Bucuresti (women)",
,"15:07:40","05:27","SRV","SRV   CSM Bucuresti (women)",
,"15:07:42","05:30","RS","RS   CSM Bucuresti (women)",
,"15:07:42","05:30","B POSS","B POSS   CS Dinamo Bucuresti (women)",
,"15:07:45","05:33","K","K   CS Dinamo Bucuresti (women)",
,"15:07:45","05:33","P","[7 : 5]   P   CS Dinamo Bucuresti (women)",
,"15:08:03","05:51","Pt Conf","Pt Conf   CS Dinamo Bucuresti (women)",
,"15:08:04","05:52","SRV","SRV   CS Dinamo Bucuresti (women)",
,"15:08:05","05:53","S ERR","S ERR   CS Dinamo Bucuresti (women)",
,"15:08:05","05:53","P","[8 : 5]   P   CSM Bucuresti (women)",
,"15:08:10","05:58","Pt Conf","Pt Conf   CSM Bucuresti (women)",
,"15:08:12","05:59","TIME","TIME",
,"15:08:13","06:01","TTO","TTO",
,"15:09:25","07:13","SRV","SRV   CSM Bucuresti (women)",
,"15:09:28","07:16","RS","RS   CSM Bucuresti (women)",
,"15:09:28","07:16","B POSS","B POSS   CS Dinamo Bucuresti (women)",
,"15:09:31","07:19","K","K   CS Dinamo Bucuresti (women)",
,"15:09:31","07:19","P","[8 : 6]   P   CS Dinamo Bucuresti (women)",
,"15:09:47","07:35","Pt Conf","Pt Conf   CS Dinamo Bucuresti (women)",
,"15:09:48","07:36","SRV","SRV   CS Dinamo Bucuresti (women)",
,"15:09:50","07:38","RS","RS   CS Dinamo Bucuresti (women)",
,"15:09:50","07:38","B POSS","B POSS   CSM Bucuresti (women)",
,"15:09:52","07:39","K","K   CSM Bucuresti (women)",
,"15:09:52","07:39","P","[9 : 6]   P   CSM Bucuresti (women)",
,"15:10:11","07:58","Pt Conf","Pt Conf   CSM Bucuresti (women)",
,"15:10:12","07:59","SRV","SRV   CSM Bucuresti (women)",
,"15:10:14","08:01","A","A   CSM Bucuresti (women)",
,"15:10:14","08:01","P","[10 : 6]   P   CSM Bucuresti (women)",
,"15:10:39","08:26","Pt Conf","Pt Conf   CSM Bucuresti (women)",
,"15:10:39","08:27","SRV","SRV   CSM Bucuresti (women)",
,"15:10:43","08:31","RS","RS   CSM Bucuresti (women)",
,"15:10:43","08:31","B POSS","B POSS   CS Dinamo Bucuresti (women)",
,"15:10:45","08:33","B POSS","B POSS   CSM Bucuresti (women)",
,"15:10:48","08:35","B POSS","B POSS   CS Dinamo Bucuresti (women)",
,"15:10:51","08:39","K","K   CS Dinamo Bucuresti (women)",
,"15:10:51","08:39","P","[10 : 7]   P   CS Dinamo Bucuresti (women)",
