"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"887649","Russia","Superleague (women)","16.10.2017 - 16:00","VC Leningradka (women)","Yenisey Krasnoyarsk (women)",
"Statistics","VC Leningradka (women)","Type","Yenisey Krasnoyarsk (women)",
,"1","Score","3",
,"93","Points","99",
,"1","Sets","3",
,"8","Aces","6",
,"12","Service errors","5",
,"57","Kills","52",
,"7","Blocks","12",
,"7","Errors","7",
,"10","Outs","9",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"15:22:28","00:00","Game conditions changed","Game conditions changed",
,"15:22:37","00:00","Players warming up","Players warming up",
,"15:22:58","00:00","Jersey colours updated","Jersey colours updated",
,"15:22:58","00:00","Jersey colours updated","Jersey colours updated",
,"15:43:14","00:00","Coin flipping","Coin flipping",
,"15:43:56","00:00","Warm up at the net","Warm up at the net",
,"15:55:08","00:00","Players intro","Players intro",
,"15:55:16","00:00","Players lined up","Players lined up",
,"15:55:28","00:00","National anthem singing","National anthem singing",
,"15:56:52","00:00","Shake hands","Shake hands",
,"15:59:59","00:00","Game about to start","Game about to start",
,"16:00:06","00:00","Start SRV","Start SRV   Yenisey Krasnoyarsk (women)",
,"16:00:11","00:00","Start 1st Set","Start 1st Set",
,"16:00:12","00:00","SRV","SRV   Yenisey Krasnoyarsk (women)",
,"16:00:17","00:05","RS","RS   Yenisey Krasnoyarsk (women)",
,"16:00:18","00:06","B POSS","B POSS   VC Leningradka (women)",
,"16:00:22","00:10","K","K   VC Leningradka (women)",
,"16:00:22","00:10","P","[1 : 0]   P   VC Leningradka (women)",
,"16:00:34","00:22","Pt Conf","Pt Conf   VC Leningradka (women)",
,"16:00:35","00:23","SRV","SRV   VC Leningradka (women)",
,"16:00:42","00:30","RS","RS   VC Leningradka (women)",
,"16:00:42","00:31","B POSS","B POSS   Yenisey Krasnoyarsk (women)",
,"16:00:51","00:39","K","K   Yenisey Krasnoyarsk (women)",
,"16:00:51","00:39","P","[1 : 1]   P   Yenisey Krasnoyarsk (women)",
,"16:01:04","00:53","Pt Conf","Pt Conf   Yenisey Krasnoyarsk (women)",
,"16:01:05","00:53","SRV","SRV   Yenisey Krasnoyarsk (women)",
,"16:01:09","00:57","RS","RS   Yenisey Krasnoyarsk (women)",
,"16:01:09","00:57","B POSS","B POSS   VC Leningradka (women)",
,"16:01:12","01:00","B POSS","B POSS   Yenisey Krasnoyarsk (women)",
,"16:01:17","01:05","K","K   Yenisey Krasnoyarsk (women)",
,"16:01:17","01:05","P","[1 : 2]   P   Yenisey Krasnoyarsk (women)",
,"16:01:28","01:17","Pt Conf","Pt Conf   Yenisey Krasnoyarsk (women)",
,"16:01:29","01:17","SRV","SRV   Yenisey Krasnoyarsk (women)",
,"16:01:33","01:21","RS","RS   Yenisey Krasnoyarsk (women)",
,"16:01:33","01:21","B POSS","B POSS   VC Leningradka (women)",
,"16:01:38","01:27","K","K   VC Leningradka (women)",
,"16:01:38","01:27","P","[2 : 2]   P   VC Leningradka (women)",
,"16:01:52","01:40","Pt Conf","Pt Conf   VC Leningradka (women)",
,"16:01:53","01:41","SRV","SRV   VC Leningradka (women)",
,"16:02:00","01:48","RS","RS   VC Leningradka (women)",
,"16:02:00","01:48","B POSS","B POSS   Yenisey Krasnoyarsk (women)",
,"16:02:04","01:52","B POSS","B POSS   VC Leningradka (women)",
,"16:02:08","01:56","B POSS","B POSS   Yenisey Krasnoyarsk (women)",
,"16:02:14","02:02","OUT","OUT   Yenisey Krasnoyarsk (women)",
,"16:02:14","02:02","P","[3 : 2]   P   VC Leningradka (women)",
,"16:02:27","02:15","Pt Conf","Pt Conf   VC Leningradka (women)",
,"16:02:28","02:16","SRV","SRV   VC Leningradka (women)",
,"16:02:33","02:21","RS","RS   VC Leningradka (women)",
,"16:02:34","02:22","B POSS","B POSS   Yenisey Krasnoyarsk (women)",
,"16:02:39","02:28","K","K   Yenisey Krasnoyarsk (women)",
,"16:02:39","02:28","P","[3 : 3]   P   Yenisey Krasnoyarsk (women)",
,"16:02:50","02:38","Pt Conf","Pt Conf   Yenisey Krasnoyarsk (women)",
,"16:02:50","02:38","SRV","SRV   Yenisey Krasnoyarsk (women)",
,"16:02:56","02:44","RS","RS   Yenisey Krasnoyarsk (women)",
,"16:02:56","02:45","B POSS","B POSS   VC Leningradka (women)",
,"16:03:01","02:49","B POSS","B POSS   Yenisey Krasnoyarsk (women)",
