"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"890983","Argentina","Liga de Honor (women)","17.10.2017 - 00:00","Velez Sarsfield (women)","Club Ciudad de Buenos Aires (women)",
"Statistics","Velez Sarsfield (women)","Type","Club Ciudad de Buenos Aires (women)",
,"3","Score","2",
,"100","Points","93",
,"3","Sets","2",
,"1","Aces","4",
,"11","Service errors","8",
,"68","Kills","52",
,"6","Blocks","6",
,"9","Errors","5",
,"11","Outs","12",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"23:20:14","00:00","Game conditions changed","Game conditions changed",
,"23:31:52","00:00","Players warming up","Players warming up",
,"23:45:06","00:00","Jersey colours updated","Jersey colours updated",
,"23:45:06","00:00","Jersey colours updated","Jersey colours updated",
,"23:45:16","00:00","Jersey colours updated","Jersey colours updated",
,"23:49:26","00:00","Coin flipping","Coin flipping",
,"23:49:30","00:00","Warm up at the net","Warm up at the net",
,"23:58:07","00:00","Players intro","Players intro",
,"23:59:03","00:00","Players lined up","Players lined up",
,"23:59:08","00:00","Shake hands","Shake hands",
,"00:00:47","00:00","Game about to start","Game about to start",
,"00:01:34","00:00","Start SRV","Start SRV   Club Ciudad de Buenos Aires (women)",
,"00:01:41","00:00","Start 1st Set","Start 1st Set",
,"00:01:42","00:00","SRV","SRV   Club Ciudad de Buenos Aires (women)",
,"00:01:44","00:02","RS","RS   Club Ciudad de Buenos Aires (women)",
,"00:01:45","00:03","B POSS","B POSS   CA Velez Sarsfield (women)",
,"00:01:47","00:05","B POSS","B POSS   Club Ciudad de Buenos Aires (women)",
,"00:01:51","00:09","B POSS","B POSS   CA Velez Sarsfield (women)",
,"00:01:55","00:13","B POSS","B POSS   Club Ciudad de Buenos Aires (women)",
,"00:01:57","00:15","B POSS","B POSS   CA Velez Sarsfield (women)",
,"00:01:59","00:17","B POSS","B POSS   Club Ciudad de Buenos Aires (women)",
,"00:01:59","00:17","Rally over 5 possession changes","Rally over 5 possession changes",
,"00:02:03","00:21","B POSS","B POSS   CA Velez Sarsfield (women)",
,"00:02:07","00:25","B POSS","B POSS   Club Ciudad de Buenos Aires (women)",
,"00:02:12","00:30","B POSS","B POSS   CA Velez Sarsfield (women)",
,"00:02:19","00:37","K","K   CA Velez Sarsfield (women)",
,"00:02:19","00:37","P","[1 : 0]   P   CA Velez Sarsfield (women)",
,"00:02:39","00:57","Pt Conf","Pt Conf   CA Velez Sarsfield (women)",
,"00:02:41","00:59","SRV","SRV   CA Velez Sarsfield (women)",
,"00:02:42","01:00","RS","RS   CA Velez Sarsfield (women)",
,"00:02:43","01:01","B POSS","B POSS   Club Ciudad de Buenos Aires (women)",
,"00:02:46","01:04","K","K   Club Ciudad de Buenos Aires (women)",
,"00:02:46","01:04","P","[1 : 1]   P   Club Ciudad de Buenos Aires (women)",
,"00:03:01","01:19","Pt Conf","Pt Conf   Club Ciudad de Buenos Aires (women)",
,"00:03:06","01:24","SRV","SRV   Club Ciudad de Buenos Aires (women)",
,"00:03:08","01:26","RS","RS   Club Ciudad de Buenos Aires (women)",
,"00:03:09","01:27","B POSS","B POSS   CA Velez Sarsfield (women)",
,"00:03:11","01:30","B POSS","B POSS   Club Ciudad de Buenos Aires (women)",
,"00:03:14","01:32","B POSS","B POSS   CA Velez Sarsfield (women)",
,"00:03:18","01:36","B POSS","B POSS   Club Ciudad de Buenos Aires (women)",
,"00:03:22","01:40","K","K   Club Ciudad de Buenos Aires (women)",
,"00:03:22","01:40","P","[1 : 2]   P   Club Ciudad de Buenos Aires (women)",
,"00:03:35","01:53","Pt Conf","Pt Conf   Club Ciudad de Buenos Aires (women)",
,"00:03:37","01:55","SRV","SRV   Club Ciudad de Buenos Aires (women)",
,"00:03:40","01:58","RS","RS   Club Ciudad de Buenos Aires (women)",
,"00:03:41","01:59","B POSS","B POSS   CA Velez Sarsfield (women)",
,"00:03:44","02:02","K","K   CA Velez Sarsfield (women)",
,"00:03:44","02:02","P","[2 : 2]   P   CA Velez Sarsfield (women)",
,"00:03:59","02:17","Pt Conf","Pt Conf   CA Velez Sarsfield (women)",
,"00:04:02","02:20","SRV","SRV   CA Velez Sarsfield (women)",
,"00:04:04","02:22","RS","RS   CA Velez Sarsfield (women)",
,"00:04:05","02:23","B POSS","B POSS   Club Ciudad de Buenos Aires (women)",
,"00:04:08","02:26","B POSS","B POSS   CA Velez Sarsfield (women)",
,"00:04:10","02:29","K","K   CA Velez Sarsfield (women)",
,"00:04:10","02:29","P","[3 : 2]   P   CA Velez Sarsfield (women)",
,"00:04:27","02:45","Pt Conf","Pt Conf   CA Velez Sarsfield (women)",
,"00:04:30","02:48","SRV","SRV   CA Velez Sarsfield (women)",
,"00:04:31","02:49","S ERR","S ERR   CA Velez Sarsfield (women)",
,"00:04:31","02:49","P","[3 : 3]   P   Club Ciudad de Buenos Aires (women)",
,"00:04:43","03:01","Pt Conf","Pt Conf   Club Ciudad de Buenos Aires (women)",
,"00:04:46","03:04","SRV","SRV   Club Ciudad de Buenos Aires (women)",
,"00:04:48","03:06","RS","RS   Club Ciudad de Buenos Aires (women)",
,"00:04:49","03:07","B POSS","B POSS   CA Velez Sarsfield (women)",
,"00:04:51","03:09","K","K   CA Velez Sarsfield (women)",
,"00:04:51","03:09","P","[4 : 3]   P   CA Velez Sarsfield (women)",
,"00:05:05","03:23","Pt Conf","Pt Conf   CA Velez Sarsfield (women)",
,"00:05:08","03:26","SRV","SRV   CA Velez Sarsfield (women)",
,"00:05:10","03:28","S ERR","S ERR   CA Velez Sarsfield (women)",
,"00:05:10","03:28","P","[4 : 4]   P   Club Ciudad de Buenos Aires (women)",
,"00:05:20","03:38","Pt Conf","Pt Conf   Club Ciudad de Buenos Aires (women)",
,"00:05:24","03:42","SRV","SRV   Club Ciudad de Buenos Aires (women)",
,"00:05:26","03:44","RS","RS   Club Ciudad de Buenos Aires (women)",
,"00:05:26","03:45","B POSS","B POSS   CA Velez Sarsfield (women)",
,"00:05:28","03:46","K","K   CA Velez Sarsfield (women)",
,"00:05:28","03:46","P","[5 : 4]   P   CA Velez Sarsfield (women)",
,"00:05:45","04:03","Pt Conf","Pt Conf   CA Velez Sarsfield (women)",
,"00:05:48","04:06","SRV","SRV   CA Velez Sarsfield (women)",
,"00:05:50","04:08","RS","RS   CA Velez Sarsfield (women)",
,"00:05:50","04:08","B POSS","B POSS   Club Ciudad de Buenos Aires (women)",
,"00:05:54","04:12","B POSS","B POSS   CA Velez Sarsfield (women)",
,"00:05:57","04:15","K","K   CA Velez Sarsfield (women)",
,"00:05:57","04:15","P","[6 : 4]   P   CA Velez Sarsfield (women)",
,"00:06:12","04:30","Pt Conf","Pt Conf   CA Velez Sarsfield (women)",
,"00:06:14","04:32","SRV","SRV   CA Velez Sarsfield (women)",
,"00:06:16","04:34","RS","RS   CA Velez Sarsfield (women)",
,"00:06:16","04:34","B POSS","B POSS   Club Ciudad de Buenos Aires (women)",
,"00:06:20","04:38","OUT","OUT   Club Ciudad de Buenos Aires (women)",
,"00:06:20","04:38","P","[7 : 4]   P   CA Velez Sarsfield (women)",
,"00:06:31","04:49","Pt Conf","Pt Conf   CA Velez Sarsfield (women)",
,"00:06:33","04:51","SRV","SRV   CA Velez Sarsfield (women)",
,"00:06:35","04:53","RS","RS   CA Velez Sarsfield (women)",
