"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"883733","Brazil","Superliga (women)","17.10.2017 - 22:00","Minas Tenis Clube (women)","Sao Cristovao Saude/Sao Caetano (women)",
"Statistics","Minas Tenis Clube (women)","Type","Sao Cristovao Saude/Sao Caetano (women)",
,"0","Score","3",
,"66","Points","75",
,"0","Sets","3",
,"1","Aces","5",
,"3","Service errors","13",
,"31","Kills","44",
,"10","Blocks","8",
,"7","Errors","6",
,"8","Outs","5",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"21:02:42","00:00","Game conditions changed","Game conditions changed",
,"21:17:58","00:00","Players warming up","Players warming up",
,"21:18:34","00:00","Jersey colours updated","Jersey colours updated",
,"21:18:35","00:00","Jersey colours updated","Jersey colours updated",
,"21:43:01","00:00","Coin flipping","Coin flipping",
,"21:43:31","00:00","Players lined up","Players lined up",
,"21:44:33","00:00","National anthem singing","National anthem singing",
,"21:46:06","00:00","Shake hands","Shake hands",
,"21:46:36","00:00","Warm up at the net","Warm up at the net",
,"21:58:29","00:00","Players intro","Players intro",
,"22:00:09","00:00","Game about to start","Game about to start",
,"22:00:30","00:00","Start SRV","Start SRV   Minas Tenis Clube (women)",
,"22:00:34","00:00","Start 1st Set","Start 1st Set",
,"22:00:34","00:00","SRV","SRV   Minas Tenis Clube (women)",
,"22:00:36","00:02","RS","RS   Minas Tenis Clube (women)",
,"22:00:37","00:02","B POSS","B POSS   Sao Cristovao Saude/Sao Caetano (women)",
,"22:00:39","00:05","K","K   Sao Cristovao Saude/Sao Caetano (women)",
,"22:00:39","00:05","P","[0 : 1]   P   Sao Cristovao Saude/Sao Caetano (women)",
,"22:00:49","00:15","Pt Conf","Pt Conf   Sao Cristovao Saude/Sao Caetano (women)",
,"22:00:58","00:23","SRV","SRV   Sao Cristovao Saude/Sao Caetano (women)",
,"22:00:59","00:25","S ERR","S ERR   Sao Cristovao Saude/Sao Caetano (women)",
,"22:00:59","00:25","P","[1 : 1]   P   Minas Tenis Clube (women)",
