"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"891738","Bulgaria","Superliga (men)","17.10.2017 - 15:30","CSKA Sofia","VC Hebar Pazardzhik",
"Statistics","CSKA Sofia","Type","VC Hebar Pazardzhik",
,"3","Score","0",
,"78","Points","69",
,"3","Sets","0",
,"7","Aces","6",
,"12","Service errors","15",
,"36","Kills","30",
,"9","Blocks","7",
,"8","Errors","9",
,"6","Outs","2",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"15:08:54","00:00","Game conditions changed","Game conditions changed",
,"15:08:56","00:00","Players warming up","Players warming up",
,"15:13:54","00:00","Coin flipping","Coin flipping",
,"15:14:05","00:00","Warm up at the net","Warm up at the net",
,"15:14:26","00:00","Jersey colours updated","Jersey colours updated",
,"15:14:26","00:00","Jersey colours updated","Jersey colours updated",
,"15:16:56","00:00","Game conditions changed","Game conditions changed",
,"15:26:12","00:00","Players lined up","Players lined up",
,"15:26:41","00:00","Shake hands","Shake hands",
,"15:28:34","00:00","Players intro","Players intro",
,"15:29:48","00:00","Game about to start","Game about to start",
,"15:30:25","00:00","Start SRV","Start SRV   CSKA Sofia",
,"15:30:49","00:00","Start 1st Set","Start 1st Set",
,"15:30:50","00:00","SRV","SRV   CSKA Sofia",
,"15:30:53","00:04","A","A   CSKA Sofia",
,"15:30:53","00:04","P","[1 : 0]   P   CSKA Sofia",
,"15:31:05","00:16","Pt Conf","Pt Conf   CSKA Sofia",
,"15:31:12","00:23","SRV","SRV   CSKA Sofia",
,"15:31:17","00:27","S ERR","S ERR   CSKA Sofia",
,"15:31:17","00:27","P","[1 : 1]   P   VC Hebar Pazardzhik",
,"15:31:29","00:40","Pt Conf","Pt Conf   VC Hebar Pazardzhik",
,"15:31:31","00:42","SRV","SRV   VC Hebar Pazardzhik",
,"15:31:34","00:44","RS","RS   VC Hebar Pazardzhik",
,"15:31:34","00:45","B POSS","B POSS   CSKA Sofia",
,"15:31:42","00:53","ERR","ERR   VC Hebar Pazardzhik",
,"15:31:42","00:53","P","[2 : 1]   P   CSKA Sofia",
,"15:31:57","01:08","Pt Conf","Pt Conf   CSKA Sofia",
,"15:32:01","01:11","SRV","SRV   CSKA Sofia",
,"15:32:03","01:14","RS","RS   CSKA Sofia",
,"15:32:04","01:14","B POSS","B POSS   VC Hebar Pazardzhik",
,"15:32:09","01:19","B POSS","B POSS   CSKA Sofia",
,"15:32:11","01:22","B POSS","B POSS   VC Hebar Pazardzhik",
,"15:32:18","01:29","K","K   VC Hebar Pazardzhik",
,"15:32:18","01:29","P","[2 : 2]   P   VC Hebar Pazardzhik",
,"15:32:32","01:43","Pt Conf","Pt Conf   VC Hebar Pazardzhik",
,"15:32:36","01:47","SRV","SRV   VC Hebar Pazardzhik",
,"15:32:38","01:49","RS","RS   VC Hebar Pazardzhik",
,"15:32:39","01:50","B POSS","B POSS   CSKA Sofia",
,"15:32:44","01:55","K","K   CSKA Sofia",
,"15:32:44","01:55","P","[3 : 2]   P   CSKA Sofia",
,"15:33:00","02:11","Pt Conf","Pt Conf   CSKA Sofia",
,"15:33:04","02:14","SRV","SRV   CSKA Sofia",
,"15:33:06","02:17","S ERR","S ERR   CSKA Sofia",
,"15:33:06","02:17","P","[3 : 3]   P   VC Hebar Pazardzhik",
,"15:33:20","02:31","Pt Conf","Pt Conf   VC Hebar Pazardzhik",
,"15:33:26","02:37","SRV","SRV   VC Hebar Pazardzhik",
,"15:33:31","02:41","RS","RS   VC Hebar Pazardzhik",
,"15:33:31","02:42","B POSS","B POSS   CSKA Sofia",
,"15:33:33","02:44","B POSS","B POSS   VC Hebar Pazardzhik",
,"15:33:39","02:50","K","K   VC Hebar Pazardzhik",
,"15:33:39","02:50","P","[3 : 4]   P   VC Hebar Pazardzhik",
,"15:33:54","03:05","Pt Conf","Pt Conf   VC Hebar Pazardzhik",
,"15:34:00","03:11","SRV","SRV   VC Hebar Pazardzhik",
,"15:34:05","03:15","A","A   VC Hebar Pazardzhik",
,"15:34:05","03:15","P","[3 : 5]   P   VC Hebar Pazardzhik",
,"15:34:23","03:34","Pt Conf","Pt Conf   VC Hebar Pazardzhik",
,"15:34:29","03:40","SRV","SRV   VC Hebar Pazardzhik",
,"15:34:33","03:44","RS","RS   VC Hebar Pazardzhik",
,"15:34:34","03:45","B POSS","B POSS   CSKA Sofia",
,"15:34:35","03:46","K","K   CSKA Sofia",
,"15:34:35","03:46","P","[4 : 5]   P   CSKA Sofia",
,"15:34:48","03:58","Pt Conf","Pt Conf   CSKA Sofia",
,"15:34:52","04:03","SRV","SRV   CSKA Sofia",
,"15:34:54","04:05","RS","RS   CSKA Sofia",
,"15:34:55","04:06","B POSS","B POSS   VC Hebar Pazardzhik",
,"15:35:00","04:10","K","K   VC Hebar Pazardzhik",
,"15:35:00","04:10","P","[4 : 6]   P   VC Hebar Pazardzhik",
,"15:35:15","04:26","Pt Conf","Pt Conf   VC Hebar Pazardzhik",
,"15:35:17","04:27","SRV","SRV   VC Hebar Pazardzhik",
,"15:35:19","04:29","RS","RS   VC Hebar Pazardzhik",
,"15:35:19","04:30","B POSS","B POSS   CSKA Sofia",
,"15:35:27","04:37","K","K   CSKA Sofia",
,"15:35:27","04:37","P","[5 : 6]   P   CSKA Sofia",
,"15:35:37","04:48","Pt Conf","Pt Conf   CSKA Sofia",
,"15:35:41","04:52","SRV","SRV   CSKA Sofia",
,"15:35:47","04:58","A","A   CSKA Sofia",
,"15:35:47","04:58","P","[6 : 6]   P   CSKA Sofia",
,"15:35:58","05:09","Pt Conf","Pt Conf   CSKA Sofia",
,"15:36:03","05:14","SRV","SRV   CSKA Sofia",
,"15:36:07","05:18","S ERR","S ERR   CSKA Sofia",
,"15:36:07","05:18","P","[6 : 7]   P   VC Hebar Pazardzhik",
,"15:36:20","05:31","Pt Conf","Pt Conf   VC Hebar Pazardzhik",
,"15:36:25","05:36","SRV","SRV   VC Hebar Pazardzhik",
,"15:36:29","05:40","S ERR","S ERR   VC Hebar Pazardzhik",
,"15:36:29","05:40","P","[7 : 7]   P   CSKA Sofia",
,"15:36:42","05:53","Pt Conf","Pt Conf   CSKA Sofia",
,"15:36:44","05:55","SRV","SRV   CSKA Sofia",
,"15:36:49","06:00","RS","RS   CSKA Sofia",
,"15:36:49","06:00","B POSS","B POSS   VC Hebar Pazardzhik",
,"15:36:54","06:04","B","B   CSKA Sofia",
,"15:36:54","06:04","P","[8 : 7]   P   CSKA Sofia",
,"15:37:08","06:19","Pt Conf","Pt Conf   CSKA Sofia",
,"15:37:09","06:20","TIME","TIME",
,"15:37:10","06:21","TTO","TTO",
,"15:37:48","06:59","SRV","SRV   CSKA Sofia",
,"15:37:50","07:00","RS","RS   CSKA Sofia",
,"15:37:50","07:01","B POSS","B POSS   VC Hebar Pazardzhik",
,"15:37:55","07:06","K","K   VC Hebar Pazardzhik",
,"15:37:55","07:06","P","[8 : 8]   P   VC Hebar Pazardzhik",
,"15:38:09","07:19","Pt Conf","Pt Conf   VC Hebar Pazardzhik",
,"15:38:10","07:21","SRV","SRV   VC Hebar Pazardzhik",
,"15:38:14","07:25","RS","RS   VC Hebar Pazardzhik",
,"15:38:14","07:25","B POSS","B POSS   CSKA Sofia",
,"15:38:20","07:31","K","K   CSKA Sofia",
,"15:38:20","07:31","P","[9 : 8]   P   CSKA Sofia",
,"15:38:33","07:44","Pt Conf","Pt Conf   CSKA Sofia",
,"15:38:40","07:51","SRV","SRV   CSKA Sofia",
,"15:38:42","07:53","RS","RS   CSKA Sofia",
,"15:38:43","07:53","B POSS","B POSS   VC Hebar Pazardzhik",
,"15:38:50","08:01","OUT","OUT   VC Hebar Pazardzhik",
,"15:38:50","08:01","P","[10 : 8]   P   CSKA Sofia",
,"15:39:03","08:14","Pt Conf","Pt Conf   CSKA Sofia",
,"15:39:10","08:21","SRV","SRV   CSKA Sofia",
,"15:39:13","08:23","RS","RS   CSKA Sofia",
,"15:39:13","08:24","B POSS","B POSS   VC Hebar Pazardzhik",
,"15:39:17","08:28","B POSS","B POSS   CSKA Sofia",
,"15:39:22","08:33","K","K   CSKA Sofia",
,"15:39:22","08:33","P","[11 : 8]   P   CSKA Sofia",
,"15:39:35","08:45","Pt Conf","Pt Conf   CSKA Sofia",
,"15:39:36","08:46","TIME","TIME",
,"15:39:36","08:46","TIME","TIME   VC Hebar Pazardzhik",
,"15:40:27","09:37","SRV","SRV   CSKA Sofia",
,"15:40:29","09:40","RS","RS   CSKA Sofia",
,"15:40:30","09:41","B POSS","B POSS   VC Hebar Pazardzhik",
,"15:40:39","09:49","ERR","ERR   CSKA Sofia",
,"15:40:39","09:49","P","[11 : 9]   P   VC Hebar Pazardzhik",
,"15:40:49","10:00","Pt Conf","Pt Conf   VC Hebar Pazardzhik",
,"15:40:51","10:02","SRV","SRV   VC Hebar Pazardzhik",
,"15:40:53","10:04","RS","RS   VC Hebar Pazardzhik",
,"15:40:54","10:05","B POSS","B POSS   CSKA Sofia",
,"15:41:04","10:15","K","K   CSKA Sofia",
,"15:41:04","10:15","P","[12 : 9]   P   CSKA Sofia",
,"15:41:33","10:44","Pt Conf","Pt Conf   CSKA Sofia",
,"15:41:38","10:49","SRV","SRV   CSKA Sofia",
,"15:41:41","10:52","RS","RS   CSKA Sofia",
,"15:41:42","10:52","B POSS","B POSS   VC Hebar Pazardzhik",
,"15:41:47","10:58","K","K   VC Hebar Pazardzhik",
,"15:41:47","10:58","P","[12 : 10]   P   VC Hebar Pazardzhik",
,"15:42:01","11:12","Pt Conf","Pt Conf   VC Hebar Pazardzhik",
,"15:42:05","11:15","SRV","SRV   VC Hebar Pazardzhik",
,"15:42:07","11:18","RS","RS   VC Hebar Pazardzhik",
,"15:42:08","11:19","B POSS","B POSS   CSKA Sofia",
,"15:42:10","11:21","B POSS","B POSS   VC Hebar Pazardzhik",
,"15:42:16","11:27","B","B   CSKA Sofia",
,"15:42:16","11:27","P","[13 : 10]   P   CSKA Sofia",
,"15:42:34","11:45","Pt Conf","Pt Conf   CSKA Sofia",
,"15:42:37","11:48","SRV","SRV   CSKA Sofia",
,"15:42:39","11:50","RS","RS   CSKA Sofia",
,"15:42:40","11:50","B POSS","B POSS   VC Hebar Pazardzhik",
,"15:42:48","11:59","B","B   CSKA Sofia",
,"15:42:48","11:59","P","[14 : 10]   P   CSKA Sofia",
,"15:42:57","12:07","Pt Conf","Pt Conf   CSKA Sofia",
,"15:42:57","12:08","TIME","TIME",
,"15:42:58","12:09","TIME","TIME   VC Hebar Pazardzhik",
,"15:43:47","12:57","SRV","SRV   CSKA Sofia",
,"15:43:48","12:59","RS","RS   CSKA Sofia",
,"15:43:49","13:00","B POSS","B POSS   VC Hebar Pazardzhik",
,"15:43:54","13:05","K","K   VC Hebar Pazardzhik",
,"15:43:54","13:05","P","[14 : 11]   P   VC Hebar Pazardzhik",
,"15:44:07","13:18","Pt Conf","Pt Conf   VC Hebar Pazardzhik",
,"15:44:14","13:24","SRV","SRV   VC Hebar Pazardzhik",
,"15:44:17","13:28","S ERR","S ERR   VC Hebar Pazardzhik",
,"15:44:17","13:28","P","[15 : 11]   P   CSKA Sofia",
,"15:44:28","13:39","Pt Conf","Pt Conf   CSKA Sofia",
,"15:44:32","13:43","SRV","SRV   CSKA Sofia",
,"15:44:37","13:47","S ERR","S ERR   CSKA Sofia",
,"15:44:37","13:47","P","[15 : 12]   P   VC Hebar Pazardzhik",
,"15:44:49","14:00","Pt Conf","Pt Conf   VC Hebar Pazardzhik",
,"15:44:52","14:02","SRV","SRV   VC Hebar Pazardzhik",
,"15:44:54","14:05","RS","RS   VC Hebar Pazardzhik",
,"15:44:55","14:06","B POSS","B POSS   CSKA Sofia",
,"15:44:59","14:10","K","K   CSKA Sofia",
,"15:44:59","14:10","P","[16 : 12]   P   CSKA Sofia",
,"15:45:03","14:14","Pt Conf","Pt Conf   CSKA Sofia",
,"15:45:04","14:14","TIME","TIME",
,"15:45:04","14:15","TTO","TTO",
,"15:45:57","15:08","SRV","SRV   CSKA Sofia",
,"15:45:59","15:10","RS","RS   CSKA Sofia",
,"15:46:00","15:10","B POSS","B POSS   VC Hebar Pazardzhik",
,"15:46:05","15:16","K","K   VC Hebar Pazardzhik",
,"15:46:05","15:16","P","[16 : 13]   P   VC Hebar Pazardzhik",
,"15:46:20","15:30","Pt Conf","Pt Conf   VC Hebar Pazardzhik",
,"15:46:23","15:34","SRV","SRV   VC Hebar Pazardzhik",
