"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"891721","Europe","CEV Champions League - Qualification (women)","17.10.2017 - 16:30","Hapoel Kfar Saba (women)","KS Rzeszow (women)",
"Statistics","Hapoel Kfar Saba (women)","Type","KS Rzeszow (women)",
,"1","Score","3",
,"92","Points","110",
,"1","Sets","3",
,"5","Aces","10",
,"5","Service errors","14",
,"47","Kills","70",
,"10","Blocks","13",
,"5","Errors","9",
,"7","Outs","7",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"16:25:45","00:00","Players warming up","Players warming up",
,"16:26:13","00:00","Game conditions changed","Game conditions changed",
,"16:26:34","00:00","Warm up at the net","Warm up at the net",
,"16:27:24","00:00","Jersey colours updated","Jersey colours updated",
,"16:27:24","00:00","Jersey colours updated","Jersey colours updated",
,"16:27:29","00:00","Players lined up","Players lined up",
,"16:27:50","00:00","Shake hands","Shake hands",
,"16:29:10","00:00","Game conditions changed","Game conditions changed",
,"16:30:06","00:00","Players intro","Players intro",
,"16:32:11","00:00","Game about to start","Game about to start",
,"16:32:45","00:00","Start SRV","Start SRV   Hapoel Kfar Saba (women)",
,"16:32:55","00:00","Start 1st Set","Start 1st Set",
,"16:32:56","00:00","SRV","SRV   Hapoel Kfar Saba (women)",
,"16:33:04","00:08","S ERR","S ERR   Hapoel Kfar Saba (women)",
,"16:33:04","00:08","P","[0 : 1]   P   KS Rzeszow (women)",
,"16:33:25","00:29","Pt Conf","Pt Conf   KS Rzeszow (women)",
,"16:33:27","00:31","SRV","SRV   KS Rzeszow (women)",
,"16:33:29","00:33","RS","RS   KS Rzeszow (women)",
,"16:33:29","00:34","B POSS","B POSS   Hapoel Kfar Saba (women)",
,"16:33:32","00:36","K","K   Hapoel Kfar Saba (women)",
,"16:33:32","00:36","P","[1 : 1]   P   Hapoel Kfar Saba (women)",
,"16:33:47","00:51","Pt Conf","Pt Conf   Hapoel Kfar Saba (women)",
,"16:33:48","00:52","SRV","SRV   Hapoel Kfar Saba (women)",
,"16:33:49","00:53","RS","RS   Hapoel Kfar Saba (women)",
,"16:33:49","00:53","B POSS","B POSS   KS Rzeszow (women)",
,"16:33:55","00:59","K","K   Hapoel Kfar Saba (women)",
,"16:33:55","00:59","P","[2 : 1]   P   Hapoel Kfar Saba (women)",
,"16:34:09","01:14","Pt Conf","Pt Conf   Hapoel Kfar Saba (women)",
,"16:34:10","01:14","SRV","SRV   Hapoel Kfar Saba (women)",
,"16:34:12","01:16","RS","RS   Hapoel Kfar Saba (women)",
,"16:34:12","01:16","B POSS","B POSS   KS Rzeszow (women)",
,"16:34:14","01:18","K","K   KS Rzeszow (women)",
,"16:34:14","01:18","P","[2 : 2]   P   KS Rzeszow (women)",
,"16:34:29","01:33","Pt Conf","Pt Conf   KS Rzeszow (women)",
,"16:34:30","01:34","SRV","SRV   KS Rzeszow (women)",
,"16:34:33","01:37","RS","RS   KS Rzeszow (women)",
,"16:34:33","01:37","B POSS","B POSS   Hapoel Kfar Saba (women)",
,"16:34:35","01:39","B POSS","B POSS   KS Rzeszow (women)",
,"16:34:40","01:44","B POSS","B POSS   Hapoel Kfar Saba (women)",
,"16:34:48","01:52","ERR","ERR   KS Rzeszow (women)",
,"16:34:48","01:52","P","[3 : 2]   P   Hapoel Kfar Saba (women)",
,"16:34:58","02:02","Pt Conf","Pt Conf   Hapoel Kfar Saba (women)",
,"16:34:59","02:03","SRV","SRV   Hapoel Kfar Saba (women)",
,"16:35:01","02:05","RS","RS   Hapoel Kfar Saba (women)",
,"16:35:01","02:05","B POSS","B POSS   KS Rzeszow (women)",
,"16:35:03","02:07","K","K   KS Rzeszow (women)",
,"16:35:03","02:07","P","[3 : 3]   P   KS Rzeszow (women)",
,"16:35:21","02:25","Pt Conf","Pt Conf   KS Rzeszow (women)",
