"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"891358","Israel","Premier League","17.10.2017 - 16:15","Maccabi Haifa VC","Menashe Hadera Hefer",
"Statistics","Maccabi Haifa VC","Type","Menashe Hadera Hefer",
,"0","Score","3",
,"61","Points","75",
,"0","Sets","3",
,"7","Aces","4",
,"12","Service errors","9",
,"26","Kills","42",
,"5","Blocks","6",
,"1","Errors","12",
,"9","Outs","2",
,"0","Penalty Points","0",
,"0","Points (unknown method)","1",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"15:49:33","00:00","Players warming up","Players warming up",
,"15:55:57","00:00","Jersey colours updated","Jersey colours updated",
,"15:55:57","00:00","Jersey colours updated","Jersey colours updated",
,"15:58:02","00:00","Coin flipping","Coin flipping",
,"16:01:55","00:00","Warm up at the net","Warm up at the net",
,"16:01:57","00:00","Game conditions changed","Game conditions changed",
,"16:11:45","00:00","Players intro","Players intro",
,"16:12:05","00:00","Players lined up","Players lined up",
,"16:12:26","00:00","Shake hands","Shake hands",
,"16:13:13","00:00","Game about to start","Game about to start",
,"16:14:43","00:00","Start SRV","Start SRV   Menashe Hadera Hefer",
,"16:14:50","00:00","Start 1st Set","Start 1st Set",
,"16:14:50","00:00","SRV","SRV   Menashe Hadera Hefer",
,"16:15:00","00:10","RS","RS   Menashe Hadera Hefer",
,"16:15:00","00:10","B POSS","B POSS   Maccabi Haifa VC",
,"16:15:04","00:14","B POSS","B POSS   Menashe Hadera Hefer",
,"16:15:08","00:18","B POSS","B POSS   Maccabi Haifa VC",
,"16:15:17","00:27","OUT","OUT   Maccabi Haifa VC",
,"16:15:17","00:27","P","[0 : 1]   P   Menashe Hadera Hefer",
,"16:15:21","00:31","Pt Conf","Pt Conf   Menashe Hadera Hefer",
,"16:15:26","00:36","SRV","SRV   Menashe Hadera Hefer",
,"16:15:36","00:45","A","A   Menashe Hadera Hefer",
,"16:15:36","00:45","P","[0 : 2]   P   Menashe Hadera Hefer",
,"16:15:39","00:49","Pt Conf","Pt Conf   Menashe Hadera Hefer",
,"16:15:48","00:58","SRV","SRV   Menashe Hadera Hefer",
,"16:15:54","01:03","RS","RS   Menashe Hadera Hefer",
,"16:15:54","01:03","B POSS","B POSS   Maccabi Haifa VC",
,"16:16:03","01:12","K","K   Maccabi Haifa VC",
,"16:16:03","01:12","P","[1 : 2]   P   Maccabi Haifa VC",
,"16:16:07","01:17","Pt Conf","Pt Conf   Maccabi Haifa VC",
,"16:16:12","01:22","SRV","SRV   Maccabi Haifa VC",
,"16:16:14","01:24","RS","RS   Maccabi Haifa VC",
,"16:16:15","01:24","B POSS","B POSS   Menashe Hadera Hefer",
,"16:16:21","01:31","OUT","OUT   Menashe Hadera Hefer",
,"16:16:21","01:31","P","[2 : 2]   P   Maccabi Haifa VC",
,"16:16:26","01:35","Pt Conf","Pt Conf   Maccabi Haifa VC",
,"16:16:29","01:39","SRV","SRV   Maccabi Haifa VC",
,"16:16:33","01:43","RS","RS   Maccabi Haifa VC",
,"16:16:34","01:43","B POSS","B POSS   Menashe Hadera Hefer",
,"16:16:41","01:51","K","K   Menashe Hadera Hefer",
,"16:16:41","01:51","P","[2 : 3]   P   Menashe Hadera Hefer",
,"16:16:46","01:56","Pt Conf","Pt Conf   Menashe Hadera Hefer",
,"16:16:51","02:00","SRV","SRV   Menashe Hadera Hefer",
,"16:16:58","02:08","RS","RS   Menashe Hadera Hefer",
,"16:16:58","02:08","B POSS","B POSS   Maccabi Haifa VC",
,"16:17:03","02:12","B POSS","B POSS   Menashe Hadera Hefer",
,"16:17:05","02:15","B POSS","B POSS   Maccabi Haifa VC",
,"16:17:10","02:19","B POSS","B POSS   Menashe Hadera Hefer",
,"16:17:14","02:24","B POSS","B POSS   Maccabi Haifa VC",
,"16:17:16","02:26","B POSS","B POSS   Menashe Hadera Hefer",
,"16:17:16","02:26","Rally over 5 possession changes","Rally over 5 possession changes",
,"16:17:22","02:31","K","K   Menashe Hadera Hefer",
,"16:17:22","02:31","P","[2 : 4]   P   Menashe Hadera Hefer",
,"16:17:26","02:35","Pt Conf","Pt Conf   Menashe Hadera Hefer",
,"16:17:31","02:40","SRV","SRV   Menashe Hadera Hefer",
,"16:17:43","02:52","S ERR","S ERR   Menashe Hadera Hefer",
,"16:17:43","02:52","P","[3 : 4]   P   Maccabi Haifa VC",
,"16:17:44","02:54","Pt Conf","Pt Conf   Maccabi Haifa VC",
,"16:17:52","03:02","SRV","SRV   Maccabi Haifa VC",
,"16:18:04","03:13","S ERR","S ERR   Maccabi Haifa VC",
,"16:18:04","03:13","P","[3 : 5]   P   Menashe Hadera Hefer",
,"16:18:05","03:15","Pt Conf","Pt Conf   Menashe Hadera Hefer",
,"16:18:12","03:22","SRV","SRV   Menashe Hadera Hefer",
,"16:18:18","03:28","RS","RS   Menashe Hadera Hefer",
