"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"879486","Poland","Polska Liga (men)","17.10.2017 - 17:00","AZS Politechnika Warszawska","Espadon Szczecin",
"Statistics","AZS Politechnika Warszawska","Type","Espadon Szczecin",
,"0","Score","3",
,"64","Points","76",
,"0","Sets","3",
,"2","Aces","6",
,"14","Service errors","8",
,"41","Kills","40",
,"8","Blocks","5",
,"1","Errors","4",
,"10","Outs","1",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"16:25:31","00:00","Players warming up","Players warming up",
,"16:25:34","00:00","Game conditions changed","Game conditions changed",
,"16:34:39","00:00","Jersey colours updated","Jersey colours updated",
,"16:34:39","00:00","Jersey colours updated","Jersey colours updated",
,"16:45:04","00:00","Coin flipping","Coin flipping",
,"16:45:13","00:00","Warm up at the net","Warm up at the net",
,"17:00:58","00:00","Prize giving ceremony","Prize giving ceremony",
,"17:01:33","00:00","Shake hands","Shake hands",
,"17:03:59","00:00","Players intro","Players intro",
,"17:04:50","00:00","Players lined up","Players lined up",
,"17:05:24","00:00","Game about to start","Game about to start",
,"17:05:54","00:00","Start SRV","Start SRV   AZS Politechnika Warszawska",
,"17:05:59","00:00","Start 1st Set","Start 1st Set",
,"17:05:59","00:00","SRV","SRV   AZS Politechnika Warszawska",
,"17:06:00","00:01","S ERR","S ERR   AZS Politechnika Warszawska",
,"17:06:00","00:01","P","[0 : 1]   P   Espadon Szczecin",
,"17:06:16","00:16","Pt Conf","Pt Conf   Espadon Szczecin",
,"17:06:24","00:25","SRV","SRV   Espadon Szczecin",
,"17:06:26","00:27","RS","RS   Espadon Szczecin",
,"17:06:27","00:27","B POSS","B POSS   AZS Politechnika Warszawska",
,"17:06:30","00:31","B POSS","B POSS   Espadon Szczecin",
,"17:06:34","00:34","B POSS","B POSS   AZS Politechnika Warszawska",
,"17:06:37","00:38","B","B   Espadon Szczecin",
,"17:06:37","00:38","P","[0 : 2]   P   Espadon Szczecin",
,"17:06:52","00:53","Pt Conf","Pt Conf   Espadon Szczecin",
,"17:07:03","01:03","SRV","SRV   Espadon Szczecin",
,"17:07:05","01:06","RS","RS   Espadon Szczecin",
,"17:07:06","01:06","B POSS","B POSS   AZS Politechnika Warszawska",
,"17:07:09","01:09","K","K   AZS Politechnika Warszawska",
,"17:07:09","01:09","P","[1 : 2]   P   AZS Politechnika Warszawska",
,"17:07:27","01:28","Pt Conf","Pt Conf   AZS Politechnika Warszawska",
,"17:07:33","01:34","SRV","SRV   AZS Politechnika Warszawska",
,"17:07:37","01:37","S ERR","S ERR   AZS Politechnika Warszawska",
,"17:07:37","01:37","P","[1 : 3]   P   Espadon Szczecin",
,"17:07:50","01:51","Pt Conf","Pt Conf   Espadon Szczecin",
,"17:07:55","01:56","SRV","SRV   Espadon Szczecin",
,"17:07:57","01:58","RS","RS   Espadon Szczecin",
,"17:07:57","01:58","B POSS","B POSS   AZS Politechnika Warszawska",
,"17:08:00","02:01","K","K   AZS Politechnika Warszawska",
,"17:08:00","02:01","P","[2 : 3]   P   AZS Politechnika Warszawska",
,"17:08:17","02:18","Pt Conf","Pt Conf   AZS Politechnika Warszawska",
,"17:08:21","02:22","SRV","SRV   AZS Politechnika Warszawska",
,"17:08:24","02:24","RS","RS   AZS Politechnika Warszawska",
,"17:08:24","02:25","B POSS","B POSS   Espadon Szczecin",
,"17:08:27","02:28","K","K   Espadon Szczecin",
,"17:08:27","02:28","P","[2 : 4]   P   Espadon Szczecin",
,"17:08:43","02:44","Pt Conf","Pt Conf   Espadon Szczecin",
,"17:08:46","02:47","SRV","SRV   Espadon Szczecin",
,"17:08:48","02:49","RS","RS   Espadon Szczecin",
,"17:08:49","02:49","B POSS","B POSS   AZS Politechnika Warszawska",
,"17:08:55","02:56","K","K   AZS Politechnika Warszawska",
,"17:08:55","02:56","P","[3 : 4]   P   AZS Politechnika Warszawska",
,"17:09:11","03:12","Pt Conf","Pt Conf   AZS Politechnika Warszawska",
,"17:09:13","03:14","SRV","SRV   AZS Politechnika Warszawska",
,"17:09:15","03:16","RS","RS   AZS Politechnika Warszawska",
,"17:09:15","03:16","B POSS","B POSS   Espadon Szczecin",
,"17:09:18","03:19","K","K   Espadon Szczecin",
,"17:09:18","03:19","P","[3 : 5]   P   Espadon Szczecin",
,"17:09:44","03:44","Pt Conf","Pt Conf   Espadon Szczecin",
,"17:09:44","03:45","SRV","SRV   Espadon Szczecin",
,"17:09:46","03:47","RS","RS   Espadon Szczecin",
,"17:09:47","03:47","B POSS","B POSS   AZS Politechnika Warszawska",
,"17:09:52","03:52","ERR","ERR   Espadon Szczecin",
,"17:09:52","03:52","P","[4 : 5]   P   AZS Politechnika Warszawska",
,"17:10:12","04:12","Pt Conf","Pt Conf   AZS Politechnika Warszawska",
,"17:10:14","04:15","SRV","SRV   AZS Politechnika Warszawska",
,"17:10:17","04:17","RS","RS   AZS Politechnika Warszawska",
,"17:10:17","04:17","B POSS","B POSS   Espadon Szczecin",
,"17:10:20","04:21","B POSS","B POSS   AZS Politechnika Warszawska",
,"17:10:24","04:25","K","K   AZS Politechnika Warszawska",
,"17:10:24","04:25","P","[5 : 5]   P   AZS Politechnika Warszawska",
,"17:10:41","04:41","Pt Conf","Pt Conf   AZS Politechnika Warszawska",
,"17:10:48","04:49","SRV","SRV   AZS Politechnika Warszawska",
,"17:10:51","04:51","RS","RS   AZS Politechnika Warszawska",
,"17:10:51","04:52","B POSS","B POSS   Espadon Szczecin",
,"17:10:53","04:54","K","K   Espadon Szczecin",
,"17:10:53","04:54","P","[5 : 6]   P   Espadon Szczecin",
,"17:11:08","05:09","Pt Conf","Pt Conf   Espadon Szczecin",
,"17:11:12","05:13","SRV","SRV   Espadon Szczecin",
,"17:11:15","05:15","RS","RS   Espadon Szczecin",
