"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"891049","Brazil","Campeonato Paulista U21 (women)","18.10.2017 - 21:45","EC Pinheiros U21 (women)","Sao Cristovao Saude U21 (women)",
"Statistics","EC Pinheiros U21 (women)","Type","Sao Cristovao Saude U21 (women)",
,"3","Score","1",
,"95","Points","71",
,"3","Sets","1",
,"5","Aces","2",
,"5","Service errors","13",
,"50","Kills","40",
,"13","Blocks","9",
,"7","Errors","5",
,"8","Outs","9",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"21:18:12","00:00","Game conditions changed","Game conditions changed",
,"21:18:13","00:00","Players warming up","Players warming up",
,"21:31:36","00:00","Coin flipping","Coin flipping",
,"21:33:02","00:00","Players lined up","Players lined up",
,"21:33:13","00:00","Shake hands","Shake hands",
,"21:33:44","00:00","Warm up at the net","Warm up at the net",
,"21:34:06","00:00","Jersey colours updated","Jersey colours updated",
,"21:34:07","00:00","Jersey colours updated","Jersey colours updated",
,"21:47:10","00:00","Players intro","Players intro",
,"21:48:32","00:00","Game about to start","Game about to start",
,"21:49:23","00:00","Start SRV","Start SRV   Sao Cristovao Saude U21 (women)",
,"21:49:28","00:00","Start 1st Set","Start 1st Set",
,"21:49:29","00:00","SRV","SRV   Sao Cristovao Saude U21 (women)",
,"21:49:31","00:03","A","A   Sao Cristovao Saude U21 (women)",
,"21:49:31","00:03","P","[0 : 1]   P   Sao Cristovao Saude U21 (women)",
,"21:49:46","00:17","Pt Conf","Pt Conf   Sao Cristovao Saude U21 (women)",
,"21:50:02","00:33","SRV","SRV   Sao Cristovao Saude U21 (women)",
,"21:50:03","00:34","S ERR","S ERR   Sao Cristovao Saude U21 (women)",
,"21:50:03","00:34","P","[1 : 1]   P   EC Pinheiros U21 (women)",
,"21:50:13","00:44","Pt Conf","Pt Conf   EC Pinheiros U21 (women)",
,"21:50:20","00:51","SRV","SRV   EC Pinheiros U21 (women)",
,"21:50:23","00:54","RS","RS   EC Pinheiros U21 (women)",
