"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"891050","Brazil","Campeonato Paulista U21 (women)","18.10.2017 - 22:00","SESI-SP U21 (women)","ADC Bradesco U21 (women)",
"Statistics","SESI-SP U21 (women)","Type","ADC Bradesco U21 (women)",
,"2","Score","3",
,"73","Points","108",
,"2","Sets","3",
,"6","Aces","10",
,"11","Service errors","7",
,"37","Kills","48",
,"6","Blocks","15",
,"10","Errors","9",
,"13","Outs","7",
,"0","Penalty Points","0",
,"1","Points (unknown method)","1",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"22:09:53","00:00","Game conditions changed","Game conditions changed",
,"22:09:54","00:00","Players warming up","Players warming up",
,"22:10:34","00:00","Jersey colours updated","Jersey colours updated",
,"22:10:38","00:00","Jersey colours updated","Jersey colours updated",
,"22:21:23","00:00","Players lined up","Players lined up",
,"22:22:29","00:00","Shake hands","Shake hands",
,"22:23:02","00:00","Warm up at the net","Warm up at the net",
,"22:35:06","00:00","Start SRV","Start SRV   ADC Bradesco U21 (women)",
,"22:35:12","00:00","Game about to start","Game about to start",
,"22:35:34","00:00","Start SRV","Start SRV   ADC Bradesco U21 (women)",
,"22:35:38","00:00","Game conditions changed","Game conditions changed",
,"22:35:44","00:00","Start 1st Set","Start 1st Set",
,"22:35:47","00:03","SRV","SRV   ADC Bradesco U21 (women)",
,"22:35:47","00:03","S ERR","S ERR   ADC Bradesco U21 (women)",
,"22:35:47","00:03","P","[1 : 0]   P   SESI-SP U21 (women)",
,"22:35:57","00:13","Pt Conf","Pt Conf   SESI-SP U21 (women)",
,"22:36:04","00:20","SRV","SRV   SESI-SP U21 (women)",
,"22:36:06","00:22","RS","RS   SESI-SP U21 (women)",
,"22:36:07","00:23","B POSS","B POSS   ADC Bradesco U21 (women)",
,"22:36:10","00:25","B POSS","B POSS   SESI-SP U21 (women)",
,"22:36:14","00:30","B POSS","B POSS   ADC Bradesco U21 (women)",
,"22:36:22","00:38","B","B   SESI-SP U21 (women)",
,"22:36:22","00:38","P","[2 : 0]   P   SESI-SP U21 (women)",
