"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"891718","Europe","CEV Champions League - Qualification (men)","18.10.2017 - 16:00","Maccabi Tel Aviv","VK Shakhtyor Soligorsk",
"Statistics","Maccabi Tel Aviv","Type","VK Shakhtyor Soligorsk",
,"3","Score","2",
,"102","Points","106",
,"3","Sets","2",
,"4","Aces","5",
,"14","Service errors","15",
,"54","Kills","53",
,"10","Blocks","11",
,"10","Errors","11",
,"13","Outs","8",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"15:57:09","00:00","Shake hands","Shake hands",
,"15:57:44","00:00","Jersey colours updated","Jersey colours updated",
,"15:57:44","00:00","Jersey colours updated","Jersey colours updated",
,"15:58:10","00:00","Game about to start","Game about to start",
,"15:58:10","00:00","Game conditions changed","Game conditions changed",
,"16:02:16","00:00","Start SRV","Start SRV   Maccabi Tel Aviv",
,"16:02:17","00:00","Start 1st Set","Start 1st Set",
,"16:02:17","00:00","SRV","SRV   Maccabi Tel Aviv",
,"16:02:17","00:00","RS","RS   Maccabi Tel Aviv",
,"16:02:17","00:00","B POSS","B POSS   VK Shakhter Soligorsk",
,"16:02:22","00:05","K","K   Maccabi Tel Aviv",
,"16:02:22","00:05","P","[1 : 0]   P   Maccabi Tel Aviv",
,"16:02:26","00:08","Pt Conf","Pt Conf   Maccabi Tel Aviv",
,"16:02:30","00:12","SRV","SRV   Maccabi Tel Aviv",
,"16:02:44","00:26","S ERR","S ERR   Maccabi Tel Aviv",
,"16:02:44","00:26","P","[1 : 1]   P   VK Shakhter Soligorsk",
,"16:02:44","00:26","Pt Conf","Pt Conf   VK Shakhter Soligorsk",
,"16:02:48","00:30","SRV","SRV   VK Shakhter Soligorsk",
,"16:03:01","00:44","RS","RS   VK Shakhter Soligorsk",
,"16:03:01","00:44","B POSS","B POSS   Maccabi Tel Aviv",
,"16:03:03","00:45","ERR","ERR   VK Shakhter Soligorsk",
,"16:03:03","00:45","P","[2 : 1]   P   Maccabi Tel Aviv",
,"16:03:13","00:55","Pt Conf","Pt Conf   Maccabi Tel Aviv",
,"16:03:17","01:00","SRV","SRV   Maccabi Tel Aviv",
,"16:03:20","01:02","RS","RS   Maccabi Tel Aviv",
,"16:03:20","01:02","B POSS","B POSS   VK Shakhter Soligorsk",
,"16:03:35","01:17","K","K   VK Shakhter Soligorsk",
,"16:03:35","01:17","P","[2 : 2]   P   VK Shakhter Soligorsk",
,"16:03:36","01:19","Pt Conf","Pt Conf   VK Shakhter Soligorsk",
,"16:03:50","01:32","SRV","SRV   VK Shakhter Soligorsk",
,"16:03:55","01:37","S ERR","S ERR   VK Shakhter Soligorsk",
,"16:03:55","01:37","P","[3 : 2]   P   Maccabi Tel Aviv",
,"16:04:09","01:51","Pt Conf","Pt Conf   Maccabi Tel Aviv",
,"16:04:10","01:53","SRV","SRV   Maccabi Tel Aviv",
,"16:04:14","01:56","RS","RS   Maccabi Tel Aviv",
,"16:04:14","01:56","B POSS","B POSS   VK Shakhter Soligorsk",
,"16:04:28","02:10","ERR","ERR   VK Shakhter Soligorsk",
,"16:04:28","02:10","P","[4 : 2]   P   Maccabi Tel Aviv",
,"16:04:28","02:11","Pt Conf","Pt Conf   Maccabi Tel Aviv",
,"16:04:42","02:25","SRV","SRV   Maccabi Tel Aviv",
,"16:04:43","02:25","S ERR","S ERR   Maccabi Tel Aviv",
,"16:04:43","02:25","P","[4 : 3]   P   VK Shakhter Soligorsk",
,"16:04:44","02:26","Pt Conf","Pt Conf   VK Shakhter Soligorsk",
,"16:04:58","02:40","SRV","SRV   VK Shakhter Soligorsk",
,"16:04:58","02:40","RS","RS   VK Shakhter Soligorsk",
,"16:04:58","02:40","B POSS","B POSS   Maccabi Tel Aviv",
,"16:05:01","02:43","B POSS","B POSS   VK Shakhter Soligorsk",
,"16:05:04","02:47","B POSS","B POSS   Maccabi Tel Aviv",
,"16:05:22","03:04","K","K   Maccabi Tel Aviv",
,"16:05:22","03:04","P","[5 : 3]   P   Maccabi Tel Aviv",
,"16:05:22","03:04","Pt Conf","Pt Conf   Maccabi Tel Aviv",
,"16:05:22","03:04","Danger","Danger",
,"16:05:22","03:04","Scout offline","Scout offline",
,"16:05:45","03:27","Updating score","Updating score",
,"16:06:00","03:42","K","K   Maccabi Tel Aviv",
,"16:06:00","03:42","P","[6 : 3]   P   Maccabi Tel Aviv",
,"16:06:00","03:42","Score updated","Score updated",
,"16:06:01","03:44","SRV","SRV   Maccabi Tel Aviv",
,"16:06:03","03:45","RS","RS   Maccabi Tel Aviv",
,"16:06:03","03:46","B POSS","B POSS   VK Shakhter Soligorsk",
,"16:06:20","04:02","B POSS","B POSS   Maccabi Tel Aviv",
,"16:06:20","04:02","B POSS","B POSS   VK Shakhter Soligorsk",
,"16:06:20","04:02","K","K   VK Shakhter Soligorsk",
,"16:06:20","04:02","P","[6 : 4]   P   VK Shakhter Soligorsk",
,"16:06:20","04:02","Pt Conf","Pt Conf   VK Shakhter Soligorsk",
,"16:06:35","04:17","SRV","SRV   VK Shakhter Soligorsk",
,"16:06:39","04:21","RS","RS   VK Shakhter Soligorsk",
,"16:06:39","04:21","B POSS","B POSS   Maccabi Tel Aviv",
,"16:06:43","04:25","B POSS","B POSS   VK Shakhter Soligorsk",
,"16:06:47","04:29","B POSS","B POSS   Maccabi Tel Aviv",
,"16:06:50","04:32","B POSS","B POSS   VK Shakhter Soligorsk",
,"16:07:04","04:47","K","K   VK Shakhter Soligorsk",
,"16:07:04","04:47","P","[6 : 5]   P   VK Shakhter Soligorsk",
,"16:07:04","04:47","Pt Conf","Pt Conf   VK Shakhter Soligorsk",
,"16:07:18","05:01","SRV","SRV   VK Shakhter Soligorsk",
,"16:07:21","05:04","S ERR","S ERR   VK Shakhter Soligorsk",
,"16:07:21","05:04","P","[7 : 5]   P   Maccabi Tel Aviv",
,"16:07:24","05:06","Pt Conf","Pt Conf   Maccabi Tel Aviv",
,"16:07:38","05:20","SRV","SRV   Maccabi Tel Aviv",
,"16:07:44","05:26","S ERR","S ERR   Maccabi Tel Aviv",
,"16:07:44","05:26","P","[7 : 6]   P   VK Shakhter Soligorsk",
,"16:07:53","05:35","Pt Conf","Pt Conf   VK Shakhter Soligorsk",
,"16:07:56","05:38","SRV","SRV   VK Shakhter Soligorsk",
,"16:08:09","05:52","S ERR","S ERR   VK Shakhter Soligorsk",
,"16:08:09","05:52","P","[8 : 6]   P   Maccabi Tel Aviv",
,"16:08:10","05:52","Pt Conf","Pt Conf   Maccabi Tel Aviv",
,"16:08:10","05:52","TIME","TIME",
,"16:08:10","05:52","TTO","TTO",
,"16:09:25","07:07","SRV","SRV   Maccabi Tel Aviv",
,"16:09:27","07:09","RS","RS   Maccabi Tel Aviv",
,"16:09:27","07:09","B POSS","B POSS   VK Shakhter Soligorsk",
,"16:09:42","07:25","K","K   VK Shakhter Soligorsk",
,"16:09:42","07:25","P","[8 : 7]   P   VK Shakhter Soligorsk",
,"16:09:42","07:25","Pt Conf","Pt Conf   VK Shakhter Soligorsk",
,"16:09:46","07:29","SRV","SRV   VK Shakhter Soligorsk",
,"16:09:51","07:34","RS","RS   VK Shakhter Soligorsk",
,"16:09:52","07:34","B POSS","B POSS   Maccabi Tel Aviv",
,"16:10:08","07:50","OUT","OUT   Maccabi Tel Aviv",
,"16:10:08","07:50","P","[8 : 8]   P   VK Shakhter Soligorsk",
,"16:10:08","07:50","Pt Conf","Pt Conf   VK Shakhter Soligorsk",
,"16:10:10","07:52","SRV","SRV   VK Shakhter Soligorsk",
,"16:10:24","08:06","RS","RS   VK Shakhter Soligorsk",
,"16:10:24","08:06","B POSS","B POSS   Maccabi Tel Aviv",
,"16:10:24","08:06","B POSS","B POSS   VK Shakhter Soligorsk",
,"16:10:24","08:07","K","K   VK Shakhter Soligorsk",
,"16:10:24","08:07","P","[8 : 9]   P   VK Shakhter Soligorsk",
,"16:10:26","08:08","Pt Conf","Pt Conf   VK Shakhter Soligorsk",
