"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"891813","Europe","CEV Champions League - Qualification (men)","18.10.2017 - 17:30","Mladost Brcko","ACH Volley Ljubljana",
"Statistics","Mladost Brcko","Type","ACH Volley Ljubljana",
,"0","Score","3",
,"55","Points","75",
,"0","Sets","3",
,"1","Aces","9",
,"14","Service errors","11",
,"31","Kills","35",
,"3","Blocks","7",
,"6","Errors","6",
,"4","Outs","3",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"16:55:37","00:00","Game conditions changed","Game conditions changed",
,"16:55:39","00:00","Players warming up","Players warming up",
,"17:13:40","00:00","Jersey colours updated","Jersey colours updated",
,"17:13:40","00:00","Jersey colours updated","Jersey colours updated",
,"17:15:05","00:00","Coin flipping","Coin flipping",
,"17:19:19","00:00","Game conditions changed","Game conditions changed",
,"17:21:40","00:00","Warm up at the net","Warm up at the net",
,"17:24:35","00:00","Players intro","Players intro",
,"17:28:16","00:00","Players lined up","Players lined up",
,"17:29:58","00:00","Shake hands","Shake hands",
,"17:32:55","00:00","Game conditions changed","Game conditions changed",
,"17:33:22","00:00","Game about to start","Game about to start",
,"17:34:05","00:00","Start SRV","Start SRV   Mladost Brcko",
,"17:34:28","00:00","Start 1st Set","Start 1st Set",
,"17:34:29","00:00","SRV","SRV   Mladost Brcko",
,"17:34:31","00:03","RS","RS   Mladost Brcko",
,"17:34:32","00:03","B POSS","B POSS   ACH Volley Ljubljana",
,"17:34:36","00:07","K","K   ACH Volley Ljubljana",
,"17:34:36","00:07","P","[0 : 1]   P   ACH Volley Ljubljana",
,"17:34:47","00:18","Pt Conf","Pt Conf   ACH Volley Ljubljana",
,"17:34:52","00:24","SRV","SRV   ACH Volley Ljubljana",
,"17:34:55","00:27","RS","RS   ACH Volley Ljubljana",
,"17:34:56","00:27","B POSS","B POSS   Mladost Brcko",
,"17:35:00","00:31","B POSS","B POSS   ACH Volley Ljubljana",
,"17:35:04","00:35","K","K   ACH Volley Ljubljana",
,"17:35:04","00:35","P","[0 : 2]   P   ACH Volley Ljubljana",
,"17:35:14","00:45","Pt Conf","Pt Conf   ACH Volley Ljubljana",
,"17:35:19","00:50","SRV","SRV   ACH Volley Ljubljana",
,"17:35:21","00:52","RS","RS   ACH Volley Ljubljana",
,"17:35:21","00:53","B POSS","B POSS   Mladost Brcko",
,"17:35:25","00:57","B POSS","B POSS   ACH Volley Ljubljana",
,"17:35:32","01:03","B","B   Mladost Brcko",
,"17:35:32","01:03","P","[1 : 2]   P   Mladost Brcko",
,"17:35:42","01:14","Pt Conf","Pt Conf   Mladost Brcko",
,"17:35:51","01:22","SRV","SRV   Mladost Brcko",
,"17:35:53","01:25","RS","RS   Mladost Brcko",
,"17:35:54","01:25","B POSS","B POSS   ACH Volley Ljubljana",
,"17:35:56","01:28","B POSS","B POSS   Mladost Brcko",
,"17:36:02","01:33","ERR","ERR   Mladost Brcko",
,"17:36:02","01:33","P","[1 : 3]   P   ACH Volley Ljubljana",
,"17:36:12","01:44","Pt Conf","Pt Conf   ACH Volley Ljubljana",
,"17:36:16","01:48","SRV","SRV   ACH Volley Ljubljana",
,"17:36:19","01:51","RS","RS   ACH Volley Ljubljana",
,"17:36:20","01:51","B POSS","B POSS   Mladost Brcko",
,"17:36:27","01:59","OUT","OUT   Mladost Brcko",
,"17:36:27","01:59","P","[1 : 4]   P   ACH Volley Ljubljana",
,"17:36:32","02:03","Pt Conf","Pt Conf   ACH Volley Ljubljana",
,"17:36:39","02:11","SRV","SRV   ACH Volley Ljubljana",
,"17:36:42","02:13","RS","RS   ACH Volley Ljubljana",
,"17:36:44","02:16","B POSS","B POSS   Mladost Brcko",
,"17:36:46","02:17","B","B   ACH Volley Ljubljana",
,"17:36:46","02:17","P","[1 : 5]   P   ACH Volley Ljubljana",
,"17:36:55","02:27","Pt Conf","Pt Conf   ACH Volley Ljubljana",
,"17:36:56","02:28","TIME","TIME",
,"17:36:57","02:29","TIME","TIME   Mladost Brcko",
,"17:37:46","03:17","SRV","SRV   ACH Volley Ljubljana",
,"17:37:48","03:20","RS","RS   ACH Volley Ljubljana",
,"17:37:49","03:20","B POSS","B POSS   Mladost Brcko",
,"17:37:53","03:25","K","K   Mladost Brcko",
