"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"889133","Germany","Bundesliga (men)","18.10.2017 - 17:30","SCC Berlin","TSV Herrsching",
"Statistics","SCC Berlin","Type","TSV Herrsching",
,"3","Score","1",
,"102","Points","89",
,"3","Sets","1",
,"2","Aces","7",
,"19","Service errors","16",
,"48","Kills","39",
,"9","Blocks","6",
,"5","Errors","12",
,"13","Outs","15",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"17:19:25","00:00","Game conditions changed","Game conditions changed",
,"17:19:26","00:00","Players warming up","Players warming up",
,"17:19:26","00:00","Coin flipping","Coin flipping",
,"17:19:26","00:00","Warm up at the net","Warm up at the net",
,"17:19:54","00:00","Jersey colours updated","Jersey colours updated",
,"17:19:54","00:00","Jersey colours updated","Jersey colours updated",
,"17:23:27","00:00","Players intro","Players intro",
,"17:30:03","00:00","Game about to start","Game about to start",
,"17:30:13","00:00","Start SRV","Start SRV   TSV Herrsching",
,"17:30:18","00:00","Start 1st Set","Start 1st Set",
,"17:30:18","00:00","SRV","SRV   TSV Herrsching",
,"17:30:20","00:02","RS","RS   TSV Herrsching",
,"17:30:21","00:02","B POSS","B POSS   SCC Berlin",
,"17:30:24","00:06","B POSS","B POSS   TSV Herrsching",
,"17:30:30","00:12","B POSS","B POSS   SCC Berlin",
,"17:30:35","00:17","OUT","OUT   SCC Berlin",
,"17:30:35","00:17","P","[0 : 1]   P   TSV Herrsching",
,"17:30:54","00:36","Pt Conf","Pt Conf   TSV Herrsching",
,"17:30:54","00:36","SRV","SRV   TSV Herrsching",
,"17:30:57","00:39","A","A   TSV Herrsching",
,"17:30:57","00:39","P","[0 : 2]   P   TSV Herrsching",
,"17:31:18","01:00","Pt Conf","Pt Conf   TSV Herrsching",
,"17:31:18","01:00","SRV","SRV   TSV Herrsching",
,"17:31:19","01:00","RS","RS   TSV Herrsching",
,"17:31:19","01:01","B POSS","B POSS   SCC Berlin",
,"17:31:22","01:03","B POSS","B POSS   TSV Herrsching",
,"17:31:31","01:13","ERR","ERR   TSV Herrsching",
,"17:31:31","01:13","P","[1 : 2]   P   SCC Berlin",
,"17:31:48","01:30","Pt Conf","Pt Conf   SCC Berlin",
,"17:31:49","01:31","SRV","SRV   SCC Berlin",
,"17:31:51","01:33","RS","RS   SCC Berlin",
,"17:31:51","01:33","B POSS","B POSS   TSV Herrsching",
,"17:31:56","01:38","OUT","OUT   SCC Berlin",
,"17:31:56","01:38","P","[1 : 3]   P   TSV Herrsching",
,"17:32:14","01:56","Pt Conf","Pt Conf   TSV Herrsching",
,"17:32:15","01:57","SRV","SRV   TSV Herrsching",
,"17:32:16","01:58","RS","RS   TSV Herrsching",
,"17:32:16","01:58","B POSS","B POSS   SCC Berlin",
,"17:32:27","02:08","OUT","OUT   TSV Herrsching",
,"17:32:27","02:08","P","[2 : 3]   P   SCC Berlin",
,"17:32:40","02:22","Pt Conf","Pt Conf   SCC Berlin",
,"17:32:42","02:24","SRV","SRV   SCC Berlin",
,"17:32:45","02:26","RS","RS   SCC Berlin",
,"17:32:45","02:27","B POSS","B POSS   TSV Herrsching",
,"17:32:53","02:35","K","K   TSV Herrsching",
,"17:32:53","02:35","P","[2 : 4]   P   TSV Herrsching",
,"17:33:11","02:53","Pt Conf","Pt Conf   TSV Herrsching",
,"17:33:12","02:54","SRV","SRV   TSV Herrsching",
,"17:33:13","02:55","RS","RS   TSV Herrsching",
,"17:33:14","02:55","B POSS","B POSS   SCC Berlin",
,"17:33:20","03:01","ERR","ERR   TSV Herrsching",
,"17:33:20","03:01","P","[3 : 4]   P   SCC Berlin",
,"17:33:35","03:17","Pt Conf","Pt Conf   SCC Berlin",
,"17:33:37","03:19","SRV","SRV   SCC Berlin",
,"17:33:38","03:20","S ERR","S ERR   SCC Berlin",
,"17:33:38","03:20","P","[3 : 5]   P   TSV Herrsching",
,"17:34:01","03:43","Pt Conf","Pt Conf   TSV Herrsching",
,"17:34:02","03:44","SRV","SRV   TSV Herrsching",
,"17:34:05","03:47","RS","RS   TSV Herrsching",
,"17:34:05","03:47","B POSS","B POSS   SCC Berlin",
,"17:34:14","03:56","B POSS","B POSS   TSV Herrsching",
,"17:34:22","04:04","K","K   TSV Herrsching",
,"17:34:22","04:04","P","[3 : 6]   P   TSV Herrsching",
,"17:34:45","04:27","Pt Conf","Pt Conf   TSV Herrsching",
,"17:34:46","04:27","SRV","SRV   TSV Herrsching",
,"17:34:48","04:30","A","A   TSV Herrsching",
,"17:34:48","04:30","P","[3 : 7]   P   TSV Herrsching",
,"17:35:16","04:58","Pt Conf","Pt Conf   TSV Herrsching",
,"17:35:17","04:58","SRV","SRV   TSV Herrsching",
,"17:35:18","05:00","RS","RS   TSV Herrsching",
,"17:35:18","05:00","B POSS","B POSS   SCC Berlin",
,"17:35:19","05:01","K","K   SCC Berlin",
,"17:35:19","05:01","P","[4 : 7]   P   SCC Berlin",
,"17:35:38","05:20","Pt Conf","Pt Conf   SCC Berlin",
,"17:35:39","05:21","SRV","SRV   SCC Berlin",
,"17:35:42","05:24","RS","RS   SCC Berlin",
,"17:35:42","05:24","B POSS","B POSS   TSV Herrsching",
,"17:35:46","05:27","B POSS","B POSS   SCC Berlin",
,"17:35:49","05:31","K","K   TSV Herrsching",
,"17:35:49","05:31","P","[4 : 8]   P   TSV Herrsching",
,"17:35:53","05:35","Pt Conf","Pt Conf   TSV Herrsching",
,"17:35:54","05:36","TIME","TIME",
,"17:35:55","05:36","TTO","TTO",
,"17:37:12","06:54","SRV","SRV   TSV Herrsching",
,"17:37:14","06:56","RS","RS   TSV Herrsching",
,"17:37:15","06:56","B POSS","B POSS   SCC Berlin",
,"17:37:25","07:07","B POSS","B POSS   TSV Herrsching",
,"17:37:27","07:09","B POSS","B POSS   SCC Berlin",
,"17:37:36","07:18","B POSS","B POSS   TSV Herrsching",
,"17:37:40","07:22","K","K   SCC Berlin",
,"17:37:40","07:22","P","[5 : 8]   P   SCC Berlin",
,"17:38:03","07:45","Pt Conf","Pt Conf   SCC Berlin",
,"17:38:04","07:46","SRV","SRV   SCC Berlin",
,"17:38:06","07:48","S ERR","S ERR   SCC Berlin",
,"17:38:06","07:48","P","[5 : 9]   P   TSV Herrsching",
,"17:38:25","08:07","Pt Conf","Pt Conf   TSV Herrsching",
,"17:38:26","08:07","SRV","SRV   TSV Herrsching",
,"17:38:29","08:10","S ERR","S ERR   TSV Herrsching",
,"17:38:29","08:10","P","[6 : 9]   P   SCC Berlin",
,"17:38:42","08:23","Pt Conf","Pt Conf   SCC Berlin",
,"17:38:42","08:24","SRV","SRV   SCC Berlin",
,"17:38:44","08:25","RS","RS   SCC Berlin",
,"17:38:44","08:26","B POSS","B POSS   TSV Herrsching",
,"17:38:47","08:29","K","K   TSV Herrsching",
,"17:38:47","08:29","P","[6 : 10]   P   TSV Herrsching",
,"17:39:08","08:49","Pt Conf","Pt Conf   TSV Herrsching",
,"17:39:08","08:50","SRV","SRV   TSV Herrsching",
,"17:39:09","08:51","RS","RS   TSV Herrsching",
,"17:39:09","08:51","B POSS","B POSS   SCC Berlin",
,"17:39:12","08:54","K","K   SCC Berlin",
,"17:39:12","08:54","P","[7 : 10]   P   SCC Berlin",
,"17:39:33","09:14","Pt Conf","Pt Conf   SCC Berlin",
,"17:39:33","09:15","SRV","SRV   SCC Berlin",
,"17:39:34","09:16","RS","RS   SCC Berlin",
,"17:39:34","09:16","B POSS","B POSS   TSV Herrsching",
,"17:39:38","09:20","B POSS","B POSS   SCC Berlin",
,"17:39:42","09:23","B POSS","B POSS   TSV Herrsching",
,"17:39:45","09:27","K","K   TSV Herrsching",
,"17:39:45","09:27","P","[7 : 11]   P   TSV Herrsching",
,"17:40:14","09:56","Pt Conf","Pt Conf   TSV Herrsching",
,"17:40:14","09:56","SRV","SRV   TSV Herrsching",
,"17:40:18","09:59","RS","RS   TSV Herrsching",
,"17:40:18","10:00","B POSS","B POSS   SCC Berlin",
,"17:40:20","10:02","B POSS","B POSS   TSV Herrsching",
,"17:40:23","10:05","B POSS","B POSS   SCC Berlin",
,"17:40:28","10:10","B POSS","B POSS   TSV Herrsching",
,"17:40:31","10:13","B POSS","B POSS   SCC Berlin",
,"17:40:35","10:17","K","K   SCC Berlin",
,"17:40:35","10:17","P","[8 : 11]   P   SCC Berlin",
,"17:40:55","10:36","Pt Conf","Pt Conf   SCC Berlin",
,"17:40:56","10:37","SRV","SRV   SCC Berlin",
,"17:40:58","10:40","RS","RS   SCC Berlin",
,"17:40:58","10:40","B POSS","B POSS   TSV Herrsching",
,"17:41:04","10:45","K","K   TSV Herrsching",
,"17:41:04","10:45","P","[8 : 12]   P   TSV Herrsching",
,"17:41:22","11:04","Pt Conf","Pt Conf   TSV Herrsching",
,"17:41:23","11:05","SRV","SRV   TSV Herrsching",
,"17:41:24","11:05","A","A   TSV Herrsching",
,"17:41:24","11:05","P","[8 : 13]   P   TSV Herrsching",
,"17:41:42","11:24","Pt Conf","Pt Conf   TSV Herrsching",
,"17:41:43","11:25","TIME","TIME",
,"17:41:43","11:25","TIME","TIME   SCC Berlin",
,"17:42:34","12:16","SRV","SRV   TSV Herrsching",
,"17:42:38","12:20","RS","RS   TSV Herrsching",
,"17:42:38","12:20","B POSS","B POSS   SCC Berlin",
,"17:42:40","12:22","B POSS","B POSS   TSV Herrsching",
,"17:42:46","12:27","K","K   TSV Herrsching",
,"17:42:46","12:27","P","[8 : 14]   P   TSV Herrsching",
,"17:43:02","12:44","Pt Conf","Pt Conf   TSV Herrsching",
,"17:43:03","12:44","SRV","SRV   TSV Herrsching",
,"17:43:04","12:46","RS","RS   TSV Herrsching",
,"17:43:05","12:46","B POSS","B POSS   SCC Berlin",
,"17:43:08","12:50","B POSS","B POSS   TSV Herrsching",
,"17:43:15","12:57","B POSS","B POSS   SCC Berlin",
,"17:43:18","13:00","K","K   SCC Berlin",
,"17:43:18","13:00","P","[9 : 14]   P   SCC Berlin",
,"17:43:40","13:22","Pt Conf","Pt Conf   SCC Berlin",
,"17:43:41","13:23","SRV","SRV   SCC Berlin",
,"17:43:43","13:25","RS","RS   SCC Berlin",
,"17:43:43","13:25","B POSS","B POSS   TSV Herrsching",
,"17:43:47","13:29","K","K   TSV Herrsching",
,"17:43:47","13:29","P","[9 : 15]   P   TSV Herrsching",
,"17:44:09","13:51","Pt Conf","Pt Conf   TSV Herrsching",
,"17:44:10","13:52","SRV","SRV   TSV Herrsching",
,"17:44:11","13:52","RS","RS   TSV Herrsching",
,"17:44:11","13:53","B POSS","B POSS   SCC Berlin",
,"17:44:13","13:55","B POSS","B POSS   TSV Herrsching",
,"17:44:16","13:58","K","K   SCC Berlin",
,"17:44:16","13:58","P","[10 : 15]   P   SCC Berlin",
,"17:44:37","14:19","Pt Conf","Pt Conf   SCC Berlin",
,"17:44:38","14:20","SRV","SRV   SCC Berlin",
,"17:44:40","14:22","RS","RS   SCC Berlin",
,"17:44:41","14:22","B POSS","B POSS   TSV Herrsching",
,"17:44:44","14:26","K","K   TSV Herrsching",
,"17:44:44","14:26","P","[10 : 16]   P   TSV Herrsching",
,"17:44:46","14:28","Pt Conf","Pt Conf   TSV Herrsching",
,"17:44:46","14:28","TIME","TIME",
,"17:44:47","14:29","TTO","TTO",
,"17:46:08","15:50","SRV","SRV   TSV Herrsching",
,"17:46:11","15:53","S ERR","S ERR   TSV Herrsching",
,"17:46:11","15:53","P","[11 : 16]   P   SCC Berlin",
,"17:46:30","16:12","Pt Conf","Pt Conf   SCC Berlin",
,"17:46:31","16:12","SRV","SRV   SCC Berlin",
,"17:46:33","16:15","RS","RS   SCC Berlin",
,"17:46:34","16:15","B POSS","B POSS   TSV Herrsching",
,"17:46:36","16:18","K","K   TSV Herrsching",
,"17:46:36","16:18","P","[11 : 17]   P   TSV Herrsching",
,"17:46:57","16:39","Pt Conf","Pt Conf   TSV Herrsching",
,"17:46:58","16:39","SRV","SRV   TSV Herrsching",
,"17:46:58","16:40","RS","RS   TSV Herrsching",
,"17:46:59","16:40","B POSS","B POSS   SCC Berlin",
,"17:47:02","16:44","B POSS","B POSS   TSV Herrsching",
,"17:47:10","16:51","ERR","ERR   TSV Herrsching",
,"17:47:10","16:51","P","[12 : 17]   P   SCC Berlin",
,"17:47:27","17:09","Pt Conf","Pt Conf   SCC Berlin",
,"17:47:28","17:10","SRV","SRV   SCC Berlin",
,"17:47:29","17:10","RS","RS   SCC Berlin",
,"17:47:29","17:10","B POSS","B POSS   TSV Herrsching",
,"17:47:32","17:14","K","K   TSV Herrsching",
,"17:47:32","17:14","P","[12 : 18]   P   TSV Herrsching",
,"17:47:50","17:32","Pt Conf","Pt Conf   TSV Herrsching",
,"17:47:51","17:33","SRV","SRV   TSV Herrsching",
,"17:47:53","17:34","RS","RS   TSV Herrsching",
,"17:47:53","17:35","B POSS","B POSS   SCC Berlin",
,"17:47:57","17:39","B POSS","B POSS   TSV Herrsching",
,"17:48:01","17:43","OUT","OUT   TSV Herrsching",
,"17:48:01","17:43","P","[13 : 18]   P   SCC Berlin",
,"17:48:19","18:01","Pt Conf","Pt Conf   SCC Berlin",
,"17:48:20","18:02","SRV","SRV   SCC Berlin",
,"17:48:21","18:03","RS","RS   SCC Berlin",
,"17:48:21","18:03","B POSS","B POSS   TSV Herrsching",
,"17:48:23","18:04","K","K   TSV Herrsching",
,"17:48:23","18:04","P","[13 : 19]   P   TSV Herrsching",
,"17:48:42","18:24","Pt Conf","Pt Conf   TSV Herrsching",
,"17:48:42","18:24","SRV","SRV   TSV Herrsching",
,"17:48:44","18:25","RS","RS   TSV Herrsching",
,"17:48:44","18:26","B POSS","B POSS   SCC Berlin",
