"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"890893","Italy","Coppa Italia A1 (men)","18.10.2017 - 18:30","Trentino Volley","Volley Monza",
"Statistics","Trentino Volley","Type","Volley Monza",
,"3","Score","0",
,"75","Points","61",
,"3","Sets","0",
,"9","Aces","3",
,"15","Service errors","8",
,"45","Kills","31",
,"2","Blocks","6",
,"2","Errors","4",
,"4","Outs","7",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"17:43:31","00:00","Game conditions changed","Game conditions changed",
,"17:43:35","00:00","Players warming up","Players warming up",
,"18:13:36","00:00","Coin flipping","Coin flipping",
,"18:13:59","00:00","Warm up at the net","Warm up at the net",
,"18:22:13","00:00","Game conditions changed","Game conditions changed",
,"18:26:01","00:00","Jersey colours updated","Jersey colours updated",
,"18:26:02","00:00","Jersey colours updated","Jersey colours updated",
,"18:26:10","00:00","Players lined up","Players lined up",
,"18:26:50","00:00","Shake hands","Shake hands",
,"18:27:42","00:00","Players intro","Players intro",
,"18:28:59","00:00","Game about to start","Game about to start",
,"18:30:58","00:00","Start SRV","Start SRV   Trentino Volley",
,"18:31:02","00:00","Start 1st Set","Start 1st Set",
,"18:31:02","00:00","SRV","SRV   Trentino Volley",
,"18:31:04","00:02","RS","RS   Trentino Volley",
,"18:31:04","00:02","B POSS","B POSS   Volley Monza",
,"18:31:06","00:04","B POSS","B POSS   Trentino Volley",
,"18:31:15","00:13","K","K   Trentino Volley",
,"18:31:15","00:13","P","[1 : 0]   P   Trentino Volley",
,"18:31:30","00:28","Pt Conf","Pt Conf   Trentino Volley",
,"18:31:35","00:33","SRV","SRV   Trentino Volley",
,"18:31:39","00:36","RS","RS   Trentino Volley",
,"18:31:39","00:37","B POSS","B POSS   Volley Monza",
,"18:31:41","00:39","K","K   Volley Monza",
,"18:31:41","00:39","P","[1 : 1]   P   Volley Monza",
,"18:31:54","00:52","Pt Conf","Pt Conf   Volley Monza",
,"18:31:58","00:56","SRV","SRV   Volley Monza",
,"18:32:00","00:58","RS","RS   Volley Monza",
,"18:32:01","00:58","B POSS","B POSS   Trentino Volley",
,"18:32:04","01:02","K","K   Trentino Volley",
,"18:32:04","01:02","P","[2 : 1]   P   Trentino Volley",
,"18:32:19","01:17","Pt Conf","Pt Conf   Trentino Volley",
,"18:32:24","01:22","SRV","SRV   Trentino Volley",
,"18:32:28","01:26","RS","RS   Trentino Volley",
,"18:32:28","01:26","B POSS","B POSS   Volley Monza",
,"18:32:32","01:29","B POSS","B POSS   Trentino Volley",
,"18:32:34","01:31","B POSS","B POSS   Volley Monza",
,"18:32:38","01:36","K","K   Volley Monza",
,"18:32:38","01:36","P","[2 : 2]   P   Volley Monza",
,"18:32:54","01:52","Pt Conf","Pt Conf   Volley Monza",
,"18:33:02","01:59","SRV","SRV   Volley Monza",
,"18:33:05","02:03","RS","RS   Volley Monza",
,"18:33:06","02:03","B POSS","B POSS   Trentino Volley",
,"18:33:09","02:07","K","K   Trentino Volley",
,"18:33:09","02:07","P","[3 : 2]   P   Trentino Volley",
,"18:33:25","02:22","Pt Conf","Pt Conf   Trentino Volley",
,"18:33:31","02:29","SRV","SRV   Trentino Volley",
,"18:33:37","02:34","S ERR","S ERR   Trentino Volley",
,"18:33:37","02:34","P","[3 : 3]   P   Volley Monza",
,"18:33:47","02:44","Pt Conf","Pt Conf   Volley Monza",
,"18:33:52","02:49","SRV","SRV   Volley Monza",
