"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"891082","Italy","Coppa Italia A1 (men)","18.10.2017 - 18:30","Volley Perugia","Pallavolo Padova",
"Statistics","Volley Perugia","Type","Pallavolo Padova",
,"3","Score","0",
,"78","Points","61",
,"3","Sets","0",
,"5","Aces","3",
,"15","Service errors","16",
,"38","Kills","32",
,"5","Blocks","1",
,"6","Errors","9",
,"4","Outs","5",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"18:03:00","00:00","Game conditions changed","Game conditions changed",
,"18:03:02","00:00","Players warming up","Players warming up",
,"18:11:35","00:00","Warm up at the net","Warm up at the net",
,"18:25:10","00:00","Jersey colours updated","Jersey colours updated",
,"18:25:10","00:00","Jersey colours updated","Jersey colours updated",
,"18:27:11","00:00","Players intro","Players intro",
,"18:29:12","00:00","Players lined up","Players lined up",
,"18:29:20","00:00","Game about to start","Game about to start",
,"18:29:40","00:00","Game conditions changed","Game conditions changed",
,"18:30:12","00:00","Start SRV","Start SRV   Pallavolo Padova",
,"18:30:25","00:00","Start SRV","Start SRV   Pallavolo Padova",
,"18:30:27","00:00","Start 1st Set","Start 1st Set",
,"18:30:28","00:00","SRV","SRV   Pallavolo Padova",
,"18:30:31","00:04","RS","RS   Pallavolo Padova",
,"18:30:32","00:04","B POSS","B POSS   Volley Perugia",
,"18:30:36","00:09","K","K   Volley Perugia",
,"18:30:36","00:09","P","[1 : 0]   P   Volley Perugia",
,"18:30:49","00:21","Pt Conf","Pt Conf   Volley Perugia",
,"18:30:49","00:22","SRV","SRV   Volley Perugia",
,"18:30:53","00:25","RS","RS   Volley Perugia",
,"18:30:54","00:26","B POSS","B POSS   Pallavolo Padova",
,"18:30:55","00:27","K","K   Pallavolo Padova",
,"18:30:55","00:27","P","[1 : 1]   P   Pallavolo Padova",
,"18:31:13","00:45","Pt Conf","Pt Conf   Pallavolo Padova",
,"18:31:14","00:46","SRV","SRV   Pallavolo Padova",
,"18:31:19","00:51","RS","RS   Pallavolo Padova",
,"18:31:20","00:52","B POSS","B POSS   Volley Perugia",
,"18:31:20","00:52","K","K   Volley Perugia",
,"18:31:20","00:52","P","[2 : 1]   P   Volley Perugia",
,"18:31:41","01:14","Pt Conf","Pt Conf   Volley Perugia",
,"18:31:42","01:14","SRV","SRV   Volley Perugia",
,"18:31:45","01:17","S ERR","S ERR   Volley Perugia",
,"18:31:45","01:17","P","[2 : 2]   P   Pallavolo Padova",
,"18:32:03","01:36","Pt Conf","Pt Conf   Pallavolo Padova",
,"18:32:04","01:36","SRV","SRV   Pallavolo Padova",
,"18:32:06","01:39","RS","RS   Pallavolo Padova",
,"18:32:07","01:39","B POSS","B POSS   Volley Perugia",
,"18:32:09","01:41","K","K   Volley Perugia",
,"18:32:09","01:41","P","[3 : 2]   P   Volley Perugia",
,"18:32:30","02:02","Pt Conf","Pt Conf   Volley Perugia",
,"18:32:30","02:03","SRV","SRV   Volley Perugia",
,"18:32:34","02:07","RS","RS   Volley Perugia",
,"18:32:35","02:07","B POSS","B POSS   Pallavolo Padova",
,"18:32:37","02:09","ERR","ERR   Pallavolo Padova",
,"18:32:37","02:09","P","[4 : 2]   P   Volley Perugia",
,"18:32:56","02:28","Pt Conf","Pt Conf   Volley Perugia",
,"18:33:00","02:32","SRV","SRV   Volley Perugia",
,"18:33:00","02:32","RS","RS   Volley Perugia",
,"18:33:00","02:32","B POSS","B POSS   Pallavolo Padova",
,"18:33:04","02:36","K","K   Pallavolo Padova",
,"18:33:04","02:36","P","[4 : 3]   P   Pallavolo Padova",
,"18:33:23","02:55","Pt Conf","Pt Conf   Pallavolo Padova",
,"18:33:24","02:56","SRV","SRV   Pallavolo Padova",
,"18:33:27","03:00","RS","RS   Pallavolo Padova",
,"18:33:28","03:00","B POSS","B POSS   Volley Perugia",
,"18:33:29","03:01","B POSS","B POSS   Pallavolo Padova",
,"18:33:37","03:09","B POSS","B POSS   Volley Perugia",
,"18:33:37","03:10","ERR","ERR   Volley Perugia",
