"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"890894","Italy","Serie A2 (women)","18.10.2017 - 18:30","Trentino Volley (women)","Chieri Volley (women)",
"Statistics","Trentino Volley (women)","Type","Chieri Volley (women)",
,"2","Score","3",
,"106","Points","114",
,"2","Sets","3",
,"12","Aces","6",
,"16","Service errors","19",
,"51","Kills","66",
,"10","Blocks","13",
,"5","Errors","8",
,"8","Outs","6",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"17:53:30","00:00","Players warming up","Players warming up",
,"17:53:34","00:00","Game conditions changed","Game conditions changed",
,"18:11:51","00:00","Jersey colours updated","Jersey colours updated",
,"18:11:52","00:00","Jersey colours updated","Jersey colours updated",
,"18:13:30","00:00","Warm up at the net","Warm up at the net",
,"18:13:37","00:00","Coin flipping","Coin flipping",
,"18:24:49","00:00","Game conditions changed","Game conditions changed",
,"18:25:39","00:00","Players lined up","Players lined up",
,"18:25:59","00:00","Shake hands","Shake hands",
,"18:27:13","00:00","Players intro","Players intro",
,"18:29:11","00:00","Game about to start","Game about to start",
,"18:29:50","00:00","Start SRV","Start SRV   Trentino Volley (women)",
,"18:30:09","00:00","Start 1st Set","Start 1st Set",
,"18:30:10","00:00","SRV","SRV   Trentino Volley (women)",
,"18:30:12","00:02","RS","RS   Trentino Volley (women)",
,"18:30:12","00:03","B POSS","B POSS   Chieri Volley (women)",
,"18:30:17","00:07","B POSS","B POSS   Trentino Volley (women)",
,"18:30:25","00:15","B POSS","B POSS   Chieri Volley (women)",
,"18:30:35","00:25","OUT","OUT   Chieri Volley (women)",
,"18:30:35","00:25","P","[1 : 0]   P   Trentino Volley (women)",
,"18:30:54","00:44","Pt Conf","Pt Conf   Trentino Volley (women)",
,"18:30:55","00:45","SRV","SRV   Trentino Volley (women)",
,"18:31:02","00:52","S ERR","S ERR   Trentino Volley (women)",
,"18:31:02","00:52","P","[1 : 1]   P   Chieri Volley (women)",
,"18:31:14","01:04","Pt Conf","Pt Conf   Chieri Volley (women)",
,"18:31:17","01:08","SRV","SRV   Chieri Volley (women)",
,"18:31:22","01:12","S ERR","S ERR   Chieri Volley (women)",
,"18:31:22","01:12","P","[2 : 1]   P   Trentino Volley (women)",
,"18:31:36","01:26","Pt Conf","Pt Conf   Trentino Volley (women)",
,"18:31:36","01:26","SRV","SRV   Trentino Volley (women)",
,"18:31:38","01:29","RS","RS   Trentino Volley (women)",
,"18:31:39","01:30","B POSS","B POSS   Chieri Volley (women)",
,"18:31:43","01:34","B POSS","B POSS   Trentino Volley (women)",
,"18:31:48","01:38","B POSS","B POSS   Chieri Volley (women)",
,"18:31:52","01:43","K","K   Chieri Volley (women)",
,"18:31:52","01:43","P","[2 : 2]   P   Chieri Volley (women)",
,"18:32:07","01:58","Pt Conf","Pt Conf   Chieri Volley (women)",
,"18:32:10","02:00","SRV","SRV   Chieri Volley (women)",
,"18:32:12","02:03","RS","RS   Chieri Volley (women)",
,"18:32:13","02:03","B POSS","B POSS   Trentino Volley (women)",
,"18:32:17","02:07","B","B   Chieri Volley (women)",
,"18:32:17","02:07","P","[2 : 3]   P   Chieri Volley (women)",
,"18:32:32","02:23","Pt Conf","Pt Conf   Chieri Volley (women)",
,"18:32:35","02:25","SRV","SRV   Chieri Volley (women)",
,"18:32:40","02:30","RS","RS   Chieri Volley (women)",
,"18:32:41","02:32","B POSS","B POSS   Trentino Volley (women)",
,"18:32:43","02:33","K","K   Trentino Volley (women)",
,"18:32:43","02:33","P","[3 : 3]   P   Trentino Volley (women)",
,"18:32:56","02:47","Pt Conf","Pt Conf   Trentino Volley (women)",
,"18:33:02","02:52","SRV","SRV   Trentino Volley (women)",
,"18:33:05","02:55","RS","RS   Trentino Volley (women)",
,"18:33:06","02:57","B POSS","B POSS   Chieri Volley (women)",
,"18:33:08","02:59","K","K   Chieri Volley (women)",
,"18:33:08","02:59","P","[3 : 4]   P   Chieri Volley (women)",
,"18:33:24","03:15","Pt Conf","Pt Conf   Chieri Volley (women)",
,"18:33:26","03:16","SRV","SRV   Chieri Volley (women)",
,"18:33:29","03:20","RS","RS   Chieri Volley (women)",
,"18:33:30","03:20","B POSS","B POSS   Trentino Volley (women)",
,"18:33:32","03:23","K","K   Trentino Volley (women)",
,"18:33:32","03:23","P","[4 : 4]   P   Trentino Volley (women)",
,"18:33:48","03:39","Pt Conf","Pt Conf   Trentino Volley (women)",
,"18:33:52","03:43","SRV","SRV   Trentino Volley (women)",
,"18:33:55","03:46","RS","RS   Trentino Volley (women)",
