"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"889235","Italy","Serie A2 (women)","18.10.2017 - 18:30","Unione Volley Montecchio Maggiore (women)","Volley Hermaea Olbia (women)",
"Statistics","Unione Volley Montecchio Maggiore (women)","Type","Volley Hermaea Olbia (women)",
,"3","Score","0",
,"75","Points","53",
,"3","Sets","0",
,"4","Aces","2",
,"7","Service errors","4",
,"44","Kills","31",
,"6","Blocks","6",
,"0","Errors","13",
,"7","Outs","4",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"17:02:33","00:00","Game conditions changed","Game conditions changed",
,"17:46:19","00:00","Players warming up","Players warming up",
,"17:54:33","00:00","Jersey colours updated","Jersey colours updated",
,"17:54:33","00:00","Jersey colours updated","Jersey colours updated",
,"17:59:13","00:00","Game conditions changed","Game conditions changed",
,"18:13:27","00:00","Warm up at the net","Warm up at the net",
,"18:13:37","00:00","Coin flipping","Coin flipping",
,"18:26:30","00:00","Players lined up","Players lined up",
,"18:26:48","00:00","Shake hands","Shake hands",
,"18:28:17","00:00","Players intro","Players intro",
,"18:30:13","00:00","Game about to start","Game about to start",
,"18:31:03","00:00","Start SRV","Start SRV   Unione Volley Montecchio Maggiore (women)",
,"18:31:17","00:00","Start 1st Set","Start 1st Set",
,"18:31:18","00:00","SRV","SRV   Unione Volley Montecchio Maggiore (women)",
,"18:31:23","00:05","RS","RS   Unione Volley Montecchio Maggiore (women)",
,"18:31:23","00:05","B POSS","B POSS   Volley Hermaea Olbia (women)",
,"18:31:25","00:07","B POSS","B POSS   Unione Volley Montecchio Maggiore (women)",
,"18:31:29","00:11","K","K   Unione Volley Montecchio Maggiore (women)",
,"18:31:29","00:11","P","[1 : 0]   P   Unione Volley Montecchio Maggiore (women)",
,"18:31:45","00:27","Pt Conf","Pt Conf   Unione Volley Montecchio Maggiore (women)",
,"18:31:48","00:30","SRV","SRV   Unione Volley Montecchio Maggiore (women)",
,"18:31:51","00:33","RS","RS   Unione Volley Montecchio Maggiore (women)",
,"18:31:51","00:33","B POSS","B POSS   Volley Hermaea Olbia (women)",
,"18:31:54","00:36","B","B   Unione Volley Montecchio Maggiore (women)",
,"18:31:54","00:36","P","[2 : 0]   P   Unione Volley Montecchio Maggiore (women)",
,"18:32:12","00:54","Pt Conf","Pt Conf   Unione Volley Montecchio Maggiore (women)",
,"18:32:15","00:57","SRV","SRV   Unione Volley Montecchio Maggiore (women)",
,"18:32:20","01:02","A","A   Unione Volley Montecchio Maggiore (women)",
,"18:32:20","01:02","P","[3 : 0]   P   Unione Volley Montecchio Maggiore (women)",
,"18:33:07","01:49","Pt Conf","Pt Conf   Unione Volley Montecchio Maggiore (women)",
,"18:33:11","01:53","SRV","SRV   Unione Volley Montecchio Maggiore (women)",
,"18:33:13","01:55","RS","RS   Unione Volley Montecchio Maggiore (women)",
,"18:33:13","01:55","B POSS","B POSS   Volley Hermaea Olbia (women)",
,"18:33:17","01:59","B POSS","B POSS   Unione Volley Montecchio Maggiore (women)",
,"18:33:21","02:03","K","K   Unione Volley Montecchio Maggiore (women)",
,"18:33:21","02:03","P","[4 : 0]   P   Unione Volley Montecchio Maggiore (women)",
,"18:33:37","02:20","Pt Conf","Pt Conf   Unione Volley Montecchio Maggiore (women)",
,"18:33:43","02:26","SRV","SRV   Unione Volley Montecchio Maggiore (women)",
,"18:33:44","02:26","RS","RS   Unione Volley Montecchio Maggiore (women)",
,"18:33:44","02:26","B POSS","B POSS   Volley Hermaea Olbia (women)",
,"18:33:48","02:30","B POSS","B POSS   Unione Volley Montecchio Maggiore (women)",
,"18:33:50","02:33","B POSS","B POSS   Volley Hermaea Olbia (women)",
,"18:33:55","02:37","B POSS","B POSS   Unione Volley Montecchio Maggiore (women)",
,"18:33:57","02:39","K","K   Unione Volley Montecchio Maggiore (women)",
,"18:33:57","02:39","P","[5 : 0]   P   Unione Volley Montecchio Maggiore (women)",
,"18:34:06","02:48","Pt Conf","Pt Conf   Unione Volley Montecchio Maggiore (women)",
