"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"890803","Korea Republic","V-League (men)","18.10.2017 - 10:00","Gumi KB Stars VC","Cheonan Skywalkers",
"Statistics","Gumi KB Stars VC","Type","Cheonan Skywalkers",
,"3","Score","0",
,"81","Points","61",
,"3","Sets","0",
,"7","Aces","2",
,"14","Service errors","19",
,"39","Kills","31",
,"9","Blocks","8",
,"1","Errors","5",
,"5","Outs","2",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"09:49:32","00:00","Game conditions changed","Game conditions changed",
,"09:49:34","00:00","Players warming up","Players warming up",
,"09:51:08","00:00","Jersey colours updated","Jersey colours updated",
,"09:51:08","00:00","Jersey colours updated","Jersey colours updated",
,"09:51:16","00:00","Warm up at the net","Warm up at the net",
,"09:58:43","00:00","Players intro","Players intro",
,"10:00:25","00:00","Game about to start","Game about to start",
,"10:01:12","00:00","Start SRV","Start SRV   Cheonan Skywalkers",
,"10:01:14","00:00","Start 1st Set","Start 1st Set",
,"10:01:15","00:00","SRV","SRV   Cheonan Skywalkers",
,"10:01:17","00:02","RS","RS   Cheonan Skywalkers",
,"10:01:17","00:02","B POSS","B POSS   Gumi KB Stars VC",
,"10:01:19","00:04","K","K   Gumi KB Stars VC",
,"10:01:19","00:04","P","[1 : 0]   P   Gumi KB Stars VC",
,"10:01:37","00:22","Pt Conf","Pt Conf   Gumi KB Stars VC",
,"10:01:38","00:23","SRV","SRV   Gumi KB Stars VC",
,"10:01:39","00:24","RS","RS   Gumi KB Stars VC",
,"10:01:39","00:24","B POSS","B POSS   Cheonan Skywalkers",
,"10:01:42","00:27","K","K   Cheonan Skywalkers",
,"10:01:42","00:27","P","[1 : 1]   P   Cheonan Skywalkers",
,"10:01:58","00:43","Pt Conf","Pt Conf   Cheonan Skywalkers",
,"10:01:59","00:44","SRV","SRV   Cheonan Skywalkers",
,"10:02:00","00:45","RS","RS   Cheonan Skywalkers",
,"10:02:00","00:45","B POSS","B POSS   Gumi KB Stars VC",
,"10:02:03","00:48","K","K   Gumi KB Stars VC",
,"10:02:03","00:48","P","[2 : 1]   P   Gumi KB Stars VC",
,"10:02:21","01:06","Pt Conf","Pt Conf   Gumi KB Stars VC",
,"10:02:22","01:07","SRV","SRV   Gumi KB Stars VC",
,"10:02:23","01:08","RS","RS   Gumi KB Stars VC",
,"10:02:23","01:08","B POSS","B POSS   Cheonan Skywalkers",
,"10:02:26","01:11","K","K   Cheonan Skywalkers",
,"10:02:26","01:11","P","[2 : 2]   P   Cheonan Skywalkers",
,"10:02:44","01:29","Pt Conf","Pt Conf   Cheonan Skywalkers",
,"10:02:45","01:30","SRV","SRV   Cheonan Skywalkers",
,"10:02:47","01:32","A","A   Cheonan Skywalkers",
,"10:02:47","01:32","P","[2 : 3]   P   Cheonan Skywalkers",
,"10:03:04","01:49","Pt Conf","Pt Conf   Cheonan Skywalkers",
,"10:03:05","01:50","SRV","SRV   Cheonan Skywalkers",
,"10:03:07","01:52","A","A   Cheonan Skywalkers",
,"10:03:07","01:52","P","[2 : 4]   P   Cheonan Skywalkers",
,"10:03:25","02:10","Pt Conf","Pt Conf   Cheonan Skywalkers",
,"10:03:26","02:11","SRV","SRV   Cheonan Skywalkers",
,"10:03:29","02:14","RS","RS   Cheonan Skywalkers",
,"10:03:29","02:14","B POSS","B POSS   Gumi KB Stars VC",
,"10:03:32","02:17","B POSS","B POSS   Cheonan Skywalkers",
