"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"879489","Poland","Polska Liga (men)","18.10.2017 - 15:00","GKS Katowice","MKS Bedzin",
"Statistics","GKS Katowice","Type","MKS Bedzin",
,"3","Score","0",
,"76","Points","68",
,"3","Sets","0",
,"8","Aces","3",
,"14","Service errors","10",
,"36","Kills","37",
,"8","Blocks","6",
,"4","Errors","5",
,"4","Outs","9",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"14:38:16","00:00","Game conditions changed","Game conditions changed",
,"14:38:17","00:00","Players warming up","Players warming up",
,"14:38:56","00:00","Jersey colours updated","Jersey colours updated",
,"14:38:56","00:00","Jersey colours updated","Jersey colours updated",
,"14:44:56","00:00","Coin flipping","Coin flipping",
,"14:45:25","00:00","Warm up at the net","Warm up at the net",
,"14:57:22","00:00","Players lined up","Players lined up",
,"14:58:03","00:00","Shake hands","Shake hands",
,"15:00:48","00:00","Game about to start","Game about to start",
,"15:01:11","00:00","Start SRV","Start SRV   MKS Bedzin",
,"15:01:21","00:00","Start 1st Set","Start 1st Set",
,"15:01:22","00:00","SRV","SRV   MKS Bedzin",
,"15:01:24","00:02","RS","RS   MKS Bedzin",
,"15:01:24","00:02","B POSS","B POSS   GKS Katowice",
,"15:01:28","00:06","B POSS","B POSS   MKS Bedzin",
,"15:01:33","00:11","K","K   MKS Bedzin",
,"15:01:33","00:11","P","[0 : 1]   P   MKS Bedzin",
,"15:01:50","00:28","Pt Conf","Pt Conf   MKS Bedzin",
,"15:01:50","00:28","SRV","SRV   MKS Bedzin",
,"15:01:51","00:30","RS","RS   MKS Bedzin",
,"15:01:52","00:30","B POSS","B POSS   GKS Katowice",
,"15:02:00","00:38","B","B   MKS Bedzin",
,"15:02:00","00:38","P","[0 : 2]   P   MKS Bedzin",
,"15:02:16","00:55","Pt Conf","Pt Conf   MKS Bedzin",
,"15:02:17","00:55","SRV","SRV   MKS Bedzin",
,"15:02:23","01:01","A","A   MKS Bedzin",
,"15:02:23","01:01","P","[0 : 3]   P   MKS Bedzin",
,"15:02:36","01:14","Pt Conf","Pt Conf   MKS Bedzin",
,"15:02:36","01:15","SRV","SRV   MKS Bedzin",
,"15:02:38","01:16","RS","RS   MKS Bedzin",
,"15:02:38","01:17","B POSS","B POSS   GKS Katowice",
,"15:02:42","01:21","K","K   GKS Katowice",
,"15:02:42","01:21","P","[1 : 3]   P   GKS Katowice",
,"15:02:57","01:35","Pt Conf","Pt Conf   GKS Katowice",
,"15:03:32","02:10","Point under investigation","Point under investigation",
,"15:04:16","02:54","SRV","SRV   GKS Katowice",
,"15:04:20","02:59","A","A   GKS Katowice",
,"15:04:20","02:59","P","[2 : 3]   P   GKS Katowice",
,"15:04:43","03:21","Pt Conf","Pt Conf   GKS Katowice",
,"15:04:47","03:25","SRV","SRV   GKS Katowice",
,"15:04:50","03:28","S ERR","S ERR   GKS Katowice",
,"15:04:50","03:28","P","[2 : 4]   P   MKS Bedzin",
,"15:05:10","03:48","Pt Conf","Pt Conf   MKS Bedzin",
,"15:05:10","03:49","SRV","SRV   MKS Bedzin",
,"15:05:12","03:50","RS","RS   MKS Bedzin",
,"15:05:12","03:50","B POSS","B POSS   GKS Katowice",
,"15:05:16","03:54","B POSS","B POSS   MKS Bedzin",
,"15:05:22","04:00","B","B   GKS Katowice",
,"15:05:22","04:00","P","[3 : 4]   P   GKS Katowice",
,"15:05:46","04:24","Pt Conf","Pt Conf   GKS Katowice",
,"15:05:48","04:26","SRV","SRV   GKS Katowice",
,"15:05:50","04:28","S ERR","S ERR   GKS Katowice",
,"15:05:50","04:28","P","[3 : 5]   P   MKS Bedzin",
,"15:06:08","04:46","Pt Conf","Pt Conf   MKS Bedzin",
,"15:06:09","04:48","SRV","SRV   MKS Bedzin",
,"15:06:11","04:50","RS","RS   MKS Bedzin",
,"15:06:12","04:50","B POSS","B POSS   GKS Katowice",
,"15:06:16","04:54","B POSS","B POSS   MKS Bedzin",
,"15:06:23","05:01","OUT","OUT   MKS Bedzin",
,"15:06:23","05:01","P","[4 : 5]   P   GKS Katowice",
,"15:06:32","05:10","Point under investigation","Point under investigation",
,"15:07:49","06:27","Pt Conf","Pt Conf   GKS Katowice",
,"15:07:52","06:30","SRV","SRV   GKS Katowice",
,"15:07:53","06:31","RS","RS   GKS Katowice",
,"15:07:53","06:32","B POSS","B POSS   MKS Bedzin",
,"15:07:57","06:35","K","K   MKS Bedzin",
,"15:07:57","06:35","P","[4 : 6]   P   MKS Bedzin",
,"15:08:14","06:52","Pt Conf","Pt Conf   MKS Bedzin",
,"15:08:15","06:54","SRV","SRV   MKS Bedzin",
,"15:08:17","06:56","RS","RS   MKS Bedzin",
,"15:08:18","06:56","B POSS","B POSS   GKS Katowice",
,"15:08:23","07:01","K","K   GKS Katowice",
,"15:08:23","07:01","P","[5 : 6]   P   GKS Katowice",
,"15:08:39","07:18","Pt Conf","Pt Conf   GKS Katowice",
,"15:08:40","07:19","SRV","SRV   GKS Katowice",
,"15:08:44","07:22","RS","RS   GKS Katowice",
,"15:08:44","07:23","B POSS","B POSS   MKS Bedzin",
,"15:08:46","07:24","K","K   MKS Bedzin",
,"15:08:46","07:24","P","[5 : 7]   P   MKS Bedzin",
,"15:09:02","07:41","Pt Conf","Pt Conf   MKS Bedzin",
,"15:09:04","07:42","SRV","SRV   MKS Bedzin",
,"15:09:07","07:45","RS","RS   MKS Bedzin",
,"15:09:07","07:45","B POSS","B POSS   GKS Katowice",
,"15:09:08","07:47","K","K   GKS Katowice",
,"15:09:08","07:47","P","[6 : 7]   P   GKS Katowice",
,"15:09:25","08:03","Pt Conf","Pt Conf   GKS Katowice",
,"15:09:26","08:04","SRV","SRV   GKS Katowice",
,"15:09:30","08:08","S ERR","S ERR   GKS Katowice",
,"15:09:30","08:08","P","[6 : 8]   P   MKS Bedzin",
,"15:09:46","08:24","Pt Conf","Pt Conf   MKS Bedzin",
,"15:09:47","08:25","SRV","SRV   MKS Bedzin",
,"15:09:51","08:29","S ERR","S ERR   MKS Bedzin",
,"15:09:51","08:29","P","[7 : 8]   P   GKS Katowice",
,"15:10:05","08:43","Pt Conf","Pt Conf   GKS Katowice",
,"15:10:05","08:43","SRV","SRV   GKS Katowice",
,"15:10:07","08:45","RS","RS   GKS Katowice",
,"15:10:07","08:45","B POSS","B POSS   MKS Bedzin",
,"15:10:12","08:50","K","K   MKS Bedzin",
,"15:10:12","08:50","P","[7 : 9]   P   MKS Bedzin",
,"15:10:26","09:04","Pt Conf","Pt Conf   MKS Bedzin",
,"15:10:26","09:04","SRV","SRV   MKS Bedzin",
,"15:10:27","09:06","RS","RS   MKS Bedzin",
,"15:10:28","09:06","B POSS","B POSS   GKS Katowice",
,"15:10:31","09:10","K","K   GKS Katowice",
,"15:10:31","09:10","P","[8 : 9]   P   GKS Katowice",
,"15:10:48","09:27","Pt Conf","Pt Conf   GKS Katowice",
,"15:10:49","09:27","SRV","SRV   GKS Katowice",
,"15:10:52","09:30","RS","RS   GKS Katowice",
,"15:10:52","09:30","B POSS","B POSS   MKS Bedzin",
,"15:10:56","09:34","K","K   MKS Bedzin",
,"15:10:56","09:34","P","[8 : 10]   P   MKS Bedzin",
,"15:11:17","09:55","Pt Conf","Pt Conf   MKS Bedzin",
,"15:11:17","09:56","SRV","SRV   MKS Bedzin",
,"15:11:21","09:59","S ERR","S ERR   MKS Bedzin",
,"15:11:21","09:59","P","[9 : 10]   P   GKS Katowice",
,"15:11:36","10:14","Pt Conf","Pt Conf   GKS Katowice",
,"15:11:37","10:15","SRV","SRV   GKS Katowice",
,"15:11:41","10:20","RS","RS   GKS Katowice",
,"15:11:42","10:20","B POSS","B POSS   MKS Bedzin",
,"15:11:45","10:24","K","K   MKS Bedzin",
